"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Male!!Estimate","Canadian County, Oklahoma!!Male!!Margin of Error","Canadian County, Oklahoma!!Percent Male!!Estimate","Canadian County, Oklahoma!!Percent Male!!Margin of Error","Canadian County, Oklahoma!!Female!!Estimate","Canadian County, Oklahoma!!Female!!Margin of Error","Canadian County, Oklahoma!!Percent Female!!Estimate","Canadian County, Oklahoma!!Percent Female!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Male!!Estimate","Cleveland County, Oklahoma!!Male!!Margin of Error","Cleveland County, Oklahoma!!Percent Male!!Estimate","Cleveland County, Oklahoma!!Percent Male!!Margin of Error","Cleveland County, Oklahoma!!Female!!Estimate","Cleveland County, Oklahoma!!Female!!Margin of Error","Cleveland County, Oklahoma!!Percent Female!!Estimate","Cleveland County, Oklahoma!!Percent Female!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Male!!Estimate","Comanche County, Oklahoma!!Male!!Margin of Error","Comanche County, Oklahoma!!Percent Male!!Estimate","Comanche County, Oklahoma!!Percent Male!!Margin of Error","Comanche County, Oklahoma!!Female!!Estimate","Comanche County, Oklahoma!!Female!!Margin of Error","Comanche County, Oklahoma!!Percent Female!!Estimate","Comanche County, Oklahoma!!Percent Female!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Male!!Estimate","Creek County, Oklahoma!!Male!!Margin of Error","Creek County, Oklahoma!!Percent Male!!Estimate","Creek County, Oklahoma!!Percent Male!!Margin of Error","Creek County, Oklahoma!!Female!!Estimate","Creek County, Oklahoma!!Female!!Margin of Error","Creek County, Oklahoma!!Percent Female!!Estimate","Creek County, Oklahoma!!Percent Female!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Male!!Estimate","Muskogee County, Oklahoma!!Male!!Margin of Error","Muskogee County, Oklahoma!!Percent Male!!Estimate","Muskogee County, Oklahoma!!Percent Male!!Margin of Error","Muskogee County, Oklahoma!!Female!!Estimate","Muskogee County, Oklahoma!!Female!!Margin of Error","Muskogee County, Oklahoma!!Percent Female!!Estimate","Muskogee County, Oklahoma!!Percent Female!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Male!!Estimate","Oklahoma County, Oklahoma!!Male!!Margin of Error","Oklahoma County, Oklahoma!!Percent Male!!Estimate","Oklahoma County, Oklahoma!!Percent Male!!Margin of Error","Oklahoma County, Oklahoma!!Female!!Estimate","Oklahoma County, Oklahoma!!Female!!Margin of Error","Oklahoma County, Oklahoma!!Percent Female!!Estimate","Oklahoma County, Oklahoma!!Percent Female!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Male!!Estimate","Payne County, Oklahoma!!Male!!Margin of Error","Payne County, Oklahoma!!Percent Male!!Estimate","Payne County, Oklahoma!!Percent Male!!Margin of Error","Payne County, Oklahoma!!Female!!Estimate","Payne County, Oklahoma!!Female!!Margin of Error","Payne County, Oklahoma!!Percent Female!!Estimate","Payne County, Oklahoma!!Percent Female!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Male!!Estimate","Pottawatomie County, Oklahoma!!Male!!Margin of Error","Pottawatomie County, Oklahoma!!Percent Male!!Estimate","Pottawatomie County, Oklahoma!!Percent Male!!Margin of Error","Pottawatomie County, Oklahoma!!Female!!Estimate","Pottawatomie County, Oklahoma!!Female!!Margin of Error","Pottawatomie County, Oklahoma!!Percent Female!!Estimate","Pottawatomie County, Oklahoma!!Percent Female!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Male!!Estimate","Rogers County, Oklahoma!!Male!!Margin of Error","Rogers County, Oklahoma!!Percent Male!!Estimate","Rogers County, Oklahoma!!Percent Male!!Margin of Error","Rogers County, Oklahoma!!Female!!Estimate","Rogers County, Oklahoma!!Female!!Margin of Error","Rogers County, Oklahoma!!Percent Female!!Estimate","Rogers County, Oklahoma!!Percent Female!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Male!!Estimate","Tulsa County, Oklahoma!!Male!!Margin of Error","Tulsa County, Oklahoma!!Percent Male!!Estimate","Tulsa County, Oklahoma!!Percent Male!!Margin of Error","Tulsa County, Oklahoma!!Female!!Estimate","Tulsa County, Oklahoma!!Female!!Margin of Error","Tulsa County, Oklahoma!!Percent Female!!Estimate","Tulsa County, Oklahoma!!Percent Female!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Male!!Estimate","Wagoner County, Oklahoma!!Male!!Margin of Error","Wagoner County, Oklahoma!!Percent Male!!Estimate","Wagoner County, Oklahoma!!Percent Male!!Margin of Error","Wagoner County, Oklahoma!!Female!!Estimate","Wagoner County, Oklahoma!!Female!!Margin of Error","Wagoner County, Oklahoma!!Percent Female!!Estimate","Wagoner County, Oklahoma!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Civilian employed population 16 years and over","73,990","±3,027","37,940","±1,941","51.3%","±2.0","36,050","±2,305","48.7%","±2.0","143,135","±3,738","75,391","±2,442","52.7%","±1.2","67,744","±2,710","47.3%","±1.2","47,014","±3,267","22,465","±2,435","47.8%","±3.5","24,549","±2,146","52.2%","±3.5","31,212","±1,258","17,714","±946","56.8%","±2.1","13,498","±890","43.2%","±2.1","26,252","±1,425","13,320","±1,055","50.7%","±2.8","12,932","±985","49.3%","±2.8","378,230","±5,887","197,460","±3,691","52.2%","±0.6","180,770","±3,833","47.8%","±0.6","36,962","±2,437","19,810","±1,641","53.6%","±2.8","17,152","±1,567","46.4%","±2.8","30,858","±1,586","16,250","±934","52.7%","±2.3","14,608","±1,175","47.3%","±2.3","45,878","±1,442","25,031","±890","54.6%","±1.4","20,847","±1,008","45.4%","±1.4","319,917","±3,644","169,866","±2,540","53.1%","±0.5","150,051","±2,341","46.9%","±0.5","38,619","±1,044","21,474","±829","55.6%","±1.6","17,145","±767","44.4%","±1.6","158,758,794","±158,474","83,061,060","±91,586","52.3%","±0.1","75,697,734","±106,057","47.7%","±0.1"
"    Management, business, science, and arts occupations:","27,857","±3,088","12,422","±1,867","44.6%","±4.9","15,435","±2,249","55.4%","±4.9","63,835","±4,053","31,064","±2,591","48.7%","±2.7","32,771","±2,701","51.3%","±2.7","17,910","±2,168","6,890","±1,376","38.5%","±5.8","11,020","±1,632","61.5%","±5.8","9,076","±888","4,185","±683","46.1%","±4.8","4,891","±530","53.9%","±4.8","8,278","±1,169","3,296","±714","39.8%","±6.5","4,982","±874","60.2%","±6.5","147,969","±5,656","68,604","±3,179","46.4%","±1.7","79,365","±4,353","53.6%","±1.7","16,484","±2,179","9,317","±1,469","56.5%","±5.9","7,167","±1,442","43.5%","±5.9","9,067","±921","3,255","±650","35.9%","±5.6","5,812","±721","64.1%","±5.6","15,923","±1,360","7,376","±836","46.3%","±3.8","8,547","±992","53.7%","±3.8","127,744","±4,094","59,008","±2,621","46.2%","±1.3","68,736","±2,642","53.8%","±1.3","13,249","±1,207","6,636","±958","50.1%","±4.5","6,613","±716","49.9%","±4.5","63,267,357","±216,159","29,841,855","±117,141","47.2%","±0.1","33,425,502","±119,923","52.8%","±0.1"
"        Management, business, and financial occupations:","10,786","±1,870","5,476","±1,229","50.8%","±7.1","5,310","±1,186","49.2%","±7.1","22,249","±2,418","12,525","±1,976","56.3%","±5.9","9,724","±1,620","43.7%","±5.9","6,997","±1,847","3,306","±936","47.2%","±9.2","3,691","±1,289","52.8%","±9.2","4,357","±597","2,260","±520","51.9%","±8.1","2,097","±397","48.1%","±8.1","3,592","±717","1,672","±465","46.5%","±10.0","1,920","±551","53.5%","±10.0","57,764","±3,998","30,271","±2,533","52.4%","±3.3","27,493","±2,919","47.6%","±3.3","5,420","±1,332","3,481","±1,052","64.2%","±11.6","1,939","±800","35.8%","±11.6","3,696","±721","1,515","±413","41.0%","±9.5","2,181","±603","59.0%","±9.5","6,358","±796","3,879","±582","61.0%","±6.4","2,479","±548","39.0%","±6.4","53,058","±2,516","27,383","±1,884","51.6%","±2.5","25,675","±1,798","48.4%","±2.5","5,639","±896","3,327","±693","59.0%","±7.7","2,312","±567","41.0%","±7.7","25,587,202","±98,137","13,883,359","±57,929","54.3%","±0.1","11,703,843","±59,356","45.7%","±0.1"
"            Management occupations","6,909","±1,634","3,935","±1,073","57.0%","±8.3","2,974","±925","43.0%","±8.3","15,240","±1,938","8,540","±1,314","56.0%","±6.6","6,700","±1,444","44.0%","±6.6","5,100","±1,592","2,079","±712","40.8%","±11.6","3,021","±1,261","59.2%","±11.6","3,197","±603","2,052","±513","64.2%","±8.8","1,145","±323","35.8%","±8.8","2,719","±594","1,540","±461","56.6%","±11.6","1,179","±411","43.4%","±11.6","36,334","±3,007","19,623","±1,913","54.0%","±3.8","16,711","±2,112","46.0%","±3.8","4,379","±1,381","2,917","±1,056","66.6%","±12.4","1,462","±720","33.4%","±12.4","2,864","±644","1,152","±336","40.2%","±11.4","1,712","±589","59.8%","±11.4","4,945","±716","3,138","±563","63.5%","±7.7","1,807","±479","36.5%","±7.7","34,619","±2,133","19,909","±1,660","57.5%","±3.1","14,710","±1,398","42.5%","±3.1","3,703","±737","2,243","±596","60.6%","±9.7","1,460","±450","39.4%","±9.7","17,049,444","±78,966","9,993,197","±48,456","58.6%","±0.1","7,056,247","±44,048","41.4%","±0.1"
"            Business and financial operations occupations","3,877","±836","1,541","±628","39.7%","±13.9","2,336","±751","60.3%","±13.9","7,009","±1,520","3,985","±1,363","56.9%","±11.8","3,024","±876","43.1%","±11.8","1,897","±623","1,227","±549","64.7%","±15.0","670","±310","35.3%","±15.0","1,160","±349","208","±135","17.9%","±11.6","952","±340","82.1%","±11.6","873","±436","132","±102","15.1%","±12.4","741","±421","84.9%","±12.4","21,430","±2,363","10,648","±1,555","49.7%","±5.3","10,782","±1,714","50.3%","±5.3","1,041","±684","564","±445","54.2%","±20.8","477","±358","45.8%","±20.8","832","±314","363","±243","43.6%","±20.8","469","±212","56.4%","±20.8","1,413","±457","741","±362","52.4%","±15.4","672","±262","47.6%","±15.4","18,439","±1,465","7,474","±1,004","40.5%","±4.7","10,965","±1,284","59.5%","±4.7","1,936","±558","1,084","±398","56.0%","±12.5","852","±338","44.0%","±12.5","8,537,758","±58,478","3,890,162","±38,834","45.6%","±0.3","4,647,596","±40,221","54.4%","±0.3"
"        Computer, engineering, and science occupations:","4,549","±1,292","3,218","±1,052","70.7%","±12.3","1,331","±686","29.3%","±12.3","10,297","±1,470","7,860","±1,389","76.3%","±6.6","2,437","±722","23.7%","±6.6","1,580","±657","1,247","±611","78.9%","±15.6","333","±242","21.1%","±15.6","1,121","±380","986","±358","88.0%","±10.5","135","±124","12.0%","±10.5","399","±262","348","±255","87.2%","±15.6","51","±58","12.8%","±15.6","23,300","±2,659","17,268","±2,367","74.1%","±4.3","6,032","±1,122","25.9%","±4.3","1,604","±643","1,194","±517","74.4%","±18.0","410","±352","25.6%","±18.0","557","±271","470","±271","84.4%","±18.4","87","±98","15.6%","±18.4","2,263","±622","2,006","±584","88.6%","±6.2","257","±149","11.4%","±6.2","17,218","±1,951","12,990","±1,558","75.4%","±3.9","4,228","±867","24.6%","±3.9","1,791","±538","1,380","±471","77.1%","±10.7","411","±214","22.9%","±10.7","10,181,740","±72,083","7,442,100","±56,458","73.1%","±0.2","2,739,640","±27,767","26.9%","±0.2"
"            Computer and mathematical occupations","2,364","±934","1,256","±644","53.1%","±18.6","1,108","±642","46.9%","±18.6","5,959","±1,282","4,696","±1,267","78.8%","±9.6","1,263","±582","21.2%","±9.6","730","±464","594","±450","81.4%","±21.2","136","±139","18.6%","±21.2","401","±229","346","±232","86.3%","±16.2","55","±61","13.7%","±16.2","158","±120","126","±110","79.7%","±28.7","32","±46","20.3%","±28.7","11,882","±2,213","8,684","±1,903","73.1%","±6.4","3,198","±873","26.9%","±6.4","601","±387","525","±361","87.4%","±15.0","76","±86","12.6%","±15.0","148","±134","78","±98","52.7%","±48.2","70","±88","47.3%","±48.2","916","±399","721","±376","78.7%","±15.3","195","±140","21.3%","±15.3","7,829","±1,310","5,436","±930","69.4%","±6.2","2,393","±691","30.6%","±6.2","766","±362","616","±320","80.4%","±19.3","150","±156","19.6%","±19.3","5,231,914","±39,534","3,831,913","±29,645","73.2%","±0.3","1,400,001","±20,859","26.8%","±0.3"
"            Architecture and engineering occupations","1,774","±731","1,666","±724","93.9%","±7.6","108","±135","6.1%","±7.6","2,409","±694","2,065","±632","85.7%","±8.7","344","±229","14.3%","±8.7","697","±423","643","±445","92.3%","±16.7","54","±94","7.7%","±16.7","661","±311","581","±282","87.9%","±14.1","80","±105","12.1%","±14.1","201","±215","201","±215","100.0%","±38.9","0","±165","0.0%","±38.9","7,337","±1,284","6,199","±1,240","84.5%","±5.6","1,138","±418","15.5%","±5.6","470","±354","375","±259","79.8%","±24.6","95","±151","20.2%","±24.6","381","±236","364","±245","95.5%","±9.5","17","±28","4.5%","±9.5","1,074","±449","1,074","±449","100.0%","±9.9","0","±165","0.0%","±9.9","7,240","±1,232","6,320","±1,174","87.3%","±5.4","920","±402","12.7%","±5.4","961","±352","764","±313","79.5%","±15.6","197","±168","20.5%","±15.6","3,283,825","±36,274","2,750,591","±33,007","83.8%","±0.3","533,234","±12,254","16.2%","±0.3"
"            Life, physical, and social science occupations","411","±309","296","±239","72.0%","±37.6","115","±179","28.0%","±37.6","1,929","±723","1,099","±556","57.0%","±16.1","830","±414","43.0%","±16.1","153","±172","10","±17","6.5%","±16.6","143","±170","93.5%","±16.6","59","±70","59","±70","100.0%","±71.8","0","±165","0.0%","±71.8","40","±49","21","±36","52.5%","±52.5","19","±34","47.5%","±52.5","4,081","±931","2,385","±667","58.4%","±10.0","1,696","±563","41.6%","±10.0","533","±388","294","±257","55.2%","±39.8","239","±302","44.8%","±39.8","28","±35","28","±35","100.0%","±100.0","0","±165","0.0%","±100.0","273","±156","211","±145","77.3%","±20.5","62","±53","22.7%","±20.5","2,149","±551","1,234","±473","57.4%","±15.1","915","±385","42.6%","±15.1","64","±76","0","±165","0.0%","±69.0","64","±76","100.0%","±69.0","1,666,001","±26,133","859,596","±19,146","51.6%","±0.7","806,405","±15,348","48.4%","±0.7"
"        Education, legal, community service, arts, and media occupations:","7,078","±1,350","2,563","±863","36.2%","±10.0","4,515","±1,123","63.8%","±10.0","20,803","±2,593","7,484","±1,522","36.0%","±5.3","13,319","±1,914","64.0%","±5.3","5,412","±1,193","1,544","±656","28.5%","±10.5","3,868","±1,028","71.5%","±10.5","2,433","±526","666","±241","27.4%","±8.9","1,767","±461","72.6%","±8.9","2,617","±807","788","±391","30.1%","±11.2","1,829","±615","69.9%","±11.2","38,042","±3,219","12,919","±1,948","34.0%","±4.0","25,123","±2,514","66.0%","±4.0","7,166","±1,348","3,637","±900","50.8%","±9.7","3,529","±1,008","49.2%","±9.7","3,216","±626","1,168","±412","36.3%","±9.5","2,048","±463","63.7%","±9.5","4,042","±821","797","±307","19.7%","±7.2","3,245","±755","80.3%","±7.2","35,773","±2,324","11,623","±1,224","32.5%","±2.7","24,150","±1,867","67.5%","±2.7","3,483","±723","1,086","±400","31.2%","±8.9","2,397","±554","68.8%","±8.9","17,741,328","±93,549","6,072,732","±45,723","34.2%","±0.2","11,668,596","±67,198","65.8%","±0.2"
