"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!With a disability!!Estimate","Boone County, Kentucky!!With a disability!!Margin of Error","Boone County, Kentucky!!Percent with a disability!!Estimate","Boone County, Kentucky!!Percent with a disability!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!With a disability!!Estimate","Bullitt County, Kentucky!!With a disability!!Margin of Error","Bullitt County, Kentucky!!Percent with a disability!!Estimate","Bullitt County, Kentucky!!Percent with a disability!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!With a disability!!Estimate","Campbell County, Kentucky!!With a disability!!Margin of Error","Campbell County, Kentucky!!Percent with a disability!!Estimate","Campbell County, Kentucky!!Percent with a disability!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!With a disability!!Estimate","Christian County, Kentucky!!With a disability!!Margin of Error","Christian County, Kentucky!!Percent with a disability!!Estimate","Christian County, Kentucky!!Percent with a disability!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!With a disability!!Estimate","Daviess County, Kentucky!!With a disability!!Margin of Error","Daviess County, Kentucky!!Percent with a disability!!Estimate","Daviess County, Kentucky!!Percent with a disability!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!With a disability!!Estimate","Fayette County, Kentucky!!With a disability!!Margin of Error","Fayette County, Kentucky!!Percent with a disability!!Estimate","Fayette County, Kentucky!!Percent with a disability!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!With a disability!!Estimate","Hardin County, Kentucky!!With a disability!!Margin of Error","Hardin County, Kentucky!!Percent with a disability!!Estimate","Hardin County, Kentucky!!Percent with a disability!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!With a disability!!Estimate","Jefferson County, Kentucky!!With a disability!!Margin of Error","Jefferson County, Kentucky!!Percent with a disability!!Estimate","Jefferson County, Kentucky!!Percent with a disability!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!With a disability!!Estimate","Kenton County, Kentucky!!With a disability!!Margin of Error","Kenton County, Kentucky!!Percent with a disability!!Estimate","Kenton County, Kentucky!!Percent with a disability!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!With a disability!!Estimate","McCracken County, Kentucky!!With a disability!!Margin of Error","McCracken County, Kentucky!!Percent with a disability!!Estimate","McCracken County, Kentucky!!Percent with a disability!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!With a disability!!Estimate","Madison County, Kentucky!!With a disability!!Margin of Error","Madison County, Kentucky!!Percent with a disability!!Estimate","Madison County, Kentucky!!Percent with a disability!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!With a disability!!Estimate","Oldham County, Kentucky!!With a disability!!Margin of Error","Oldham County, Kentucky!!Percent with a disability!!Estimate","Oldham County, Kentucky!!Percent with a disability!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!With a disability!!Estimate","Warren County, Kentucky!!With a disability!!Margin of Error","Warren County, Kentucky!!Percent with a disability!!Estimate","Warren County, Kentucky!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","132,935","±608","18,998","±3,147","14.3%","±2.4","81,237","±575","13,058","±2,025","16.1%","±2.5","92,334","±778","12,340","±1,721","13.4%","±1.9","60,504","±1,469","11,855","±1,862","19.6%","±3.1","99,652","±995","17,834","±2,029","17.9%","±2.0","318,746","±1,076","38,441","±3,342","12.1%","±1.0","106,286","±1,400","18,364","±2,533","17.3%","±2.3","758,744","±990","113,123","±5,565","14.9%","±0.7","165,846","±505","21,668","±1,972","13.1%","±1.2","64,130","±884","10,070","±1,433","15.7%","±2.2","92,066","±695","15,598","±1,891","16.9%","±2.1","63,224","±916","6,317","±1,173","10.0%","±1.9","131,663","±634","18,176","±2,642","13.8%","±2.0","323,120,678","±17,674","41,089,958","±115,466","12.7%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","66,531","±985","10,618","±1,941","16.0%","±2.9","40,498","±715","6,540","±1,400","16.1%","±3.4","44,897","±917","5,628","±946","12.5%","±2.1","27,278","±2,024","5,287","±1,225","19.4%","±4.3","48,515","±815","9,144","±1,356","18.8%","±2.8","155,508","±1,326","19,216","±2,230","12.4%","±1.4","52,642","±1,141","9,356","±1,767","17.8%","±3.3","365,753","±1,141","51,375","±3,740","14.0%","±1.0","81,297","±750","10,090","±1,473","12.4%","±1.8","30,781","±611","5,274","±1,094","17.1%","±3.5","44,884","±914","7,551","±1,162","16.8%","±2.6","30,939","±997","2,643","±882","8.5%","±2.8","64,713","±904","9,340","±1,876","14.4%","±2.9","157,833,027","±41,074","19,901,988","±72,503","12.6%","±0.1"
"        Female","66,404","±808","8,380","±1,810","12.6%","±2.7","40,739","±499","6,518","±1,081","16.0%","±2.7","47,437","±716","6,712","±1,318","14.1%","±2.8","33,226","±1,425","6,568","±1,477","19.8%","±4.2","51,137","±508","8,690","±1,322","17.0%","±2.6","163,238","±1,011","19,225","±2,127","11.8%","±1.3","53,644","±1,306","9,008","±1,569","16.8%","±2.9","392,991","±1,121","61,748","±3,756","15.7%","±1.0","84,549","±782","11,578","±1,446","13.7%","±1.7","33,349","±972","4,796","±946","14.4%","±2.9","47,182","±788","8,047","±1,372","17.1%","±2.9","32,285","±663","3,674","±713","11.4%","±2.2","66,950","±845","8,836","±1,727","13.2%","±2.6","165,287,651","±36,898","21,187,970","±68,127","12.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","121,293","±907","17,771","±2,840","14.7%","±2.4","77,502","±709","12,170","±1,731","15.7%","±2.2","86,344","±1,008","11,686","±1,725","13.5%","±2.0","41,568","±1,353","9,276","±1,572","22.3%","±3.7","89,158","±1,433","16,596","±1,971","18.6%","±2.1","234,094","±2,601","30,767","±2,920","13.1%","±1.2","84,054","±1,524","15,456","±2,387","18.4%","±2.8","541,277","±2,390","82,218","±4,730","15.2%","±0.9","149,384","±1,629","20,253","±1,922","13.6%","±1.3","54,256","±1,016","8,307","±1,317","15.3%","±2.4","84,202","±887","14,722","±1,813","17.5%","±2.2","58,577","±748","6,106","±1,149","10.4%","±2.0","106,639","±1,517","14,483","±2,103","13.6%","±2.0","233,212,096","±100,367","30,878,182","±102,831","13.2%","±0.1"
"        Black or African American alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","14,165","±1,156","2,134","±839","15.1%","±6.2","N","N","N","N","N","N","47,192","±2,194","5,896","±1,375","12.5%","±3.0","12,434","±1,723","1,965","±833","15.8%","±7.2","169,941","±3,134","27,243","±3,115","16.0%","±1.8","6,610","±1,183","609","±392","9.2%","±5.8","5,073","±901","1,160","±521","22.9%","±10.0","N","N","N","N","N","N","N","N","N","N","N","N","11,417","±1,936","844","±594","7.4%","±4.9","40,702,085","±78,149","5,743,213","±49,644","14.1%","±0.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,777,677","±33,436","477,954","±11,142","17.2%","±0.4"
"        Asian alone","3,807","±230","219","±337","5.8%","±9.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","13,446","±770","364","±267","2.7%","±2.0","N","N","N","N","N","N","22,829","±1,186","566","±458","2.5%","±2.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,133","±209","101","±120","8.9%","±9.8","N","N","N","N","N","N","18,534,191","±40,253","1,342,054","±18,976","7.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","±17,678","64,782","±4,656","10.6%","±0.7"
