"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!With a disability!!Estimate","Ascension Parish, Louisiana!!With a disability!!Margin of Error","Ascension Parish, Louisiana!!Percent with a disability!!Estimate","Ascension Parish, Louisiana!!Percent with a disability!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!With a disability!!Estimate","Bossier Parish, Louisiana!!With a disability!!Margin of Error","Bossier Parish, Louisiana!!Percent with a disability!!Estimate","Bossier Parish, Louisiana!!Percent with a disability!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!With a disability!!Estimate","Caddo Parish, Louisiana!!With a disability!!Margin of Error","Caddo Parish, Louisiana!!Percent with a disability!!Estimate","Caddo Parish, Louisiana!!Percent with a disability!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!With a disability!!Estimate","Calcasieu Parish, Louisiana!!With a disability!!Margin of Error","Calcasieu Parish, Louisiana!!Percent with a disability!!Estimate","Calcasieu Parish, Louisiana!!Percent with a disability!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!With a disability!!Estimate","East Baton Rouge Parish, Louisiana!!With a disability!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent with a disability!!Estimate","East Baton Rouge Parish, Louisiana!!Percent with a disability!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!With a disability!!Estimate","Iberia Parish, Louisiana!!With a disability!!Margin of Error","Iberia Parish, Louisiana!!Percent with a disability!!Estimate","Iberia Parish, Louisiana!!Percent with a disability!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!With a disability!!Estimate","Jefferson Parish, Louisiana!!With a disability!!Margin of Error","Jefferson Parish, Louisiana!!Percent with a disability!!Estimate","Jefferson Parish, Louisiana!!Percent with a disability!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!With a disability!!Estimate","Lafayette Parish, Louisiana!!With a disability!!Margin of Error","Lafayette Parish, Louisiana!!Percent with a disability!!Estimate","Lafayette Parish, Louisiana!!Percent with a disability!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!With a disability!!Estimate","Lafourche Parish, Louisiana!!With a disability!!Margin of Error","Lafourche Parish, Louisiana!!Percent with a disability!!Estimate","Lafourche Parish, Louisiana!!Percent with a disability!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!With a disability!!Estimate","Livingston Parish, Louisiana!!With a disability!!Margin of Error","Livingston Parish, Louisiana!!Percent with a disability!!Estimate","Livingston Parish, Louisiana!!Percent with a disability!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!With a disability!!Estimate","Orleans Parish, Louisiana!!With a disability!!Margin of Error","Orleans Parish, Louisiana!!Percent with a disability!!Estimate","Orleans Parish, Louisiana!!Percent with a disability!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!With a disability!!Estimate","Ouachita Parish, Louisiana!!With a disability!!Margin of Error","Ouachita Parish, Louisiana!!Percent with a disability!!Estimate","Ouachita Parish, Louisiana!!Percent with a disability!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!With a disability!!Estimate","Rapides Parish, Louisiana!!With a disability!!Margin of Error","Rapides Parish, Louisiana!!Percent with a disability!!Estimate","Rapides Parish, Louisiana!!Percent with a disability!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!With a disability!!Estimate","St. Landry Parish, Louisiana!!With a disability!!Margin of Error","St. Landry Parish, Louisiana!!Percent with a disability!!Estimate","St. Landry Parish, Louisiana!!Percent with a disability!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!With a disability!!Estimate","St. Tammany Parish, Louisiana!!With a disability!!Margin of Error","St. Tammany Parish, Louisiana!!Percent with a disability!!Estimate","St. Tammany Parish, Louisiana!!Percent with a disability!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!With a disability!!Estimate","Tangipahoa Parish, Louisiana!!With a disability!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent with a disability!!Estimate","Tangipahoa Parish, Louisiana!!Percent with a disability!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!With a disability!!Estimate","Terrebonne Parish, Louisiana!!With a disability!!Margin of Error","Terrebonne Parish, Louisiana!!Percent with a disability!!Estimate","Terrebonne Parish, Louisiana!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","125,700","±576","15,726","±2,608","12.5%","±2.1","120,369","±2,090","13,492","±2,107","11.2%","±1.8","234,809","±1,273","40,733","±4,556","17.3%","±1.9","201,255","±997","26,818","±3,184","13.3%","±1.6","437,363","±668","68,909","±5,875","15.8%","±1.3","69,044","±764","10,492","±1,957","15.2%","±2.8","429,014","±786","65,404","±4,337","15.2%","±1.0","242,029","±876","27,939","±2,925","11.5%","±1.2","96,620","±593","19,125","±2,304","19.8%","±2.4","139,918","±1,305","20,038","±3,636","14.3%","±2.6","386,840","±795","53,377","±3,386","13.8%","±0.9","147,735","±2,910","19,633","±2,262","13.3%","±1.5","126,665","±1,331","20,116","±2,430","15.9%","±1.9","80,764","±620","8,303","±1,459","10.3%","±1.8","257,277","±1,187","48,775","±5,379","19.0%","±2.1","133,399","±738","26,602","±3,425","19.9%","±2.6","109,080","±726","15,954","±2,251","14.6%","±2.1","323,120,678","±17,674","41,089,958","±115,466","12.7%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","61,803","±2,009","6,695","±1,706","10.8%","±2.7","58,353","±2,017","6,339","±1,235","10.9%","±2.1","110,149","±1,446","18,609","±2,439","16.9%","±2.2","96,457","±1,277","12,481","±1,970","12.9%","±2.0","209,338","±1,285","31,700","±4,052","15.1%","±1.9","33,351","±1,363","5,212","±1,229","15.6%","±3.8","205,708","±1,294","30,447","±2,621","14.8%","±1.3","115,944","±1,008","15,138","±2,258","13.1%","±1.9","47,094","±1,121","8,512","±1,272","18.1%","±2.5","68,060","±1,674","11,198","±2,422","16.5%","±3.6","182,572","±721","24,882","±2,511","13.6%","±1.4","68,366","±2,834","9,351","±1,498","13.7%","±2.0","61,043","±1,324","10,110","±1,911","16.6%","±3.1","39,371","±812","4,218","±837","10.7%","±2.1","123,598","±1,543","20,822","±2,259","16.8%","±1.9","64,579","±1,360","12,915","±2,397","20.0%","±3.8","52,439","±1,865","8,295","±1,495","15.8%","±2.8","157,833,027","±41,074","19,901,988","±72,503","12.6%","±0.1"
"        Female","63,897","±1,943","9,031","±1,965","14.1%","±3.2","62,016","±1,568","7,153","±1,632","11.5%","±2.6","124,660","±1,075","22,124","±3,268","17.7%","±2.6","104,798","±888","14,337","±2,195","13.7%","±2.1","228,025","±1,314","37,209","±4,044","16.3%","±1.8","35,693","±1,182","5,280","±1,283","14.8%","±3.5","223,306","±1,142","34,957","±3,135","15.7%","±1.4","126,085","±744","12,801","±2,113","10.2%","±1.7","49,526","±975","10,613","±1,919","21.4%","±3.9","71,858","±1,447","8,840","±2,137","12.3%","±3.0","204,268","±691","28,495","±2,320","13.9%","±1.1","79,369","±583","10,282","±1,617","13.0%","±2.0","65,622","±625","10,006","±1,670","15.2%","±2.5","41,393","±638","4,085","±1,103","9.9%","±2.7","133,679","±1,149","27,953","±3,950","20.9%","±2.9","68,820","±1,086","13,687","±2,414","19.9%","±3.5","56,641","±1,713","7,659","±1,618","13.5%","±2.8","165,287,651","±36,898","21,187,970","±68,127","12.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","88,120","±1,975","10,545","±1,563","12.0%","±1.7","85,759","±1,580","10,667","±1,898","12.4%","±2.2","107,671","±1,609","21,687","±2,849","20.1%","±2.6","140,736","±1,299","19,322","±2,156","13.7%","±1.5","201,137","±2,570","27,711","±3,879","13.8%","±1.9","41,196","±949","6,971","±1,377","16.9%","±3.4","270,483","±4,474","40,312","±2,994","14.9%","±1.1","167,346","±1,353","18,877","±2,338","11.3%","±1.4","77,733","±972","16,010","±2,077","20.6%","±2.7","125,159","±1,909","18,534","±3,381","14.8%","±2.7","131,304","±2,740","12,845","±1,614","9.8%","±1.2","85,499","±2,698","12,414","±1,789","14.5%","±2.1","80,340","±838","12,125","±2,011","15.1%","±2.5","45,518","±449","5,498","±1,185","12.1%","±2.6","212,076","±2,796","40,393","±4,463","19.0%","±2.1","88,537","±1,659","17,152","±2,708","19.4%","±3.1","76,759","±1,343","11,954","±1,796","15.6%","±2.3","233,212,096","±100,367","30,878,182","±102,831","13.2%","±0.1"
"        Black or African American alone","30,532","±1,999","4,964","±2,058","16.3%","±6.5","28,028","±1,303","2,558","±932","9.1%","±3.3","117,759","±1,226","17,758","±3,293","15.1%","±2.8","49,958","±1,742","6,290","±2,101","12.6%","±4.2","205,817","±1,542","38,672","±5,177","18.8%","±2.5","22,511","±1,050","2,947","±848","13.1%","±3.9","115,867","±2,274","19,496","±2,702","16.8%","±2.3","64,397","±1,540","8,324","±1,821","12.9%","±2.8","13,685","±693","1,839","±820","13.4%","±6.1","9,042","±2,255","852","±503","9.4%","±6.1","227,698","±1,714","38,120","±3,376","16.7%","±1.5","54,784","±1,599","6,883","±1,397","12.6%","±2.5","39,936","±1,756","6,826","±1,298","17.1%","±3.2","33,963","±759","2,602","±648","7.7%","±1.9","33,121","±1,963","7,133","±1,936","21.5%","±5.9","40,353","±2,772","8,808","±1,957","21.8%","±4.9","20,894","±969","2,479","±1,113","11.9%","±5.4","40,702,085","±78,149","5,743,213","±49,644","14.1%","±0.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,290","±591","365","±321","15.9%","±13.2","N","N","N","N","N","N","1,857","±508","499","±363","26.9%","±20.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,777,677","±33,436","477,954","±11,142","17.2%","±0.4"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","19,545","±552","1,740","±653","8.9%","±3.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,933","±404","1,030","±331","9.4%","±3.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,616","±973","197","±188","5.4%","±4.8","N","N","N","N","N","N","N","N","N","N","N","N","18,534,191","±40,253","1,342,054","±18,976","7.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","±17,678","64,782","±4,656","10.6%","±0.7"
