"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!With a disability!!Estimate","Canadian County, Oklahoma!!With a disability!!Margin of Error","Canadian County, Oklahoma!!Percent with a disability!!Estimate","Canadian County, Oklahoma!!Percent with a disability!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!With a disability!!Estimate","Cleveland County, Oklahoma!!With a disability!!Margin of Error","Cleveland County, Oklahoma!!Percent with a disability!!Estimate","Cleveland County, Oklahoma!!Percent with a disability!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!With a disability!!Estimate","Comanche County, Oklahoma!!With a disability!!Margin of Error","Comanche County, Oklahoma!!Percent with a disability!!Estimate","Comanche County, Oklahoma!!Percent with a disability!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!With a disability!!Estimate","Creek County, Oklahoma!!With a disability!!Margin of Error","Creek County, Oklahoma!!Percent with a disability!!Estimate","Creek County, Oklahoma!!Percent with a disability!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!With a disability!!Estimate","Muskogee County, Oklahoma!!With a disability!!Margin of Error","Muskogee County, Oklahoma!!Percent with a disability!!Estimate","Muskogee County, Oklahoma!!Percent with a disability!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!With a disability!!Estimate","Oklahoma County, Oklahoma!!With a disability!!Margin of Error","Oklahoma County, Oklahoma!!Percent with a disability!!Estimate","Oklahoma County, Oklahoma!!Percent with a disability!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!With a disability!!Estimate","Payne County, Oklahoma!!With a disability!!Margin of Error","Payne County, Oklahoma!!Percent with a disability!!Estimate","Payne County, Oklahoma!!Percent with a disability!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!With a disability!!Estimate","Pottawatomie County, Oklahoma!!With a disability!!Margin of Error","Pottawatomie County, Oklahoma!!Percent with a disability!!Estimate","Pottawatomie County, Oklahoma!!Percent with a disability!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!With a disability!!Estimate","Rogers County, Oklahoma!!With a disability!!Margin of Error","Rogers County, Oklahoma!!Percent with a disability!!Estimate","Rogers County, Oklahoma!!Percent with a disability!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!With a disability!!Estimate","Tulsa County, Oklahoma!!With a disability!!Margin of Error","Tulsa County, Oklahoma!!Percent with a disability!!Estimate","Tulsa County, Oklahoma!!Percent with a disability!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!With a disability!!Estimate","Wagoner County, Oklahoma!!With a disability!!Margin of Error","Wagoner County, Oklahoma!!Percent with a disability!!Estimate","Wagoner County, Oklahoma!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","146,012","±973","21,197","±2,387","14.5%","±1.6","278,119","±1,335","37,310","±2,664","13.4%","±1.0","106,861","±2,059","21,704","±2,442","20.3%","±2.4","70,760","±382","11,057","±1,062","15.6%","±1.5","65,051","±686","12,785","±1,171","19.7%","±1.8","785,041","±1,740","109,280","±5,238","13.9%","±0.7","80,165","±637","11,056","±1,654","13.8%","±2.1","70,658","±891","11,857","±1,245","16.8%","±1.7","91,324","±756","14,588","±1,265","16.0%","±1.4","646,052","±1,292","78,915","±3,075","12.2%","±0.5","80,967","±224","12,606","±1,116","15.6%","±1.4","323,120,678","±17,674","41,089,958","±115,466","12.7%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","71,328","±1,242","9,785","±1,629","13.7%","±2.3","136,832","±1,542","18,039","±2,061","13.2%","±1.5","51,956","±1,980","11,215","±1,560","21.6%","±3.1","34,876","±520","5,273","±753","15.1%","±2.1","31,670","±663","6,088","±795","19.2%","±2.5","380,878","±1,784","53,589","±3,452","14.1%","±0.9","39,483","±988","5,547","±1,160","14.0%","±3.0","34,494","±576","5,912","±778","17.1%","±2.2","44,960","±748","7,291","±988","16.2%","±2.2","315,321","±1,232","38,511","±1,992","12.2%","±0.6","40,352","±375","6,654","±743","16.5%","±1.8","157,833,027","±41,074","19,901,988","±72,503","12.6%","±0.1"
"        Female","74,684","±1,123","11,412","±1,718","15.3%","±2.3","141,287","±767","19,271","±1,909","13.6%","±1.4","54,905","±1,225","10,489","±1,948","19.1%","±3.7","35,884","±433","5,784","±634","16.1%","±1.8","33,381","±585","6,697","±741","20.1%","±2.3","404,163","±1,036","55,691","±3,587","13.8%","±0.9","40,682","±798","5,509","±1,189","13.5%","±2.9","36,164","±943","5,945","±906","16.4%","±2.5","46,364","±338","7,297","±699","15.7%","±1.5","330,731","±657","40,404","±2,069","12.2%","±0.6","40,615","±372","5,952","±837","14.7%","±2.1","165,287,651","±36,898","21,187,970","±68,127","12.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","119,535","±1,683","17,352","±2,130","14.5%","±1.8","217,209","±2,364","30,590","±2,207","14.1%","±1.1","67,033","±2,868","14,064","±2,009","21.0%","±3.1","55,732","±613","9,091","±841","16.3%","±1.5","37,290","±923","8,717","±1,089","23.4%","±2.9","543,284","±5,429","80,836","±4,348","14.9%","±0.8","63,726","±815","8,820","±1,373","13.8%","±2.2","54,020","±633","9,371","±1,091","17.3%","±2.0","68,137","±865","10,590","±1,032","15.5%","±1.5","453,298","±3,284","57,515","±2,757","12.7%","±0.6","60,082","±758","9,581","±1,018","15.9%","±1.7","233,212,096","±100,367","30,878,182","±102,831","13.2%","±0.1"
"        Black or African American alone","N","N","N","N","N","N","12,736","±2,003","1,224","±548","9.6%","±4.6","16,910","±3,054","3,544","±1,230","21.0%","±7.1","1,553","±336","332","±218","21.4%","±14.4","6,693","±464","1,159","±372","17.3%","±5.9","116,720","±4,102","16,858","±2,260","14.4%","±2.0","N","N","N","N","N","N","2,268","±297","328","±185","14.5%","±8.1","N","N","N","N","N","N","64,068","±2,325","8,288","±1,038","12.9%","±1.6","2,959","±351","772","±256","26.1%","±8.7","40,702,085","±78,149","5,743,213","±49,644","14.1%","±0.1"
"        American Indian and Alaska Native alone","6,938","±1,514","964","±446","13.9%","±6.1","12,322","±1,604","1,840","±581","14.9%","±4.2","5,487","±1,410","1,015","±456","18.5%","±9.3","9,245","±743","1,042","±503","11.3%","±5.6","11,520","±1,454","1,319","±419","11.4%","±3.6","25,706","±2,421","4,006","±846","15.6%","±3.6","3,116","±776","487","±283","15.6%","±7.9","10,002","±1,010","1,627","±473","16.3%","±5.0","12,009","±1,037","2,112","±545","17.6%","±4.2","35,107","±2,380","4,415","±828","12.6%","±2.3","7,712","±1,103","1,371","±428","17.8%","±5.6","2,777,677","±33,436","477,954","±11,142","17.2%","±0.4"
"        Asian alone","5,008","±498","946","±699","18.9%","±14.0","13,178","±1,072","946","±574","7.2%","±4.3","2,617","±755","391","±180","14.9%","±8.7","N","N","N","N","N","N","N","N","N","N","N","N","28,083","±1,488","1,691","±705","6.0%","±2.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23,436","±1,057","1,322","±421","5.6%","±1.8","N","N","N","N","N","N","18,534,191","±40,253","1,342,054","±18,976","7.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","±17,678","64,782","±4,656","10.6%","±0.7"
