"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!With a disability!!Estimate","Aiken County, South Carolina!!With a disability!!Margin of Error","Aiken County, South Carolina!!Percent with a disability!!Estimate","Aiken County, South Carolina!!Percent with a disability!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!With a disability!!Estimate","Anderson County, South Carolina!!With a disability!!Margin of Error","Anderson County, South Carolina!!Percent with a disability!!Estimate","Anderson County, South Carolina!!Percent with a disability!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!With a disability!!Estimate","Beaufort County, South Carolina!!With a disability!!Margin of Error","Beaufort County, South Carolina!!Percent with a disability!!Estimate","Beaufort County, South Carolina!!Percent with a disability!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!With a disability!!Estimate","Berkeley County, South Carolina!!With a disability!!Margin of Error","Berkeley County, South Carolina!!Percent with a disability!!Estimate","Berkeley County, South Carolina!!Percent with a disability!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!With a disability!!Estimate","Charleston County, South Carolina!!With a disability!!Margin of Error","Charleston County, South Carolina!!Percent with a disability!!Estimate","Charleston County, South Carolina!!Percent with a disability!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!With a disability!!Estimate","Darlington County, South Carolina!!With a disability!!Margin of Error","Darlington County, South Carolina!!Percent with a disability!!Estimate","Darlington County, South Carolina!!Percent with a disability!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!With a disability!!Estimate","Dorchester County, South Carolina!!With a disability!!Margin of Error","Dorchester County, South Carolina!!Percent with a disability!!Estimate","Dorchester County, South Carolina!!Percent with a disability!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!With a disability!!Estimate","Florence County, South Carolina!!With a disability!!Margin of Error","Florence County, South Carolina!!Percent with a disability!!Estimate","Florence County, South Carolina!!Percent with a disability!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!With a disability!!Estimate","Greenville County, South Carolina!!With a disability!!Margin of Error","Greenville County, South Carolina!!Percent with a disability!!Estimate","Greenville County, South Carolina!!Percent with a disability!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!With a disability!!Estimate","Greenwood County, South Carolina!!With a disability!!Margin of Error","Greenwood County, South Carolina!!Percent with a disability!!Estimate","Greenwood County, South Carolina!!Percent with a disability!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!With a disability!!Estimate","Horry County, South Carolina!!With a disability!!Margin of Error","Horry County, South Carolina!!Percent with a disability!!Estimate","Horry County, South Carolina!!Percent with a disability!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!With a disability!!Estimate","Kershaw County, South Carolina!!With a disability!!Margin of Error","Kershaw County, South Carolina!!Percent with a disability!!Estimate","Kershaw County, South Carolina!!Percent with a disability!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!With a disability!!Estimate","Lancaster County, South Carolina!!With a disability!!Margin of Error","Lancaster County, South Carolina!!Percent with a disability!!Estimate","Lancaster County, South Carolina!!Percent with a disability!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!With a disability!!Estimate","Laurens County, South Carolina!!With a disability!!Margin of Error","Laurens County, South Carolina!!Percent with a disability!!Estimate","Laurens County, South Carolina!!Percent with a disability!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!With a disability!!Estimate","Lexington County, South Carolina!!With a disability!!Margin of Error","Lexington County, South Carolina!!Percent with a disability!!Estimate","Lexington County, South Carolina!!Percent with a disability!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!With a disability!!Estimate","Oconee County, South Carolina!!With a disability!!Margin of Error","Oconee County, South Carolina!!Percent with a disability!!Estimate","Oconee County, South Carolina!!Percent with a disability!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!With a disability!!Estimate","Orangeburg County, South Carolina!!With a disability!!Margin of Error","Orangeburg County, South Carolina!!Percent with a disability!!Estimate","Orangeburg County, South Carolina!!Percent with a disability!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!With a disability!!Estimate","Pickens County, South Carolina!!With a disability!!Margin of Error","Pickens County, South Carolina!!Percent with a disability!!Estimate","Pickens County, South Carolina!!Percent with a disability!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!With a disability!!Estimate","Richland County, South Carolina!!With a disability!!Margin of Error","Richland County, South Carolina!!Percent with a disability!!Estimate","Richland County, South Carolina!!Percent with a disability!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!With a disability!!Estimate","Spartanburg County, South Carolina!!With a disability!!Margin of Error","Spartanburg County, South Carolina!!Percent with a disability!!Estimate","Spartanburg County, South Carolina!!Percent with a disability!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!With a disability!!Estimate","Sumter County, South Carolina!!With a disability!!Margin of Error","Sumter County, South Carolina!!Percent with a disability!!Estimate","Sumter County, South Carolina!!Percent with a disability!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!With a disability!!Estimate","York County, South Carolina!!With a disability!!Margin of Error","York County, South Carolina!!Percent with a disability!!Estimate","York County, South Carolina!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","168,485","±1,355","22,916","±2,870","13.6%","±1.7","201,202","±688","34,962","±3,885","17.4%","±1.9","186,973","±1,368","24,761","±3,162","13.2%","±1.7","221,340","±1,685","30,046","±3,186","13.6%","±1.5","402,304","±2,172","41,016","±3,448","10.2%","±0.9","65,906","±469","10,289","±1,964","15.6%","±3.0","160,330","±924","21,956","±3,241","13.7%","±2.0","136,552","±817","15,271","±1,814","11.2%","±1.3","519,099","±1,085","67,016","±4,016","12.9%","±0.8","69,415","±487","8,462","±1,403","12.2%","±2.0","352,674","±907","57,453","±3,901","16.3%","±1.1","65,902","±397","10,969","±1,676","16.6%","±2.5","96,034","±763","14,359","±2,146","15.0%","±2.2","66,373","±615","12,888","±1,825","19.4%","±2.7","296,193","±1,062","39,525","±3,032","13.3%","±1.0","78,693","±495","15,240","±2,362","19.4%","±3.0","85,308","±676","12,325","±1,745","14.4%","±2.0","126,046","±299","19,571","±2,602","15.5%","±2.1","390,435","±2,850","56,168","±4,001","14.4%","±1.0","315,591","±1,204","49,290","±3,517","15.6%","±1.1","101,370","±1,345","13,096","±1,694","12.9%","±1.7","279,159","±1,074","27,060","±2,642","9.7%","±0.9","323,120,678","±17,674","41,089,958","±115,466","12.7%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","79,306","±1,533","12,016","±2,191","15.2%","±2.8","96,017","±1,176","17,068","±2,367","17.8%","±2.4","89,053","±1,726","11,956","±1,944","13.4%","±2.1","108,252","±1,944","14,476","±2,209","13.4%","±2.1","191,886","±2,115","19,075","±2,448","9.9%","±1.3","31,514","±1,268","4,659","±1,149","14.8%","±3.6","76,481","±1,571","11,314","±1,960","14.8%","±2.5","63,834","±1,016","6,978","±1,366","10.9%","±2.1","251,038","±1,056","34,709","±3,134","13.8%","±1.2","32,821","±1,151","4,168","±969","12.7%","±3.0","168,903","±1,785","28,927","±2,617","17.1%","±1.6","31,092","±626","5,148","±1,255","16.6%","±4.0","44,089","±1,854","6,396","±1,518","14.5%","±3.4","32,838","±836","5,616","±1,107","17.1%","±3.4","142,500","±1,106","18,691","±1,891","13.1%","±1.3","38,199","±1,108","8,183","±1,366","21.4%","±3.7","39,666","±1,096","5,327","±928","13.4%","±2.4","62,166","±721","8,977","±1,659","14.4%","±2.6","182,157","±2,566","26,200","±2,604","14.4%","±1.4","152,123","±1,310","20,767","±2,326","13.7%","±1.5","47,796","±1,630","5,941","±1,291","12.4%","±2.7","133,917","±1,384","13,554","±1,911","10.1%","±1.4","157,833,027","±41,074","19,901,988","±72,503","12.6%","±0.1"
"        Female","89,179","±1,143","10,900","±1,668","12.2%","±1.9","105,185","±1,122","17,894","±2,223","17.0%","±2.1","97,920","±1,262","12,805","±1,961","13.1%","±2.0","113,088","±1,251","15,570","±1,919","13.8%","±1.7","210,418","±1,621","21,941","±2,789","10.4%","±1.3","34,392","±1,263","5,630","±1,447","16.4%","±4.2","83,849","±1,361","10,642","±2,068","12.7%","±2.5","72,718","±665","8,293","±1,364","11.4%","±1.9","268,061","±747","32,307","±2,640","12.1%","±1.0","36,594","±1,118","4,294","±921","11.7%","±2.5","183,771","±1,507","28,526","±2,746","15.5%","±1.5","34,810","±633","5,821","±949","16.7%","±2.7","51,945","±1,714","7,963","±1,856","15.3%","±3.6","33,535","±919","7,272","±1,390","21.7%","±4.0","153,693","±1,205","20,834","±2,110","13.6%","±1.4","40,494","±1,051","7,057","±1,637","17.4%","±4.0","45,642","±946","6,998","±1,471","15.3%","±3.2","63,880","±708","10,594","±1,516","16.6%","±2.4","208,278","±2,412","29,968","±2,629","14.4%","±1.2","163,468","±1,053","28,523","±2,714","17.4%","±1.7","53,574","±1,122","7,155","±1,110","13.4%","±2.1","145,242","±1,066","13,506","±1,775","9.3%","±1.2","165,287,651","±36,898","21,187,970","±68,127","12.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","118,616","±1,946","16,609","±2,232","14.0%","±1.9","159,891","±1,590","27,523","±3,040","17.2%","±1.9","136,866","±3,425","16,497","±2,207","12.1%","±1.6","142,024","±2,934","19,640","±2,592","13.8%","±1.8","271,606","±2,382","24,511","±2,777","9.0%","±1.0","37,163","±1,127","6,450","±1,221","17.4%","±3.3","107,968","±2,224","13,791","±2,358","12.8%","±2.2","72,257","±1,640","8,319","±1,195","11.5%","±1.7","376,358","±4,079","48,541","±3,571","12.9%","±0.9","45,596","±410","6,295","±1,136","13.8%","±2.5","287,170","±3,727","49,113","±3,174","17.1%","±1.1","45,468","±481","7,821","±1,292","17.2%","±2.8","72,566","±1,259","10,389","±1,676","14.3%","±2.4","45,912","±1,067","9,276","±1,588","20.2%","±3.4","232,967","±2,520","32,406","±2,719","13.9%","±1.2","68,692","±1,018","13,456","±2,244","19.6%","±3.3","30,439","±518","5,295","±1,166","17.4%","±3.9","110,040","±872","17,035","±2,254","15.5%","±2.0","167,573","±2,749","19,585","±2,607","11.7%","±1.5","230,937","±2,428","36,044","±2,708","15.6%","±1.2","46,152","±1,484","7,353","±1,213","15.9%","±2.6","207,011","±2,574","22,087","±2,294","10.7%","±1.1","233,212,096","±100,367","30,878,182","±102,831","13.2%","±0.1"
"        Black or African American alone","44,568","±2,317","5,542","±1,400","12.4%","±3.3","29,565","±1,555","6,236","±2,274","21.1%","±7.8","31,615","±1,597","6,880","±2,120","21.8%","±6.7","54,116","±1,750","8,001","±1,589","14.8%","±3.0","99,258","±3,444","14,166","±2,082","14.3%","±2.1","27,452","±1,318","3,637","±1,337","13.2%","±4.8","37,538","±3,983","6,010","±1,471","16.0%","±3.9","59,851","±878","6,368","±1,159","10.6%","±1.9","88,322","±2,831","13,926","±2,237","15.8%","±2.6","22,801","±639","2,167","±699","9.5%","±3.1","44,336","±1,978","6,752","±1,545","15.2%","±3.5","18,067","±1,682","3,148","±965","17.4%","±5.5","18,620","±2,089","3,932","±1,433","21.1%","±8.1","14,452","±1,415","3,070","±789","21.2%","±5.4","43,406","±1,462","5,158","±1,145","11.9%","±2.6","5,157","±402","1,178","±666","22.8%","±12.1","52,792","±1,558","6,748","±1,282","12.8%","±2.4","9,352","±458","2,162","±767","23.1%","±8.0","191,390","±2,748","32,032","±3,566","16.7%","±1.8","64,168","±1,565","11,589","±1,741","18.1%","±2.8","48,789","±2,028","5,563","±1,379","11.4%","±2.8","53,129","±1,401","3,866","±957","7.3%","±1.8","40,702,085","±78,149","5,743,213","±49,644","14.1%","±0.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,468","±486","311","±217","12.6%","±8.7","2,777,677","±33,436","477,954","±11,142","17.2%","±0.4"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,228","±995","512","±323","9.8%","±5.3","7,248","±871","592","±334","8.2%","±4.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","13,347","±987","1,244","±700","9.3%","±5.2","N","N","N","N","N","N","5,426","±504","242","±235","4.5%","±4.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,588","±1,013","1,224","±708","10.6%","±6.0","8,300","±471","821","±540","9.9%","±6.5","N","N","N","N","N","N","N","N","N","N","N","N","18,534,191","±40,253","1,342,054","±18,976","7.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","±17,678","64,782","±4,656","10.6%","±0.7"
