"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","DeSoto County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","DeSoto County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","DeSoto County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","DeSoto County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","DeSoto County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","DeSoto County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","DeSoto County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Forrest County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Forrest County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Forrest County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Forrest County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Forrest County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Forrest County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Forrest County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Harrison County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Harrison County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Harrison County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Harrison County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Harrison County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Harrison County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Harrison County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Hinds County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Hinds County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Hinds County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Hinds County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Hinds County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Hinds County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Hinds County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Jackson County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Jackson County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Jackson County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Jackson County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Jackson County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Jackson County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Jackson County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Jones County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Jones County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Jones County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Jones County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Jones County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Jones County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Jones County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Lauderdale County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Lauderdale County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Lee County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Lee County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Lee County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Lee County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Lee County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Lee County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Lee County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Madison County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Madison County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Madison County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Madison County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Madison County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Madison County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Madison County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Rankin County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Rankin County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Rankin County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Rankin County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Rankin County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Rankin County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Rankin County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","46,867","±1,042","2,955","±835","(X)","(X)","63","±18","42.5%","±17.4","N","N","N","N","(X)","(X)","N","N","N","N","50,340","±1,181","1,945","±903","(X)","(X)","39","±18","39.4%","±22.5","60,072","±835","3,109","±992","(X)","(X)","52","±17","42.7%","±18.4","32,794","±1,049","1,398","±728","(X)","(X)","43","±22","51.4%","±21.5","N","N","N","N","(X)","(X)","N","N","N","N","17,073","±682","899","±493","(X)","(X)","53","±29","42.4%","±28.6","20,235","±581","892","±567","(X)","(X)","44","±28","60.5%","±26.1","26,364","±782","1,366","±616","(X)","(X)","52","±23","38.8%","±25.3","37,815","±1,023","1,272","±746","(X)","(X)","34","±20","20.2%","±22.0","76,879,571","±47,490","3,877,882","±31,847","(X)","(X)","50","±1","32.8%","±0.5"
"    15 to 19 years","6,073","±1,011","244","±263","8.3%","±8.6","40","±42","53.7%","±51.0","N","N","N","N","N","N","N","N","N","N","7,301","±1,129","0","±226","0.0%","±10.3","0","±29","-","**","8,808","±527","84","±152","2.7%","±5.2","10","±17","100.0%","±82.7","4,177","±779","0","±226","0.0%","±14.1","0","±50","-","**","N","N","N","N","N","N","N","N","N","N","3,592","±786","145","±191","16.1%","±19.4","40","±51","100.0%","±63.0","2,404","±827","0","±226","0.0%","±21.0","0","±85","-","**","3,198","±682","0","±226","0.0%","±14.4","0","±64","-","**","4,229","±940","0","±226","0.0%","±15.3","0","±49","-","**","10,449,871","±27,410","110,459","±6,740","2.8%","±0.2","11","±1","86.4%","±2.1"
"    20 to 34 years","18,097","±747","2,121","±729","71.8%","±11.7","117","±40","53.1%","±21.9","N","N","N","N","N","N","N","N","N","N","21,152","±1,264","1,237","±568","63.6%","±23.7","58","±26","22.8%","±21.0","26,991","±409","2,808","±992","90.3%","±7.7","104","±37","43.3%","±20.0","12,318","±959","1,332","±711","95.3%","±9.2","108","±58","48.9%","±22.5","N","N","N","N","N","N","N","N","N","N","6,134","±1,178","544","±387","60.5%","±27.9","89","±64","43.4%","±34.0","8,083","±832","767","±539","86.0%","±20.5","95","±65","59.8%","±29.3","11,050","±472","902","±415","66.0%","±22.5","82","±38","24.5%","±24.9","15,687","±1,069","1,065","±696","83.7%","±20.1","68","±44","24.1%","±26.5","32,933,396","±29,410","2,773,193","±28,655","71.5%","±0.4","84","±1","34.9%","±0.6"
"    35 to 50 years","22,697","±866","590","±328","20.0%","±10.6","26","±14","0.0%","±29.4","N","N","N","N","N","N","N","N","N","N","21,887","±1,026","708","±645","36.4%","±23.7","32","±30","68.4%","±37.4","24,273","±801","217","±167","7.0%","±5.7","9","±7","12.9%","±23.9","16,299","±1,171","66","±128","4.7%","±9.2","4","±8","100.0%","±93.3","N","N","N","N","N","N","N","N","N","N","7,347","±994","210","±262","23.4%","±26.9","29","±35","0.0%","±52.3","9,748","±614","125","±192","14.0%","±20.5","13","±19","64.8%","±56.7","12,116","±431","464","±428","34.0%","±22.5","38","±35","66.6%","±42.6","17,899","±1,106","207","±269","16.3%","±20.1","12","±15","0.0%","±52.7","33,496,304","±37,663","994,230","±18,203","25.6%","±0.4","30","±1","20.9%","±0.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","74,179,173","±60,015","3,743,194","±29,640","96.5%","±0.2","50","±1","32.5%","±0.5"
"            White","28,183","±702","2,090","±766","70.7%","±14.4","74","±27","33.4%","±19.2","11,447","±597","332","±350","N","N","29","±30","60.2%","±53.2","30,790","±678","775","±513","39.8%","±21.9","25","±17","0.0%","±23.7","12,385","±592","834","±451","26.8%","±13.3","67","±37","12.6%","±17.4","22,588","±907","774","±451","55.4%","±22.0","34","±20","12.1%","±20.5","9,705","±444","84","±153","N","N","9","±16","0.0%","±82.7","8,212","±468","566","±382","63.0%","±26.7","69","±47","8.5%","±19.5","12,081","±235","631","±442","70.7%","±26.6","52","±37","44.2%","±33.2","13,509","±430","769","±396","56.3%","±24.4","57","±30","0.0%","±23.8","27,054","±864","1,024","±670","80.5%","±22.5","38","±25","4.0%","±7.5","52,648,175","±49,905","2,628,122","±24,041","67.8%","±0.5","50","±1","26.8%","±0.5"
"            Black or African American","16,432","±1,022","589","±398","19.9%","±12.5","36","±24","83.2%","±26.6","N","N","N","N","N","N","N","N","N","N","15,869","±1,148","861","±609","44.3%","±22.6","54","±38","89.0%","±21.7","46,083","±779","2,275","±896","73.2%","±13.3","49","±19","53.8%","±21.7","7,849","±820","624","±501","44.6%","±22.0","80","±64","100.0%","±28.2","5,487","±500","713","±629","N","N","130","±116","100.0%","±25.3","8,695","±550","333","±299","37.0%","±26.7","38","±34","100.0%","±41.6","6,705","±628","261","±302","29.3%","±26.6","39","±44","100.0%","±46.9","11,466","±723","530","±470","38.8%","±25.3","46","±41","100.0%","±31.8","9,050","±602","216","±305","17.0%","±21.8","24","±34","100.0%","±51.6","10,908,109","±36,892","567,631","±17,150","14.6%","±0.4","52","±2","62.9%","±1.5"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","708,275","±12,660","35,367","±3,250","0.9%","±0.1","50","±4","58.9%","±4.0"
"            Asian","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,281,751","±17,006","252,552","±7,950","6.5%","±0.2","48","±1","10.0%","±1.1"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","172,393","±7,116","10,025","±2,004","0.3%","±0.1","58","±11","50.5%","±9.9"
"            Some other race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,460,470","±44,318","249,497","±9,284","6.4%","±0.2","56","±2","41.1%","±2.0"
