"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!Public Coverage!!Estimate","Ascension Parish, Louisiana!!Public Coverage!!Margin of Error","Ascension Parish, Louisiana!!Percent Public Coverage!!Estimate","Ascension Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!Public Coverage!!Estimate","Bossier Parish, Louisiana!!Public Coverage!!Margin of Error","Bossier Parish, Louisiana!!Percent Public Coverage!!Estimate","Bossier Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!Public Coverage!!Estimate","Caddo Parish, Louisiana!!Public Coverage!!Margin of Error","Caddo Parish, Louisiana!!Percent Public Coverage!!Estimate","Caddo Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!Public Coverage!!Estimate","Calcasieu Parish, Louisiana!!Public Coverage!!Margin of Error","Calcasieu Parish, Louisiana!!Percent Public Coverage!!Estimate","Calcasieu Parish, Louisiana!!Percent Public Coverage!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!Public Coverage!!Estimate","East Baton Rouge Parish, Louisiana!!Public Coverage!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent Public Coverage!!Estimate","East Baton Rouge Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!Public Coverage!!Estimate","Iberia Parish, Louisiana!!Public Coverage!!Margin of Error","Iberia Parish, Louisiana!!Percent Public Coverage!!Estimate","Iberia Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!Public Coverage!!Estimate","Jefferson Parish, Louisiana!!Public Coverage!!Margin of Error","Jefferson Parish, Louisiana!!Percent Public Coverage!!Estimate","Jefferson Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!Public Coverage!!Estimate","Lafayette Parish, Louisiana!!Public Coverage!!Margin of Error","Lafayette Parish, Louisiana!!Percent Public Coverage!!Estimate","Lafayette Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!Public Coverage!!Estimate","Lafourche Parish, Louisiana!!Public Coverage!!Margin of Error","Lafourche Parish, Louisiana!!Percent Public Coverage!!Estimate","Lafourche Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!Public Coverage!!Estimate","Livingston Parish, Louisiana!!Public Coverage!!Margin of Error","Livingston Parish, Louisiana!!Percent Public Coverage!!Estimate","Livingston Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!Public Coverage!!Estimate","Orleans Parish, Louisiana!!Public Coverage!!Margin of Error","Orleans Parish, Louisiana!!Percent Public Coverage!!Estimate","Orleans Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!Public Coverage!!Estimate","Ouachita Parish, Louisiana!!Public Coverage!!Margin of Error","Ouachita Parish, Louisiana!!Percent Public Coverage!!Estimate","Ouachita Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!Public Coverage!!Estimate","Rapides Parish, Louisiana!!Public Coverage!!Margin of Error","Rapides Parish, Louisiana!!Percent Public Coverage!!Estimate","Rapides Parish, Louisiana!!Percent Public Coverage!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!Public Coverage!!Estimate","St. Landry Parish, Louisiana!!Public Coverage!!Margin of Error","St. Landry Parish, Louisiana!!Percent Public Coverage!!Estimate","St. Landry Parish, Louisiana!!Percent Public Coverage!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!Public Coverage!!Estimate","St. Tammany Parish, Louisiana!!Public Coverage!!Margin of Error","St. Tammany Parish, Louisiana!!Percent Public Coverage!!Estimate","St. Tammany Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!Public Coverage!!Estimate","Tangipahoa Parish, Louisiana!!Public Coverage!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent Public Coverage!!Estimate","Tangipahoa Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!Public Coverage!!Estimate","Terrebonne Parish, Louisiana!!Public Coverage!!Margin of Error","Terrebonne Parish, Louisiana!!Percent Public Coverage!!Estimate","Terrebonne Parish, Louisiana!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"Civilian noninstitutionalized population","125,700","±576","37,563","±5,447","29.9%","±4.3","120,369","±2,090","44,629","±3,693","37.1%","±3.2","234,809","±1,273","116,832","±6,452","49.8%","±2.7","201,255","±997","92,564","±5,969","46.0%","±3.0","437,363","±668","167,900","±6,833","38.4%","±1.6","69,044","±764","31,123","±2,967","45.1%","±4.2","429,014","±786","188,022","±8,561","43.8%","±2.0","242,029","±876","86,208","±7,444","35.6%","±3.1","96,620","±593","45,966","±4,013","47.6%","±4.2","139,918","±1,305","50,535","±5,749","36.1%","±4.1","386,840","±795","175,978","±6,070","45.5%","±1.6","147,735","±2,910","74,578","±4,704","50.5%","±3.0","126,665","±1,331","64,333","±4,601","50.8%","±3.6","80,764","±620","36,024","±3,348","44.6%","±4.2","257,277","±1,187","94,245","±5,390","36.6%","±2.1","133,399","±738","60,078","±4,757","45.0%","±3.6","109,080","±726","50,733","±4,112","46.5%","±3.7","323,120,678","±17,674","114,314,962","±222,364","35.4%","±0.1"
"COVERAGE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Medicare coverage alone or in combination","(X)","(X)","17,656","±1,360","14.0%","±1.1","(X)","(X)","20,740","±1,391","17.2%","±1.3","(X)","(X)","48,108","±2,149","20.5%","±0.9","(X)","(X)","34,765","±1,394","17.3%","±0.7","(X)","(X)","71,267","±2,561","16.3%","±0.6","(X)","(X)","11,123","±1,065","16.1%","±1.5","(X)","(X)","83,955","±2,572","19.6%","±0.6","(X)","(X)","36,664","±1,642","15.1%","±0.7","(X)","(X)","19,307","±1,579","20.0%","±1.6","(X)","(X)","23,215","±2,006","16.6%","±1.4","(X)","(X)","68,387","±2,347","17.7%","±0.6","(X)","(X)","29,819","±2,301","20.2%","±1.4","(X)","(X)","25,369","±1,482","20.0%","±1.2","(X)","(X)","16,967","±1,254","21.0%","±1.6","(X)","(X)","51,954","±2,077","20.2%","±0.8","(X)","(X)","24,437","±1,948","18.3%","±1.4","(X)","(X)","19,610","±1,275","18.0%","±1.2","(X)","(X)","58,327,219","±59,455","18.1%","±0.1"
"        Under 19","34,995","±987","0","±224","0.0%","±0.6","33,658","±1,023","0","±224","0.0%","±0.6","58,473","±854","314","±320","0.5%","±0.5","54,763","±1,315","157","±202","0.3%","±0.4","109,267","±1,205","225","±214","0.2%","±0.2","18,714","±733","103","±176","0.6%","±0.9","98,650","±1,303","113","±183","0.1%","±0.2","60,210","±785","0","±224","0.0%","±0.3","23,799","±603","0","±224","0.0%","±0.9","38,219","±833","309","±403","0.8%","±1.1","81,553","±1,043","513","±418","0.6%","±0.5","39,946","±980","406","±593","1.0%","±1.5","34,308","±678","296","±268","0.9%","±0.8","22,411","±665","289","±345","1.3%","±1.5","65,631","±752","166","±267","0.3%","±0.4","35,831","±1,348","0","±224","0.0%","±0.6","28,553","±986","44","±73","0.2%","±0.3","77,350,432","±52,527","475,670","±17,504","0.6%","±0.1"
"        19 to 64 years","74,570","±1,335","2,500","±1,178","3.4%","±1.6","68,964","±2,099","3,525","±1,094","5.1%","±1.6","135,041","±1,524","8,135","±1,820","6.0%","±1.4","115,802","±1,543","5,485","±1,202","4.7%","±1.0","265,463","±1,402","11,902","±2,274","4.5%","±0.9","39,550","±1,158","2,148","±650","5.4%","±1.6","254,674","±1,560","11,529","±2,397","4.5%","±0.9","149,414","±1,370","5,364","±1,408","3.6%","±0.9","57,122","±915","4,302","±1,372","7.5%","±2.4","82,944","±1,475","4,966","±1,510","6.0%","±1.8","246,084","±1,100","11,813","±2,173","4.8%","±0.9","84,673","±3,038","6,973","±2,030","8.2%","±2.3","71,619","±1,635","4,960","±1,231","6.9%","±1.7","45,080","±914","3,885","±1,036","8.6%","±2.3","146,877","±1,606","8,209","±1,872","5.6%","±1.3","78,094","±1,363","5,781","±1,671","7.4%","±2.2","64,226","±1,265","3,431","±1,083","5.3%","±1.7","192,987,829","±49,706","7,295,947","±48,655","3.8%","±0.1"
"        65 years and over","16,135","±1,109","15,156","±911","93.9%","±4.4","17,747","±603","17,215","±782","97.0%","±2.9","41,295","±768","39,659","±1,163","96.0%","±2.3","30,690","±358","29,123","±612","94.9%","±2.1","62,633","±845","59,140","±1,256","94.4%","±1.6","10,780","±674","8,872","±1,006","82.3%","±10.0","75,690","±627","72,313","±1,518","95.5%","±1.7","32,405","±729","31,300","±876","96.6%","±1.6","15,699","±629","15,005","±608","95.6%","±2.4","18,755","±633","17,940","±1,333","95.7%","±6.3","59,203","±433","56,061","±870","94.7%","±1.3","23,116","±484","22,440","±694","97.1%","±2.0","20,738","±681","20,113","±806","97.0%","±2.1","13,273","±484","12,793","±599","96.4%","±3.0","44,769","±634","43,579","±791","97.3%","±1.5","19,474","±511","18,656","±668","95.8%","±2.5","16,301","±718","16,135","±755","99.0%","±1.1","52,782,417","±26,301","50,555,602","±40,581","95.8%","±0.1"
"    Medicaid/means-tested public coverage alone or in combination","(X)","(X)","21,280","±5,242","16.9%","±4.2","(X)","(X)","25,961","±3,809","21.6%","±3.2","(X)","(X)","79,508","±6,876","33.9%","±2.9","(X)","(X)","61,331","±5,910","30.5%","±2.9","(X)","(X)","107,240","±6,593","24.5%","±1.5","(X)","(X)","21,765","±2,669","31.5%","±3.8","(X)","(X)","117,741","±8,372","27.4%","±1.9","(X)","(X)","56,829","±7,441","23.5%","±3.1","(X)","(X)","30,581","±3,709","31.7%","±3.9","(X)","(X)","31,292","±5,559","22.4%","±4.0","(X)","(X)","127,276","±5,971","32.9%","±1.5","(X)","(X)","53,423","±4,482","36.2%","±2.9","(X)","(X)","41,803","±4,373","33.0%","±3.4","(X)","(X)","22,081","±3,273","27.3%","±4.1","(X)","(X)","47,943","±4,995","18.6%","±1.9","(X)","(X)","40,598","±4,910","30.4%","±3.7","(X)","(X)","35,304","±3,981","32.4%","±3.6","(X)","(X)","64,077,172","±247,116","19.8%","±0.1"
"        Under 19","34,995","±987","11,375","±3,012","32.5%","±8.6","33,658","±1,023","11,248","±2,443","33.4%","±7.3","58,473","±854","33,367","±3,193","57.1%","±5.3","54,763","±1,315","30,946","±3,449","56.5%","±5.6","109,267","±1,205","50,981","±4,663","46.7%","±4.2","18,714","±733","11,318","±1,462","60.5%","±8.2","98,650","±1,303","54,377","±5,146","55.1%","±5.2","60,210","±785","22,483","±3,943","37.3%","±6.4","23,799","±603","12,728","±1,845","53.5%","±7.7","38,219","±833","13,014","±3,344","34.1%","±8.5","81,553","±1,043","47,401","±3,397","58.1%","±4.3","39,946","±980","22,005","±2,283","55.1%","±5.7","34,308","±678","19,679","±2,708","57.4%","±7.7","22,411","±665","10,058","±1,932","44.9%","±8.4","65,631","±752","19,297","±3,020","29.4%","±4.5","35,831","±1,348","20,081","±2,899","56.0%","±8.0","28,553","±986","18,631","±2,135","65.3%","±7.0","77,350,432","±52,527","29,101,514","±162,736","37.6%","±0.2"
"        19 to 64 years","74,570","±1,335","8,586","±2,564","11.5%","±3.5","68,964","±2,099","11,921","±2,025","17.3%","±2.9","135,041","±1,524","38,157","±4,430","28.3%","±3.3","115,802","±1,543","27,051","±3,287","23.4%","±2.9","265,463","±1,402","46,890","±4,250","17.7%","±1.6","39,550","±1,158","9,697","±1,838","24.5%","±4.7","254,674","±1,560","51,735","±4,167","20.3%","±1.6","149,414","±1,370","29,376","±5,380","19.7%","±3.6","57,122","±915","15,351","±2,707","26.9%","±4.7","82,944","±1,475","16,339","±3,354","19.7%","±4.1","246,084","±1,100","65,610","±4,206","26.7%","±1.7","84,673","±3,038","26,449","±3,173","31.2%","±3.4","71,619","±1,635","18,948","±2,476","26.5%","±3.5","45,080","±914","9,875","±2,035","21.9%","±4.5","146,877","±1,606","24,504","±3,659","16.7%","±2.5","78,094","±1,363","17,683","±2,768","22.6%","±3.5","64,226","±1,265","13,822","±2,844","21.5%","±4.4","192,987,829","±49,706","27,752,633","±101,714","14.4%","±0.1"
"        65 years and over","16,135","±1,109","1,319","±561","8.2%","±3.4","17,747","±603","2,792","±1,038","15.7%","±5.8","41,295","±768","7,984","±1,797","19.3%","±4.3","30,690","±358","3,334","±880","10.9%","±2.9","62,633","±845","9,369","±1,796","15.0%","±2.8","10,780","±674","750","±417","7.0%","±3.9","75,690","±627","11,629","±1,951","15.4%","±2.6","32,405","±729","4,970","±1,100","15.3%","±3.4","15,699","±629","2,502","±849","15.9%","±5.3","18,755","±633","1,939","±829","10.3%","±4.4","59,203","±433","14,265","±1,613","24.1%","±2.7","23,116","±484","4,969","±816","21.5%","±3.5","20,738","±681","3,176","±920","15.3%","±4.6","13,273","±484","2,148","±636","16.2%","±4.8","44,769","±634","4,142","±1,189","9.3%","±2.6","19,474","±511","2,834","±1,060","14.6%","±5.5","16,301","±718","2,851","±876","17.5%","±5.4","52,782,417","±26,301","7,223,025","±47,156","13.7%","±0.1"
