"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!Public Coverage!!Estimate","Aiken County, South Carolina!!Public Coverage!!Margin of Error","Aiken County, South Carolina!!Percent Public Coverage!!Estimate","Aiken County, South Carolina!!Percent Public Coverage!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!Public Coverage!!Estimate","Anderson County, South Carolina!!Public Coverage!!Margin of Error","Anderson County, South Carolina!!Percent Public Coverage!!Estimate","Anderson County, South Carolina!!Percent Public Coverage!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!Public Coverage!!Estimate","Beaufort County, South Carolina!!Public Coverage!!Margin of Error","Beaufort County, South Carolina!!Percent Public Coverage!!Estimate","Beaufort County, South Carolina!!Percent Public Coverage!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!Public Coverage!!Estimate","Berkeley County, South Carolina!!Public Coverage!!Margin of Error","Berkeley County, South Carolina!!Percent Public Coverage!!Estimate","Berkeley County, South Carolina!!Percent Public Coverage!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!Public Coverage!!Estimate","Charleston County, South Carolina!!Public Coverage!!Margin of Error","Charleston County, South Carolina!!Percent Public Coverage!!Estimate","Charleston County, South Carolina!!Percent Public Coverage!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!Public Coverage!!Estimate","Darlington County, South Carolina!!Public Coverage!!Margin of Error","Darlington County, South Carolina!!Percent Public Coverage!!Estimate","Darlington County, South Carolina!!Percent Public Coverage!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!Public Coverage!!Estimate","Dorchester County, South Carolina!!Public Coverage!!Margin of Error","Dorchester County, South Carolina!!Percent Public Coverage!!Estimate","Dorchester County, South Carolina!!Percent Public Coverage!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!Public Coverage!!Estimate","Florence County, South Carolina!!Public Coverage!!Margin of Error","Florence County, South Carolina!!Percent Public Coverage!!Estimate","Florence County, South Carolina!!Percent Public Coverage!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!Public Coverage!!Estimate","Greenville County, South Carolina!!Public Coverage!!Margin of Error","Greenville County, South Carolina!!Percent Public Coverage!!Estimate","Greenville County, South Carolina!!Percent Public Coverage!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!Public Coverage!!Estimate","Greenwood County, South Carolina!!Public Coverage!!Margin of Error","Greenwood County, South Carolina!!Percent Public Coverage!!Estimate","Greenwood County, South Carolina!!Percent Public Coverage!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!Public Coverage!!Estimate","Horry County, South Carolina!!Public Coverage!!Margin of Error","Horry County, South Carolina!!Percent Public Coverage!!Estimate","Horry County, South Carolina!!Percent Public Coverage!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!Public Coverage!!Estimate","Kershaw County, South Carolina!!Public Coverage!!Margin of Error","Kershaw County, South Carolina!!Percent Public Coverage!!Estimate","Kershaw County, South Carolina!!Percent Public Coverage!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!Public Coverage!!Estimate","Lancaster County, South Carolina!!Public Coverage!!Margin of Error","Lancaster County, South Carolina!!Percent Public Coverage!!Estimate","Lancaster County, South Carolina!!Percent Public Coverage!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!Public Coverage!!Estimate","Laurens County, South Carolina!!Public Coverage!!Margin of Error","Laurens County, South Carolina!!Percent Public Coverage!!Estimate","Laurens County, South Carolina!!Percent Public Coverage!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!Public Coverage!!Estimate","Lexington County, South Carolina!!Public Coverage!!Margin of Error","Lexington County, South Carolina!!Percent Public Coverage!!Estimate","Lexington County, South Carolina!!Percent Public Coverage!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!Public Coverage!!Estimate","Oconee County, South Carolina!!Public Coverage!!Margin of Error","Oconee County, South Carolina!!Percent Public Coverage!!Estimate","Oconee County, South Carolina!!Percent Public Coverage!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!Public Coverage!!Estimate","Orangeburg County, South Carolina!!Public Coverage!!Margin of Error","Orangeburg County, South Carolina!!Percent Public Coverage!!Estimate","Orangeburg County, South Carolina!!Percent Public Coverage!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!Public Coverage!!Estimate","Pickens County, South Carolina!!Public Coverage!!Margin of Error","Pickens County, South Carolina!!Percent Public Coverage!!Estimate","Pickens County, South Carolina!!Percent Public Coverage!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!Public Coverage!!Estimate","Richland County, South Carolina!!Public Coverage!!Margin of Error","Richland County, South Carolina!!Percent Public Coverage!!Estimate","Richland County, South Carolina!!Percent Public Coverage!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!Public Coverage!!Estimate","Spartanburg County, South Carolina!!Public Coverage!!Margin of Error","Spartanburg County, South Carolina!!Percent Public Coverage!!Estimate","Spartanburg County, South Carolina!!Percent Public Coverage!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!Public Coverage!!Estimate","Sumter County, South Carolina!!Public Coverage!!Margin of Error","Sumter County, South Carolina!!Percent Public Coverage!!Estimate","Sumter County, South Carolina!!Percent Public Coverage!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!Public Coverage!!Estimate","York County, South Carolina!!Public Coverage!!Margin of Error","York County, South Carolina!!Percent Public Coverage!!Estimate","York County, South Carolina!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"Civilian noninstitutionalized population","168,485","±1,355","68,453","±4,926","40.6%","±3.0","201,202","±688","73,531","±4,833","36.5%","±2.4","186,973","±1,368","78,755","±3,763","42.1%","±2.0","221,340","±1,685","72,265","±5,489","32.6%","±2.4","402,304","±2,172","112,217","±5,380","27.9%","±1.3","65,906","±469","29,145","±2,550","44.2%","±3.8","160,330","±924","46,239","±4,103","28.8%","±2.6","136,552","±817","55,367","±3,813","40.5%","±2.8","519,099","±1,085","165,120","±5,886","31.8%","±1.1","69,415","±487","30,861","±3,074","44.5%","±4.4","352,674","±907","155,621","±4,992","44.1%","±1.4","65,902","±397","21,646","±2,070","32.8%","±3.1","96,034","±763","35,616","±3,048","37.1%","±3.1","66,373","±615","28,893","±2,418","43.5%","±3.6","296,193","±1,062","100,703","±5,143","34.0%","±1.7","78,693","±495","38,121","±3,069","48.4%","±3.9","85,308","±676","41,651","±2,670","48.8%","±3.1","126,046","±299","44,670","±2,988","35.4%","±2.4","390,435","±2,850","126,447","±6,363","32.4%","±1.6","315,591","±1,204","115,172","±5,825","36.5%","±1.9","101,370","±1,345","47,281","±3,011","46.6%","±3.0","279,159","±1,074","79,872","±5,028","28.6%","±1.8","323,120,678","±17,674","114,314,962","±222,364","35.4%","±0.1"
"COVERAGE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Medicare coverage alone or in combination","(X)","(X)","37,791","±1,634","22.4%","±1.0","(X)","(X)","42,212","±1,782","21.0%","±0.9","(X)","(X)","56,119","±1,587","30.0%","±0.8","(X)","(X)","38,199","±1,556","17.3%","±0.7","(X)","(X)","74,530","±1,957","18.5%","±0.5","(X)","(X)","15,098","±1,157","22.9%","±1.7","(X)","(X)","25,897","±1,615","16.2%","±1.0","(X)","(X)","28,173","±1,470","20.6%","±1.1","(X)","(X)","93,049","±1,857","17.9%","±0.4","(X)","(X)","15,404","±1,284","22.2%","±1.8","(X)","(X)","97,972","±2,100","27.8%","±0.6","(X)","(X)","13,224","±1,342","20.1%","±2.0","(X)","(X)","22,883","±1,434","23.8%","±1.5","(X)","(X)","14,693","±892","22.1%","±1.3","(X)","(X)","54,621","±2,048","18.4%","±0.7","(X)","(X)","21,478","±1,303","27.3%","±1.6","(X)","(X)","18,600","±1,021","21.8%","±1.2","(X)","(X)","24,635","±1,429","19.5%","±1.1","(X)","(X)","60,273","±2,050","15.4%","±0.5","(X)","(X)","60,482","±2,482","19.2%","±0.8","(X)","(X)","19,457","±1,041","19.2%","±1.0","(X)","(X)","44,436","±1,204","15.9%","±0.4","(X)","(X)","58,327,219","±59,455","18.1%","±0.1"
"        Under 19","39,399","±1,084","31","±54","0.1%","±0.1","49,143","±1,103","90","±181","0.2%","±0.4","38,714","±1,618","44","±71","0.1%","±0.2","56,696","±1,008","35","±63","0.1%","±0.1","86,000","±1,182","36","±61","0.0%","±0.1","15,824","±645","200","±217","1.3%","±1.4","41,154","±392","147","±188","0.4%","±0.5","33,635","±592","0","±218","0.0%","±0.6","126,853","±947","1,016","±840","0.8%","±0.7","16,318","±1,346","173","±285","1.1%","±1.7","66,701","±892","0","±218","0.0%","±0.3","16,592","±581","172","±316","1.0%","±1.9","22,129","±545","49","±82","0.2%","±0.4","16,145","±900","87","±108","0.5%","±0.7","71,701","±900","859","±558","1.2%","±0.8","16,784","±599","307","±394","1.8%","±2.3","20,351","±870","11","±28","0.1%","±0.1","25,838","±866","94","±106","0.4%","±0.4","95,974","±2,341","590","±506","0.6%","±0.5","77,811","±874","211","±343","0.3%","±0.4","26,602","±637","57","±99","0.2%","±0.4","71,153","±897","38","±61","0.1%","±0.1","77,350,432","±52,527","475,670","±17,504","0.6%","±0.1"
"        19 to 64 years","96,433","±1,590","5,433","±1,417","5.6%","±1.5","115,644","±1,200","6,859","±1,382","5.9%","±1.2","94,854","±2,192","3,365","±1,316","3.5%","±1.4","133,234","±1,823","7,422","±1,313","5.6%","±1.0","247,929","±2,362","8,298","±1,444","3.3%","±0.6","37,480","±723","2,317","±1,194","6.2%","±3.2","95,555","±1,066","3,171","±1,031","3.3%","±1.1","79,586","±1,039","5,309","±1,334","6.7%","±1.7","309,382","±1,451","11,481","±1,755","3.7%","±0.6","39,341","±1,316","2,120","±956","5.4%","±2.4","197,993","±1,363","10,985","±1,769","5.5%","±0.9","37,100","±672","2,148","±777","5.8%","±2.1","53,409","±814","2,926","±1,371","5.5%","±2.6","38,530","±1,064","3,077","±816","8.0%","±2.1","176,956","±1,388","7,312","±1,643","4.1%","±0.9","43,187","±1,035","2,664","±979","6.2%","±2.3","47,976","±984","2,485","±771","5.2%","±1.6","78,964","±989","3,822","±1,147","4.8%","±1.5","240,195","±3,324","7,259","±1,888","3.0%","±0.8","187,116","±1,672","10,955","±2,069","5.9%","±1.1","57,226","±1,515","2,181","±854","3.8%","±1.5","166,487","±1,343","3,861","±998","2.3%","±0.6","192,987,829","±49,706","7,295,947","±48,655","3.8%","±0.1"
"        65 years and over","32,653","±576","32,327","±630","99.0%","±0.9","36,415","±808","35,263","±1,080","96.8%","±2.2","53,405","±711","52,710","±819","98.7%","±0.8","31,410","±761","30,742","±815","97.9%","±1.3","68,375","±583","66,196","±1,182","96.8%","±1.4","12,602","±261","12,581","±263","99.8%","±0.3","23,621","±734","22,579","±1,102","95.6%","±3.1","23,331","±351","22,864","±436","98.0%","±1.4","82,864","±864","80,552","±988","97.2%","±0.8","13,756","±666","13,111","±864","95.3%","±5.4","87,980","±832","86,987","±866","98.9%","±0.6","12,210","±251","10,904","±1,036","89.3%","±8.2","20,496","±301","19,908","±605","97.1%","±2.6","11,698","±340","11,529","±351","98.6%","±2.0","47,536","±1,000","46,450","±966","97.7%","±1.2","18,722","±683","18,507","±737","98.9%","±1.1","16,981","±285","16,104","±577","94.8%","±2.6","21,244","±626","20,719","±775","97.5%","±2.1","54,266","±974","52,424","±1,115","96.6%","±1.1","50,664","±863","49,316","±1,103","97.3%","±1.3","17,542","±577","17,219","±617","98.2%","±1.6","41,519","±601","40,537","±698","97.6%","±1.0","52,782,417","±26,301","50,555,602","±40,581","95.8%","±0.1"
"    Medicaid/means-tested public coverage alone or in combination","(X)","(X)","35,278","±4,765","20.9%","±2.8","(X)","(X)","36,418","±4,859","18.1%","±2.4","(X)","(X)","27,155","±3,865","14.5%","±2.1","(X)","(X)","37,388","±5,246","16.9%","±2.4","(X)","(X)","44,352","±5,394","11.0%","±1.3","(X)","(X)","17,013","±2,544","25.8%","±3.8","(X)","(X)","20,582","±3,460","12.8%","±2.2","(X)","(X)","31,873","±3,657","23.3%","±2.7","(X)","(X)","84,336","±6,107","16.2%","±1.2","(X)","(X)","16,926","±2,736","24.4%","±3.9","(X)","(X)","61,588","±5,004","17.5%","±1.4","(X)","(X)","8,771","±1,697","13.3%","±2.6","(X)","(X)","14,571","±2,766","15.2%","±2.9","(X)","(X)","16,049","±2,698","24.2%","±4.0","(X)","(X)","50,828","±4,790","17.2%","±1.6","(X)","(X)","18,934","±3,030","24.1%","±3.9","(X)","(X)","28,767","±2,736","33.7%","±3.2","(X)","(X)","23,372","±2,963","18.5%","±2.3","(X)","(X)","69,718","±6,139","17.9%","±1.6","(X)","(X)","64,013","±5,285","20.3%","±1.7","(X)","(X)","28,507","±3,058","28.1%","±3.0","(X)","(X)","38,909","±4,713","13.9%","±1.7","(X)","(X)","64,077,172","±247,116","19.8%","±0.1"
"        Under 19","39,399","±1,084","19,486","±3,072","49.5%","±7.8","49,143","±1,103","18,821","±3,298","38.3%","±6.7","38,714","±1,618","15,015","±2,382","38.8%","±5.8","56,696","±1,008","19,506","±3,377","34.4%","±5.7","86,000","±1,182","21,632","±3,831","25.2%","±4.4","15,824","±645","10,160","±1,460","64.2%","±8.6","41,154","±392","10,090","±2,561","24.5%","±6.2","33,635","±592","17,577","±2,324","52.3%","±6.9","126,853","±947","49,693","±4,022","39.2%","±3.1","16,318","±1,346","8,988","±1,842","55.1%","±8.7","66,701","±892","33,259","±3,273","49.9%","±4.8","16,592","±581","4,310","±1,234","26.0%","±7.2","22,129","±545","6,899","±2,108","31.2%","±9.6","16,145","±900","7,099","±1,398","44.0%","±8.8","71,701","±900","27,485","±3,569","38.3%","±4.9","16,784","±599","8,932","±1,811","53.2%","±10.9","20,351","±870","13,589","±2,016","66.8%","±8.9","25,838","±866","11,649","±1,432","45.1%","±5.6","95,974","±2,341","36,457","±4,217","38.0%","±4.5","77,811","±874","33,993","±3,148","43.7%","±4.0","26,602","±637","16,171","±1,996","60.8%","±7.2","71,153","±897","22,365","±3,351","31.4%","±4.7","77,350,432","±52,527","29,101,514","±162,736","37.6%","±0.2"
"        19 to 64 years","96,433","±1,590","12,083","±2,337","12.5%","±2.4","115,644","±1,200","13,407","±2,523","11.6%","±2.2","94,854","±2,192","7,613","±2,412","8.0%","±2.5","133,234","±1,823","13,369","±2,726","10.0%","±2.0","247,929","±2,362","15,586","±2,848","6.3%","±1.1","37,480","±723","5,197","±1,734","13.9%","±4.7","95,555","±1,066","7,628","±1,741","8.0%","±1.8","79,586","±1,039","10,652","±2,112","13.4%","±2.6","309,382","±1,451","24,333","±2,995","7.9%","±1.0","39,341","±1,316","5,917","±1,418","15.0%","±3.6","197,993","±1,363","21,747","±2,597","11.0%","±1.3","37,100","±672","3,145","±852","8.5%","±2.3","53,409","±814","5,758","±1,635","10.8%","±3.1","38,530","±1,064","7,364","±1,559","19.1%","±4.1","176,956","±1,388","18,010","±2,335","10.2%","±1.3","43,187","±1,035","8,141","±1,918","18.9%","±4.4","47,976","±984","9,329","±1,625","19.4%","±3.3","78,964","±989","9,008","±1,815","11.4%","±2.3","240,195","±3,324","25,205","±3,268","10.5%","±1.4","187,116","±1,672","23,483","±3,085","12.5%","±1.7","57,226","±1,515","9,606","±1,741","16.8%","±3.1","166,487","±1,343","13,227","±2,204","7.9%","±1.3","192,987,829","±49,706","27,752,633","±101,714","14.4%","±0.1"
"        65 years and over","32,653","±576","3,709","±1,162","11.4%","±3.5","36,415","±808","4,190","±932","11.5%","±2.5","53,405","±711","4,527","±1,162","8.5%","±2.2","31,410","±761","4,513","±1,131","14.4%","±3.6","68,375","±583","7,134","±1,547","10.4%","±2.3","12,602","±261","1,656","±745","13.1%","±5.9","23,621","±734","2,864","±1,011","12.1%","±4.2","23,331","±351","3,644","±868","15.6%","±3.7","82,864","±864","10,310","±1,512","12.4%","±1.8","13,756","±666","2,021","±699","14.7%","±4.9","87,980","±832","6,582","±1,369","7.5%","±1.6","12,210","±251","1,316","±597","10.8%","±4.8","20,496","±301","1,914","±783","9.3%","±3.8","11,698","±340","1,586","±599","13.6%","±5.0","47,536","±1,000","5,333","±1,182","11.2%","±2.5","18,722","±683","1,861","±622","9.9%","±3.3","16,981","±285","5,849","±1,001","34.4%","±5.8","21,244","±626","2,715","±785","12.8%","±3.8","54,266","±974","8,056","±1,678","14.8%","±3.1","50,664","±863","6,537","±1,140","12.9%","±2.2","17,542","±577","2,730","±580","15.6%","±3.2","41,519","±601","3,317","±914","8.0%","±2.2","52,782,417","±26,301","7,223,025","±47,156","13.7%","±0.1"
