"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Insured!!Estimate","DeSoto County, Mississippi!!Percent Insured!!Estimate","DeSoto County, Mississippi!!Uninsured!!Estimate","DeSoto County, Mississippi!!Percent Uninsured!!Estimate","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Insured!!Estimate","Forrest County, Mississippi!!Percent Insured!!Estimate","Forrest County, Mississippi!!Uninsured!!Estimate","Forrest County, Mississippi!!Percent Uninsured!!Estimate","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Insured!!Estimate","Harrison County, Mississippi!!Percent Insured!!Estimate","Harrison County, Mississippi!!Uninsured!!Estimate","Harrison County, Mississippi!!Percent Uninsured!!Estimate","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Insured!!Estimate","Hinds County, Mississippi!!Percent Insured!!Estimate","Hinds County, Mississippi!!Uninsured!!Estimate","Hinds County, Mississippi!!Percent Uninsured!!Estimate","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Insured!!Estimate","Jackson County, Mississippi!!Percent Insured!!Estimate","Jackson County, Mississippi!!Uninsured!!Estimate","Jackson County, Mississippi!!Percent Uninsured!!Estimate","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Insured!!Estimate","Jones County, Mississippi!!Percent Insured!!Estimate","Jones County, Mississippi!!Uninsured!!Estimate","Jones County, Mississippi!!Percent Uninsured!!Estimate","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Insured!!Estimate","Lauderdale County, Mississippi!!Percent Insured!!Estimate","Lauderdale County, Mississippi!!Uninsured!!Estimate","Lauderdale County, Mississippi!!Percent Uninsured!!Estimate","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Insured!!Estimate","Lee County, Mississippi!!Percent Insured!!Estimate","Lee County, Mississippi!!Uninsured!!Estimate","Lee County, Mississippi!!Percent Uninsured!!Estimate","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Insured!!Estimate","Madison County, Mississippi!!Percent Insured!!Estimate","Madison County, Mississippi!!Uninsured!!Estimate","Madison County, Mississippi!!Percent Uninsured!!Estimate","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Insured!!Estimate","Rankin County, Mississippi!!Percent Insured!!Estimate","Rankin County, Mississippi!!Uninsured!!Estimate","Rankin County, Mississippi!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"Civilian noninstitutionalized population","183,617","168,334","91.7%","15,283","8.3%","74,267","64,040","86.2%","10,227","13.8%","199,029","170,993","85.9%","28,036","14.1%","229,815","196,800","85.6%","33,015","14.4%","141,798","125,055","88.2%","16,743","11.8%","67,260","59,039","87.8%","8,221","12.2%","69,513","61,562","88.6%","7,951","11.4%","84,389","73,267","86.8%","11,122","13.2%","105,347","97,165","92.2%","8,182","7.8%","150,383","132,026","87.8%","18,357","12.2%","323,120,678","293,482,006","90.8%","29,638,672","9.2%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 6 years","14,084","13,311","94.5%","773","5.5%","5,540","5,275","95.2%","265","4.8%","15,448","14,438","93.5%","1,010","6.5%","18,940","18,134","95.7%","806","4.3%","9,345","9,069","97.0%","276","3.0%","5,873","5,820","99.1%","53","0.9%","5,353","5,353","100.0%","0","0.0%","6,485","6,225","96.0%","260","4.0%","8,001","8,001","100.0%","0","0.0%","10,807","10,660","98.6%","147","1.4%","23,282,008","22,199,355","95.3%","1,082,653","4.7%"
"        6 to 18 years","35,123","32,945","93.8%","2,178","6.2%","12,341","12,053","97.7%","288","2.3%","37,334","34,000","91.1%","3,334","8.9%","39,842","37,018","92.9%","2,824","7.1%","26,125","24,446","93.6%","1,679","6.4%","12,557","11,398","90.8%","1,159","9.2%","12,418","12,075","97.2%","343","2.8%","15,603","13,897","89.1%","1,706","10.9%","18,804","18,409","97.9%","395","2.1%","25,890","24,313","93.9%","1,577","6.1%","54,068,424","50,775,975","93.9%","3,292,449","6.1%"
"        19 to 25 years","15,884","13,387","84.3%","2,497","15.7%","11,124","9,113","81.9%","2,011","18.1%","18,375","14,549","79.2%","3,826","20.8%","25,034","16,567","66.2%","8,467","33.8%","10,443","7,848","75.2%","2,595","24.8%","5,815","4,649","79.9%","1,166","20.1%","5,332","4,052","76.0%","1,280","24.0%","7,959","5,877","73.8%","2,082","26.2%","9,813","7,831","79.8%","1,982","20.2%","13,220","9,409","71.2%","3,811","28.8%","29,667,712","25,238,072","85.1%","4,429,640","14.9%"
"        26 to 34 years","21,683","18,284","84.3%","3,399","15.7%","9,017","6,657","73.8%","2,360","26.2%","20,033","13,205","65.9%","6,828","34.1%","29,325","22,138","75.5%","7,187","24.5%","15,690","11,478","73.2%","4,212","26.8%","7,805","5,570","71.4%","2,235","28.6%","7,089","6,023","85.0%","1,066","15.0%","8,887","6,784","76.3%","2,103","23.7%","11,732","9,255","78.9%","2,477","21.1%","18,426","14,021","76.1%","4,405","23.9%","39,837,331","33,424,276","83.9%","6,413,055","16.1%"
"        35 to 44 years","25,894","23,088","89.2%","2,806","10.8%","9,111","6,553","71.9%","2,558","28.1%","25,142","19,589","77.9%","5,553","22.1%","27,688","23,386","84.5%","4,302","15.5%","18,323","15,772","86.1%","2,551","13.9%","8,253","6,106","74.0%","2,147","26.0%","8,311","6,454","77.7%","1,857","22.3%","11,880","9,694","81.6%","2,186","18.4%","15,619","13,646","87.4%","1,973","12.6%","21,302","17,255","81.0%","4,047","19.0%","41,051,376","35,276,912","85.9%","5,774,464","14.1%"
"        45 to 54 years","24,907","22,969","92.2%","1,938","7.8%","8,664","7,086","81.8%","1,578","18.2%","24,004","19,367","80.7%","4,637","19.3%","26,282","21,424","81.5%","4,858","18.5%","19,014","16,233","85.4%","2,781","14.6%","6,804","6,146","90.3%","658","9.7%","9,109","6,575","72.2%","2,534","27.8%","10,341","8,944","86.5%","1,397","13.5%","12,971","12,462","96.1%","509","3.9%","18,494","16,675","90.2%","1,819","9.8%","40,357,454","35,699,527","88.5%","4,657,927","11.5%"
"        55 to 64 years","21,854","20,218","92.5%","1,636","7.5%","8,188","7,045","86.0%","1,143","14.0%","27,404","24,658","90.0%","2,746","10.0%","29,171","24,916","85.4%","4,255","14.6%","19,014","16,501","86.8%","2,513","13.2%","8,295","7,492","90.3%","803","9.7%","9,364","8,505","90.8%","859","9.2%","10,804","9,477","87.7%","1,327","12.3%","14,179","13,333","94.0%","846","6.0%","18,406","15,855","86.1%","2,551","13.9%","42,073,956","38,497,142","91.5%","3,576,814","8.5%"
"        65 to 74 years","14,573","14,517","99.6%","56","0.4%","6,014","5,990","99.6%","24","0.4%","18,847","18,745","99.5%","102","0.5%","20,549","20,310","98.8%","239","1.2%","13,969","13,833","99.0%","136","1.0%","7,262","7,262","100.0%","0","0.0%","6,898","6,886","99.8%","12","0.2%","6,718","6,718","100.0%","0","0.0%","9,421","9,421","100.0%","0","0.0%","14,399","14,399","100.0%","0","0.0%","31,216,223","30,913,049","99.0%","303,174","1.0%"
"        75 years and older","9,615","9,615","100.0%","0","0.0%","4,268","4,268","100.0%","0","0.0%","12,442","12,442","100.0%","0","0.0%","12,984","12,907","99.4%","77","0.6%","9,875","9,875","100.0%","0","0.0%","4,596","4,596","100.0%","0","0.0%","5,639","5,639","100.0%","0","0.0%","5,712","5,651","98.9%","61","1.1%","4,807","4,807","100.0%","0","0.0%","9,439","9,439","100.0%","0","0.0%","21,566,194","21,457,698","99.5%","108,496","0.5%"
"        Under 19 years","49,207","46,256","94.0%","2,951","6.0%","17,881","17,328","96.9%","553","3.1%","52,782","48,438","91.8%","4,344","8.2%","58,782","55,152","93.8%","3,630","6.2%","35,470","33,515","94.5%","1,955","5.5%","18,430","17,218","93.4%","1,212","6.6%","17,771","17,428","98.1%","343","1.9%","22,088","20,122","91.1%","1,966","8.9%","26,805","26,410","98.5%","395","1.5%","36,697","34,973","95.3%","1,724","4.7%","77,350,432","72,975,330","94.3%","4,375,102","5.7%"
"        19 to 64 years","110,222","97,946","88.9%","12,276","11.1%","46,104","36,454","79.1%","9,650","20.9%","114,958","91,368","79.5%","23,590","20.5%","137,500","108,431","78.9%","29,069","21.1%","82,484","67,832","82.2%","14,652","17.8%","36,972","29,963","81.0%","7,009","19.0%","39,205","31,609","80.6%","7,596","19.4%","49,871","40,776","81.8%","9,095","18.2%","64,314","56,527","87.9%","7,787","12.1%","89,848","73,215","81.5%","16,633","18.5%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"        65 years and older","24,188","24,132","99.8%","56","0.2%","10,282","10,258","99.8%","24","0.2%","31,289","31,187","99.7%","102","0.3%","33,533","33,217","99.1%","316","0.9%","23,844","23,708","99.4%","136","0.6%","11,858","11,858","100.0%","0","0.0%","12,537","12,525","99.9%","12","0.1%","12,430","12,369","99.5%","61","0.5%","14,228","14,228","100.0%","0","0.0%","23,838","23,838","100.0%","0","0.0%","52,782,417","52,370,747","99.2%","411,670","0.8%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","88,470","80,341","90.8%","8,129","9.2%","34,226","28,404","83.0%","5,822","17.0%","94,170","78,797","83.7%","15,373","16.3%","107,038","88,971","83.1%","18,067","16.9%","68,410","59,142","86.5%","9,268","13.5%","33,022","28,327","85.8%","4,695","14.2%","31,898","27,805","87.2%","4,093","12.8%","39,900","34,328","86.0%","5,572","14.0%","48,893","45,926","93.9%","2,967","6.1%","70,312","59,778","85.0%","10,534","15.0%","157,833,027","141,745,190","89.8%","16,087,837","10.2%"
"        Female","95,147","87,993","92.5%","7,154","7.5%","40,041","35,636","89.0%","4,405","11.0%","104,859","92,196","87.9%","12,663","12.1%","122,777","107,829","87.8%","14,948","12.2%","73,388","65,913","89.8%","7,475","10.2%","34,238","30,712","89.7%","3,526","10.3%","37,615","33,757","89.7%","3,858","10.3%","44,489","38,939","87.5%","5,550","12.5%","56,454","51,239","90.8%","5,215","9.2%","80,071","72,248","90.2%","7,823","9.8%","165,287,651","151,736,816","91.8%","13,550,835","8.2%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","119,143","108,535","91.1%","10,608","8.9%","44,242","38,484","87.0%","5,758","13.0%","134,175","118,393","88.2%","15,782","11.8%","57,290","47,721","83.3%","9,569","16.7%","102,075","91,910","90.0%","10,165","10.0%","46,316","39,457","85.2%","6,859","14.8%","37,479","34,323","91.6%","3,156","8.4%","54,920","48,146","87.7%","6,774","12.3%","60,695","58,117","95.8%","2,578","4.2%","113,606","102,548","90.3%","11,058","9.7%","233,212,096","213,846,646","91.7%","19,365,450","8.3%"
"        Black or African American alone","55,257","51,575","93.3%","3,682","6.7%","28,539","24,475","85.8%","4,064","14.2%","49,573","41,870","84.5%","7,703","15.5%","167,857","145,639","86.8%","22,218","13.2%","29,082","24,034","82.6%","5,048","17.4%","20,220","18,918","93.6%","1,302","6.4%","30,697","26,046","84.8%","4,651","15.2%","26,196","23,480","89.6%","2,716","10.4%","39,788","35,108","88.2%","4,680","11.8%","31,353","25,598","81.6%","5,755","18.4%","40,702,085","36,578,046","89.9%","4,124,039","10.1%"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,777,677","2,247,099","80.9%","530,578","19.1%"
"        Asian alone","3,175","2,666","84.0%","509","16.0%","N","N","N","N","N","4,747","3,543","74.6%","1,204","25.4%","N","N","N","N","N","3,541","2,996","84.6%","545","15.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,534,191","17,315,729","93.4%","1,218,462","6.6%"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","537,523","87.7%","75,334","12.3%"
"        Some other race alone","2,464","2,292","93.0%","172","7.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,143,634","12,711,066","78.7%","3,432,568","21.3%"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","9,395","6,266","66.7%","3,129","33.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,138,138","10,245,897","92.0%","892,241","8.0%"
