"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Percent!!Estimate","Benton County, Arkansas!!Percent!!Margin of Error","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Percent!!Estimate","Craighead County, Arkansas!!Percent!!Margin of Error","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Percent!!Estimate","Faulkner County, Arkansas!!Percent!!Margin of Error","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Percent!!Estimate","Garland County, Arkansas!!Percent!!Margin of Error","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Percent!!Estimate","Jefferson County, Arkansas!!Percent!!Margin of Error","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Percent!!Estimate","Lonoke County, Arkansas!!Percent!!Margin of Error","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Percent!!Estimate","Pulaski County, Arkansas!!Percent!!Margin of Error","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Percent!!Estimate","Saline County, Arkansas!!Percent!!Margin of Error","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Percent!!Estimate","Sebastian County, Arkansas!!Percent!!Margin of Error","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Percent!!Estimate","Washington County, Arkansas!!Percent!!Margin of Error","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Percent!!Estimate","White County, Arkansas!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","100,749","±1,952","(X)","(X)","41,409","±1,584","(X)","(X)","47,389","±1,263","(X)","(X)","41,743","±1,957","(X)","(X)","27,593","±1,255","(X)","(X)","26,052","±1,344","(X)","(X)","158,000","±3,302","(X)","(X)","45,455","±1,550","(X)","(X)","51,384","±1,786","(X)","(X)","89,249","±2,141","(X)","(X)","28,621","±1,565","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","95,879","±2,170","95.2%","±1.2","38,696","±1,583","93.4%","±2.1","45,334","±1,325","95.7%","±1.3","38,215","±2,095","91.5%","±2.3","23,154","±1,708","83.9%","±4.2","24,116","±1,402","92.6%","±2.5","144,185","±3,844","91.3%","±1.2","41,551","±1,787","91.4%","±2.1","45,490","±2,339","88.5%","±2.8","84,628","±2,574","94.8%","±1.6","25,108","±1,812","87.7%","±3.0","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","81,213","±2,526","80.6%","±2.1","29,276","±2,240","70.7%","±4.7","37,999","±2,102","80.2%","±3.6","29,508","±2,064","70.7%","±4.3","14,753","±1,495","53.5%","±5.1","18,472","±1,581","70.9%","±4.2","111,252","±4,634","70.4%","±2.2","30,643","±2,329","67.4%","±4.2","35,406","±2,524","68.9%","±3.9","68,294","±2,944","76.5%","±2.8","15,584","±1,818","54.4%","±5.5","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","2,108","±727","2.1%","±0.7","1,200","±518","2.9%","±1.3","1,142","±510","2.4%","±1.1","2,382","±829","5.7%","±2.0","784","±425","2.8%","±1.5","597","±284","2.3%","±1.1","4,886","±1,082","3.1%","±0.7","1,145","±609","2.5%","±1.3","2,258","±775","4.4%","±1.5","3,161","±966","3.5%","±1.1","960","±438","3.4%","±1.5","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","91,864","±2,362","91.2%","±1.4","36,974","±1,728","89.3%","±2.5","43,183","±1,546","91.1%","±2.0","34,685","±2,196","83.1%","±2.9","21,582","±1,646","78.2%","±4.2","23,032","±1,362","88.4%","±2.6","134,237","±3,849","85.0%","±1.4","39,455","±1,720","86.8%","±2.4","42,092","±2,456","81.9%","±3.1","80,309","±2,682","90.0%","±2.0","23,414","±1,753","81.8%","±3.6","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","11,320","±1,753","11.2%","±1.7","6,067","±1,774","14.7%","±4.3","4,581","±1,336","9.7%","±2.8","5,549","±1,507","13.3%","±3.4","6,169","±1,343","22.4%","±4.6","3,823","±1,030","14.7%","±3.9","22,763","±3,126","14.4%","±2.0","6,706","±1,351","14.8%","±3.0","6,722","±1,523","13.1%","±2.9","11,589","±2,138","13.0%","±2.4","7,790","±1,750","27.2%","±5.8","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","68,659","±2,650","68.1%","±2.2","25,758","±2,340","62.2%","±5.0","32,133","±1,891","67.8%","±3.6","23,009","±2,131","55.1%","±4.7","12,599","±1,709","45.7%","±5.6","16,054","±1,517","61.6%","±4.7","88,738","±4,464","56.2%","±2.5","27,249","±1,993","59.9%","±3.7","27,431","±2,390","53.4%","±4.2","52,846","±2,647","59.2%","±2.8","11,684","±1,665","40.8%","±5.4","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","409","±245","0.4%","±0.2","66","±83","0.2%","±0.2","556","±478","1.2%","±1.0","241","±221","0.6%","±0.5","231","±201","0.8%","±0.7","314","±273","1.2%","±1.0","2,276","±847","1.4%","±0.5","129","±157","0.3%","±0.3","564","±345","1.1%","±0.7","463","±278","0.5%","±0.3","65","±113","0.2%","±0.4","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","910","±417","0.9%","±0.4","307","±236","0.7%","±0.6","969","±598","2.0%","±1.2","537","±331","1.3%","±0.8","720","±564","2.6%","±2.0","250","±187","1.0%","±0.7","2,900","±777","1.8%","±0.5","695","±375","1.5%","±0.8","1,284","±579","2.5%","±1.1","1,406","±538","1.6%","±0.6","52","±73","0.2%","±0.3","2,937,915","±27,533","2.4%","±0.1"
