"Label","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Percent!!Estimate","Barrow County, Georgia!!Percent!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Percent!!Estimate","Bartow County, Georgia!!Percent!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Percent!!Estimate","Bibb County, Georgia!!Percent!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Percent!!Estimate","Bulloch County, Georgia!!Percent!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Percent!!Estimate","Carroll County, Georgia!!Percent!!Margin of Error","Catoosa County, Georgia!!Total!!Estimate","Catoosa County, Georgia!!Total!!Margin of Error","Catoosa County, Georgia!!Percent!!Estimate","Catoosa County, Georgia!!Percent!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Percent!!Estimate","Chatham County, Georgia!!Percent!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Percent!!Estimate","Cherokee County, Georgia!!Percent!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Percent!!Estimate","Clarke County, Georgia!!Percent!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Percent!!Estimate","Clayton County, Georgia!!Percent!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Percent!!Estimate","Cobb County, Georgia!!Percent!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Percent!!Estimate","Columbia County, Georgia!!Percent!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Percent!!Estimate","Coweta County, Georgia!!Percent!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Percent!!Estimate","DeKalb County, Georgia!!Percent!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Percent!!Estimate","Dougherty County, Georgia!!Percent!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Percent!!Estimate","Douglas County, Georgia!!Percent!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Percent!!Estimate","Fayette County, Georgia!!Percent!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Percent!!Estimate","Floyd County, Georgia!!Percent!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Percent!!Estimate","Forsyth County, Georgia!!Percent!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Percent!!Estimate","Fulton County, Georgia!!Percent!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Percent!!Estimate","Glynn County, Georgia!!Percent!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Percent!!Estimate","Gwinnett County, Georgia!!Percent!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Percent!!Estimate","Hall County, Georgia!!Percent!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Percent!!Estimate","Henry County, Georgia!!Percent!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Percent!!Estimate","Houston County, Georgia!!Percent!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Percent!!Estimate","Jackson County, Georgia!!Percent!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Percent!!Estimate","Lowndes County, Georgia!!Percent!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Percent!!Estimate","Muscogee County, Georgia!!Percent!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Percent!!Estimate","Newton County, Georgia!!Percent!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Percent!!Estimate","Paulding County, Georgia!!Percent!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Percent!!Estimate","Richmond County, Georgia!!Percent!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Percent!!Estimate","Rockdale County, Georgia!!Percent!!Margin of Error","Spalding County, Georgia!!Total!!Estimate","Spalding County, Georgia!!Total!!Margin of Error","Spalding County, Georgia!!Percent!!Estimate","Spalding County, Georgia!!Percent!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Percent!!Estimate","Troup County, Georgia!!Percent!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Percent!!Estimate","Walker County, Georgia!!Percent!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Percent!!Estimate","Walton County, Georgia!!Percent!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Percent!!Estimate","Whitfield County, Georgia!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","27,765","±833","(X)","(X)","39,742","±1,150","(X)","(X)","56,726","±1,984","(X)","(X)","28,660","±1,370","(X)","(X)","42,798","±1,323","(X)","(X)","24,130","±1,401","(X)","(X)","107,987","±2,721","(X)","(X)","93,441","±1,407","(X)","(X)","52,124","±1,282","(X)","(X)","97,030","±1,802","(X)","(X)","286,952","±3,167","(X)","(X)","46,890","±2,705","(X)","(X)","53,640","±1,356","(X)","(X)","289,829","±3,342","(X)","(X)","32,630","±1,314","(X)","(X)","48,899","±1,680","(X)","(X)","41,253","±1,092","(X)","(X)","35,443","±1,365","(X)","(X)","81,765","±1,731","(X)","(X)","439,578","±4,514","(X)","(X)","34,614","±1,867","(X)","(X)","301,471","±3,216","(X)","(X)","65,625","±2,079","(X)","(X)","79,550","±1,820","(X)","(X)","58,417","±1,868","(X)","(X)","25,180","±831","(X)","(X)","42,639","±1,440","(X)","(X)","73,134","±1,814","(X)","(X)","37,867","±1,008","(X)","(X)","56,476","±1,811","(X)","(X)","68,361","±3,137","(X)","(X)","32,792","±684","(X)","(X)","25,339","±994","(X)","(X)","24,436","±1,100","(X)","(X)","26,760","±1,208","(X)","(X)","33,350","±1,012","(X)","(X)","34,518","±1,533","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","25,877","±1,101","93.2%","±2.5","36,606","±1,376","92.1%","±3.0","49,968","±2,401","88.1%","±2.2","27,468","±1,445","95.8%","±1.5","39,117","±1,640","91.4%","±2.5","22,382","±1,448","92.8%","±3.2","101,568","±2,824","94.1%","±1.2","87,520","±1,980","93.7%","±1.8","48,693","±1,832","93.4%","±2.9","91,332","±2,046","94.1%","±1.6","281,513","±3,114","98.1%","±0.5","44,740","±2,519","95.4%","±2.0","51,175","±1,704","95.4%","±2.0","272,285","±4,384","93.9%","±0.9","27,410","±1,389","84.0%","±3.2","46,299","±2,236","94.7%","±2.6","40,358","±1,140","97.8%","±1.1","31,975","±1,525","90.2%","±2.3","80,180","±1,866","98.1%","±0.8","419,019","±4,886","95.3%","±0.5","30,423","±1,973","87.9%","±3.9","290,909","±3,502","96.5%","±0.6","61,445","±2,197","93.6%","±1.7","76,427","±2,069","96.1%","±1.2","54,229","±2,037","92.8%","±2.1","22,951","±1,128","91.1%","±3.2","38,546","±1,888","90.4%","±3.0","66,651","±2,166","91.1%","±1.6","36,159","±1,188","95.5%","±2.0","53,844","±1,980","95.3%","±2.4","62,950","±3,108","92.1%","±1.6","30,782","±993","93.9%","±2.3","21,744","±1,419","85.8%","±4.3","20,572","±1,483","84.2%","±5.0","23,986","±1,504","89.6%","±4.0","30,567","±1,234","91.7%","±2.6","30,138","±2,124","87.3%","±4.1","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","20,720","±1,380","74.6%","±4.9","30,498","±1,756","76.7%","±4.1","39,088","±2,313","68.9%","±3.5","21,300","±1,903","74.3%","±5.1","30,047","±2,011","70.2%","±4.5","17,896","±1,458","74.2%","±4.6","81,878","±3,211","75.8%","±2.3","81,599","±2,423","87.3%","±2.3","42,862","±2,470","82.2%","±4.2","72,050","±3,235","74.3%","±3.1","253,439","±4,650","88.3%","±1.3","39,960","±2,642","85.2%","±3.9","41,331","±2,182","77.1%","±3.3","227,321","±5,492","78.4%","±1.5","19,818","±1,940","60.7%","±5.1","39,603","±2,534","81.0%","±4.1","38,381","±1,277","93.0%","±2.0","24,356","±1,774","68.7%","±4.3","75,046","±1,803","91.8%","±1.3","370,689","±6,131","84.3%","±1.1","24,761","±2,145","71.5%","±5.0","261,156","±5,440","86.6%","±1.4","51,343","±2,134","78.2%","±2.7","68,641","±2,546","86.3%","±2.7","45,522","±2,593","77.9%","±4.3","19,103","±1,386","75.9%","±5.2","28,575","±1,685","67.0%","±4.1","50,789","±2,536","69.4%","±3.2","31,220","±1,661","82.4%","±3.5","46,813","±2,637","82.9%","±4.0","46,419","±3,001","67.9%","±2.9","25,506","±1,654","77.8%","±4.7","17,846","±1,680","70.4%","±5.7","15,556","±1,666","63.7%","±6.0","18,235","±1,589","68.1%","±5.1","25,816","±1,343","77.4%","±3.9","23,705","±1,953","68.7%","±4.4","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","1,187","±589","4.3%","±2.1","1,077","±551","2.7%","±1.4","1,488","±531","2.6%","±0.9","613","±492","2.1%","±1.7","1,236","±684","2.9%","±1.6","758","±400","3.1%","±1.6","3,328","±849","3.1%","±0.8","3,075","±1,170","3.3%","±1.2","775","±410","1.5%","±0.8","2,499","±859","2.6%","±0.9","5,825","±1,013","2.0%","±0.4","1,173","±540","2.5%","±1.1","1,999","±745","3.7%","±1.4","6,766","±1,279","2.3%","±0.4","655","±359","2.0%","±1.1","854","±385","1.7%","±0.8","1,391","±508","3.4%","±1.2","1,246","±521","3.5%","±1.5","1,124","±417","1.4%","±0.5","9,948","±2,028","2.3%","±0.5","1,078","±601","3.1%","±1.7","5,634","±1,272","1.9%","±0.4","1,654","±648","2.5%","±1.0","2,296","±973","2.9%","±1.2","1,320","±713","2.3%","±1.2","793","±359","3.1%","±1.4","1,337","±547","3.1%","±1.3","2,086","±584","2.9%","±0.8","1,009","±704","2.7%","±1.9","1,546","±720","2.7%","±1.3","2,565","±910","3.8%","±1.3","1,130","±502","3.4%","±1.5","672","±428","2.7%","±1.7","819","±574","3.4%","±2.4","1,075","±445","4.0%","±1.7","760","±287","2.3%","±0.9","1,793","±732","5.2%","±2.1","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","23,948","±1,172","86.3%","±3.1","34,610","±1,404","87.1%","±3.1","47,633","±2,402","84.0%","±2.5","25,956","±1,629","90.6%","±3.2","36,994","±1,879","86.4%","±3.0","21,280","±1,380","88.2%","±3.4","96,588","±2,727","89.4%","±1.3","83,826","±2,252","89.7%","±2.2","47,032","±1,940","90.2%","±3.1","86,715","±2,227","89.4%","±1.7","271,920","±3,382","94.8%","±0.7","43,058","±2,537","91.8%","±2.3","47,723","±1,988","89.0%","±2.6","259,297","±4,750","89.5%","±1.1","26,123","±1,465","80.1%","±3.5","44,880","±2,319","91.8%","±2.8","37,778","±1,240","91.6%","±1.6","29,462","±1,594","83.1%","±2.9","77,397","±2,031","94.7%","±1.3","402,596","±5,422","91.6%","±0.7","29,079","±1,967","84.0%","±3.9","281,893","±3,759","93.5%","±0.8","58,717","±2,253","89.5%","±2.0","72,484","±2,308","91.1%","±1.9","51,582","±2,019","88.3%","±2.4","21,016","±1,274","83.5%","±4.0","36,432","±2,053","85.4%","±3.5","62,720","±2,352","85.8%","±2.0","34,489","±1,429","91.1%","±2.9","50,721","±2,210","89.8%","±3.0","58,888","±3,179","86.1%","±2.5","28,689","±1,110","87.5%","±2.7","20,236","±1,384","79.9%","±4.4","18,771","±1,536","76.8%","±5.1","22,107","±1,522","82.6%","±4.1","28,994","±1,372","86.9%","±3.0","27,291","±2,068","79.1%","±4.4","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","3,377","±1,137","12.2%","±4.0","2,977","±831","7.5%","±2.1","7,562","±1,599","13.3%","±2.7","4,718","±1,257","16.5%","±4.4","4,631","±1,298","10.8%","±3.0","2,531","±827","10.5%","±3.3","11,301","±2,169","10.5%","±2.0","3,683","±1,557","3.9%","±1.7","4,061","±1,364","7.8%","±2.7","12,898","±2,379","13.3%","±2.5","17,989","±3,190","6.3%","±1.1","2,654","±1,081","5.7%","±2.2","6,015","±1,541","11.2%","±2.9","28,243","±3,484","9.7%","±1.2","5,351","±1,410","16.4%","±4.4","5,315","±1,448","10.9%","±2.9","1,080","±569","2.6%","±1.4","5,450","±1,449","15.4%","±4.0","2,518","±848","3.1%","±1.0","31,365","±4,299","7.1%","±1.0","3,715","±1,165","10.7%","±3.4","20,894","±3,487","6.9%","±1.2","6,370","±1,528","9.7%","±2.2","4,703","±1,563","5.9%","±1.9","4,746","±1,605","8.1%","±2.7","1,802","±800","7.2%","±3.1","8,020","±1,672","18.8%","±3.6","12,150","±2,028","16.6%","±2.7","3,602","±1,133","9.5%","±3.0","2,976","±1,597","5.3%","±2.8","11,460","±1,610","16.8%","±2.3","3,649","±1,082","11.1%","±3.3","1,599","±631","6.3%","±2.5","2,575","±887","10.5%","±3.6","4,348","±1,163","16.2%","±4.3","3,702","±1,179","11.1%","±3.4","3,664","±1,119","10.6%","±3.2","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","17,304","±1,497","62.3%","±5.1","24,453","±2,064","61.5%","±4.9","31,728","±2,626","55.9%","±4.2","15,745","±1,584","54.9%","±4.6","24,323","±2,213","56.8%","±5.0","14,052","±1,568","58.2%","±5.3","68,179","±3,711","63.1%","±3.0","66,023","±3,212","70.7%","±3.4","28,873","±2,442","55.4%","±4.3","57,469","±3,344","59.2%","±3.4","196,895","±5,126","68.6%","±1.7","34,874","±2,586","74.4%","±3.7","35,623","±2,295","66.4%","±3.8","185,736","±5,604","64.1%","±1.8","15,270","±1,612","46.8%","±4.7","31,325","±2,474","64.1%","±4.0","30,044","±1,836","72.8%","±3.9","19,494","±1,785","55.0%","±4.6","66,808","±2,221","81.7%","±2.0","302,136","±6,821","68.7%","±1.4","18,406","±2,062","53.2%","±5.6","215,626","±5,050","71.5%","±1.5","43,467","±2,450","66.2%","±3.3","52,212","±2,990","65.6%","±3.8","38,153","±2,583","65.3%","±4.1","16,701","±1,292","66.3%","±4.8","17,139","±2,019","40.2%","±4.7","38,530","±2,472","52.7%","±3.2","25,523","±1,742","67.4%","±4.4","42,494","±2,625","75.2%","±4.4","36,384","±2,843","53.2%","±3.3","21,042","±1,921","64.2%","±5.6","14,234","±1,700","56.2%","±6.5","14,154","±1,651","57.9%","±5.8","14,366","±1,541","53.7%","±5.2","21,661","±1,647","65.0%","±4.7","18,890","±2,068","54.7%","±4.9","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","138","±140","0.5%","±0.5","130","±115","0.3%","±0.3","317","±250","0.6%","±0.4","385","±448","1.3%","±1.6","336","±253","0.8%","±0.6","250","±243","1.0%","±1.0","717","±410","0.7%","±0.4","126","±147","0.1%","±0.2","251","±307","0.5%","±0.6","1,074","±572","1.1%","±0.6","1,155","±516","0.4%","±0.2","52","±98","0.1%","±0.2","483","±533","0.9%","±1.0","2,373","±808","0.8%","±0.3","209","±232","0.6%","±0.7","62","±110","0.1%","±0.2","331","±321","0.8%","±0.8","815","±525","2.3%","±1.5","305","±220","0.4%","±0.3","2,631","±1,120","0.6%","±0.3","145","±153","0.4%","±0.4","852","±465","0.3%","±0.2","206","±217","0.3%","±0.3","280","±284","0.4%","±0.4","535","±461","0.9%","±0.8","239","±204","0.9%","±0.8","228","±189","0.5%","±0.4","477","±269","0.7%","±0.4","7","±12","0.0%","±0.1","602","±594","1.1%","±1.1","869","±562","1.3%","±0.8","294","±266","0.9%","±0.8","205","±215","0.8%","±0.8","415","±277","1.7%","±1.1","286","±264","1.1%","±1.0","89","±118","0.3%","±0.4","222","±174","0.6%","±0.5","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","1,177","±621","4.2%","±2.2","667","±401","1.7%","±1.0","1,041","±381","1.8%","±0.7","164","±198","0.6%","±0.7","134","±183","0.3%","±0.4","1,292","±733","5.4%","±3.0","1,225","±496","1.1%","±0.5","2,548","±1,221","2.7%","±1.3","472","±328","0.9%","±0.6","1,136","±551","1.2%","±0.6","6,869","±1,663","2.4%","±0.6","1,140","±636","2.4%","±1.3","977","±525","1.8%","±1.0","6,880","±1,608","2.4%","±0.6","264","±265","0.8%","±0.8","920","±552","1.9%","±1.1","1,511","±607","3.7%","±1.4","318","±241","0.9%","±0.7","2,166","±689","2.6%","±0.8","10,134","±2,046","2.3%","±0.5","603","±403","1.7%","±1.2","5,743","±1,618","1.9%","±0.5","1,351","±596","2.1%","±0.9","1,504","±838","1.9%","±1.1","1,583","±926","2.7%","±1.6","1,168","±807","4.6%","±3.2","413","±264","1.0%","±0.6","3,436","±1,321","4.7%","±1.8","601","±422","1.6%","±1.1","3,683","±1,343","6.5%","±2.4","2,079","±1,001","3.0%","±1.5","198","±207","0.6%","±0.6","524","±415","2.1%","±1.6","591","±380","2.4%","±1.6","552","±502","2.1%","±1.9","707","±383","2.1%","±1.1","2,724","±1,240","7.9%","±3.5","2,937,915","±27,533","2.4%","±0.1"
