"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Percent!!Estimate","Boone County, Kentucky!!Percent!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Percent!!Estimate","Bullitt County, Kentucky!!Percent!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Percent!!Estimate","Campbell County, Kentucky!!Percent!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Percent!!Estimate","Christian County, Kentucky!!Percent!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Percent!!Estimate","Daviess County, Kentucky!!Percent!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Percent!!Estimate","Fayette County, Kentucky!!Percent!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Percent!!Estimate","Hardin County, Kentucky!!Percent!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Percent!!Estimate","Jefferson County, Kentucky!!Percent!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Percent!!Estimate","Kenton County, Kentucky!!Percent!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Percent!!Estimate","McCracken County, Kentucky!!Percent!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Percent!!Estimate","Madison County, Kentucky!!Percent!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Percent!!Estimate","Oldham County, Kentucky!!Percent!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Percent!!Estimate","Warren County, Kentucky!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","48,770","±957","(X)","(X)","30,553","±893","(X)","(X)","38,110","±1,075","(X)","(X)","26,209","±1,244","(X)","(X)","40,800","±1,022","(X)","(X)","131,929","±2,303","(X)","(X)","42,644","±1,324","(X)","(X)","316,174","±3,159","(X)","(X)","65,362","±1,218","(X)","(X)","28,363","±1,234","(X)","(X)","34,270","±1,339","(X)","(X)","20,761","±704","(X)","(X)","50,489","±1,542","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","47,154","±1,179","96.7%","±1.3","28,544","±1,071","93.4%","±1.9","34,477","±1,475","90.5%","±2.8","24,061","±1,246","91.8%","±2.4","37,888","±1,224","92.9%","±2.0","125,102","±2,558","94.8%","±1.2","39,607","±1,629","92.9%","±2.5","293,462","±3,539","92.8%","±0.8","61,460","±1,460","94.0%","±1.4","26,488","±1,380","93.4%","±2.4","31,867","±1,693","93.0%","±2.6","19,956","±768","96.1%","±1.8","46,980","±1,757","93.0%","±2.3","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","40,595","±1,829","83.2%","±3.4","22,114","±1,576","72.4%","±4.5","28,977","±1,461","76.0%","±3.1","19,062","±1,576","72.7%","±4.8","29,140","±1,565","71.4%","±3.7","106,497","±2,961","80.7%","±1.9","31,559","±2,073","74.0%","±4.3","232,628","±4,833","73.6%","±1.4","51,403","±1,978","78.6%","±2.7","23,227","±1,447","81.9%","±3.5","24,942","±1,977","72.8%","±4.2","18,130","±868","87.3%","±3.4","38,802","±2,129","76.9%","±3.7","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","2,128","±661","4.4%","±1.3","860","±311","2.8%","±1.0","1,378","±492","3.6%","±1.3","617","±415","2.4%","±1.6","1,641","±596","4.0%","±1.5","3,577","±733","2.7%","±0.5","1,597","±575","3.7%","±1.3","11,085","±1,594","3.5%","±0.5","2,337","±707","3.6%","±1.1","1,159","±513","4.1%","±1.8","998","±462","2.9%","±1.4","399","±216","1.9%","±1.0","1,459","±618","2.9%","±1.2","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","43,492","±1,384","89.2%","±2.2","26,436","±1,013","86.5%","±2.2","30,840","±1,376","80.9%","±2.9","22,505","±1,341","85.9%","±3.0","35,102","±1,347","86.0%","±2.4","119,211","±2,657","90.4%","±1.4","37,004","±1,661","86.8%","±2.7","274,460","±3,683","86.8%","±0.8","55,990","±1,642","85.7%","±2.0","24,775","±1,368","87.3%","±3.1","30,142","±1,781","88.0%","±2.9","19,365","±733","93.3%","±2.0","44,078","±1,859","87.3%","±2.8","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","3,659","±1,331","7.5%","±2.7","3,415","±1,020","11.2%","±3.4","3,058","±813","8.0%","±2.1","2,892","±1,081","11.0%","±4.1","5,742","±1,287","14.1%","±3.1","11,937","±2,004","9.0%","±1.5","4,620","±1,266","10.8%","±3.0","38,963","±3,252","12.3%","±1.0","5,906","±1,272","9.0%","±1.9","1,999","±533","7.0%","±1.9","4,764","±1,100","13.9%","±3.2","1,305","±682","6.3%","±3.2","4,467","±1,248","8.8%","±2.5","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","35,370","±1,778","72.5%","±3.6","18,360","±1,577","60.1%","±4.8","23,645","±1,648","62.0%","±3.7","14,592","±1,685","55.7%","±5.9","24,713","±1,623","60.6%","±4.0","83,124","±2,647","63.0%","±2.0","26,979","±1,879","63.3%","±4.1","184,483","±5,459","58.3%","±1.7","43,007","±2,219","65.8%","±3.3","16,949","±1,407","59.8%","±4.3","21,005","±1,627","61.3%","±4.2","16,577","±1,034","79.8%","±4.5","31,070","±2,138","61.5%","±3.9","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","494","±387","1.0%","±0.8","503","±295","1.6%","±1.0","680","±397","1.8%","±1.0","371","±246","1.4%","±0.9","113","±140","0.3%","±0.3","467","±336","0.4%","±0.3","265","±284","0.6%","±0.7","3,766","±1,052","1.2%","±0.3","542","±328","0.8%","±0.5","407","±359","1.4%","±1.3","288","±273","0.8%","±0.8","78","±94","0.4%","±0.5","334","±321","0.7%","±0.6","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","391","±376","0.8%","±0.8","459","±314","1.5%","±1.0","2,853","±845","7.5%","±2.2","474","±366","1.8%","±1.4","805","±388","2.0%","±0.9","6,971","±1,314","5.3%","±1.0","1,232","±540","2.9%","±1.2","5,518","±817","1.7%","±0.3","1,640","±651","2.5%","±1.0","489","±276","1.7%","±1.0","548","±319","1.6%","±0.9","139","±119","0.7%","±0.6","1,976","±1,039","3.9%","±2.0","2,937,915","±27,533","2.4%","±0.1"
