"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!Percent!!Estimate","Ascension Parish, Louisiana!!Percent!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!Percent!!Estimate","Bossier Parish, Louisiana!!Percent!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!Percent!!Estimate","Caddo Parish, Louisiana!!Percent!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!Percent!!Estimate","Calcasieu Parish, Louisiana!!Percent!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent!!Estimate","East Baton Rouge Parish, Louisiana!!Percent!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!Percent!!Estimate","Iberia Parish, Louisiana!!Percent!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!Percent!!Estimate","Jefferson Parish, Louisiana!!Percent!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!Percent!!Estimate","Lafayette Parish, Louisiana!!Percent!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!Percent!!Estimate","Lafourche Parish, Louisiana!!Percent!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!Percent!!Estimate","Livingston Parish, Louisiana!!Percent!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!Percent!!Estimate","Orleans Parish, Louisiana!!Percent!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!Percent!!Estimate","Ouachita Parish, Louisiana!!Percent!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!Percent!!Estimate","Rapides Parish, Louisiana!!Percent!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!Percent!!Estimate","St. Landry Parish, Louisiana!!Percent!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!Percent!!Estimate","St. Tammany Parish, Louisiana!!Percent!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent!!Estimate","Tangipahoa Parish, Louisiana!!Percent!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!Percent!!Estimate","Terrebonne Parish, Louisiana!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","44,267","±1,708","(X)","(X)","49,735","±2,024","(X)","(X)","92,589","±2,930","(X)","(X)","77,232","±2,497","(X)","(X)","161,536","±4,003","(X)","(X)","26,185","±1,465","(X)","(X)","171,991","±2,177","(X)","(X)","94,490","±2,243","(X)","(X)","36,759","±1,475","(X)","(X)","47,014","±2,544","(X)","(X)","151,753","±2,527","(X)","(X)","57,835","±2,302","(X)","(X)","48,975","±1,955","(X)","(X)","30,441","±1,365","(X)","(X)","94,988","±2,737","(X)","(X)","46,526","±2,273","(X)","(X)","40,173","±1,553","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","41,550","±2,119","93.9%","±2.7","46,561","±2,223","93.6%","±1.9","80,929","±3,223","87.4%","±2.0","70,046","±2,693","90.7%","±1.7","151,297","±4,235","93.7%","±1.2","22,574","±1,743","86.2%","±3.8","157,864","±2,765","91.8%","±1.3","87,186","±2,704","92.3%","±1.8","31,796","±1,881","86.5%","±3.2","44,331","±2,980","94.3%","±2.5","136,923","±2,721","90.2%","±1.0","48,982","±2,541","84.7%","±2.8","42,346","±1,876","86.5%","±2.7","23,083","±1,685","75.8%","±4.8","89,410","±2,731","94.1%","±1.3","42,415","±2,386","91.2%","±2.4","35,947","±1,906","89.5%","±2.6","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","35,611","±2,334","80.4%","±4.1","34,694","±2,486","69.8%","±4.3","53,570","±3,687","57.9%","±3.5","54,432","±3,485","70.5%","±3.8","119,677","±4,083","74.1%","±1.9","12,801","±1,527","48.9%","±5.6","123,383","±3,917","71.7%","±2.0","72,216","±3,246","76.4%","±3.0","23,616","±2,047","64.2%","±5.2","33,228","±3,135","70.7%","±4.9","101,413","±3,118","66.8%","±1.8","36,122","±2,244","62.5%","±3.3","30,975","±1,916","63.2%","±3.3","15,085","±1,617","49.6%","±5.1","77,958","±2,962","82.1%","±2.3","31,668","±2,575","68.1%","±4.9","26,619","±2,159","66.3%","±4.7","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","612","±448","1.4%","±1.0","1,829","±553","3.7%","±1.1","2,274","±706","2.5%","±0.8","3,659","±1,167","4.7%","±1.5","3,494","±737","2.2%","±0.5","932","±523","3.6%","±2.0","6,450","±1,017","3.8%","±0.6","2,040","±904","2.2%","±1.0","1,081","±530","2.9%","±1.4","1,171","±648","2.5%","±1.4","3,624","±880","2.4%","±0.6","1,342","±466","2.3%","±0.8","1,245","±562","2.5%","±1.1","1,171","±415","3.8%","±1.4","1,808","±483","1.9%","±0.5","1,539","±604","3.3%","±1.3","803","±461","2.0%","±1.1","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","40,566","±2,174","91.6%","±3.1","43,839","±2,236","88.1%","±2.2","77,011","±3,357","83.2%","±2.3","64,064","±2,718","83.0%","±2.2","145,929","±4,381","90.3%","±1.3","21,037","±1,759","80.3%","±3.9","146,752","±3,161","85.3%","±1.6","83,912","±2,704","88.8%","±1.9","29,469","±1,846","80.2%","±3.4","42,042","±3,001","89.4%","±3.0","130,640","±2,899","86.1%","±1.2","46,810","±2,565","80.9%","±3.0","40,402","±1,909","82.5%","±2.8","21,188","±1,733","69.6%","±4.9","84,007","±2,874","88.4%","±1.7","39,030","±2,552","83.9%","±3.1","34,163","±1,930","85.0%","±3.1","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","4,083","±1,408","9.2%","±3.1","9,894","±2,047","19.9%","±3.9","21,795","±2,938","23.5%","±3.1","10,729","±2,317","13.9%","±3.0","20,851","±2,144","12.9%","±1.3","6,908","±1,838","26.4%","±6.6","24,108","±2,728","14.0%","±1.6","9,369","±2,154","9.9%","±2.2","5,022","±1,478","13.7%","±3.9","6,655","±2,022","14.2%","±4.2","26,783","±2,586","17.6%","±1.6","8,979","±1,809","15.5%","±2.9","8,606","±1,690","17.6%","±3.4","5,412","±1,263","17.8%","±4.2","7,373","±1,697","7.8%","±1.8","5,680","±1,516","12.2%","±3.2","3,897","±1,226","9.7%","±3.0","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","28,076","±2,402","63.4%","±5.2","20,707","±2,207","41.6%","±4.4","41,282","±3,251","44.6%","±3.1","43,129","±2,984","55.8%","±3.4","98,196","±4,663","60.8%","±2.5","11,279","±1,846","43.1%","±6.6","94,662","±3,618","55.0%","±1.9","55,383","±3,351","58.6%","±3.3","21,160","±1,843","57.6%","±4.4","27,949","±3,061","59.4%","±5.3","75,749","±3,044","49.9%","±1.9","28,110","±2,480","48.6%","±3.8","24,618","±2,142","50.3%","±4.1","10,716","±1,461","35.2%","±4.4","65,147","±3,432","68.6%","±3.2","25,974","±2,205","55.8%","±3.8","24,961","±2,214","62.1%","±4.7","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","202","±323","0.5%","±0.7","190","±165","0.4%","±0.3","597","±312","0.6%","±0.3","517","±343","0.7%","±0.4","710","±462","0.4%","±0.3","427","±371","1.6%","±1.4","1,753","±572","1.0%","±0.3","331","±340","0.4%","±0.4","649","±444","1.8%","±1.2","596","±504","1.3%","±1.1","1,032","±487","0.7%","±0.3","259","±204","0.4%","±0.4","158","±135","0.3%","±0.3","219","±196","0.7%","±0.6","994","±480","1.0%","±0.5","937","±644","2.0%","±1.4","477","±398","1.2%","±1.0","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","528","±429","1.2%","±1.0","1,374","±749","2.8%","±1.5","1,002","±532","1.1%","±0.6","1,253","±737","1.6%","±1.0","2,261","±815","1.4%","±0.5","244","±251","0.9%","±1.0","8,226","±1,946","4.8%","±1.1","712","±440","0.8%","±0.5","499","±327","1.4%","±0.9","546","±385","1.2%","±0.8","2,913","±753","1.9%","±0.5","839","±408","1.5%","±0.7","331","±195","0.7%","±0.4","550","±378","1.8%","±1.2","4,010","±1,448","4.2%","±1.5","636","±488","1.4%","±1.0","372","±336","0.9%","±0.8","2,937,915","±27,533","2.4%","±0.1"
