"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Percent!!Estimate","DeSoto County, Mississippi!!Percent!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Percent!!Estimate","Forrest County, Mississippi!!Percent!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Percent!!Estimate","Harrison County, Mississippi!!Percent!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Percent!!Estimate","Hinds County, Mississippi!!Percent!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Percent!!Estimate","Jackson County, Mississippi!!Percent!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Percent!!Estimate","Jones County, Mississippi!!Percent!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Percent!!Estimate","Lauderdale County, Mississippi!!Percent!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Percent!!Estimate","Lee County, Mississippi!!Percent!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Percent!!Estimate","Madison County, Mississippi!!Percent!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Percent!!Estimate","Rankin County, Mississippi!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","65,220","±1,823","(X)","(X)","27,340","±1,423","(X)","(X)","74,628","±3,132","(X)","(X)","88,471","±2,331","(X)","(X)","56,323","±1,633","(X)","(X)","24,178","±1,324","(X)","(X)","29,367","±1,473","(X)","(X)","30,378","±1,367","(X)","(X)","40,046","±1,379","(X)","(X)","57,011","±1,738","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","61,702","±2,087","94.6%","±1.6","24,457","±1,549","89.5%","±3.5","68,578","±3,282","91.9%","±2.0","78,791","±2,698","89.1%","±1.7","50,705","±2,053","90.0%","±2.7","21,029","±1,328","87.0%","±3.2","26,709","±1,529","90.9%","±2.7","26,778","±1,524","88.1%","±3.1","37,830","±1,365","94.5%","±1.8","53,393","±2,022","93.7%","±1.8","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","51,042","±2,700","78.3%","±3.4","17,968","±1,605","65.7%","±5.6","52,742","±3,497","70.7%","±3.6","56,081","±2,869","63.4%","±3.0","39,163","±2,417","69.5%","±3.6","11,136","±1,714","46.1%","±6.5","17,058","±1,722","58.1%","±4.8","19,295","±1,661","63.5%","±4.6","31,305","±1,806","78.2%","±4.0","44,754","±2,455","78.5%","±3.5","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","2,160","±704","3.3%","±1.1","927","±653","3.4%","±2.4","1,519","±464","2.0%","±0.6","2,014","±627","2.3%","±0.7","823","±325","1.5%","±0.6","783","±520","3.2%","±2.1","1,075","±624","3.7%","±2.1","499","±290","1.6%","±1.0","862","±465","2.2%","±1.2","1,569","±810","2.8%","±1.4","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","58,412","±2,073","89.6%","±2.0","22,872","±1,633","83.7%","±4.2","65,211","±3,348","87.4%","±2.2","75,008","±2,705","84.8%","±1.9","48,728","±2,228","86.5%","±3.0","19,605","±1,396","81.1%","±4.1","24,963","±1,588","85.0%","±3.6","25,540","±1,594","84.1%","±3.4","36,605","±1,405","91.4%","±2.3","50,509","±2,263","88.6%","±2.4","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","6,457","±1,637","9.9%","±2.5","4,681","±1,365","17.1%","±4.8","9,880","±2,029","13.2%","±2.7","16,321","±2,108","18.4%","±2.2","7,914","±1,924","14.1%","±3.5","7,604","±1,456","31.5%","±5.8","6,053","±1,321","20.6%","±4.4","4,737","±1,140","15.6%","±3.7","4,995","±1,358","12.5%","±3.4","5,419","±1,403","9.5%","±2.4","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","43,250","±2,494","66.3%","±3.3","13,397","±1,560","49.0%","±5.5","46,143","±3,522","61.8%","±3.8","42,209","±2,561","47.7%","±2.6","31,370","±2,478","55.7%","±3.8","9,885","±1,439","40.9%","±5.6","16,439","±1,812","56.0%","±5.8","16,092","±1,585","53.0%","±4.4","23,903","±1,983","59.7%","±4.6","35,569","±2,244","62.4%","±3.9","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","598","±372","0.9%","±0.6","254","±344","0.9%","±1.2","759","±549","1.0%","±0.7","649","±353","0.7%","±0.4","471","±332","0.8%","±0.6","265","±284","1.1%","±1.2","204","±193","0.7%","±0.7","285","±251","0.9%","±0.8","198","±281","0.5%","±0.7","383","±382","0.7%","±0.7","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","1,168","±591","1.8%","±0.9","662","±661","2.4%","±2.4","767","±384","1.0%","±0.5","1,664","±663","1.9%","±0.7","998","±523","1.8%","±0.9","195","±200","0.8%","±0.8","775","±661","2.6%","±2.2","244","±197","0.8%","±0.6","628","±514","1.6%","±1.3","525","±371","0.9%","±0.7","2,937,915","±27,533","2.4%","±0.1"
