"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!Percent!!Estimate","Aiken County, South Carolina!!Percent!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!Percent!!Estimate","Anderson County, South Carolina!!Percent!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!Percent!!Estimate","Beaufort County, South Carolina!!Percent!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!Percent!!Estimate","Berkeley County, South Carolina!!Percent!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!Percent!!Estimate","Charleston County, South Carolina!!Percent!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!Percent!!Estimate","Darlington County, South Carolina!!Percent!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!Percent!!Estimate","Dorchester County, South Carolina!!Percent!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!Percent!!Estimate","Florence County, South Carolina!!Percent!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!Percent!!Estimate","Greenville County, South Carolina!!Percent!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!Percent!!Estimate","Greenwood County, South Carolina!!Percent!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!Percent!!Estimate","Horry County, South Carolina!!Percent!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!Percent!!Estimate","Kershaw County, South Carolina!!Percent!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!Percent!!Estimate","Lancaster County, South Carolina!!Percent!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!Percent!!Estimate","Laurens County, South Carolina!!Percent!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!Percent!!Estimate","Lexington County, South Carolina!!Percent!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!Percent!!Estimate","Oconee County, South Carolina!!Percent!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!Percent!!Estimate","Orangeburg County, South Carolina!!Percent!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!Percent!!Estimate","Pickens County, South Carolina!!Percent!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!Percent!!Estimate","Richland County, South Carolina!!Percent!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!Percent!!Estimate","Spartanburg County, South Carolina!!Percent!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!Percent!!Estimate","Sumter County, South Carolina!!Percent!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!Percent!!Estimate","York County, South Carolina!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","67,889","±2,252","(X)","(X)","75,825","±2,343","(X)","(X)","73,043","±2,340","(X)","(X)","80,640","±1,907","(X)","(X)","165,568","±3,515","(X)","(X)","24,801","±1,419","(X)","(X)","57,768","±1,427","(X)","(X)","53,047","±1,606","(X)","(X)","199,551","±2,904","(X)","(X)","28,544","±1,097","(X)","(X)","140,260","±3,637","(X)","(X)","24,544","±1,349","(X)","(X)","35,410","±1,658","(X)","(X)","25,901","±1,333","(X)","(X)","118,193","±2,184","(X)","(X)","31,530","±1,806","(X)","(X)","32,129","±1,945","(X)","(X)","48,203","±1,687","(X)","(X)","153,484","±3,941","(X)","(X)","121,256","±2,317","(X)","(X)","44,105","±1,260","(X)","(X)","108,400","±1,474","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","62,581","±2,386","92.2%","±1.8","69,192","±2,503","91.3%","±1.7","69,903","±2,562","95.7%","±1.2","75,805","±1,995","94.0%","±1.4","157,652","±3,827","95.2%","±1.0","21,270","±1,438","85.8%","±3.5","54,264","±1,713","93.9%","±1.7","47,857","±1,796","90.2%","±2.1","186,190","±3,338","93.3%","±0.9","24,919","±1,333","87.3%","±3.0","132,322","±3,802","94.3%","±1.0","22,634","±1,377","92.2%","±2.9","32,485","±1,804","91.7%","±2.6","22,749","±1,795","87.8%","±4.5","110,098","±2,455","93.2%","±1.3","28,753","±1,689","91.2%","±2.3","27,751","±2,031","86.4%","±3.2","43,763","±1,902","90.8%","±2.2","146,343","±4,438","95.3%","±1.1","109,927","±2,380","90.7%","±1.2","39,760","±1,532","90.1%","±2.1","104,055","±1,772","96.0%","±1.0","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","50,283","±2,580","74.1%","±3.0","55,037","±2,624","72.6%","±2.8","58,999","±2,610","80.8%","±2.5","63,751","±2,365","79.1%","±2.4","131,750","±4,655","79.6%","±2.0","14,735","±1,589","59.4%","±5.4","46,818","±2,173","81.0%","±3.0","35,286","±1,917","66.5%","±3.1","155,927","±3,990","78.1%","±1.5","18,324","±1,603","64.2%","±5.0","104,978","±3,729","74.8%","±2.1","19,749","±1,343","80.5%","±3.8","26,186","±2,012","74.0%","±4.2","16,334","±1,863","63.1%","±6.1","89,463","±3,150","75.7%","±2.2","21,976","±1,528","69.7%","±4.3","19,872","±1,928","61.9%","±4.6","34,987","±2,033","72.6%","±3.0","117,520","±4,677","76.6%","±2.4","86,128","±3,027","71.0%","±2.2","31,434","±2,112","71.3%","±4.3","83,400","±2,941","76.9%","±2.4","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","2,350","±666","3.5%","±1.0","3,722","±868","4.9%","±1.1","2,491","±841","3.4%","±1.2","2,966","±1,027","3.7%","±1.3","4,252","±1,152","2.6%","±0.7","1,068","±447","4.3%","±1.9","1,900","±891","3.3%","±1.5","828","±368","1.6%","±0.7","6,241","±1,174","3.1%","±0.6","1,055","±508","3.7%","±1.8","4,882","±1,099","3.5%","±0.8","760","±395","3.1%","±1.6","1,185","±658","3.3%","±1.9","1,365","±515","5.3%","±2.0","3,344","±627","2.8%","±0.5","1,893","±657","6.0%","±2.1","891","±473","2.8%","±1.5","1,289","±433","2.7%","±0.9","3,958","±1,050","2.6%","±0.7","4,010","±1,105","3.3%","±0.9","1,877","±653","4.3%","±1.5","1,871","±509","1.7%","±0.5","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","58,229","±2,521","85.8%","±2.1","62,777","±2,532","82.8%","±1.9","65,441","±2,808","89.6%","±1.9","71,840","±2,207","89.1%","±1.9","149,693","±3,943","90.4%","±1.3","19,251","±1,507","77.6%","±4.0","50,879","±1,977","88.1%","±2.6","45,554","±1,805","85.9%","±2.4","175,569","±3,650","88.0%","±1.1","23,300","±1,420","81.6%","±3.4","122,154","±3,670","87.1%","±1.5","21,082","±1,475","85.9%","±3.8","30,572","±2,039","86.3%","±3.6","20,551","±1,768","79.3%","±4.7","104,499","±2,671","88.4%","±1.6","25,936","±1,841","82.3%","±3.2","25,764","±2,142","80.2%","±3.9","41,300","±1,880","85.7%","±2.1","138,682","±4,608","90.4%","±1.5","103,187","±2,572","85.1%","±1.5","35,924","±1,681","81.5%","±2.8","100,409","±1,918","92.6%","±1.2","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","8,141","±1,521","12.0%","±2.2","8,092","±1,671","10.7%","±2.1","6,859","±1,613","9.4%","±2.2","8,123","±1,526","10.1%","±1.9","19,260","±2,742","11.6%","±1.7","4,016","±1,092","16.2%","±4.3","5,147","±1,363","8.9%","±2.3","8,283","±1,601","15.6%","±3.0","17,708","±2,298","8.9%","±1.2","4,942","±1,227","17.3%","±4.2","15,211","±2,129","10.8%","±1.4","1,906","±596","7.8%","±2.4","3,536","±1,026","10.0%","±2.9","4,634","±1,181","17.9%","±4.4","13,713","±2,008","11.6%","±1.7","4,235","±968","13.4%","±2.8","5,106","±1,061","15.9%","±3.2","5,653","±1,152","11.7%","±2.4","21,156","±3,136","13.8%","±2.0","14,544","±2,106","12.0%","±1.7","5,380","±1,652","12.2%","±3.7","11,725","±2,023","10.8%","±1.9","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","35,973","±2,307","53.0%","±2.9","48,376","±2,453","63.8%","±2.8","46,765","±2,725","64.0%","±3.2","51,023","±2,830","63.3%","±3.2","102,382","±4,227","61.8%","±2.2","12,463","±1,585","50.3%","±5.5","38,268","±2,273","66.2%","±3.6","29,193","±2,005","55.0%","±3.6","128,922","±4,043","64.6%","±1.8","15,461","±1,544","54.2%","±5.1","87,255","±3,487","62.2%","±2.2","15,046","±1,440","61.3%","±5.1","21,996","±1,880","62.1%","±4.4","12,304","±1,599","47.5%","±5.8","73,533","±3,112","62.2%","±2.5","17,946","±1,812","56.9%","±4.8","17,186","±2,154","53.5%","±5.1","28,148","±2,259","58.4%","±4.0","94,680","±3,986","61.7%","±2.2","70,336","±3,279","58.0%","±2.6","23,140","±2,353","52.5%","±5.1","72,377","±2,862","66.8%","±2.5","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","727","±558","1.1%","±0.8","946","±535","1.2%","±0.7","591","±373","0.8%","±0.5","305","±240","0.4%","±0.3","1,072","±421","0.6%","±0.3","375","±250","1.5%","±1.0","697","±507","1.2%","±0.9","540","±310","1.0%","±0.6","1,273","±651","0.6%","±0.3","353","±293","1.2%","±1.0","1,526","±563","1.1%","±0.4","204","±145","0.8%","±0.6","504","±360","1.4%","±1.0","583","±347","2.3%","±1.3","1,022","±363","0.9%","±0.3","259","±166","0.8%","±0.5","231","±207","0.7%","±0.6","586","±306","1.2%","±0.6","1,205","±480","0.8%","±0.3","1,110","±486","0.9%","±0.4","862","±707","2.0%","±1.6","538","±330","0.5%","±0.3","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","1,846","±768","2.7%","±1.1","1,439","±704","1.9%","±0.9","711","±343","1.0%","±0.5","1,459","±655","1.8%","±0.8","3,724","±1,067","2.2%","±0.6","414","±319","1.7%","±1.3","1,133","±589","2.0%","±1.0","1,210","±689","2.3%","±1.3","3,564","±778","1.8%","±0.4","371","±272","1.3%","±1.0","1,813","±608","1.3%","±0.4","3,654","±1,252","14.9%","±5.0","2,048","±1,247","5.8%","±3.5","60","±76","0.2%","±0.3","2,261","±707","1.9%","±0.6","195","±197","0.6%","±0.6","754","±505","2.3%","±1.6","621","±339","1.3%","±0.7","18,054","±3,431","11.8%","±2.1","1,872","±640","1.5%","±0.5","2,306","±940","5.2%","±2.1","13,937","±2,576","12.9%","±2.4","2,937,915","±27,533","2.4%","±0.1"
