"Label","Anderson County, Tennessee!!Total!!Estimate","Anderson County, Tennessee!!Total!!Margin of Error","Anderson County, Tennessee!!Percent!!Estimate","Anderson County, Tennessee!!Percent!!Margin of Error","Blount County, Tennessee!!Total!!Estimate","Blount County, Tennessee!!Total!!Margin of Error","Blount County, Tennessee!!Percent!!Estimate","Blount County, Tennessee!!Percent!!Margin of Error","Bradley County, Tennessee!!Total!!Estimate","Bradley County, Tennessee!!Total!!Margin of Error","Bradley County, Tennessee!!Percent!!Estimate","Bradley County, Tennessee!!Percent!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Percent!!Estimate","Davidson County, Tennessee!!Percent!!Margin of Error","Greene County, Tennessee!!Total!!Estimate","Greene County, Tennessee!!Total!!Margin of Error","Greene County, Tennessee!!Percent!!Estimate","Greene County, Tennessee!!Percent!!Margin of Error","Hamilton County, Tennessee!!Total!!Estimate","Hamilton County, Tennessee!!Total!!Margin of Error","Hamilton County, Tennessee!!Percent!!Estimate","Hamilton County, Tennessee!!Percent!!Margin of Error","Knox County, Tennessee!!Total!!Estimate","Knox County, Tennessee!!Total!!Margin of Error","Knox County, Tennessee!!Percent!!Estimate","Knox County, Tennessee!!Percent!!Margin of Error","Madison County, Tennessee!!Total!!Estimate","Madison County, Tennessee!!Total!!Margin of Error","Madison County, Tennessee!!Percent!!Estimate","Madison County, Tennessee!!Percent!!Margin of Error","Maury County, Tennessee!!Total!!Estimate","Maury County, Tennessee!!Total!!Margin of Error","Maury County, Tennessee!!Percent!!Estimate","Maury County, Tennessee!!Percent!!Margin of Error","Montgomery County, Tennessee!!Total!!Estimate","Montgomery County, Tennessee!!Total!!Margin of Error","Montgomery County, Tennessee!!Percent!!Estimate","Montgomery County, Tennessee!!Percent!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Percent!!Estimate","Putnam County, Tennessee!!Percent!!Margin of Error","Robertson County, Tennessee!!Total!!Estimate","Robertson County, Tennessee!!Total!!Margin of Error","Robertson County, Tennessee!!Percent!!Estimate","Robertson County, Tennessee!!Percent!!Margin of Error","Rutherford County, Tennessee!!Total!!Estimate","Rutherford County, Tennessee!!Total!!Margin of Error","Rutherford County, Tennessee!!Percent!!Estimate","Rutherford County, Tennessee!!Percent!!Margin of Error","Sevier County, Tennessee!!Total!!Estimate","Sevier County, Tennessee!!Total!!Margin of Error","Sevier County, Tennessee!!Percent!!Estimate","Sevier County, Tennessee!!Percent!!Margin of Error","Shelby County, Tennessee!!Total!!Estimate","Shelby County, Tennessee!!Total!!Margin of Error","Shelby County, Tennessee!!Percent!!Estimate","Shelby County, Tennessee!!Percent!!Margin of Error","Sullivan County, Tennessee!!Total!!Estimate","Sullivan County, Tennessee!!Total!!Margin of Error","Sullivan County, Tennessee!!Percent!!Estimate","Sullivan County, Tennessee!!Percent!!Margin of Error","Sumner County, Tennessee!!Total!!Estimate","Sumner County, Tennessee!!Total!!Margin of Error","Sumner County, Tennessee!!Percent!!Estimate","Sumner County, Tennessee!!Percent!!Margin of Error","Washington County, Tennessee!!Total!!Estimate","Washington County, Tennessee!!Total!!Margin of Error","Washington County, Tennessee!!Percent!!Estimate","Washington County, Tennessee!!Percent!!Margin of Error","Williamson County, Tennessee!!Total!!Estimate","Williamson County, Tennessee!!Total!!Margin of Error","Williamson County, Tennessee!!Percent!!Estimate","Williamson County, Tennessee!!Percent!!Margin of Error","Wilson County, Tennessee!!Total!!Estimate","Wilson County, Tennessee!!Total!!Margin of Error","Wilson County, Tennessee!!Percent!!Estimate","Wilson County, Tennessee!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","30,175","±1,340","(X)","(X)","50,813","±1,557","(X)","(X)","39,992","±1,363","(X)","(X)","289,427","±4,247","(X)","(X)","28,323","±1,448","(X)","(X)","148,157","±2,642","(X)","(X)","191,925","±3,205","(X)","(X)","38,930","±1,354","(X)","(X)","37,104","±994","(X)","(X)","76,974","±1,909","(X)","(X)","31,778","±1,119","(X)","(X)","26,577","±902","(X)","(X)","113,797","±2,636","(X)","(X)","37,933","±2,403","(X)","(X)","353,950","±4,012","(X)","(X)","68,560","±1,882","(X)","(X)","70,098","±1,651","(X)","(X)","55,817","±1,712","(X)","(X)","84,393","±1,193","(X)","(X)","51,618","±1,815","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","27,647","±1,542","91.6%","±2.9","45,862","±1,835","90.3%","±2.2","36,256","±1,565","90.7%","±2.9","276,245","±4,532","95.4%","±0.6","24,342","±1,613","85.9%","±2.9","135,607","±3,103","91.5%","±1.2","180,570","±3,575","94.1%","±0.8","34,639","±1,499","89.0%","±2.2","35,186","±1,239","94.8%","±2.1","74,141","±2,080","96.3%","±1.3","27,683","±1,329","87.1%","±2.8","24,981","±1,023","94.0%","±2.3","109,310","±3,021","96.1%","±1.1","34,133","±2,539","90.0%","±3.2","311,942","±5,521","88.1%","±1.1","61,308","±2,006","89.4%","±1.5","65,511","±2,008","93.5%","±1.6","50,040","±2,405","89.7%","±2.4","81,508","±1,475","96.6%","±1.0","48,964","±2,053","94.9%","±1.8","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","22,576","±1,673","74.8%","±4.1","36,503","±1,796","71.8%","±3.3","28,746","±1,650","71.9%","±3.4","229,663","±6,289","79.4%","±1.6","16,233","±1,643","57.3%","±5.6","110,093","±3,981","74.3%","±2.4","146,600","±4,209","76.4%","±1.6","24,660","±1,885","63.3%","±3.9","29,421","±1,675","79.3%","±3.9","63,136","±2,530","82.0%","±2.5","24,220","±1,640","76.2%","±4.2","19,132","±1,431","72.0%","±5.1","92,767","±3,651","81.5%","±2.6","26,836","±2,194","70.7%","±4.4","237,973","±6,213","67.2%","±1.7","48,332","±2,455","70.5%","±3.2","54,310","±2,404","77.5%","±3.2","41,624","±2,812","74.6%","±3.8","77,153","±1,763","91.4%","±1.5","42,722","±2,123","82.8%","±3.0","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","1,093","±396","3.6%","±1.3","2,188","±682","4.3%","±1.3","1,982","±700","5.0%","±1.7","8,652","±1,478","3.0%","±0.5","1,277","±418","4.5%","±1.4","3,796","±857","2.6%","±0.6","5,970","±1,203","3.1%","±0.6","1,322","±576","3.4%","±1.5","1,405","±553","3.8%","±1.5","2,220","±825","2.9%","±1.1","1,354","±602","4.3%","±1.9","419","±211","1.6%","±0.8","2,570","±787","2.3%","±0.7","1,975","±617","5.2%","±1.7","9,427","±1,696","2.7%","±0.5","3,894","±995","5.7%","±1.4","2,050","±594","2.9%","±0.8","1,611","±621","2.9%","±1.1","2,051","±734","2.4%","±0.9","1,607","±638","3.1%","±1.2","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","25,259","±1,754","83.7%","±3.7","41,830","±1,962","82.3%","±2.6","32,722","±1,717","81.8%","±3.5","261,623","±4,253","90.4%","±0.8","22,138","±1,597","78.2%","±3.6","127,866","±3,173","86.3%","±1.4","169,787","±3,802","88.5%","±1.1","32,080","±1,609","82.4%","±2.9","32,891","±1,436","88.6%","±2.9","71,124","±2,207","92.4%","±1.7","25,552","±1,504","80.4%","±3.8","24,060","±1,062","90.5%","±2.7","104,586","±3,034","91.9%","±1.3","30,946","±2,585","81.6%","±3.5","295,671","±5,361","83.5%","±1.1","54,918","±2,030","80.1%","±2.1","61,788","±2,152","88.1%","±1.8","47,075","±2,583","84.3%","±2.9","77,796","±1,713","92.2%","±1.6","46,394","±2,141","89.9%","±2.1","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","3,274","±934","10.9%","±3.1","6,280","±1,342","12.4%","±2.6","3,556","±862","8.9%","±2.2","31,955","±3,761","11.0%","±1.3","5,359","±1,521","18.9%","±5.0","15,281","±2,322","10.3%","±1.6","21,926","±2,362","11.4%","±1.2","5,642","±1,265","14.5%","±3.3","4,693","±1,220","12.6%","±3.3","6,990","±1,715","9.1%","±2.2","2,134","±975","6.7%","±3.0","3,832","±1,097","14.4%","±4.1","9,979","±2,371","8.8%","±2.1","4,659","±1,292","12.3%","±3.2","52,411","±4,788","14.8%","±1.3","7,484","±1,468","10.9%","±2.1","6,651","±1,508","9.5%","±2.1","6,793","±1,849","12.2%","±3.3","1,476","±665","1.7%","±0.8","3,901","±1,026","7.6%","±1.9","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","17,556","±1,547","58.2%","±4.3","29,501","±2,028","58.1%","±3.5","24,451","±1,975","61.1%","±4.6","175,655","±5,477","60.7%","±1.7","13,930","±1,590","49.2%","±5.5","88,457","±3,412","59.7%","±2.1","122,411","±4,366","63.8%","±1.8","21,366","±2,309","54.9%","±5.6","21,189","±1,941","57.1%","±4.9","52,701","±2,524","68.5%","±2.9","17,911","±1,520","56.4%","±4.2","17,336","±1,298","65.2%","±4.8","75,318","±3,912","66.2%","±2.8","21,978","±2,175","57.9%","±4.8","188,691","±6,185","53.3%","±1.6","39,769","±2,262","58.0%","±3.0","45,650","±2,272","65.1%","±3.0","31,927","±2,702","57.2%","±4.2","68,571","±2,245","81.3%","±2.3","36,447","±1,948","70.6%","±3.6","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","562","±350","1.9%","±1.2","462","±346","0.9%","±0.7","720","±388","1.8%","±1.0","1,248","±589","0.4%","±0.2","287","±315","1.0%","±1.1","1,431","±766","1.0%","±0.5","1,311","±567","0.7%","±0.3","847","±591","2.2%","±1.5","475","±293","1.3%","±0.8","201","±161","0.3%","±0.2","230","±192","0.7%","±0.6","69","±81","0.3%","±0.3","932","±597","0.8%","±0.5","234","±186","0.6%","±0.5","2,792","±753","0.8%","±0.2","1,173","±762","1.7%","±1.1","469","±365","0.7%","±0.5","396","±310","0.7%","±0.6","544","±350","0.6%","±0.4","112","±135","0.2%","±0.3","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","592","±364","2.0%","±1.2","606","±372","1.2%","±0.7","795","±630","2.0%","±1.6","22,102","±3,413","7.6%","±1.2","177","±205","0.6%","±0.7","3,103","±1,157","2.1%","±0.8","5,711","±1,252","3.0%","±0.7","390","±259","1.0%","±0.7","556","±373","1.5%","±1.0","6,917","±1,605","9.0%","±2.1","428","±248","1.3%","±0.8","84","±110","0.3%","±0.4","1,825","±997","1.6%","±0.9","575","±408","1.5%","±1.1","4,230","±1,189","1.2%","±0.3","900","±418","1.3%","±0.6","1,332","±507","1.9%","±0.7","772","±407","1.4%","±0.7","3,154","±1,034","3.7%","±1.2","1,090","±583","2.1%","±1.1","2,937,915","±27,533","2.4%","±0.1"
