"Label","Albemarle County, Virginia!!Total!!Estimate","Albemarle County, Virginia!!Total!!Margin of Error","Albemarle County, Virginia!!Percent!!Estimate","Albemarle County, Virginia!!Percent!!Margin of Error","Arlington County, Virginia!!Total!!Estimate","Arlington County, Virginia!!Total!!Margin of Error","Arlington County, Virginia!!Percent!!Estimate","Arlington County, Virginia!!Percent!!Margin of Error","Augusta County, Virginia!!Total!!Estimate","Augusta County, Virginia!!Total!!Margin of Error","Augusta County, Virginia!!Percent!!Estimate","Augusta County, Virginia!!Percent!!Margin of Error","Bedford County, Virginia!!Total!!Estimate","Bedford County, Virginia!!Total!!Margin of Error","Bedford County, Virginia!!Percent!!Estimate","Bedford County, Virginia!!Percent!!Margin of Error","Chesterfield County, Virginia!!Total!!Estimate","Chesterfield County, Virginia!!Total!!Margin of Error","Chesterfield County, Virginia!!Percent!!Estimate","Chesterfield County, Virginia!!Percent!!Margin of Error","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Total!!Margin of Error","Fairfax County, Virginia!!Percent!!Estimate","Fairfax County, Virginia!!Percent!!Margin of Error","Fauquier County, Virginia!!Total!!Estimate","Fauquier County, Virginia!!Total!!Margin of Error","Fauquier County, Virginia!!Percent!!Estimate","Fauquier County, Virginia!!Percent!!Margin of Error","Frederick County, Virginia!!Total!!Estimate","Frederick County, Virginia!!Total!!Margin of Error","Frederick County, Virginia!!Percent!!Estimate","Frederick County, Virginia!!Percent!!Margin of Error","Hanover County, Virginia!!Total!!Estimate","Hanover County, Virginia!!Total!!Margin of Error","Hanover County, Virginia!!Percent!!Estimate","Hanover County, Virginia!!Percent!!Margin of Error","Henrico County, Virginia!!Total!!Estimate","Henrico County, Virginia!!Total!!Margin of Error","Henrico County, Virginia!!Percent!!Estimate","Henrico County, Virginia!!Percent!!Margin of Error","James City County, Virginia!!Total!!Estimate","James City County, Virginia!!Total!!Margin of Error","James City County, Virginia!!Percent!!Estimate","James City County, Virginia!!Percent!!Margin of Error","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Total!!Margin of Error","Loudoun County, Virginia!!Percent!!Estimate","Loudoun County, Virginia!!Percent!!Margin of Error","Montgomery County, Virginia!!Total!!Estimate","Montgomery County, Virginia!!Total!!Margin of Error","Montgomery County, Virginia!!Percent!!Estimate","Montgomery County, Virginia!!Percent!!Margin of Error","Prince William County, Virginia!!Total!!Estimate","Prince William County, Virginia!!Total!!Margin of Error","Prince William County, Virginia!!Percent!!Estimate","Prince William County, Virginia!!Percent!!Margin of Error","Roanoke County, Virginia!!Total!!Estimate","Roanoke County, Virginia!!Total!!Margin of Error","Roanoke County, Virginia!!Percent!!Estimate","Roanoke County, Virginia!!Percent!!Margin of Error","Rockingham County, Virginia!!Total!!Estimate","Rockingham County, Virginia!!Total!!Margin of Error","Rockingham County, Virginia!!Percent!!Estimate","Rockingham County, Virginia!!Percent!!Margin of Error","Spotsylvania County, Virginia!!Total!!Estimate","Spotsylvania County, Virginia!!Total!!Margin of Error","Spotsylvania County, Virginia!!Percent!!Estimate","Spotsylvania County, Virginia!!Percent!!Margin of Error","Stafford County, Virginia!!Total!!Estimate","Stafford County, Virginia!!Total!!Margin of Error","Stafford County, Virginia!!Percent!!Estimate","Stafford County, Virginia!!Percent!!Margin of Error","York County, Virginia!!Total!!Estimate","York County, Virginia!!Total!!Margin of Error","York County, Virginia!!Percent!!Estimate","York County, Virginia!!Percent!!Margin of Error","Alexandria city, Virginia!!Total!!Estimate","Alexandria city, Virginia!!Total!!Margin of Error","Alexandria city, Virginia!!Percent!!Estimate","Alexandria city, Virginia!!Percent!!Margin of Error","Chesapeake city, Virginia!!Total!!Estimate","Chesapeake city, Virginia!!Total!!Margin of Error","Chesapeake city, Virginia!!Percent!!Estimate","Chesapeake city, Virginia!!Percent!!Margin of Error","Hampton city, Virginia!!Total!!Estimate","Hampton city, Virginia!!Total!!Margin of Error","Hampton city, Virginia!!Percent!!Estimate","Hampton city, Virginia!!Percent!!Margin of Error","Lynchburg city, Virginia!!Total!!Estimate","Lynchburg city, Virginia!!Total!!Margin of Error","Lynchburg city, Virginia!!Percent!!Estimate","Lynchburg city, Virginia!!Percent!!Margin of Error","Newport News city, Virginia!!Total!!Estimate","Newport News city, Virginia!!Total!!Margin of Error","Newport News city, Virginia!!Percent!!Estimate","Newport News city, Virginia!!Percent!!Margin of Error","Norfolk city, Virginia!!Total!!Estimate","Norfolk city, Virginia!!Total!!Margin of Error","Norfolk city, Virginia!!Percent!!Estimate","Norfolk city, Virginia!!Percent!!Margin of Error","Portsmouth city, Virginia!!Total!!Estimate","Portsmouth city, Virginia!!Total!!Margin of Error","Portsmouth city, Virginia!!Percent!!Estimate","Portsmouth city, Virginia!!Percent!!Margin of Error","Richmond city, Virginia!!Total!!Estimate","Richmond city, Virginia!!Total!!Margin of Error","Richmond city, Virginia!!Percent!!Estimate","Richmond city, Virginia!!Percent!!Margin of Error","Roanoke city, Virginia!!Total!!Estimate","Roanoke city, Virginia!!Total!!Margin of Error","Roanoke city, Virginia!!Percent!!Estimate","Roanoke city, Virginia!!Percent!!Margin of Error","Suffolk city, Virginia!!Total!!Estimate","Suffolk city, Virginia!!Total!!Margin of Error","Suffolk city, Virginia!!Percent!!Estimate","Suffolk city, Virginia!!Percent!!Margin of Error","Virginia Beach city, Virginia!!Total!!Estimate","Virginia Beach city, Virginia!!Total!!Margin of Error","Virginia Beach city, Virginia!!Percent!!Estimate","Virginia Beach city, Virginia!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","43,754","±1,134","(X)","(X)","111,887","±1,847","(X)","(X)","29,951","±1,333","(X)","(X)","31,390","±1,264","(X)","(X)","128,920","±1,764","(X)","(X)","400,186","±2,978","(X)","(X)","24,270","±1,052","(X)","(X)","32,010","±1,398","(X)","(X)","39,521","±1,078","(X)","(X)","130,591","±1,988","(X)","(X)","30,262","±1,513","(X)","(X)","133,750","±1,935","(X)","(X)","36,244","±1,423","(X)","(X)","143,508","±1,907","(X)","(X)","37,506","±1,472","(X)","(X)","30,462","±1,157","(X)","(X)","46,427","±1,134","(X)","(X)","48,092","±1,304","(X)","(X)","26,008","±921","(X)","(X)","71,005","±1,523","(X)","(X)","86,878","±1,764","(X)","(X)","55,633","±1,442","(X)","(X)","28,950","±1,238","(X)","(X)","70,918","±2,279","(X)","(X)","88,387","±2,248","(X)","(X)","36,089","±1,133","(X)","(X)","89,878","±2,207","(X)","(X)","40,810","±1,405","(X)","(X)","34,597","±1,038","(X)","(X)","175,029","±2,072","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","40,025","±1,685","91.5%","±2.8","107,630","±2,362","96.2%","±1.3","27,446","±1,524","91.6%","±2.6","27,730","±1,641","88.3%","±3.0","122,624","±2,141","95.1%","±0.9","391,570","±3,422","97.8%","±0.4","22,328","±1,207","92.0%","±2.4","29,550","±1,595","92.3%","±2.7","36,585","±1,387","92.6%","±2.3","120,898","±2,574","92.6%","±1.4","28,878","±1,607","95.4%","±2.4","131,399","±2,120","98.2%","±0.5","34,572","±1,514","95.4%","±1.6","140,840","±2,171","98.1%","±0.6","34,375","±1,544","91.7%","±2.6","27,390","±1,380","89.9%","±2.5","44,255","±1,271","95.3%","±1.4","46,787","±1,398","97.3%","±1.2","24,842","±1,032","95.5%","±2.2","68,106","±1,887","95.9%","±1.3","84,048","±1,892","96.7%","±0.9","52,008","±1,663","93.5%","±1.9","27,940","±1,283","96.5%","±1.4","66,443","±2,323","93.7%","±1.5","81,678","±2,584","92.4%","±1.2","33,571","±1,227","93.0%","±1.7","81,418","±2,656","90.6%","±2.0","35,580","±1,779","87.2%","±3.2","32,162","±1,204","93.0%","±2.3","169,091","±2,530","96.6%","±0.9","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","36,697","±1,833","83.9%","±3.4","102,631","±2,464","91.7%","±1.5","21,553","±1,760","72.0%","±5.1","22,840","±1,670","72.8%","±4.0","107,938","±2,920","83.7%","±1.9","370,063","±4,285","92.5%","±0.8","19,665","±1,271","81.0%","±3.7","25,384","±1,695","79.3%","±3.6","32,152","±1,790","81.4%","±3.8","103,811","±3,608","79.5%","±2.7","25,976","±1,640","85.8%","±3.7","124,223","±2,114","92.9%","±1.2","29,641","±2,012","81.8%","±4.2","127,304","±2,628","88.7%","±1.4","30,268","±1,777","80.7%","±3.9","22,567","±1,710","74.1%","±4.5","38,757","±1,462","83.5%","±2.5","42,401","±1,710","88.2%","±2.6","22,008","±1,364","84.6%","±3.9","62,306","±2,270","87.7%","±2.1","71,065","±2,075","81.8%","±2.4","43,257","±1,980","77.8%","±3.0","23,022","±1,503","79.5%","±3.6","53,482","±2,601","75.4%","±3.0","64,340","±2,730","72.8%","±2.4","26,175","±1,577","72.5%","±3.9","65,273","±2,741","72.6%","±2.8","25,453","±1,970","62.4%","±4.4","28,025","±1,449","81.0%","±3.6","147,694","±3,113","84.4%","±1.4","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","1,476","±602","3.4%","±1.4","2,463","±882","2.2%","±0.8","1,593","±688","5.3%","±2.3","852","±341","2.7%","±1.1","4,991","±930","3.9%","±0.7","12,157","±1,606","3.0%","±0.4","482","±220","2.0%","±0.9","930","±441","2.9%","±1.4","933","±292","2.4%","±0.7","4,492","±864","3.4%","±0.7","732","±450","2.4%","±1.5","2,158","±726","1.6%","±0.5","1,242","±560","3.4%","±1.5","3,244","±826","2.3%","±0.6","1,334","±449","3.6%","±1.2","1,831","±694","6.0%","±2.3","1,663","±555","3.6%","±1.2","629","±291","1.3%","±0.6","1,190","±636","4.6%","±2.4","1,614","±553","2.3%","±0.8","2,173","±680","2.5%","±0.8","2,232","±752","4.0%","±1.4","810","±364","2.8%","±1.3","2,095","±638","3.0%","±0.9","2,801","±978","3.2%","±1.1","2,051","±552","5.7%","±1.5","2,197","±678","2.4%","±0.7","1,115","±447","2.7%","±1.1","612","±303","1.8%","±0.9","4,929","±963","2.8%","±0.6","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","37,528","±1,722","85.8%","±3.0","103,864","±2,467","92.8%","±1.5","24,964","±1,457","83.3%","±3.3","25,884","±1,527","82.5%","±2.9","114,506","±2,324","88.8%","±1.2","371,697","±3,678","92.9%","±0.7","21,224","±1,320","87.4%","±3.5","27,756","±1,642","86.7%","±3.1","34,860","±1,508","88.2%","±2.5","112,768","±2,810","86.4%","±1.6","26,603","±1,649","87.9%","±3.1","127,003","±2,192","95.0%","±0.9","32,686","±1,507","90.2%","±2.0","134,735","±2,249","93.9%","±0.9","32,152","±1,559","85.7%","±2.6","24,554","±1,389","80.6%","±3.0","41,496","±1,299","89.4%","±1.7","45,569","±1,466","94.8%","±1.4","23,225","±1,061","89.3%","±2.8","65,377","±1,873","92.1%","±1.4","79,650","±2,115","91.7%","±1.3","48,167","±1,899","86.6%","±2.4","26,364","±1,414","91.1%","±2.3","62,484","±2,510","88.1%","±1.9","76,823","±2,647","86.9%","±1.5","30,461","±1,203","84.4%","±2.1","76,839","±2,678","85.5%","±2.1","33,593","±1,840","82.3%","±3.5","31,198","±1,235","90.2%","±2.5","160,284","±2,814","91.6%","±1.1","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","1,731","±777","4.0%","±1.8","3,343","±1,013","3.0%","±0.9","3,657","±957","12.2%","±3.0","3,331","±908","10.6%","±2.8","9,077","±1,960","7.0%","±1.5","11,246","±1,898","2.8%","±0.5","1,711","±695","7.0%","±2.8","3,070","±893","9.6%","±2.8","2,991","±1,074","7.6%","±2.7","9,343","±2,218","7.2%","±1.7","1,329","±622","4.4%","±2.0","2,908","±967","2.2%","±0.7","3,472","±1,288","9.6%","±3.6","8,039","±1,909","5.6%","±1.3","2,630","±966","7.0%","±2.5","3,023","±877","9.9%","±2.9","2,625","±967","5.7%","±2.1","2,600","±1,101","5.4%","±2.3","1,396","±648","5.4%","±2.5","3,818","±1,070","5.4%","±1.5","8,051","±1,836","9.3%","±2.1","5,868","±1,312","10.5%","±2.3","3,191","±863","11.0%","±3.0","10,145","±1,689","14.3%","±2.3","11,620","±1,559","13.1%","±1.7","4,752","±1,036","13.2%","±2.8","11,638","±1,947","12.9%","±2.1","7,960","±1,582","19.5%","±3.8","3,081","±962","8.9%","±2.8","11,279","±1,731","6.4%","±1.0","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","28,760","±1,748","65.7%","±3.7","82,351","±3,328","73.6%","±2.6","16,672","±1,824","55.7%","±5.5","18,538","±1,430","59.1%","±3.9","86,758","±3,027","67.3%","±2.2","307,891","±4,390","76.9%","±1.0","17,233","±1,254","71.0%","±3.7","20,885","±1,723","65.2%","±4.1","25,817","±1,839","65.3%","±3.9","80,187","±3,553","61.4%","±2.4","22,366","±1,573","73.9%","±4.3","110,504","±2,920","82.6%","±1.8","24,091","±2,098","66.5%","±5.0","109,522","±3,057","76.3%","±2.0","24,238","±1,577","64.6%","±3.6","18,100","±1,581","59.4%","±4.1","33,781","±1,456","72.8%","±3.0","37,358","±2,004","77.7%","±3.4","18,176","±1,322","69.9%","±4.0","48,713","±2,192","68.6%","±2.7","60,024","±2,574","69.1%","±2.8","34,044","±2,072","61.2%","±3.4","17,393","±1,504","60.1%","±4.3","39,325","±2,190","55.5%","±2.8","50,099","±2,249","56.7%","±2.2","18,754","±1,664","52.0%","±4.4","48,746","±3,068","54.2%","±3.2","18,207","±2,024","44.6%","±4.9","23,628","±1,469","68.3%","±4.0","126,228","±3,327","72.1%","±1.8","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","205","±189","0.5%","±0.4","346","±295","0.3%","±0.3","95","±118","0.3%","±0.4","131","±135","0.4%","±0.4","751","±404","0.6%","±0.3","1,888","±800","0.5%","±0.2","184","±215","0.8%","±0.9","132","±158","0.4%","±0.5","260","±203","0.7%","±0.5","1,337","±882","1.0%","±0.7","493","±321","1.6%","±1.1","959","±563","0.7%","±0.4","188","±191","0.5%","±0.5","265","±206","0.2%","±0.1","279","±241","0.7%","±0.6","165","±160","0.5%","±0.5","167","±131","0.4%","±0.3","149","±152","0.3%","±0.3","221","±181","0.8%","±0.7","284","±253","0.4%","±0.4","851","±450","1.0%","±0.5","433","±239","0.8%","±0.4","81","±87","0.3%","±0.3","554","±370","0.8%","±0.5","1,032","±494","1.2%","±0.6","383","±288","1.1%","±0.8","1,131","±597","1.3%","±0.7","105","±125","0.3%","±0.3","53","±100","0.2%","±0.3","1,532","±598","0.9%","±0.3","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","5,861","±1,535","13.4%","±3.5","12,722","±2,390","11.4%","±2.1","443","±321","1.5%","±1.1","352","±342","1.1%","±1.1","2,798","±750","2.2%","±0.6","25,744","±3,715","6.4%","±0.9","527","±426","2.2%","±1.7","315","±201","1.0%","±0.6","547","±332","1.4%","±0.8","2,132","±844","1.6%","±0.6","288","±209","1.0%","±0.7","4,887","±1,385","3.7%","±1.0","773","±393","2.1%","±1.1","3,347","±797","2.3%","±0.6","3,134","±1,118","8.4%","±3.0","635","±352","2.1%","±1.1","1,001","±417","2.2%","±0.9","664","±379","1.4%","±0.8","643","±361","2.5%","±1.4","1,934","±886","2.7%","±1.2","1,913","±851","2.2%","±1.0","709","±387","1.3%","±0.7","2,298","±863","7.9%","±2.9","831","±454","1.2%","±0.6","977","±372","1.1%","±0.4","193","±151","0.5%","±0.4","1,236","±504","1.4%","±0.6","1,763","±924","4.3%","±2.2","703","±388","2.0%","±1.1","2,346","±697","1.3%","±0.4","2,937,915","±27,533","2.4%","±0.1"
