"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Percent!!Estimate","Benton County, Arkansas!!Percent!!Margin of Error","Benton County, Arkansas!!Male!!Estimate","Benton County, Arkansas!!Male!!Margin of Error","Benton County, Arkansas!!Percent Male!!Estimate","Benton County, Arkansas!!Percent Male!!Margin of Error","Benton County, Arkansas!!Female!!Estimate","Benton County, Arkansas!!Female!!Margin of Error","Benton County, Arkansas!!Percent Female!!Estimate","Benton County, Arkansas!!Percent Female!!Margin of Error","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Percent!!Estimate","Craighead County, Arkansas!!Percent!!Margin of Error","Craighead County, Arkansas!!Male!!Estimate","Craighead County, Arkansas!!Male!!Margin of Error","Craighead County, Arkansas!!Percent Male!!Estimate","Craighead County, Arkansas!!Percent Male!!Margin of Error","Craighead County, Arkansas!!Female!!Estimate","Craighead County, Arkansas!!Female!!Margin of Error","Craighead County, Arkansas!!Percent Female!!Estimate","Craighead County, Arkansas!!Percent Female!!Margin of Error","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Percent!!Estimate","Faulkner County, Arkansas!!Percent!!Margin of Error","Faulkner County, Arkansas!!Male!!Estimate","Faulkner County, Arkansas!!Male!!Margin of Error","Faulkner County, Arkansas!!Percent Male!!Estimate","Faulkner County, Arkansas!!Percent Male!!Margin of Error","Faulkner County, Arkansas!!Female!!Estimate","Faulkner County, Arkansas!!Female!!Margin of Error","Faulkner County, Arkansas!!Percent Female!!Estimate","Faulkner County, Arkansas!!Percent Female!!Margin of Error","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Percent!!Estimate","Garland County, Arkansas!!Percent!!Margin of Error","Garland County, Arkansas!!Male!!Estimate","Garland County, Arkansas!!Male!!Margin of Error","Garland County, Arkansas!!Percent Male!!Estimate","Garland County, Arkansas!!Percent Male!!Margin of Error","Garland County, Arkansas!!Female!!Estimate","Garland County, Arkansas!!Female!!Margin of Error","Garland County, Arkansas!!Percent Female!!Estimate","Garland County, Arkansas!!Percent Female!!Margin of Error","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Percent!!Estimate","Jefferson County, Arkansas!!Percent!!Margin of Error","Jefferson County, Arkansas!!Male!!Estimate","Jefferson County, Arkansas!!Male!!Margin of Error","Jefferson County, Arkansas!!Percent Male!!Estimate","Jefferson County, Arkansas!!Percent Male!!Margin of Error","Jefferson County, Arkansas!!Female!!Estimate","Jefferson County, Arkansas!!Female!!Margin of Error","Jefferson County, Arkansas!!Percent Female!!Estimate","Jefferson County, Arkansas!!Percent Female!!Margin of Error","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Percent!!Estimate","Lonoke County, Arkansas!!Percent!!Margin of Error","Lonoke County, Arkansas!!Male!!Estimate","Lonoke County, Arkansas!!Male!!Margin of Error","Lonoke County, Arkansas!!Percent Male!!Estimate","Lonoke County, Arkansas!!Percent Male!!Margin of Error","Lonoke County, Arkansas!!Female!!Estimate","Lonoke County, Arkansas!!Female!!Margin of Error","Lonoke County, Arkansas!!Percent Female!!Estimate","Lonoke County, Arkansas!!Percent Female!!Margin of Error","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Percent!!Estimate","Pulaski County, Arkansas!!Percent!!Margin of Error","Pulaski County, Arkansas!!Male!!Estimate","Pulaski County, Arkansas!!Male!!Margin of Error","Pulaski County, Arkansas!!Percent Male!!Estimate","Pulaski County, Arkansas!!Percent Male!!Margin of Error","Pulaski County, Arkansas!!Female!!Estimate","Pulaski County, Arkansas!!Female!!Margin of Error","Pulaski County, Arkansas!!Percent Female!!Estimate","Pulaski County, Arkansas!!Percent Female!!Margin of Error","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Percent!!Estimate","Saline County, Arkansas!!Percent!!Margin of Error","Saline County, Arkansas!!Male!!Estimate","Saline County, Arkansas!!Male!!Margin of Error","Saline County, Arkansas!!Percent Male!!Estimate","Saline County, Arkansas!!Percent Male!!Margin of Error","Saline County, Arkansas!!Female!!Estimate","Saline County, Arkansas!!Female!!Margin of Error","Saline County, Arkansas!!Percent Female!!Estimate","Saline County, Arkansas!!Percent Female!!Margin of Error","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Percent!!Estimate","Sebastian County, Arkansas!!Percent!!Margin of Error","Sebastian County, Arkansas!!Male!!Estimate","Sebastian County, Arkansas!!Male!!Margin of Error","Sebastian County, Arkansas!!Percent Male!!Estimate","Sebastian County, Arkansas!!Percent Male!!Margin of Error","Sebastian County, Arkansas!!Female!!Estimate","Sebastian County, Arkansas!!Female!!Margin of Error","Sebastian County, Arkansas!!Percent Female!!Estimate","Sebastian County, Arkansas!!Percent Female!!Margin of Error","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Percent!!Estimate","Washington County, Arkansas!!Percent!!Margin of Error","Washington County, Arkansas!!Male!!Estimate","Washington County, Arkansas!!Male!!Margin of Error","Washington County, Arkansas!!Percent Male!!Estimate","Washington County, Arkansas!!Percent Male!!Margin of Error","Washington County, Arkansas!!Female!!Estimate","Washington County, Arkansas!!Female!!Margin of Error","Washington County, Arkansas!!Percent Female!!Estimate","Washington County, Arkansas!!Percent Female!!Margin of Error","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Percent!!Estimate","White County, Arkansas!!Percent!!Margin of Error","White County, Arkansas!!Male!!Estimate","White County, Arkansas!!Male!!Margin of Error","White County, Arkansas!!Percent Male!!Estimate","White County, Arkansas!!Percent Male!!Margin of Error","White County, Arkansas!!Female!!Estimate","White County, Arkansas!!Female!!Margin of Error","White County, Arkansas!!Percent Female!!Estimate","White County, Arkansas!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Total population","279,141","*****","(X)","(X)","138,732","±889","(X)","(X)","140,409","±889","(X)","(X)","110,332","*****","(X)","(X)","53,780","±1,086","(X)","(X)","56,552","±1,086","(X)","(X)","126,007","*****","(X)","(X)","60,876","±889","(X)","(X)","65,131","±889","(X)","(X)","99,386","*****","(X)","(X)","47,064","±930","(X)","(X)","52,322","±930","(X)","(X)","66,824","*****","(X)","(X)","32,559","±812","(X)","(X)","34,265","±812","(X)","(X)","73,309","*****","(X)","(X)","35,307","±778","(X)","(X)","38,002","±778","(X)","(X)","391,911","*****","(X)","(X)","186,858","±907","(X)","(X)","205,053","±907","(X)","(X)","122,437","*****","(X)","(X)","59,994","±979","(X)","(X)","62,443","±979","(X)","(X)","127,827","*****","(X)","(X)","61,816","±977","(X)","(X)","66,011","±977","(X)","(X)","239,187","*****","(X)","(X)","119,984","±1,199","(X)","(X)","119,203","±1,199","(X)","(X)","78,753","*****","(X)","(X)","38,769","±454","(X)","(X)","39,984","±454","(X)","(X)","328,239,523","*****","(X)","(X)","161,588,973","±34,808","(X)","(X)","166,650,550","±34,808","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","18,276","±419","6.5%","±0.1","9,770","±488","7.0%","±0.3","8,506","±381","6.1%","±0.3","7,211","±464","6.5%","±0.4","4,143","±592","7.7%","±1.1","3,068","±587","5.4%","±1.0","6,618","±668","5.3%","±0.5","3,168","±294","5.2%","±0.5","3,450","±544","5.3%","±0.8","4,956","±656","5.0%","±0.7","2,764","±496","5.9%","±1.1","2,192","±344","4.2%","±0.7","3,974","*****","5.9%","*****","1,243","±642","3.8%","±1.9","2,731","±642","8.0%","±1.8","4,759","±307","6.5%","±0.4","2,470","±318","7.0%","±0.8","2,289","±284","6.0%","±0.7","25,796","±661","6.6%","±0.2","13,067","±438","7.0%","±0.2","12,729","±581","6.2%","±0.3","7,203","±862","5.9%","±0.7","3,826","±564","6.4%","±0.9","3,377","±532","5.4%","±0.8","8,522","±632","6.7%","±0.5","4,455","±394","7.2%","±0.6","4,067","±345","6.2%","±0.5","15,819","±505","6.6%","±0.2","8,119","±564","6.8%","±0.4","7,700","±654","6.5%","±0.5","4,561","±2","5.8%","±0.1","2,414","±182","6.2%","±0.4","2,147","±182","5.4%","±0.4","19,404,835","±22,314","5.9%","±0.1","9,938,937","±19,654","6.2%","±0.1","9,465,898","±16,480","5.7%","±0.1"
"        5 to 9 years","23,361","±1,946","8.4%","±0.7","12,653","±1,429","9.1%","±1.0","10,708","±1,352","7.6%","±0.9","7,335","±1,007","6.6%","±0.9","3,985","±576","7.4%","±1.1","3,350","±852","5.9%","±1.5","8,039","±1,313","6.4%","±1.0","4,301","±814","7.1%","±1.3","3,738","±759","5.7%","±1.2","5,503","±1,188","5.5%","±1.2","2,491","±737","5.3%","±1.5","3,012","±757","5.8%","±1.4","4,541","±908","6.8%","±1.4","3,092","±690","9.5%","±2.0","1,449","±711","4.2%","±2.1","3,932","±890","5.4%","±1.2","2,032","±652","5.8%","±1.8","1,900","±584","5.0%","±1.5","25,263","±2,185","6.4%","±0.6","12,071","±1,656","6.5%","±0.9","13,192","±1,478","6.4%","±0.7","7,725","±1,077","6.3%","±0.9","4,440","±835","7.4%","±1.4","3,285","±866","5.3%","±1.4","7,244","±1,303","5.7%","±1.0","2,952","±991","4.8%","±1.6","4,292","±1,136","6.5%","±1.7","16,179","±2,149","6.8%","±0.9","8,162","±1,482","6.8%","±1.2","8,017","±1,398","6.7%","±1.2","4,561","±1,114","5.8%","±1.4","2,459","±769","6.3%","±2.0","2,102","±716","5.3%","±1.8","19,690,437","±69,224","6.0%","±0.1","10,033,518","±51,101","6.2%","±0.1","9,656,919","±47,933","5.8%","±0.1"
"        10 to 14 years","19,079","±1,718","6.8%","±0.6","8,872","±1,195","6.4%","±0.9","10,207","±1,210","7.3%","±0.9","7,525","±1,131","6.8%","±1.0","3,455","±587","6.4%","±1.1","4,070","±867","7.2%","±1.5","9,045","±1,661","7.2%","±1.3","4,842","±1,071","8.0%","±1.7","4,203","±1,025","6.5%","±1.6","5,138","±870","5.2%","±0.9","2,907","±679","6.2%","±1.5","2,231","±643","4.3%","±1.2","3,457","±877","5.2%","±1.3","1,371","±498","4.2%","±1.5","2,086","±669","6.1%","±1.9","6,551","±1,083","8.9%","±1.5","3,187","±621","9.0%","±1.7","3,364","±890","8.9%","±2.3","24,769","±2,185","6.3%","±0.6","13,607","±1,469","7.3%","±0.8","11,162","±1,553","5.4%","±0.8","7,922","±1,032","6.5%","±0.8","3,423","±840","5.7%","±1.4","4,499","±807","7.2%","±1.3","9,279","±1,289","7.3%","±1.0","5,513","±963","8.9%","±1.6","3,766","±1,075","5.7%","±1.6","16,604","±2,127","6.9%","±0.9","8,971","±1,683","7.5%","±1.4","7,633","±1,381","6.4%","±1.1","6,245","±1,072","7.9%","±1.4","3,408","±796","8.8%","±2.0","2,837","±760","7.1%","±1.9","21,423,479","±69,779","6.5%","±0.1","10,987,313","±52,483","6.8%","±0.1","10,436,166","±45,451","6.3%","±0.1"
"        15 to 19 years","19,184","±1,135","6.9%","±0.4","10,187","±1,022","7.3%","±0.7","8,997","±445","6.4%","±0.3","7,999","±1,850","7.2%","±1.7","3,982","±1,419","7.4%","±2.7","4,017","±1,255","7.1%","±2.2","10,126","±1,024","8.0%","±0.8","4,600","±719","7.6%","±1.2","5,526","±684","8.5%","±1.0","6,124","±1,030","6.2%","±1.0","3,137","±1,248","6.7%","±2.6","2,987","±978","5.7%","±1.8","3,783","±1,028","5.7%","±1.5","1,915","±565","5.9%","±1.7","1,868","±700","5.5%","±2.0","4,893","±428","6.7%","±0.6","2,537","±268","7.2%","±0.7","2,356","±388","6.2%","±1.1","22,648","±565","5.8%","±0.1","11,298","±501","6.0%","±0.3","11,350","±750","5.5%","±0.4","8,351","±1,323","6.8%","±1.1","3,954","±578","6.6%","±0.9","4,397","±1,194","7.0%","±1.9","9,196","±1,001","7.2%","±0.8","5,056","±1,094","8.2%","±1.7","4,140","±624","6.3%","±0.9","19,681","±1,340","8.2%","±0.6","10,129","±1,171","8.4%","±1.0","9,552","±1,083","8.0%","±0.9","6,658","±986","8.5%","±1.3","3,242","±893","8.4%","±2.3","3,416","±898","8.5%","±2.2","21,353,524","±36,116","6.5%","±0.1","10,903,653","±27,920","6.7%","±0.1","10,449,871","±27,410","6.3%","±0.1"
"        20 to 24 years","16,038","±739","5.7%","±0.3","8,032","±550","5.8%","±0.4","8,006","±490","5.7%","±0.4","8,449","±1,500","7.7%","±1.4","4,751","±1,041","8.8%","±1.9","3,698","±969","6.5%","±1.7","15,495","±1,467","12.3%","±1.2","7,814","±945","12.8%","±1.5","7,681","±880","11.8%","±1.4","5,100","±981","5.1%","±1.0","2,910","±804","6.2%","±1.7","2,190","±537","4.2%","±1.0","5,350","±1,109","8.0%","±1.7","2,485","±402","7.6%","±1.2","2,865","±922","8.4%","±2.7","3,873","±416","5.3%","±0.6","1,916","±192","5.4%","±0.6","1,957","±378","5.1%","±1.0","24,751","±760","6.3%","±0.2","12,225","±567","6.5%","±0.3","12,526","±529","6.1%","±0.3","6,506","±905","5.3%","±0.7","2,616","±207","4.4%","±0.3","3,890","±925","6.2%","±1.5","8,207","±1,484","6.4%","±1.2","3,967","±895","6.4%","±1.5","4,240","±1,072","6.4%","±1.6","25,244","±1,190","10.6%","±0.5","12,966","±913","10.8%","±0.8","12,278","±1,120","10.3%","±1.0","5,282","±912","6.7%","±1.2","2,410","±755","6.2%","±1.9","2,872","±862","7.2%","±2.2","21,468,680","±34,195","6.5%","±0.1","11,014,460","±22,949","6.8%","±0.1","10,454,220","±22,665","6.3%","±0.1"
"        25 to 29 years","20,024","±809","7.2%","±0.3","10,606","±607","7.6%","±0.4","9,418","±505","6.7%","±0.4","9,188","±1,531","8.3%","±1.4","5,217","±1,543","9.7%","±2.8","3,971","±838","7.0%","±1.5","8,521","±870","6.8%","±0.7","4,017","±468","6.6%","±0.8","4,504","±683","6.9%","±1.1","5,672","±749","5.7%","±0.8","2,589","±407","5.5%","±0.9","3,083","±650","5.9%","±1.2","4,772","±896","7.1%","±1.3","2,830","±276","8.7%","±0.9","1,942","±807","5.7%","±2.4","4,932","±377","6.7%","±0.5","2,494","±336","7.1%","±0.9","2,438","±192","6.4%","±0.5","30,036","±850","7.7%","±0.2","14,784","±742","7.9%","±0.4","15,252","±382","7.4%","±0.2","7,919","±860","6.5%","±0.7","4,091","±671","6.8%","±1.1","3,828","±630","6.1%","±1.0","8,603","±1,021","6.7%","±0.8","3,752","±512","6.1%","±0.8","4,851","±856","7.3%","±1.3","18,351","±822","7.7%","±0.3","9,517","±615","7.9%","±0.5","8,834","±561","7.4%","±0.5","4,890","±420","6.2%","±0.5","2,514","±412","6.5%","±1.1","2,376","±136","5.9%","±0.4","23,233,299","±29,995","7.1%","±0.1","11,817,829","±21,300","7.3%","±0.1","11,415,470","±18,024","6.8%","±0.1"
"        30 to 34 years","21,099","±974","7.6%","±0.3","10,055","±739","7.2%","±0.5","11,044","±673","7.9%","±0.5","7,219","±908","6.5%","±0.8","3,179","±324","5.9%","±0.6","4,040","±789","7.1%","±1.4","7,972","±798","6.3%","±0.6","4,002","±457","6.6%","±0.7","3,970","±534","6.1%","±0.8","5,319","±656","5.4%","±0.7","2,190","±166","4.7%","±0.4","3,129","±655","6.0%","±1.3","4,138","±379","6.2%","±0.6","1,907","±225","5.9%","±0.7","2,231","±346","6.5%","±1.0","5,247","±569","7.2%","±0.8","2,248","±143","6.4%","±0.3","2,999","±502","7.9%","±1.3","27,506","±844","7.0%","±0.2","13,014","±491","7.0%","±0.3","14,492","±699","7.1%","±0.3","6,984","±594","5.7%","±0.5","3,583","±453","6.0%","±0.8","3,401","±205","5.4%","±0.3","8,469","±860","6.6%","±0.7","4,152","±517","6.7%","±0.8","4,317","±712","6.5%","±1.1","15,268","±1,519","6.4%","±0.6","8,074","±998","6.7%","±0.8","7,194","±828","6.0%","±0.7","4,876","±395","6.2%","±0.5","2,419","±359","6.2%","±0.9","2,457","±203","6.1%","±0.5","22,345,176","±34,217","6.8%","±0.1","11,281,470","±23,076","7.0%","±0.1","11,063,706","±19,779","6.6%","±0.1"
"        35 to 39 years","20,370","±2,073","7.3%","±0.7","9,499","±1,385","6.8%","±1.0","10,871","±1,242","7.7%","±0.9","8,188","±1,477","7.4%","±1.3","3,114","±757","5.8%","±1.4","5,074","±1,411","9.0%","±2.5","10,136","±1,397","8.0%","±1.1","4,920","±934","8.1%","±1.5","5,216","±866","8.0%","±1.3","5,448","±1,769","5.5%","±1.8","2,537","±1,096","5.4%","±2.3","2,911","±1,097","5.6%","±2.1","3,587","±808","5.4%","±1.2","2,167","±595","6.7%","±1.8","1,420","±496","4.1%","±1.4","6,122","±1,032","8.4%","±1.4","2,478","±617","7.0%","±1.8","3,644","±772","9.6%","±2.0","27,262","±2,451","7.0%","±0.6","13,682","±1,519","7.3%","±0.8","13,580","±1,955","6.6%","±1.0","7,696","±1,712","6.3%","±1.4","3,557","±1,192","5.9%","±2.0","4,139","±812","6.6%","±1.3","7,758","±1,384","6.1%","±1.1","3,585","±887","5.8%","±1.4","4,173","±1,005","6.3%","±1.5","15,076","±2,039","6.3%","±0.9","7,773","±1,371","6.5%","±1.2","7,303","±1,331","6.1%","±1.1","5,111","±1,003","6.5%","±1.3","2,582","±637","6.7%","±1.6","2,529","±684","6.3%","±1.7","21,728,259","±61,731","6.6%","±0.1","10,892,040","±44,493","6.7%","±0.1","10,836,219","±39,187","6.5%","±0.1"
