"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Percent!!Estimate","DeSoto County, Mississippi!!Percent!!Margin of Error","DeSoto County, Mississippi!!Male!!Estimate","DeSoto County, Mississippi!!Male!!Margin of Error","DeSoto County, Mississippi!!Percent Male!!Estimate","DeSoto County, Mississippi!!Percent Male!!Margin of Error","DeSoto County, Mississippi!!Female!!Estimate","DeSoto County, Mississippi!!Female!!Margin of Error","DeSoto County, Mississippi!!Percent Female!!Estimate","DeSoto County, Mississippi!!Percent Female!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Percent!!Estimate","Forrest County, Mississippi!!Percent!!Margin of Error","Forrest County, Mississippi!!Male!!Estimate","Forrest County, Mississippi!!Male!!Margin of Error","Forrest County, Mississippi!!Percent Male!!Estimate","Forrest County, Mississippi!!Percent Male!!Margin of Error","Forrest County, Mississippi!!Female!!Estimate","Forrest County, Mississippi!!Female!!Margin of Error","Forrest County, Mississippi!!Percent Female!!Estimate","Forrest County, Mississippi!!Percent Female!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Percent!!Estimate","Harrison County, Mississippi!!Percent!!Margin of Error","Harrison County, Mississippi!!Male!!Estimate","Harrison County, Mississippi!!Male!!Margin of Error","Harrison County, Mississippi!!Percent Male!!Estimate","Harrison County, Mississippi!!Percent Male!!Margin of Error","Harrison County, Mississippi!!Female!!Estimate","Harrison County, Mississippi!!Female!!Margin of Error","Harrison County, Mississippi!!Percent Female!!Estimate","Harrison County, Mississippi!!Percent Female!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Percent!!Estimate","Hinds County, Mississippi!!Percent!!Margin of Error","Hinds County, Mississippi!!Male!!Estimate","Hinds County, Mississippi!!Male!!Margin of Error","Hinds County, Mississippi!!Percent Male!!Estimate","Hinds County, Mississippi!!Percent Male!!Margin of Error","Hinds County, Mississippi!!Female!!Estimate","Hinds County, Mississippi!!Female!!Margin of Error","Hinds County, Mississippi!!Percent Female!!Estimate","Hinds County, Mississippi!!Percent Female!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Percent!!Estimate","Jackson County, Mississippi!!Percent!!Margin of Error","Jackson County, Mississippi!!Male!!Estimate","Jackson County, Mississippi!!Male!!Margin of Error","Jackson County, Mississippi!!Percent Male!!Estimate","Jackson County, Mississippi!!Percent Male!!Margin of Error","Jackson County, Mississippi!!Female!!Estimate","Jackson County, Mississippi!!Female!!Margin of Error","Jackson County, Mississippi!!Percent Female!!Estimate","Jackson County, Mississippi!!Percent Female!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Percent!!Estimate","Jones County, Mississippi!!Percent!!Margin of Error","Jones County, Mississippi!!Male!!Estimate","Jones County, Mississippi!!Male!!Margin of Error","Jones County, Mississippi!!Percent Male!!Estimate","Jones County, Mississippi!!Percent Male!!Margin of Error","Jones County, Mississippi!!Female!!Estimate","Jones County, Mississippi!!Female!!Margin of Error","Jones County, Mississippi!!Percent Female!!Estimate","Jones County, Mississippi!!Percent Female!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Percent!!Estimate","Lauderdale County, Mississippi!!Percent!!Margin of Error","Lauderdale County, Mississippi!!Male!!Estimate","Lauderdale County, Mississippi!!Male!!Margin of Error","Lauderdale County, Mississippi!!Percent Male!!Estimate","Lauderdale County, Mississippi!!Percent Male!!Margin of Error","Lauderdale County, Mississippi!!Female!!Estimate","Lauderdale County, Mississippi!!Female!!Margin of Error","Lauderdale County, Mississippi!!Percent Female!!Estimate","Lauderdale County, Mississippi!!Percent Female!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Percent!!Estimate","Lee County, Mississippi!!Percent!!Margin of Error","Lee County, Mississippi!!Male!!Estimate","Lee County, Mississippi!!Male!!Margin of Error","Lee County, Mississippi!!Percent Male!!Estimate","Lee County, Mississippi!!Percent Male!!Margin of Error","Lee County, Mississippi!!Female!!Estimate","Lee County, Mississippi!!Female!!Margin of Error","Lee County, Mississippi!!Percent Female!!Estimate","Lee County, Mississippi!!Percent Female!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Percent!!Estimate","Madison County, Mississippi!!Percent!!Margin of Error","Madison County, Mississippi!!Male!!Estimate","Madison County, Mississippi!!Male!!Margin of Error","Madison County, Mississippi!!Percent Male!!Estimate","Madison County, Mississippi!!Percent Male!!Margin of Error","Madison County, Mississippi!!Female!!Estimate","Madison County, Mississippi!!Female!!Margin of Error","Madison County, Mississippi!!Percent Female!!Estimate","Madison County, Mississippi!!Percent Female!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Percent!!Estimate","Rankin County, Mississippi!!Percent!!Margin of Error","Rankin County, Mississippi!!Male!!Estimate","Rankin County, Mississippi!!Male!!Margin of Error","Rankin County, Mississippi!!Percent Male!!Estimate","Rankin County, Mississippi!!Percent Male!!Margin of Error","Rankin County, Mississippi!!Female!!Estimate","Rankin County, Mississippi!!Female!!Margin of Error","Rankin County, Mississippi!!Percent Female!!Estimate","Rankin County, Mississippi!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Total population","184,945","*****","(X)","(X)","89,341","±922","(X)","(X)","95,604","±922","(X)","(X)","74,897","*****","(X)","(X)","34,650","±1,257","(X)","(X)","40,247","±1,257","(X)","(X)","208,080","*****","(X)","(X)","101,057","±1,148","(X)","(X)","107,023","±1,148","(X)","(X)","231,840","*****","(X)","(X)","108,273","±567","(X)","(X)","123,567","±567","(X)","(X)","143,617","*****","(X)","(X)","69,870","±861","(X)","(X)","73,747","±861","(X)","(X)","68,098","*****","(X)","(X)","33,302","±788","(X)","(X)","34,796","±788","(X)","(X)","74,125","*****","(X)","(X)","35,869","±936","(X)","(X)","38,256","±936","(X)","(X)","85,436","*****","(X)","(X)","40,444","±513","(X)","(X)","44,992","±513","(X)","(X)","106,272","*****","(X)","(X)","49,593","±881","(X)","(X)","56,679","±881","(X)","(X)","155,271","*****","(X)","(X)","73,833","±942","(X)","(X)","81,438","±942","(X)","(X)","328,239,523","*****","(X)","(X)","161,588,973","±34,808","(X)","(X)","166,650,550","±34,808","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","11,539","±200","6.2%","±0.1","5,509","±274","6.2%","±0.3","6,030","±224","6.3%","±0.2","4,733","±3","6.3%","±0.1","1,974","±861","5.7%","±2.3","2,759","±861","6.9%","±2.0","13,546","±1,054","6.5%","±0.5","6,768","±472","6.7%","±0.5","6,778","±767","6.3%","±0.7","14,830","±622","6.4%","±0.3","7,841","±621","7.2%","±0.5","6,989","±85","5.7%","±0.1","7,745","±547","5.4%","±0.4","3,295","±489","4.7%","±0.7","4,450","±665","6.0%","±0.9","4,415","±438","6.5%","±0.6","2,680","±417","8.0%","±1.2","1,735","±410","5.0%","±1.1","4,616","±190","6.2%","±0.3","2,568","±721","7.2%","±1.9","2,048","±727","5.4%","±1.8","5,718","±356","6.7%","±0.4","2,809","±115","6.9%","±0.3","2,909","±257","6.5%","±0.6","6,279","±237","5.9%","±0.2","2,557","±583","5.2%","±1.1","3,722","±612","6.6%","±1.0","9,222","±434","5.9%","±0.3","4,163","±719","5.6%","±0.9","5,059","±717","6.2%","±0.8","19,404,835","±22,314","5.9%","±0.1","9,938,937","±19,654","6.2%","±0.1","9,465,898","±16,480","5.7%","±0.1"
"        5 to 9 years","13,450","±1,636","7.3%","±0.9","6,341","±1,209","7.1%","±1.3","7,109","±952","7.4%","±1.0","3,780","±1,188","5.0%","±1.6","1,602","±752","4.6%","±2.2","2,178","±965","5.4%","±2.4","11,191","±1,619","5.4%","±0.8","5,988","±1,209","5.9%","±1.2","5,203","±1,247","4.9%","±1.2","14,485","±1,584","6.2%","±0.7","7,694","±1,176","7.1%","±1.1","6,791","±1,129","5.5%","±0.9","8,901","±1,459","6.2%","±1.0","4,810","±1,039","6.9%","±1.5","4,091","±1,086","5.5%","±1.5","5,380","±1,216","7.9%","±1.8","2,730","±1,061","8.2%","±3.2","2,650","±923","7.6%","±2.6","4,469","±860","6.0%","±1.2","1,952","±554","5.4%","±1.5","2,517","±673","6.6%","±1.8","5,195","±1,082","6.1%","±1.3","3,168","±734","7.8%","±1.8","2,027","±799","4.5%","±1.8","7,797","±1,480","7.3%","±1.4","4,203","±1,135","8.5%","±2.3","3,594","±920","6.3%","±1.6","11,138","±1,433","7.2%","±0.9","5,440","±1,137","7.4%","±1.5","5,698","±1,151","7.0%","±1.4","19,690,437","±69,224","6.0%","±0.1","10,033,518","±51,101","6.2%","±0.1","9,656,919","±47,933","5.8%","±0.1"
"        10 to 14 years","13,282","±1,603","7.2%","±0.9","7,455","±1,152","8.3%","±1.3","5,827","±984","6.1%","±1.0","6,142","±1,180","8.2%","±1.6","3,099","±752","8.9%","±2.2","3,043","±855","7.6%","±2.0","16,681","±1,714","8.0%","±0.8","8,436","±1,267","8.3%","±1.2","8,245","±1,263","7.7%","±1.2","16,514","±1,568","7.1%","±0.7","8,103","±1,140","7.5%","±1.1","8,411","±1,135","6.8%","±0.9","10,656","±1,424","7.4%","±1.0","5,252","±944","7.5%","±1.4","5,404","±1,094","7.3%","±1.5","4,751","±1,053","7.0%","±1.5","2,282","±982","6.9%","±2.9","2,469","±756","7.1%","±2.2","5,211","±842","7.0%","±1.1","3,062","±551","8.5%","±1.6","2,149","±678","5.6%","±1.8","6,952","±1,027","8.1%","±1.2","2,848","±710","7.0%","±1.8","4,104","±772","9.1%","±1.7","7,648","±1,552","7.2%","±1.5","3,541","±1,149","7.1%","±2.3","4,107","±950","7.2%","±1.7","9,450","±1,415","6.1%","±0.9","4,603","±1,097","6.2%","±1.5","4,847","±1,079","6.0%","±1.3","21,423,479","±69,779","6.5%","±0.1","10,987,313","±52,483","6.8%","±0.1","10,436,166","±45,451","6.3%","±0.1"
"        15 to 19 years","13,143","±888","7.1%","±0.5","7,070","±1,018","7.9%","±1.1","6,073","±1,011","6.4%","±1.0","4,814","±1,025","6.4%","±1.4","2,733","±843","7.9%","±2.3","2,081","±655","5.2%","±1.6","16,831","±1,775","8.1%","±0.9","9,530","±1,355","9.4%","±1.3","7,301","±1,129","6.8%","±1.0","17,275","±843","7.5%","±0.4","8,467","±621","7.8%","±0.6","8,808","±527","7.1%","±0.4","9,776","±1,449","6.8%","±1.0","5,599","±1,249","8.0%","±1.8","4,177","±779","5.7%","±1.0","4,705","±996","6.9%","±1.5","2,731","±819","8.2%","±2.5","1,974","±651","5.7%","±1.8","5,265","±607","7.1%","±0.8","1,673","±721","4.7%","±2.0","3,592","±786","9.4%","±2.0","5,405","±955","6.3%","±1.1","3,001","±592","7.4%","±1.4","2,404","±827","5.3%","±1.8","6,417","±882","6.0%","±0.8","3,219","±961","6.5%","±1.9","3,198","±682","5.6%","±1.2","8,790","±1,138","5.7%","±0.7","4,561","±731","6.2%","±1.0","4,229","±940","5.2%","±1.1","21,353,524","±36,116","6.5%","±0.1","10,903,653","±27,920","6.7%","±0.1","10,449,871","±27,410","6.3%","±0.1"
"        20 to 24 years","11,764","±1,042","6.4%","±0.6","6,117","±713","6.8%","±0.8","5,647","±756","5.9%","±0.8","8,238","±1,891","11.0%","±2.5","3,554","±987","10.3%","±2.9","4,684","±1,327","11.6%","±3.4","13,016","±1,505","6.3%","±0.7","6,159","±1,120","6.1%","±1.1","6,857","±996","6.4%","±0.9","17,635","±757","7.6%","±0.3","8,165","±628","7.5%","±0.6","9,470","±433","7.7%","±0.4","7,558","±1,284","5.3%","±0.9","4,006","±992","5.7%","±1.4","3,552","±776","4.8%","±1.1","4,224","±1,215","6.2%","±1.8","2,364","±832","7.1%","±2.5","1,860","±784","5.3%","±2.3","3,503","±896","4.7%","±1.2","2,251","±866","6.3%","±2.4","1,252","±618","3.3%","±1.6","6,577","±952","7.7%","±1.1","3,104","±617","7.7%","±1.5","3,473","±621","7.7%","±1.4","7,474","±1,013","7.0%","±1.0","3,346","±714","6.7%","±1.5","4,128","±540","7.3%","±1.0","9,523","±1,379","6.1%","±0.9","5,234","±752","7.1%","±1.0","4,289","±891","5.3%","±1.1","21,468,680","±34,195","6.5%","±0.1","11,014,460","±22,949","6.8%","±0.1","10,454,220","±22,665","6.3%","±0.1"
"        25 to 29 years","12,312","±412","6.7%","±0.2","6,446","±469","7.2%","±0.5","5,866","±204","6.1%","±0.2","6,285","±1,763","8.4%","±2.4","2,703","±754","7.8%","±2.2","3,582","±1,269","8.9%","±3.1","13,207","±1,179","6.3%","±0.6","6,375","±971","6.3%","±0.9","6,832","±960","6.4%","±0.9","17,945","±304","7.7%","±0.1","8,647","±195","8.0%","±0.2","9,298","±301","7.5%","±0.2","8,958","±989","6.2%","±0.7","4,495","±642","6.4%","±0.9","4,463","±879","6.1%","±1.2","3,223","±640","4.7%","±0.9","1,440","±548","4.3%","±1.7","1,783","±448","5.1%","±1.3","6,016","±873","8.1%","±1.2","3,475","±861","9.7%","±2.4","2,541","±129","6.6%","±0.4","4,416","±581","5.2%","±0.7","2,091","±297","5.2%","±0.7","2,325","±519","5.2%","±1.2","6,455","±85","6.1%","±0.1","3,140","±50","6.3%","±0.1","3,315","±84","5.8%","±0.2","10,135","±1,045","6.5%","±0.7","4,428","±555","6.0%","±0.8","5,707","±707","7.0%","±0.9","23,233,299","±29,995","7.1%","±0.1","11,817,829","±21,300","7.3%","±0.1","11,415,470","±18,024","6.8%","±0.1"
"        30 to 34 years","11,910","±1,040","6.4%","±0.6","5,326","±924","6.0%","±1.0","6,584","±322","6.9%","±0.4","4,250","±1,095","5.7%","±1.5","2,324","±944","6.7%","±2.6","1,926","±520","4.8%","±1.3","12,895","±880","6.2%","±0.4","5,432","±686","5.4%","±0.7","7,463","±444","7.0%","±0.4","15,358","±232","6.6%","±0.1","7,135","±179","6.6%","±0.2","8,223","±134","6.7%","±0.1","8,627","±1,214","6.0%","±0.8","4,324","±746","6.2%","±1.1","4,303","±748","5.8%","±1.0","5,623","±1,445","8.3%","±2.1","2,470","±870","7.4%","±2.6","3,153","±995","9.1%","±2.9","3,915","±1,018","5.3%","±1.4","1,574","±381","4.4%","±1.1","2,341","±940","6.1%","±2.5","4,830","±503","5.7%","±0.6","2,545","±86","6.3%","±0.2","2,285","±470","5.1%","±1.0","6,681","±850","6.3%","±0.8","3,074","±783","6.2%","±1.5","3,607","±279","6.4%","±0.5","12,302","±1,762","7.9%","±1.1","6,611","±1,285","9.0%","±1.8","5,691","±869","7.0%","±1.1","22,345,176","±34,217","6.8%","±0.1","11,281,470","±23,076","7.0%","±0.1","11,063,706","±19,779","6.6%","±0.1"
"        35 to 39 years","14,181","±1,657","7.7%","±0.9","6,434","±1,092","7.2%","±1.2","7,747","±1,013","8.1%","±1.1","5,183","±1,282","6.9%","±1.7","2,570","±691","7.4%","±2.0","2,613","±921","6.5%","±2.3","12,516","±1,992","6.0%","±1.0","5,851","±1,460","5.8%","±1.4","6,665","±1,280","6.2%","±1.2","12,896","±1,708","5.6%","±0.7","6,823","±1,155","6.3%","±1.1","6,073","±1,189","4.9%","±1.0","10,305","±1,561","7.2%","±1.1","5,184","±1,139","7.4%","±1.6","5,121","±1,072","6.9%","±1.4","4,419","±1,140","6.5%","±1.7","2,008","±861","6.0%","±2.6","2,411","±736","6.9%","±2.1","5,049","±1,140","6.8%","±1.5","2,364","±838","6.6%","±2.3","2,685","±937","7.0%","±2.5","4,825","±1,171","5.6%","±1.4","1,657","±680","4.1%","±1.7","3,168","±804","7.0%","±1.8","9,281","±1,561","8.7%","±1.5","4,654","±1,115","9.4%","±2.3","4,627","±813","8.2%","±1.4","11,214","±1,948","7.2%","±1.3","4,838","±1,220","6.6%","±1.7","6,376","±1,370","7.8%","±1.7","21,728,259","±61,731","6.6%","±0.1","10,892,040","±44,493","6.7%","±0.1","10,836,219","±39,187","6.5%","±0.1"
