"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Percent!!Estimate","Canadian County, Oklahoma!!Percent!!Margin of Error","Canadian County, Oklahoma!!Male!!Estimate","Canadian County, Oklahoma!!Male!!Margin of Error","Canadian County, Oklahoma!!Percent Male!!Estimate","Canadian County, Oklahoma!!Percent Male!!Margin of Error","Canadian County, Oklahoma!!Female!!Estimate","Canadian County, Oklahoma!!Female!!Margin of Error","Canadian County, Oklahoma!!Percent Female!!Estimate","Canadian County, Oklahoma!!Percent Female!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Percent!!Estimate","Cleveland County, Oklahoma!!Percent!!Margin of Error","Cleveland County, Oklahoma!!Male!!Estimate","Cleveland County, Oklahoma!!Male!!Margin of Error","Cleveland County, Oklahoma!!Percent Male!!Estimate","Cleveland County, Oklahoma!!Percent Male!!Margin of Error","Cleveland County, Oklahoma!!Female!!Estimate","Cleveland County, Oklahoma!!Female!!Margin of Error","Cleveland County, Oklahoma!!Percent Female!!Estimate","Cleveland County, Oklahoma!!Percent Female!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Percent!!Estimate","Comanche County, Oklahoma!!Percent!!Margin of Error","Comanche County, Oklahoma!!Male!!Estimate","Comanche County, Oklahoma!!Male!!Margin of Error","Comanche County, Oklahoma!!Percent Male!!Estimate","Comanche County, Oklahoma!!Percent Male!!Margin of Error","Comanche County, Oklahoma!!Female!!Estimate","Comanche County, Oklahoma!!Female!!Margin of Error","Comanche County, Oklahoma!!Percent Female!!Estimate","Comanche County, Oklahoma!!Percent Female!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Percent!!Estimate","Creek County, Oklahoma!!Percent!!Margin of Error","Creek County, Oklahoma!!Male!!Estimate","Creek County, Oklahoma!!Male!!Margin of Error","Creek County, Oklahoma!!Percent Male!!Estimate","Creek County, Oklahoma!!Percent Male!!Margin of Error","Creek County, Oklahoma!!Female!!Estimate","Creek County, Oklahoma!!Female!!Margin of Error","Creek County, Oklahoma!!Percent Female!!Estimate","Creek County, Oklahoma!!Percent Female!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Percent!!Estimate","Muskogee County, Oklahoma!!Percent!!Margin of Error","Muskogee County, Oklahoma!!Male!!Estimate","Muskogee County, Oklahoma!!Male!!Margin of Error","Muskogee County, Oklahoma!!Percent Male!!Estimate","Muskogee County, Oklahoma!!Percent Male!!Margin of Error","Muskogee County, Oklahoma!!Female!!Estimate","Muskogee County, Oklahoma!!Female!!Margin of Error","Muskogee County, Oklahoma!!Percent Female!!Estimate","Muskogee County, Oklahoma!!Percent Female!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Percent!!Estimate","Oklahoma County, Oklahoma!!Percent!!Margin of Error","Oklahoma County, Oklahoma!!Male!!Estimate","Oklahoma County, Oklahoma!!Male!!Margin of Error","Oklahoma County, Oklahoma!!Percent Male!!Estimate","Oklahoma County, Oklahoma!!Percent Male!!Margin of Error","Oklahoma County, Oklahoma!!Female!!Estimate","Oklahoma County, Oklahoma!!Female!!Margin of Error","Oklahoma County, Oklahoma!!Percent Female!!Estimate","Oklahoma County, Oklahoma!!Percent Female!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Percent!!Estimate","Payne County, Oklahoma!!Percent!!Margin of Error","Payne County, Oklahoma!!Male!!Estimate","Payne County, Oklahoma!!Male!!Margin of Error","Payne County, Oklahoma!!Percent Male!!Estimate","Payne County, Oklahoma!!Percent Male!!Margin of Error","Payne County, Oklahoma!!Female!!Estimate","Payne County, Oklahoma!!Female!!Margin of Error","Payne County, Oklahoma!!Percent Female!!Estimate","Payne County, Oklahoma!!Percent Female!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Percent!!Estimate","Pottawatomie County, Oklahoma!!Percent!!Margin of Error","Pottawatomie County, Oklahoma!!Male!!Estimate","Pottawatomie County, Oklahoma!!Male!!Margin of Error","Pottawatomie County, Oklahoma!!Percent Male!!Estimate","Pottawatomie County, Oklahoma!!Percent Male!!Margin of Error","Pottawatomie County, Oklahoma!!Female!!Estimate","Pottawatomie County, Oklahoma!!Female!!Margin of Error","Pottawatomie County, Oklahoma!!Percent Female!!Estimate","Pottawatomie County, Oklahoma!!Percent Female!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Percent!!Estimate","Rogers County, Oklahoma!!Percent!!Margin of Error","Rogers County, Oklahoma!!Male!!Estimate","Rogers County, Oklahoma!!Male!!Margin of Error","Rogers County, Oklahoma!!Percent Male!!Estimate","Rogers County, Oklahoma!!Percent Male!!Margin of Error","Rogers County, Oklahoma!!Female!!Estimate","Rogers County, Oklahoma!!Female!!Margin of Error","Rogers County, Oklahoma!!Percent Female!!Estimate","Rogers County, Oklahoma!!Percent Female!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Percent!!Estimate","Tulsa County, Oklahoma!!Percent!!Margin of Error","Tulsa County, Oklahoma!!Male!!Estimate","Tulsa County, Oklahoma!!Male!!Margin of Error","Tulsa County, Oklahoma!!Percent Male!!Estimate","Tulsa County, Oklahoma!!Percent Male!!Margin of Error","Tulsa County, Oklahoma!!Female!!Estimate","Tulsa County, Oklahoma!!Female!!Margin of Error","Tulsa County, Oklahoma!!Percent Female!!Estimate","Tulsa County, Oklahoma!!Percent Female!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Percent!!Estimate","Wagoner County, Oklahoma!!Percent!!Margin of Error","Wagoner County, Oklahoma!!Male!!Estimate","Wagoner County, Oklahoma!!Male!!Margin of Error","Wagoner County, Oklahoma!!Percent Male!!Estimate","Wagoner County, Oklahoma!!Percent Male!!Margin of Error","Wagoner County, Oklahoma!!Female!!Estimate","Wagoner County, Oklahoma!!Female!!Margin of Error","Wagoner County, Oklahoma!!Percent Female!!Estimate","Wagoner County, Oklahoma!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Total population","148,306","*****","(X)","(X)","73,391","±1,123","(X)","(X)","74,915","±1,123","(X)","(X)","284,014","*****","(X)","(X)","142,100","±610","(X)","(X)","141,914","±610","(X)","(X)","120,749","*****","(X)","(X)","63,713","±1,101","(X)","(X)","57,036","±1,101","(X)","(X)","71,522","*****","(X)","(X)","35,216","±386","(X)","(X)","36,306","±386","(X)","(X)","67,997","*****","(X)","(X)","33,469","±423","(X)","(X)","34,528","±423","(X)","(X)","797,434","*****","(X)","(X)","390,430","±180","(X)","(X)","407,004","±180","(X)","(X)","81,784","*****","(X)","(X)","40,802","±787","(X)","(X)","40,982","±787","(X)","(X)","72,592","*****","(X)","(X)","35,056","±412","(X)","(X)","37,536","±412","(X)","(X)","92,459","*****","(X)","(X)","45,991","±327","(X)","(X)","46,468","±327","(X)","(X)","651,552","*****","(X)","(X)","318,039","±205","(X)","(X)","333,513","±205","(X)","(X)","81,289","*****","(X)","(X)","40,503","±354","(X)","(X)","40,786","±354","(X)","(X)","328,239,523","*****","(X)","(X)","161,588,973","±34,808","(X)","(X)","166,650,550","±34,808","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","9,165","±514","6.2%","±0.3","4,698","±394","6.4%","±0.5","4,467","±409","6.0%","±0.5","14,784","*****","5.2%","*****","7,542","±504","5.3%","±0.3","7,242","±504","5.1%","±0.3","8,032","±5","6.7%","±0.1","4,232","±749","6.6%","±1.1","3,800","±750","6.7%","±1.2","3,934","±169","5.5%","±0.2","1,974","±97","5.6%","±0.3","1,960","±120","5.4%","±0.3","4,280","±374","6.3%","±0.5","2,351","±329","7.0%","±1.0","1,929","±188","5.6%","±0.5","57,841","±76","7.3%","±0.1","29,460","±2","7.5%","±0.1","28,381","±76","7.0%","±0.1","3,924","±492","4.8%","±0.6","2,197","±429","5.4%","±1.0","1,727","±217","4.2%","±0.5","4,386","±203","6.0%","±0.3","2,333","±130","6.7%","±0.4","2,053","±202","5.5%","±0.5","5,635","±167","6.1%","±0.2","2,888","±214","6.3%","±0.4","2,747","±171","5.9%","±0.3","45,843","±351","7.0%","±0.1","23,730","±176","7.5%","±0.1","22,113","±175","6.6%","±0.1","4,622","±187","5.7%","±0.2","2,498","±186","6.2%","±0.4","2,124","±126","5.2%","±0.3","19,404,835","±22,314","5.9%","±0.1","9,938,937","±19,654","6.2%","±0.1","9,465,898","±16,480","5.7%","±0.1"
"        5 to 9 years","10,307","±1,667","6.9%","±1.1","5,178","±1,072","7.1%","±1.5","5,129","±1,101","6.8%","±1.5","14,717","±1,467","5.2%","±0.5","7,762","±1,358","5.5%","±1.0","6,955","±942","4.9%","±0.7","9,591","±938","7.9%","±0.8","5,379","±638","8.4%","±1.0","4,212","±593","7.4%","±1.1","4,743","±615","6.6%","±0.9","2,384","±538","6.8%","±1.5","2,359","±375","6.5%","±1.0","5,359","±596","7.9%","±0.9","2,801","±527","8.4%","±1.6","2,558","±389","7.4%","±1.1","55,566","±3,092","7.0%","±0.4","28,271","±2,388","7.2%","±0.6","27,295","±2,336","6.7%","±0.6","4,787","±727","5.9%","±0.9","2,284","±601","5.6%","±1.5","2,503","±598","6.1%","±1.5","3,969","±720","5.5%","±1.0","1,876","±487","5.4%","±1.4","2,093","±500","5.6%","±1.3","5,007","±574","5.4%","±0.6","2,569","±441","5.6%","±1.0","2,438","±478","5.2%","±1.0","45,172","±2,064","6.9%","±0.3","24,040","±1,503","7.6%","±0.5","21,132","±1,562","6.3%","±0.5","5,582","±612","6.9%","±0.8","2,838","±452","7.0%","±1.1","2,744","±441","6.7%","±1.1","19,690,437","±69,224","6.0%","±0.1","10,033,518","±51,101","6.2%","±0.1","9,656,919","±47,933","5.8%","±0.1"
"        10 to 14 years","12,273","±1,708","8.3%","±1.2","6,668","±1,099","9.1%","±1.5","5,605","±1,118","7.5%","±1.5","19,868","±1,467","7.0%","±0.5","10,059","±1,358","7.1%","±0.9","9,809","±942","6.9%","±0.7","5,864","±867","4.9%","±0.7","3,009","±596","4.7%","±1.0","2,855","±581","5.0%","±1.0","5,160","±610","7.2%","±0.9","2,899","±513","8.2%","±1.5","2,261","±394","6.2%","±1.1","4,232","±559","6.2%","±0.8","2,139","±473","6.4%","±1.4","2,093","±407","6.1%","±1.2","57,561","±3,102","7.2%","±0.4","29,648","±2,382","7.6%","±0.6","27,913","±2,346","6.9%","±0.6","4,220","±936","5.2%","±1.1","2,295","±678","5.6%","±1.6","1,925","±750","4.7%","±1.8","5,924","±723","8.2%","±1.0","3,193","±496","9.1%","±1.4","2,731","±463","7.3%","±1.2","7,020","±595","7.6%","±0.6","3,562","±416","7.7%","±0.9","3,458","±498","7.4%","±1.1","46,061","±2,044","7.1%","±0.3","22,416","±1,503","7.0%","±0.5","23,645","±1,542","7.1%","±0.5","5,753","±612","7.1%","±0.8","3,158","±483","7.8%","±1.2","2,595","±399","6.4%","±1.0","21,423,479","±69,779","6.5%","±0.1","10,987,313","±52,483","6.8%","±0.1","10,436,166","±45,451","6.3%","±0.1"
"        15 to 19 years","10,917","±1,354","7.4%","±0.9","6,118","±1,142","8.3%","±1.5","4,799","±704","6.4%","±0.9","23,135","±1,456","8.1%","±0.5","12,016","±1,150","8.5%","±0.8","11,119","±904","7.8%","±0.6","8,789","±1,406","7.3%","±1.2","4,499","±656","7.1%","±1.0","4,290","±1,040","7.5%","±1.8","4,932","±388","6.9%","±0.5","2,393","±348","6.8%","±1.0","2,539","±283","7.0%","±0.8","4,569","±510","6.7%","±0.8","2,431","±378","7.3%","±1.1","2,138","±500","6.2%","±1.4","50,941","±518","6.4%","±0.1","25,970","±232","6.7%","±0.1","24,971","±446","6.1%","±0.1","8,614","±1,140","10.5%","±1.4","3,685","±378","9.0%","±0.9","4,929","±1,017","12.0%","±2.4","5,528","±487","7.6%","±0.7","2,846","±433","8.1%","±1.2","2,682","±317","7.1%","±0.8","5,704","±235","6.2%","±0.3","2,923","±215","6.4%","±0.5","2,781","±115","6.0%","±0.2","42,606","±311","6.5%","±0.1","21,877","±232","6.9%","±0.1","20,729","±122","6.2%","±0.1","5,510","±305","6.8%","±0.4","2,930","±275","7.2%","±0.7","2,580","±290","6.3%","±0.7","21,353,524","±36,116","6.5%","±0.1","10,903,653","±27,920","6.7%","±0.1","10,449,871","±27,410","6.3%","±0.1"
"        20 to 24 years","8,402","±1,123","5.7%","±0.8","3,750","±823","5.1%","±1.1","4,652","±795","6.2%","±1.1","31,110","±1,434","11.0%","±0.5","16,641","±1,000","11.7%","±0.7","14,469","±909","10.2%","±0.6","10,484","±1,403","8.7%","±1.2","6,714","±886","10.5%","±1.4","3,770","±905","6.6%","±1.6","3,625","±388","5.1%","±0.5","1,936","±305","5.5%","±0.9","1,689","±252","4.7%","±0.7","4,035","±508","5.9%","±0.7","2,360","±435","7.1%","±1.3","1,675","±370","4.9%","±1.1","52,810","±528","6.6%","±0.1","26,757","±232","6.9%","±0.1","26,053","±465","6.4%","±0.1","15,041","±1,152","18.4%","±1.4","8,266","±775","20.3%","±1.9","6,775","±745","16.5%","±1.8","4,523","±443","6.2%","±0.6","2,118","±286","6.0%","±0.8","2,405","±340","6.4%","±0.9","5,964","±308","6.5%","±0.3","3,277","±229","7.1%","±0.5","2,687","±170","5.8%","±0.4","41,474","±202","6.4%","±0.1","20,756","±202","6.5%","±0.1","20,718","±4","6.2%","±0.1","4,312","±383","5.3%","±0.5","2,331","±290","5.8%","±0.7","1,981","±259","4.9%","±0.6","21,468,680","±34,195","6.5%","±0.1","11,014,460","±22,949","6.8%","±0.1","10,454,220","±22,665","6.3%","±0.1"
"        25 to 29 years","9,368","±860","6.3%","±0.6","5,023","±639","6.8%","±0.9","4,345","±543","5.8%","±0.7","19,807","±1,264","7.0%","±0.4","10,068","±783","7.1%","±0.6","9,739","±791","6.9%","±0.6","10,997","±868","9.1%","±0.7","6,559","±629","10.3%","±1.0","4,438","±596","7.8%","±1.1","4,426","±440","6.2%","±0.6","2,233","±281","6.3%","±0.8","2,193","±325","6.0%","±0.9","4,760","±463","7.0%","±0.7","2,293","±371","6.9%","±1.1","2,467","±271","7.1%","±0.8","63,315","±69","7.9%","±0.1","31,444","±63","8.1%","±0.1","31,871","±30","7.8%","±0.1","6,251","±755","7.6%","±0.9","3,518","±477","8.6%","±1.2","2,733","±410","6.7%","±1.0","4,115","±208","5.7%","±0.3","2,094","±90","6.0%","±0.3","2,021","±182","5.4%","±0.5","5,888","±265","6.4%","±0.3","2,954","±119","6.4%","±0.3","2,934","±218","6.3%","±0.5","48,956","±110","7.5%","±0.1","24,403","±110","7.7%","±0.1","24,553","±4","7.4%","±0.1","5,018","±361","6.2%","±0.4","2,255","±282","5.6%","±0.7","2,763","±304","6.8%","±0.8","23,233,299","±29,995","7.1%","±0.1","11,817,829","±21,300","7.3%","±0.1","11,415,470","±18,024","6.8%","±0.1"
"        30 to 34 years","11,277","±1,208","7.6%","±0.8","5,429","±662","7.4%","±0.9","5,848","±950","7.8%","±1.2","20,225","±1,326","7.1%","±0.5","9,806","±657","6.9%","±0.5","10,419","±979","7.3%","±0.7","9,941","±1,067","8.2%","±0.9","5,289","±619","8.3%","±1.0","4,652","±813","8.2%","±1.5","4,015","±170","5.6%","±0.2","2,028","±117","5.8%","±0.3","1,987","±131","5.5%","±0.4","4,125","±320","6.1%","±0.5","1,978","±248","5.9%","±0.7","2,147","±229","6.2%","±0.7","60,104","±143","7.5%","±0.1","29,900","±124","7.7%","±0.1","30,204","±98","7.4%","±0.1","5,480","±939","6.7%","±1.1","2,913","±664","7.1%","±1.6","2,567","±468","6.3%","±1.2","4,524","±470","6.2%","±0.6","1,985","±290","5.7%","±0.8","2,539","±383","6.8%","±1.0","5,777","±351","6.2%","±0.4","2,793","±183","6.1%","±0.4","2,984","±223","6.4%","±0.5","46,402","±134","7.1%","±0.1","22,920","±149","7.2%","±0.1","23,482","±67","7.0%","±0.1","5,479","±422","6.7%","±0.5","2,773","±243","6.8%","±0.6","2,706","±387","6.6%","±0.9","22,345,176","±34,217","6.8%","±0.1","11,281,470","±23,076","7.0%","±0.1","11,063,706","±19,779","6.6%","±0.1"
"        35 to 39 years","13,748","±1,947","9.3%","±1.3","6,970","±1,211","9.5%","±1.7","6,778","±1,284","9.0%","±1.7","20,001","±1,969","7.0%","±0.7","10,112","±1,282","7.1%","±0.9","9,889","±1,388","7.0%","±1.0","8,561","±1,574","7.1%","±1.3","3,907","±994","6.1%","±1.6","4,654","±1,238","8.2%","±2.2","4,182","±587","5.8%","±0.8","2,274","±397","6.5%","±1.1","1,908","±380","5.3%","±1.0","3,755","±818","5.5%","±1.2","1,906","±597","5.7%","±1.8","1,849","±489","5.4%","±1.4","55,277","±2,997","6.9%","±0.4","28,617","±1,909","7.3%","±0.5","26,660","±2,208","6.6%","±0.5","4,415","±956","5.4%","±1.2","2,264","±580","5.5%","±1.4","2,151","±657","5.2%","±1.6","4,805","±744","6.6%","±1.0","2,034","±536","5.8%","±1.5","2,771","±501","7.4%","±1.4","5,705","±776","6.2%","±0.8","2,723","±513","5.9%","±1.1","2,982","±508","6.4%","±1.1","44,343","±1,882","6.8%","±0.3","21,620","±1,062","6.8%","±0.3","22,723","±1,202","6.8%","±0.4","5,377","±803","6.6%","±1.0","2,325","±472","5.7%","±1.2","3,052","±487","7.5%","±1.2","21,728,259","±61,731","6.6%","±0.1","10,892,040","±44,493","6.7%","±0.1","10,836,219","±39,187","6.5%","±0.1"
