"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Below poverty level!!Estimate","Baldwin County, Alabama!!Below poverty level!!Margin of Error","Baldwin County, Alabama!!Percent below poverty level!!Estimate","Baldwin County, Alabama!!Percent below poverty level!!Margin of Error","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Total!!Margin of Error","Calhoun County, Alabama!!Below poverty level!!Estimate","Calhoun County, Alabama!!Below poverty level!!Margin of Error","Calhoun County, Alabama!!Percent below poverty level!!Estimate","Calhoun County, Alabama!!Percent below poverty level!!Margin of Error","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Total!!Margin of Error","Cullman County, Alabama!!Below poverty level!!Estimate","Cullman County, Alabama!!Below poverty level!!Margin of Error","Cullman County, Alabama!!Percent below poverty level!!Estimate","Cullman County, Alabama!!Percent below poverty level!!Margin of Error","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Total!!Margin of Error","DeKalb County, Alabama!!Below poverty level!!Estimate","DeKalb County, Alabama!!Below poverty level!!Margin of Error","DeKalb County, Alabama!!Percent below poverty level!!Estimate","DeKalb County, Alabama!!Percent below poverty level!!Margin of Error","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Total!!Margin of Error","Elmore County, Alabama!!Below poverty level!!Estimate","Elmore County, Alabama!!Below poverty level!!Margin of Error","Elmore County, Alabama!!Percent below poverty level!!Estimate","Elmore County, Alabama!!Percent below poverty level!!Margin of Error","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Total!!Margin of Error","Etowah County, Alabama!!Below poverty level!!Estimate","Etowah County, Alabama!!Below poverty level!!Margin of Error","Etowah County, Alabama!!Percent below poverty level!!Estimate","Etowah County, Alabama!!Percent below poverty level!!Margin of Error","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Total!!Margin of Error","Houston County, Alabama!!Below poverty level!!Estimate","Houston County, Alabama!!Below poverty level!!Margin of Error","Houston County, Alabama!!Percent below poverty level!!Estimate","Houston County, Alabama!!Percent below poverty level!!Margin of Error","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Total!!Margin of Error","Jefferson County, Alabama!!Below poverty level!!Estimate","Jefferson County, Alabama!!Below poverty level!!Margin of Error","Jefferson County, Alabama!!Percent below poverty level!!Estimate","Jefferson County, Alabama!!Percent below poverty level!!Margin of Error","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Total!!Margin of Error","Lauderdale County, Alabama!!Below poverty level!!Estimate","Lauderdale County, Alabama!!Below poverty level!!Margin of Error","Lauderdale County, Alabama!!Percent below poverty level!!Estimate","Lauderdale County, Alabama!!Percent below poverty level!!Margin of Error","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Total!!Margin of Error","Lee County, Alabama!!Below poverty level!!Estimate","Lee County, Alabama!!Below poverty level!!Margin of Error","Lee County, Alabama!!Percent below poverty level!!Estimate","Lee County, Alabama!!Percent below poverty level!!Margin of Error","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Total!!Margin of Error","Limestone County, Alabama!!Below poverty level!!Estimate","Limestone County, Alabama!!Below poverty level!!Margin of Error","Limestone County, Alabama!!Percent below poverty level!!Estimate","Limestone County, Alabama!!Percent below poverty level!!Margin of Error","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Total!!Margin of Error","Madison County, Alabama!!Below poverty level!!Estimate","Madison County, Alabama!!Below poverty level!!Margin of Error","Madison County, Alabama!!Percent below poverty level!!Estimate","Madison County, Alabama!!Percent below poverty level!!Margin of Error","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Total!!Margin of Error","Marshall County, Alabama!!Below poverty level!!Estimate","Marshall County, Alabama!!Below poverty level!!Margin of Error","Marshall County, Alabama!!Percent below poverty level!!Estimate","Marshall County, Alabama!!Percent below poverty level!!Margin of Error","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Total!!Margin of Error","Mobile County, Alabama!!Below poverty level!!Estimate","Mobile County, Alabama!!Below poverty level!!Margin of Error","Mobile County, Alabama!!Percent below poverty level!!Estimate","Mobile County, Alabama!!Percent below poverty level!!Margin of Error","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Total!!Margin of Error","Montgomery County, Alabama!!Below poverty level!!Estimate","Montgomery County, Alabama!!Below poverty level!!Margin of Error","Montgomery County, Alabama!!Percent below poverty level!!Estimate","Montgomery County, Alabama!!Percent below poverty level!!Margin of Error","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Total!!Margin of Error","Morgan County, Alabama!!Below poverty level!!Estimate","Morgan County, Alabama!!Below poverty level!!Margin of Error","Morgan County, Alabama!!Percent below poverty level!!Estimate","Morgan County, Alabama!!Percent below poverty level!!Margin of Error","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Total!!Margin of Error","St. Clair County, Alabama!!Below poverty level!!Estimate","St. Clair County, Alabama!!Below poverty level!!Margin of Error","St. Clair County, Alabama!!Percent below poverty level!!Estimate","St. Clair County, Alabama!!Percent below poverty level!!Margin of Error","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Total!!Margin of Error","Shelby County, Alabama!!Below poverty level!!Estimate","Shelby County, Alabama!!Below poverty level!!Margin of Error","Shelby County, Alabama!!Percent below poverty level!!Estimate","Shelby County, Alabama!!Percent below poverty level!!Margin of Error","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Total!!Margin of Error","Talladega County, Alabama!!Below poverty level!!Estimate","Talladega County, Alabama!!Below poverty level!!Margin of Error","Talladega County, Alabama!!Percent below poverty level!!Estimate","Talladega County, Alabama!!Percent below poverty level!!Margin of Error","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Total!!Margin of Error","Tuscaloosa County, Alabama!!Below poverty level!!Estimate","Tuscaloosa County, Alabama!!Below poverty level!!Margin of Error","Tuscaloosa County, Alabama!!Percent below poverty level!!Estimate","Tuscaloosa County, Alabama!!Percent below poverty level!!Margin of Error","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Total!!Margin of Error","Walker County, Alabama!!Below poverty level!!Estimate","Walker County, Alabama!!Below poverty level!!Margin of Error","Walker County, Alabama!!Percent below poverty level!!Estimate","Walker County, Alabama!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","219,405","±1,564","22,140","±4,837","10.1%","±2.2","110,599","±958","19,082","±3,779","17.3%","±3.4","82,575","±847","8,737","±2,500","10.6%","±3.0","70,682","±598","13,855","±3,389","19.6%","±4.8","76,605","±1,200","8,898","±2,845","11.6%","±3.7","100,640","±659","19,815","±3,395","19.7%","±3.4","104,421","±891","21,427","±2,666","20.5%","±2.6","645,037","±2,479","105,080","±9,375","16.3%","±1.5","91,068","±910","14,917","±3,395","16.4%","±3.7","158,675","±1,166","24,998","±3,330","15.8%","±2.1","95,319","±1,146","13,317","±3,399","14.0%","±3.6","363,294","±1,815","42,990","±5,788","11.8%","±1.6","95,577","±458","15,408","±3,759","16.1%","±3.9","406,842","±1,474","70,724","±7,797","17.4%","±1.9","217,654","±2,504","31,789","±4,854","14.6%","±2.3","116,997","±1,586","16,471","±3,785","14.1%","±3.3","87,209","±810","8,496","±3,980","9.7%","±4.6","215,009","±1,220","12,095","±2,817","5.6%","±1.3","75,919","±1,859","12,881","±2,901","17.0%","±3.8","199,237","±2,243","32,562","±6,511","16.3%","±3.3","61,977","±969","10,952","±2,312","17.7%","±3.7","320,118,791","±24,954","39,490,096","±242,000","12.3%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","45,702","±926","5,237","±2,061","11.5%","±4.5","23,946","±384","6,021","±1,753","25.1%","±7.3","18,693","±134","2,590","±1,269","13.9%","±6.8","17,382","±539","6,004","±1,606","34.5%","±9.2","17,919","±490","3,707","±1,491","20.7%","±8.2","21,197","±608","6,259","±1,709","29.5%","±8.0","23,704","±397","6,986","±1,133","29.5%","±4.8","147,879","±855","34,141","±5,304","23.1%","±3.6","18,255","±1,069","3,765","±1,710","20.6%","±9.6","34,650","±86","2,364","±1,614","6.8%","±4.7","21,935","±993","4,558","±1,762","20.8%","±8.3","80,390","±392","14,504","±3,123","18.0%","±3.9","24,047","±250","4,857","±1,711","20.2%","±7.1","95,251","±683","24,965","±3,937","26.2%","±4.2","50,802","±1,342","10,611","±2,840","20.9%","±5.6","26,152","±662","4,833","±1,827","18.5%","±7.0","20,024","±261","2,420","±1,480","12.1%","±7.4","50,206","±75","2,833","±1,375","5.6%","±2.7","16,510","±384","3,965","±1,574","24.0%","±9.6","43,373","±733","8,246","±3,022","19.0%","±7.0","13,290","±850","3,430","±1,372","25.8%","±10.0","71,633,453","±39,859","12,000,470","±134,475","16.8%","±0.2"
"            Under 5 years","10,316","±932","880","±550","8.5%","±5.2","6,520","±348","1,778","±686","27.3%","±10.3","5,310","±610","654","±507","12.3%","±9.7","4,550","±551","1,142","±805","25.1%","±16.0","4,272","±557","521","±462","12.2%","±10.9","5,618","±526","1,881","±616","33.5%","±9.6","6,432","±223","2,264","±489","35.2%","±7.7","42,068","±300","11,140","±2,197","26.5%","±5.2","3,962","±390","1,240","±704","31.3%","±16.6","8,512","±2,505","913","±780","10.7%","±8.8","5,887","±676","1,770","±915","30.1%","±14.8","21,860","±146","5,316","±1,372","24.3%","±6.2","6,702","±387","930","±551","13.9%","±8.2","26,941","±1,107","8,578","±1,922","31.8%","±6.9","13,736","±1,038","2,438","±1,018","17.7%","±7.5","6,871","±611","1,851","±898","26.9%","±12.6","5,005","±665","1,008","±703","20.1%","±14.5","11,645","±699","864","±657","7.4%","±5.5","4,158","±510","1,053","±608","25.3%","±13.8","12,243","±750","1,565","±999","12.8%","±8.2","2,999","±443","711","±454","23.7%","±14.1","19,002,162","±24,352","3,457,689","±51,835","18.2%","±0.3"
"            5 to 17 years","35,386","±1,197","4,357","±1,780","12.3%","±5.0","17,426","±363","4,243","±1,292","24.3%","±7.3","13,383","±628","1,936","±1,022","14.5%","±7.7","12,832","±292","4,862","±1,262","37.9%","±9.8","13,647","±687","3,186","±1,239","23.3%","±8.8","15,579","±791","4,378","±1,592","28.1%","±9.7","17,272","±243","4,722","±919","27.3%","±5.3","105,811","±821","23,001","±3,931","21.7%","±3.7","14,293","±1,229","2,525","±1,255","17.7%","±9.1","26,138","±2,503","1,451","±1,129","5.6%","±4.5","16,048","±1,105","2,788","±1,173","17.4%","±7.3","58,530","±420","9,188","±2,412","15.7%","±4.1","17,345","±376","3,927","±1,427","22.6%","±8.2","68,310","±1,118","16,387","±3,018","24.0%","±4.4","37,066","±1,345","8,173","±2,430","22.0%","±6.5","19,281","±593","2,982","±1,301","15.5%","±6.7","15,019","±720","1,412","±1,028","9.4%","±6.8","38,561","±697","1,969","±1,046","5.1%","±2.7","12,352","±562","2,912","±1,297","23.6%","±10.5","31,130","±825","6,681","±2,728","21.5%","±8.8","10,291","±755","2,719","±1,154","26.4%","±10.8","52,631,291","±38,914","8,542,781","±98,380","16.2%","±0.2"
"            Related children of householder under 18 years","45,633","±926","5,168","±2,053","11.3%","±4.5","23,738","±528","5,813","±1,768","24.5%","±7.4","18,544","±220","2,441","±1,229","13.2%","±6.7","17,382","±539","6,004","±1,606","34.5%","±9.2","17,716","±556","3,504","±1,486","19.8%","±8.3","21,189","±612","6,251","±1,707","29.5%","±8.0","23,652","±406","6,934","±1,128","29.3%","±4.8","147,346","±962","33,608","±5,282","22.8%","±3.6","18,202","±1,073","3,712","±1,708","20.4%","±9.6","34,650","±86","2,364","±1,614","6.8%","±4.7","21,935","±993","4,558","±1,762","20.8%","±8.3","79,942","±529","14,246","±3,166","17.8%","±4.0","23,816","±434","4,626","±1,691","19.4%","±7.1","94,815","±873","24,529","±3,915","25.9%","±4.2","50,721","±1,385","10,611","±2,840","20.9%","±5.6","26,152","±662","4,833","±1,827","18.5%","±7.0","20,024","±261","2,420","±1,480","12.1%","±7.4","50,102","±158","2,729","±1,334","5.4%","±2.7","16,457","±395","3,912","±1,572","23.8%","±9.6","43,090","±761","7,963","±3,114","18.5%","±7.2","13,186","±877","3,326","±1,389","25.2%","±10.1","71,326,895","±42,129","11,716,595","±134,827","16.4%","±0.2"
"        18 to 64 years","126,865","±1,649","12,622","±2,949","9.9%","±2.3","66,508","±829","11,616","±2,368","17.5%","±3.5","48,836","±811","5,137","±1,388","10.5%","±2.8","41,789","±593","6,877","±1,951","16.5%","±4.6","46,324","±1,313","4,559","±1,510","9.8%","±3.3","59,868","±691","9,632","±1,933","16.1%","±3.2","62,095","±598","12,363","±1,775","19.9%","±2.9","391,518","±2,644","58,369","±5,797","14.9%","±1.5","53,785","±1,111","9,299","±2,059","17.3%","±3.8","103,444","±1,254","21,456","±2,736","20.7%","±2.6","57,642","±1,272","7,363","±2,015","12.8%","±3.5","226,240","±1,989","24,878","±3,351","11.0%","±1.5","55,348","±512","8,736","±2,467","15.8%","±4.5","244,962","±1,415","38,208","±4,514","15.6%","±1.8","132,033","±2,360","17,683","±2,732","13.4%","±2.1","69,662","±1,601","9,426","±2,391","13.5%","±3.5","52,978","±817","4,878","±2,823","9.2%","±5.3","129,837","±1,251","7,165","±1,714","5.5%","±1.3","45,246","±1,793","6,909","±1,703","15.3%","±3.8","127,762","±2,075","20,951","±4,225","16.4%","±3.3","36,861","±699","6,623","±1,306","18.0%","±3.5","195,703,010","±30,404","22,504,357","±113,070","11.5%","±0.1"
"            18 to 34 years","40,277","±1,699","5,919","±1,776","14.7%","±4.3","23,226","±769","4,606","±1,200","19.8%","±5.1","16,334","±582","1,574","±665","9.6%","±4.1","15,368","±721","2,136","±1,107","13.9%","±7.1","17,645","±790","2,343","±1,193","13.3%","±6.8","20,690","±835","3,741","±1,261","18.1%","±5.9","21,755","±381","4,857","±1,064","22.3%","±4.9","145,349","±1,964","25,465","±3,193","17.5%","±2.2","19,945","±835","4,615","±1,488","23.1%","±7.3","45,557","±2,106","15,282","±1,939","33.5%","±4.0","19,611","±1,396","3,835","±1,369","19.6%","±7.1","80,772","±1,729","12,183","±2,315","15.1%","±2.8","19,505","±961","3,766","±1,515","19.3%","±7.7","92,249","±1,450","16,793","±2,854","18.2%","±3.1","50,953","±1,499","7,211","±1,849","14.2%","±3.6","21,994","±413","3,294","±1,240","15.0%","±5.6","17,802","±1,180","1,696","±1,224","9.5%","±6.9","43,643","±2,010","3,673","±1,142","8.4%","±2.6","15,141","±1,021","2,683","±820","17.7%","±5.3","55,598","±1,755","12,040","±3,136","21.7%","±5.6","11,622","±481","2,826","±864","24.3%","±7.3","71,922,088","±37,978","10,417,120","±73,212","14.5%","±0.1"
"            35 to 64 years","86,588","±1,992","6,703","±2,129","7.7%","±2.4","43,282","±639","7,010","±1,861","16.2%","±4.2","32,502","±822","3,563","±1,140","11.0%","±3.4","26,421","±742","4,741","±1,273","17.9%","±4.8","28,679","±1,175","2,216","±882","7.7%","±3.1","39,178","±878","5,891","±1,377","15.0%","±3.4","40,340","±310","7,506","±1,085","18.6%","±2.7","246,169","±1,982","32,904","±4,021","13.4%","±1.7","33,840","±745","4,684","±1,339","13.8%","±4.0","57,887","±2,036","6,174","±1,948","10.7%","±3.3","38,031","±1,626","3,528","±1,184","9.3%","±3.1","145,468","±965","12,695","±2,261","8.7%","±1.6","35,843","±977","4,970","±1,465","13.9%","±4.1","152,713","±1,429","21,415","±2,767","14.0%","±1.8","81,080","±1,437","10,472","±1,721","12.9%","±2.1","47,668","±1,524","6,132","±1,719","12.9%","±3.6","35,176","±1,099","3,182","±1,965","9.0%","±5.6","86,194","±1,826","3,492","±1,066","4.1%","±1.2","30,105","±1,388","4,226","±1,339","14.0%","±4.5","72,164","±1,107","8,911","±2,255","12.3%","±3.1","25,239","±741","3,797","±936","15.0%","±3.6","123,780,922","±48,286","12,087,237","±74,285","9.8%","±0.1"
"        60 years and over","62,031","±2,292","5,931","±1,748","9.6%","±2.7","28,555","±1,196","3,324","±1,012","11.6%","±3.4","21,047","±924","1,467","±598","7.0%","±2.9","15,350","±939","1,305","±476","8.5%","±3.1","18,435","±1,141","771","±427","4.2%","±2.3","26,834","±1,260","5,209","±1,378","19.4%","±5.0","25,014","±838","3,003","±502","12.0%","±2.0","149,614","±2,640","19,096","±2,748","12.8%","±1.8","25,413","±1,198","2,532","±960","10.0%","±3.8","29,035","±1,478","3,226","±1,405","11.1%","±4.6","22,037","±1,480","2,209","±795","10.0%","±3.4","82,576","±2,208","5,910","±1,337","7.2%","±1.6","22,615","±812","2,578","±629","11.4%","±2.7","94,737","±2,008","10,498","±1,613","11.1%","±1.7","48,926","±1,575","5,222","±1,217","10.7%","±2.5","29,652","±1,390","3,328","±1,024","11.2%","±3.4","19,645","±1,258","1,776","±976","9.0%","±4.9","46,971","±1,655","2,804","±932","6.0%","±1.9","20,160","±1,130","2,797","±671","13.9%","±3.2","40,009","±1,576","4,444","±1,246","11.1%","±3.1","16,942","±970","1,819","±682","10.7%","±4.1","73,579,563","±66,617","7,162,352","±46,169","9.7%","±0.1"
