"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Below poverty level!!Estimate","Benton County, Arkansas!!Below poverty level!!Margin of Error","Benton County, Arkansas!!Percent below poverty level!!Estimate","Benton County, Arkansas!!Percent below poverty level!!Margin of Error","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Below poverty level!!Estimate","Craighead County, Arkansas!!Below poverty level!!Margin of Error","Craighead County, Arkansas!!Percent below poverty level!!Estimate","Craighead County, Arkansas!!Percent below poverty level!!Margin of Error","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Below poverty level!!Estimate","Faulkner County, Arkansas!!Below poverty level!!Margin of Error","Faulkner County, Arkansas!!Percent below poverty level!!Estimate","Faulkner County, Arkansas!!Percent below poverty level!!Margin of Error","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Below poverty level!!Estimate","Garland County, Arkansas!!Below poverty level!!Margin of Error","Garland County, Arkansas!!Percent below poverty level!!Estimate","Garland County, Arkansas!!Percent below poverty level!!Margin of Error","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Below poverty level!!Estimate","Jefferson County, Arkansas!!Below poverty level!!Margin of Error","Jefferson County, Arkansas!!Percent below poverty level!!Estimate","Jefferson County, Arkansas!!Percent below poverty level!!Margin of Error","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Below poverty level!!Estimate","Lonoke County, Arkansas!!Below poverty level!!Margin of Error","Lonoke County, Arkansas!!Percent below poverty level!!Estimate","Lonoke County, Arkansas!!Percent below poverty level!!Margin of Error","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Below poverty level!!Estimate","Pulaski County, Arkansas!!Below poverty level!!Margin of Error","Pulaski County, Arkansas!!Percent below poverty level!!Estimate","Pulaski County, Arkansas!!Percent below poverty level!!Margin of Error","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Below poverty level!!Estimate","Saline County, Arkansas!!Below poverty level!!Margin of Error","Saline County, Arkansas!!Percent below poverty level!!Estimate","Saline County, Arkansas!!Percent below poverty level!!Margin of Error","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Below poverty level!!Estimate","Sebastian County, Arkansas!!Below poverty level!!Margin of Error","Sebastian County, Arkansas!!Percent below poverty level!!Estimate","Sebastian County, Arkansas!!Percent below poverty level!!Margin of Error","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Below poverty level!!Estimate","Washington County, Arkansas!!Below poverty level!!Margin of Error","Washington County, Arkansas!!Percent below poverty level!!Estimate","Washington County, Arkansas!!Percent below poverty level!!Margin of Error","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Below poverty level!!Estimate","White County, Arkansas!!Below poverty level!!Margin of Error","White County, Arkansas!!Percent below poverty level!!Estimate","White County, Arkansas!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","275,215","±1,531","25,073","±4,524","9.1%","±1.6","106,414","±986","18,846","±3,359","17.7%","±3.2","120,947","±1,215","19,701","±4,104","16.3%","±3.4","97,858","±799","17,020","±3,205","17.4%","±3.3","60,421","±1,494","14,912","±3,357","24.7%","±5.5","72,528","±414","8,056","±2,720","11.1%","±3.8","385,112","±1,841","55,243","±6,402","14.3%","±1.7","121,089","±779","13,149","±3,392","10.9%","±2.8","125,884","±1,049","20,253","±4,229","16.1%","±3.4","230,244","±1,740","38,318","±7,337","16.6%","±3.2","74,944","±802","11,498","±2,653","15.3%","±3.5","320,118,791","±24,954","39,490,096","±242,000","12.3%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","72,049","±935","9,629","±2,766","13.4%","±3.8","25,770","±1,076","7,885","±1,920","30.6%","±7.0","28,498","±405","4,968","±1,672","17.4%","±5.8","19,289","±350","4,632","±1,236","24.0%","±6.4","14,245","±275","4,996","±1,810","35.1%","±12.7","18,411","±242","3,064","±1,396","16.6%","±7.6","88,885","±871","17,357","±3,922","19.5%","±4.4","28,110","±575","5,649","±2,041","20.1%","±7.3","30,047","±481","6,514","±2,252","21.7%","±7.5","56,391","±947","8,977","±3,165","15.9%","±5.6","17,887","±463","3,518","±1,320","19.7%","±7.3","71,633,453","±39,859","12,000,470","±134,475","16.8%","±0.2"
"            Under 5 years","17,430","±683","3,261","±1,296","18.7%","±7.4","6,936","±551","2,903","±824","41.9%","±10.7","6,618","±668","1,619","±920","24.5%","±12.2","4,956","±656","1,841","±927","37.1%","±15.7","3,974","±3","1,990","±739","50.1%","±18.6","4,658","±321","405","±448","8.7%","±9.6","25,594","±697","5,538","±2,033","21.6%","±7.9","7,203","±862","1,836","±1,060","25.5%","±13.2","8,226","±784","2,134","±957","25.9%","±11.8","15,343","±673","2,369","±998","15.4%","±6.5","4,363","±327","969","±600","22.2%","±13.6","19,002,162","±24,352","3,457,689","±51,835","18.2%","±0.3"
"            5 to 17 years","54,619","±604","6,368","±2,219","11.7%","±4.0","18,834","±877","4,982","±1,586","26.5%","±8.2","21,880","±820","3,349","±1,380","15.3%","±6.2","14,333","±704","2,791","±1,053","19.5%","±6.9","10,271","±275","3,006","±1,294","29.3%","±12.6","13,753","±359","2,659","±1,117","19.3%","±8.1","63,291","±1,102","11,819","±2,829","18.7%","±4.5","20,907","±1,089","3,813","±1,565","18.2%","±7.3","21,821","±630","4,380","±1,527","20.1%","±7.0","41,048","±747","6,608","±2,500","16.1%","±6.1","13,524","±329","2,549","±1,079","18.8%","±7.9","52,631,291","±38,914","8,542,781","±98,380","16.2%","±0.2"
"            Related children of householder under 18 years","71,884","±963","9,519","±2,760","13.2%","±3.8","25,682","±1,077","7,797","±1,924","30.4%","±7.1","28,427","±453","4,897","±1,674","17.2%","±5.8","19,082","±412","4,425","±1,194","23.2%","±6.3","14,181","±336","4,932","±1,823","34.8%","±12.8","18,325","±263","2,978","±1,383","16.3%","±7.5","88,781","±872","17,309","±3,925","19.5%","±4.4","28,110","±575","5,649","±2,041","20.1%","±7.3","29,759","±574","6,368","±2,229","21.4%","±7.5","56,358","±954","8,944","±3,161","15.9%","±5.6","17,828","±448","3,459","±1,329","19.4%","±7.4","71,326,895","±42,129","11,716,595","±134,827","16.4%","±0.2"
"        18 to 64 years","165,767","±1,360","11,654","±2,190","7.0%","±1.3","66,515","±1,361","9,887","±1,997","14.9%","±3.0","76,813","±1,407","12,343","±2,561","16.1%","±3.3","55,086","±906","10,313","±2,019","18.7%","±3.6","34,887","±1,358","7,680","±2,028","22.0%","±5.6","44,159","±349","4,056","±1,728","9.2%","±3.9","234,056","±1,885","32,681","±3,612","14.0%","±1.6","70,596","±823","6,193","±1,881","8.8%","±2.7","74,943","±1,290","11,410","±2,244","15.2%","±3.0","145,536","±1,702","27,156","±4,716","18.7%","±3.2","44,142","±818","6,252","±1,652","14.2%","±3.8","195,703,010","±30,404","22,504,357","±113,070","11.5%","±0.1"
"            18 to 34 years","62,185","±1,220","5,549","±1,364","8.9%","±2.2","26,162","±1,807","4,930","±1,390","18.8%","±4.9","33,247","±1,593","8,095","±1,861","24.3%","±5.1","17,814","±965","3,710","±976","20.8%","±5.5","12,599","±1,267","3,209","±1,322","25.5%","±9.8","15,518","±794","1,009","±851","6.5%","±5.5","88,069","±1,477","13,407","±2,675","15.2%","±3.0","24,076","±1,221","2,746","±1,339","11.4%","±5.4","28,376","±1,518","3,907","±1,095","13.8%","±3.8","63,242","±2,395","16,917","±2,991","26.7%","±4.7","15,686","±839","3,741","±1,114","23.8%","±7.2","71,922,088","±37,978","10,417,120","±73,212","14.5%","±0.1"
"            35 to 64 years","103,582","±1,060","6,105","±1,490","5.9%","±1.4","40,353","±971","4,957","±1,391","12.3%","±3.4","43,566","±1,476","4,248","±1,510","9.8%","±3.5","37,272","±1,081","6,603","±1,472","17.7%","±3.9","22,288","±745","4,471","±1,224","20.1%","±5.3","28,641","±950","3,047","±1,060","10.6%","±3.7","145,987","±1,500","19,274","±2,451","13.2%","±1.7","46,520","±1,439","3,447","±1,100","7.4%","±2.4","46,567","±1,501","7,503","±1,639","16.1%","±3.6","82,294","±2,125","10,239","±2,843","12.4%","±3.5","28,456","±752","2,511","±915","8.8%","±3.2","123,780,922","±48,286","12,087,237","±74,285","9.8%","±0.1"
"        60 years and over","50,728","±1,631","4,642","±1,119","9.2%","±2.2","19,204","±1,137","1,509","±625","7.9%","±3.2","21,562","±1,206","3,114","±1,236","14.4%","±5.7","30,795","±1,228","3,306","±1,233","10.7%","±3.9","15,800","±906","3,232","±1,116","20.5%","±6.8","14,556","±769","1,352","±546","9.3%","±3.7","86,261","±1,656","8,795","±1,755","10.2%","±2.0","30,992","±1,500","1,904","±851","6.1%","±2.8","29,843","±1,171","3,745","±1,082","12.5%","±3.6","38,155","±1,454","3,745","±1,113","9.8%","±2.9","17,031","±1,025","2,330","±1,002","13.7%","±6.0","73,579,563","±66,617","7,162,352","±46,169","9.7%","±0.1"
