"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Below poverty level!!Estimate","Boone County, Kentucky!!Below poverty level!!Margin of Error","Boone County, Kentucky!!Percent below poverty level!!Estimate","Boone County, Kentucky!!Percent below poverty level!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Below poverty level!!Estimate","Bullitt County, Kentucky!!Below poverty level!!Margin of Error","Bullitt County, Kentucky!!Percent below poverty level!!Estimate","Bullitt County, Kentucky!!Percent below poverty level!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Below poverty level!!Estimate","Campbell County, Kentucky!!Below poverty level!!Margin of Error","Campbell County, Kentucky!!Percent below poverty level!!Estimate","Campbell County, Kentucky!!Percent below poverty level!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Below poverty level!!Estimate","Christian County, Kentucky!!Below poverty level!!Margin of Error","Christian County, Kentucky!!Percent below poverty level!!Estimate","Christian County, Kentucky!!Percent below poverty level!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Below poverty level!!Estimate","Daviess County, Kentucky!!Below poverty level!!Margin of Error","Daviess County, Kentucky!!Percent below poverty level!!Estimate","Daviess County, Kentucky!!Percent below poverty level!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Below poverty level!!Estimate","Fayette County, Kentucky!!Below poverty level!!Margin of Error","Fayette County, Kentucky!!Percent below poverty level!!Estimate","Fayette County, Kentucky!!Percent below poverty level!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Below poverty level!!Estimate","Hardin County, Kentucky!!Below poverty level!!Margin of Error","Hardin County, Kentucky!!Percent below poverty level!!Estimate","Hardin County, Kentucky!!Percent below poverty level!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Below poverty level!!Estimate","Jefferson County, Kentucky!!Below poverty level!!Margin of Error","Jefferson County, Kentucky!!Percent below poverty level!!Estimate","Jefferson County, Kentucky!!Percent below poverty level!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Below poverty level!!Estimate","Kenton County, Kentucky!!Below poverty level!!Margin of Error","Kenton County, Kentucky!!Percent below poverty level!!Estimate","Kenton County, Kentucky!!Percent below poverty level!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Below poverty level!!Estimate","McCracken County, Kentucky!!Below poverty level!!Margin of Error","McCracken County, Kentucky!!Percent below poverty level!!Estimate","McCracken County, Kentucky!!Percent below poverty level!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Below poverty level!!Estimate","Madison County, Kentucky!!Below poverty level!!Margin of Error","Madison County, Kentucky!!Percent below poverty level!!Estimate","Madison County, Kentucky!!Percent below poverty level!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Below poverty level!!Estimate","Oldham County, Kentucky!!Below poverty level!!Margin of Error","Oldham County, Kentucky!!Percent below poverty level!!Estimate","Oldham County, Kentucky!!Percent below poverty level!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Below poverty level!!Estimate","Warren County, Kentucky!!Below poverty level!!Margin of Error","Warren County, Kentucky!!Percent below poverty level!!Estimate","Warren County, Kentucky!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","131,133","±1,270","10,164","±2,764","7.8%","±2.1","81,080","±581","4,860","±1,989","6.0%","±2.4","90,333","±1,312","10,133","±2,502","11.2%","±2.8","63,975","±1,255","12,728","±2,938","19.9%","±4.6","98,704","±1,102","16,533","±3,131","16.8%","±3.2","310,470","±2,112","48,298","±5,752","15.6%","±1.8","106,800","±1,590","10,418","±2,529","9.8%","±2.3","750,585","±2,300","104,759","±9,179","14.0%","±1.2","165,262","±643","18,450","±3,076","11.2%","±1.9","64,066","±881","10,047","±2,868","15.7%","±4.5","86,053","±1,109","15,758","±2,362","18.3%","±2.8","63,120","±905","3,189","±1,241","5.1%","±2.0","125,327","±1,330","19,958","±4,197","15.9%","±3.3","320,118,791","±24,954","39,490,096","±242,000","12.3%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","32,701","±1,108","3,228","±1,587","9.9%","±4.9","17,364","±347","1,196","±1,181","6.9%","±6.8","19,285","±202","2,420","±1,032","12.5%","±5.4","18,992","±225","4,278","±1,664","22.5%","±8.8","24,240","±508","5,595","±1,789","23.1%","±7.4","65,817","±1,040","11,608","±3,100","17.6%","±4.7","25,116","±1,164","1,792","±1,043","7.1%","±4.1","165,296","±1,178","33,572","±5,149","20.3%","±3.1","39,214","±216","6,946","±1,883","17.7%","±4.8","14,673","±519","3,660","±1,786","24.9%","±11.9","18,924","±572","3,802","±1,314","20.1%","±7.1","16,379","±434","1,077","±895","6.6%","±5.5","29,831","±404","6,421","±2,093","21.5%","±7.0","71,633,453","±39,859","12,000,470","±134,475","16.8%","±0.2"
"            Under 5 years","8,168","±1,085","643","±507","7.9%","±6.6","3,869","±179","70","±120","1.8%","±3.1","5,548","±488","607","±485","10.9%","±8.2","6,580","±587","1,131","±629","17.2%","±9.9","6,636","±386","1,759","±769","26.5%","±11.1","18,899","±588","4,272","±1,355","22.6%","±7.2","5,988","±884","554","±448","9.3%","±7.4","46,750","±593","11,050","±1,990","23.6%","±4.2","10,936","±772","1,982","±906","18.1%","±7.4","4,201","±384","996","±580","23.7%","±13.4","5,432","±557","1,536","±753","28.3%","±14.8","3,469","±390","91","±152","2.6%","±4.4","8,282","±483","2,254","±1,037","27.2%","±12.7","19,002,162","±24,352","3,457,689","±51,835","18.2%","±0.3"
"            5 to 17 years","24,533","±1,024","2,585","±1,256","10.5%","±5.0","13,495","±377","1,126","±1,179","8.3%","±8.8","13,737","±494","1,813","±752","13.2%","±5.6","12,412","±636","3,147","±1,327","25.4%","±11.0","17,604","±444","3,836","±1,532","21.8%","±8.6","46,918","±612","7,336","±2,081","15.6%","±4.4","19,128","±740","1,238","±789","6.5%","±4.1","118,546","±1,086","22,522","±3,833","19.0%","±3.2","28,278","±808","4,964","±1,553","17.6%","±5.4","10,472","±494","2,664","±1,413","25.4%","±13.3","13,492","±622","2,266","±942","16.8%","±7.0","12,910","±318","986","±845","7.6%","±6.6","21,549","±474","4,167","±1,400","19.3%","±6.6","52,631,291","±38,914","8,542,781","±98,380","16.2%","±0.2"
"            Related children of householder under 18 years","32,430","±1,166","2,957","±1,491","9.1%","±4.6","17,364","±347","1,196","±1,181","6.9%","±6.8","19,046","±326","2,233","±1,022","11.7%","±5.4","18,992","±225","4,278","±1,664","22.5%","±8.8","24,166","±532","5,521","±1,809","22.8%","±7.5","65,445","±1,061","11,236","±3,077","17.2%","±4.7","25,116","±1,164","1,792","±1,043","7.1%","±4.1","164,471","±1,293","32,753","±5,057","19.9%","±3.1","38,860","±483","6,592","±1,820","17.0%","±4.7","14,673","±519","3,660","±1,786","24.9%","±11.9","18,863","±620","3,741","±1,296","19.8%","±7.0","16,379","±434","1,077","±895","6.6%","±5.5","29,516","±586","6,106","±2,061","20.7%","±7.0","71,326,895","±42,129","11,716,595","±134,827","16.4%","±0.2"
"        18 to 64 years","80,239","±679","6,215","±1,490","7.7%","±1.9","50,264","±808","2,685","±1,051","5.3%","±2.1","56,074","±1,362","5,991","±1,425","10.7%","±2.6","36,285","±1,297","7,396","±1,651","20.4%","±4.7","57,475","±1,132","8,577","±1,634","14.9%","±2.8","201,841","±1,907","32,653","±3,636","16.2%","±1.8","65,751","±1,550","6,929","±1,727","10.5%","±2.6","460,622","±1,943","58,971","±5,245","12.8%","±1.1","101,999","±738","8,269","±1,452","8.1%","±1.4","37,115","±865","5,087","±1,273","13.7%","±3.4","54,380","±1,121","10,554","±1,635","19.4%","±3.0","37,211","±943","1,123","±490","3.0%","±1.3","79,178","±1,468","13,134","±2,741","16.6%","±3.5","195,703,010","±30,404","22,504,357","±113,070","11.5%","±0.1"
"            18 to 34 years","26,995","±1,148","2,708","±1,063","10.0%","±4.0","16,611","±514","837","±501","5.0%","±3.0","20,382","±1,179","2,430","±715","11.9%","±3.4","17,800","±1,276","3,985","±1,269","22.4%","±7.0","19,708","±745","4,143","±1,073","21.0%","±5.3","86,044","±1,541","21,047","±3,011","24.5%","±3.5","23,138","±1,264","3,600","±1,174","15.6%","±5.1","171,360","±1,722","26,487","±3,419","15.5%","±2.0","38,267","±922","4,023","±1,249","10.5%","±3.2","12,233","±841","2,231","±810","18.2%","±6.6","22,419","±1,192","6,988","±1,470","31.2%","±6.3","11,403","±666","485","±309","4.3%","±2.7","33,053","±1,505","7,434","±2,156","22.5%","±6.4","71,922,088","±37,978","10,417,120","±73,212","14.5%","±0.1"
"            35 to 64 years","53,244","±1,255","3,507","±1,025","6.6%","±1.9","33,653","±893","1,848","±845","5.5%","±2.5","35,692","±659","3,561","±1,129","10.0%","±3.2","18,485","±1,023","3,411","±1,141","18.5%","±6.2","37,767","±1,040","4,434","±1,345","11.7%","±3.6","115,797","±1,006","11,606","±2,210","10.0%","±1.9","42,613","±1,150","3,329","±1,102","7.8%","±2.6","289,262","±725","32,484","±3,343","11.2%","±1.2","63,732","±789","4,246","±1,257","6.7%","±2.0","24,882","±1,009","2,856","±845","11.5%","±3.3","31,961","±1,089","3,566","±827","11.2%","±2.5","25,808","±1,050","638","±328","2.5%","±1.3","46,125","±1,272","5,700","±1,490","12.4%","±3.2","123,780,922","±48,286","12,087,237","±74,285","9.8%","±0.1"
"        60 years and over","27,103","±1,188","1,385","±835","5.1%","±3.1","19,649","±1,322","1,686","±856","8.6%","±4.0","21,855","±1,042","2,401","±870","11.0%","±3.9","11,747","±861","1,458","±523","12.4%","±4.4","23,168","±869","3,201","±1,116","13.8%","±4.9","59,261","±1,849","5,511","±1,172","9.3%","±2.0","23,028","±1,019","2,606","±971","11.3%","±4.2","177,585","±2,876","18,818","±2,489","10.6%","±1.4","35,881","±1,677","4,665","±1,224","13.0%","±3.3","17,505","±1,054","2,169","±869","12.4%","±4.7","17,983","±1,090","1,671","±706","9.3%","±3.9","13,507","±1,012","1,002","±846","7.4%","±6.2","23,031","±1,238","774","±482","3.4%","±2.1","73,579,563","±66,617","7,162,352","±46,169","9.7%","±0.1"
