"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!Below poverty level!!Estimate","Ascension Parish, Louisiana!!Below poverty level!!Margin of Error","Ascension Parish, Louisiana!!Percent below poverty level!!Estimate","Ascension Parish, Louisiana!!Percent below poverty level!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!Below poverty level!!Estimate","Bossier Parish, Louisiana!!Below poverty level!!Margin of Error","Bossier Parish, Louisiana!!Percent below poverty level!!Estimate","Bossier Parish, Louisiana!!Percent below poverty level!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!Below poverty level!!Estimate","Caddo Parish, Louisiana!!Below poverty level!!Margin of Error","Caddo Parish, Louisiana!!Percent below poverty level!!Estimate","Caddo Parish, Louisiana!!Percent below poverty level!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!Below poverty level!!Estimate","Calcasieu Parish, Louisiana!!Below poverty level!!Margin of Error","Calcasieu Parish, Louisiana!!Percent below poverty level!!Estimate","Calcasieu Parish, Louisiana!!Percent below poverty level!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!Below poverty level!!Estimate","East Baton Rouge Parish, Louisiana!!Below poverty level!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent below poverty level!!Estimate","East Baton Rouge Parish, Louisiana!!Percent below poverty level!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!Below poverty level!!Estimate","Iberia Parish, Louisiana!!Below poverty level!!Margin of Error","Iberia Parish, Louisiana!!Percent below poverty level!!Estimate","Iberia Parish, Louisiana!!Percent below poverty level!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!Below poverty level!!Estimate","Jefferson Parish, Louisiana!!Below poverty level!!Margin of Error","Jefferson Parish, Louisiana!!Percent below poverty level!!Estimate","Jefferson Parish, Louisiana!!Percent below poverty level!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!Below poverty level!!Estimate","Lafayette Parish, Louisiana!!Below poverty level!!Margin of Error","Lafayette Parish, Louisiana!!Percent below poverty level!!Estimate","Lafayette Parish, Louisiana!!Percent below poverty level!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!Below poverty level!!Estimate","Lafourche Parish, Louisiana!!Below poverty level!!Margin of Error","Lafourche Parish, Louisiana!!Percent below poverty level!!Estimate","Lafourche Parish, Louisiana!!Percent below poverty level!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!Below poverty level!!Estimate","Livingston Parish, Louisiana!!Below poverty level!!Margin of Error","Livingston Parish, Louisiana!!Percent below poverty level!!Estimate","Livingston Parish, Louisiana!!Percent below poverty level!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!Below poverty level!!Estimate","Orleans Parish, Louisiana!!Below poverty level!!Margin of Error","Orleans Parish, Louisiana!!Percent below poverty level!!Estimate","Orleans Parish, Louisiana!!Percent below poverty level!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!Below poverty level!!Estimate","Ouachita Parish, Louisiana!!Below poverty level!!Margin of Error","Ouachita Parish, Louisiana!!Percent below poverty level!!Estimate","Ouachita Parish, Louisiana!!Percent below poverty level!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!Below poverty level!!Estimate","Rapides Parish, Louisiana!!Below poverty level!!Margin of Error","Rapides Parish, Louisiana!!Percent below poverty level!!Estimate","Rapides Parish, Louisiana!!Percent below poverty level!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!Below poverty level!!Estimate","St. Landry Parish, Louisiana!!Below poverty level!!Margin of Error","St. Landry Parish, Louisiana!!Percent below poverty level!!Estimate","St. Landry Parish, Louisiana!!Percent below poverty level!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!Below poverty level!!Estimate","St. Tammany Parish, Louisiana!!Below poverty level!!Margin of Error","St. Tammany Parish, Louisiana!!Percent below poverty level!!Estimate","St. Tammany Parish, Louisiana!!Percent below poverty level!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!Below poverty level!!Estimate","Tangipahoa Parish, Louisiana!!Below poverty level!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent below poverty level!!Estimate","Tangipahoa Parish, Louisiana!!Percent below poverty level!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!Below poverty level!!Estimate","Terrebonne Parish, Louisiana!!Below poverty level!!Margin of Error","Terrebonne Parish, Louisiana!!Percent below poverty level!!Estimate","Terrebonne Parish, Louisiana!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","125,435","±676","10,439","±3,568","8.3%","±2.8","123,789","±1,684","23,296","±4,353","18.8%","±3.5","235,478","±1,168","57,858","±6,809","24.6%","±2.9","200,295","±1,043","42,035","±7,248","21.0%","±3.6","430,841","±1,500","75,511","±8,606","17.5%","±2.0","69,016","±764","15,072","±3,102","21.8%","±4.5","428,350","±1,002","59,713","±8,922","13.9%","±2.1","238,960","±1,770","42,102","±7,883","17.6%","±3.3","94,464","±1,120","17,849","±3,433","18.9%","±3.6","139,441","±1,376","18,224","±5,469","13.1%","±3.9","379,999","±1,710","88,044","±7,084","23.2%","±1.9","146,054","±3,011","36,819","±4,749","25.2%","±3.2","126,369","±1,327","22,678","±3,761","17.9%","±3.0","80,164","±726","17,622","±3,846","22.0%","±4.8","257,709","±878","31,583","±6,036","12.3%","±2.3","131,388","±749","30,095","±6,474","22.9%","±4.9","108,393","±1,192","21,632","±5,082","20.0%","±4.7","320,118,791","±24,954","39,490,096","±242,000","12.3%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","33,276","±431","3,927","±1,885","11.8%","±5.7","30,085","±1,172","9,449","±2,127","31.4%","±7.1","55,476","±587","20,831","±3,649","37.5%","±6.5","50,992","±607","14,645","±3,264","28.7%","±6.4","99,286","±539","23,949","±4,952","24.1%","±5.0","17,452","±399","5,276","±1,575","30.2%","±9.0","93,920","±805","20,937","±5,516","22.3%","±5.8","56,866","±676","14,355","±4,267","25.2%","±7.5","21,675","±778","6,967","±1,671","32.1%","±7.2","35,399","±434","5,277","±2,744","14.9%","±7.7","75,934","±827","25,143","±3,643","33.1%","±4.8","37,620","±411","15,007","±2,621","39.9%","±6.9","31,812","±103","8,277","±1,777","26.0%","±5.6","20,236","±609","5,876","±1,782","29.0%","±8.7","61,074","±543","10,643","±3,245","17.4%","±5.3","32,447","±330","11,452","±3,530","35.3%","±10.8","26,864","±1,372","8,305","±2,864","30.9%","±10.5","71,633,453","±39,859","12,000,470","±134,475","16.8%","±0.2"
"            Under 5 years","7,066","±1,132","245","±292","3.5%","±4.2","7,817","±972","2,166","±841","27.7%","±10.0","15,405","±784","5,963","±1,369","38.7%","±8.9","14,577","±672","4,215","±1,372","28.9%","±9.6","28,550","±582","6,115","±2,060","21.4%","±7.3","4,794","±423","1,645","±729","34.3%","±14.4","27,736","±836","6,320","±2,200","22.8%","±8.0","15,860","±507","4,015","±1,779","25.3%","±11.1","6,403","±1,728","2,662","±1,719","41.6%","±18.4","8,844","±759","1,195","±1,197","13.5%","±13.6","21,707","±634","4,568","±1,376","21.0%","±6.4","10,229","±341","4,058","±1,077","39.7%","±10.7","8,603","±167","3,035","±1,028","35.3%","±11.8","5,360","±511","2,081","±779","38.8%","±13.2","14,842","±349","3,663","±1,613","24.7%","±10.7","8,968","±493","3,267","±1,705","36.4%","±18.8","7,319","±1,247","3,138","±1,520","42.9%","±17.6","19,002,162","±24,352","3,457,689","±51,835","18.2%","±0.3"
"            5 to 17 years","26,210","±1,223","3,682","±1,747","14.0%","±6.7","22,268","±845","7,283","±1,729","32.7%","±7.7","40,071","±908","14,868","±3,124","37.1%","±7.8","36,415","±567","10,430","±2,609","28.6%","±7.1","70,736","±742","17,834","±3,697","25.2%","±5.2","12,658","±402","3,631","±1,472","28.7%","±11.4","66,184","±1,046","14,617","±3,880","22.1%","±5.8","41,006","±819","10,340","±2,978","25.2%","±7.2","15,272","±1,582","4,305","±1,833","28.2%","±9.8","26,555","±937","4,082","±2,039","15.4%","±7.7","54,227","±368","20,575","±2,862","37.9%","±5.3","27,391","±475","10,949","±1,997","40.0%","±7.2","23,209","±207","5,242","±1,361","22.6%","±5.9","14,876","±392","3,795","±1,430","25.5%","±9.6","46,232","±427","6,980","±2,367","15.1%","±5.1","23,479","±533","8,185","±2,496","34.9%","±10.4","19,545","±1,633","5,167","±2,514","26.4%","±13.0","52,631,291","±38,914","8,542,781","±98,380","16.2%","±0.2"
"            Related children of householder under 18 years","33,017","±822","3,668","±1,868","11.1%","±5.7","29,965","±1,292","9,388","±2,147","31.3%","±7.1","55,381","±602","20,736","±3,644","37.4%","±6.5","50,716","±574","14,369","±3,245","28.3%","±6.4","99,159","±569","23,846","±4,940","24.0%","±5.0","17,452","±399","5,276","±1,575","30.2%","±9.0","93,569","±932","20,586","±5,554","22.0%","±5.9","56,682","±873","14,171","±4,267","25.0%","±7.5","21,499","±849","6,791","±1,709","31.6%","±7.4","35,315","±455","5,193","±2,724","14.7%","±7.7","75,916","±828","25,125","±3,645","33.1%","±4.8","37,620","±411","15,007","±2,621","39.9%","±6.9","31,812","±103","8,277","±1,777","26.0%","±5.6","20,236","±609","5,876","±1,782","29.0%","±8.7","60,863","±604","10,432","±3,223","17.1%","±5.3","32,065","±765","11,070","±3,474","34.5%","±10.8","26,864","±1,372","8,305","±2,864","30.9%","±10.5","71,326,895","±42,129","11,716,595","±134,827","16.4%","±0.2"
"        18 to 64 years","76,024","±1,130","5,764","±2,113","7.6%","±2.8","75,957","±1,535","12,374","±2,535","16.3%","±3.3","138,707","±1,125","31,589","±4,096","22.8%","±3.0","118,613","±998","23,618","±4,346","19.9%","±3.6","268,922","±1,399","44,702","±5,154","16.6%","±1.9","40,784","±1,098","8,336","±2,011","20.4%","±5.0","258,740","±712","32,487","±4,506","12.6%","±1.7","149,689","±1,740","24,425","±4,306","16.3%","±2.9","57,090","±960","9,408","±2,193","16.5%","±3.8","85,287","±1,325","10,818","±3,453","12.7%","±4.1","244,862","±1,431","50,274","±4,715","20.5%","±1.9","85,318","±2,869","17,388","±2,531","20.4%","±2.9","73,819","±1,439","12,341","±2,439","16.7%","±3.2","46,655","±661","9,154","±2,174","19.6%","±4.7","151,866","±841","17,034","±3,597","11.2%","±2.4","79,467","±539","16,085","±3,450","20.2%","±4.3","65,228","±1,245","11,511","±3,034","17.6%","±4.7","195,703,010","±30,404","22,504,357","±113,070","11.5%","±0.1"
"            18 to 34 years","28,404","±1,573","2,105","±1,041","7.4%","±3.7","27,681","±1,838","3,586","±1,137","13.0%","±4.1","51,828","±1,213","14,542","±2,572","28.1%","±4.8","44,865","±1,622","11,425","±2,839","25.5%","±6.3","116,866","±1,293","27,875","±3,821","23.9%","±3.3","14,602","±1,281","3,472","±1,224","23.8%","±8.0","93,307","±954","15,861","±2,975","17.0%","±3.2","58,550","±1,806","12,423","±3,025","21.2%","±5.1","21,266","±1,121","4,850","±1,482","22.8%","±6.5","32,559","±1,171","5,215","±2,392","16.0%","±7.3","93,042","±1,376","20,480","±2,902","22.0%","±3.1","32,717","±1,263","7,231","±1,442","22.1%","±4.5","26,057","±1,086","6,451","±1,778","24.8%","±6.5","16,964","±1,245","2,821","±992","16.6%","±6.1","47,622","±1,097","7,180","±2,054","15.1%","±4.3","29,719","±1,644","8,012","±1,860","27.0%","±6.1","24,666","±1,320","7,323","±2,028","29.7%","±7.9","71,922,088","±37,978","10,417,120","±73,212","14.5%","±0.1"
"            35 to 64 years","47,620","±1,713","3,659","±1,623","7.7%","±3.4","48,276","±1,127","8,788","±2,169","18.2%","±4.3","86,879","±953","17,047","±2,974","19.6%","±3.4","73,748","±1,652","12,193","±2,588","16.5%","±3.4","152,056","±1,118","16,827","±2,881","11.1%","±1.9","26,182","±1,272","4,864","±1,590","18.6%","±5.9","165,433","±832","16,626","±2,638","10.0%","±1.6","91,139","±1,403","12,002","±2,875","13.2%","±3.1","35,824","±1,242","4,558","±1,260","12.7%","±3.5","52,728","±1,311","5,603","±2,037","10.6%","±3.9","151,820","±525","29,794","±3,049","19.6%","±2.0","52,601","±1,751","10,157","±2,061","19.3%","±3.7","47,762","±984","5,890","±1,403","12.3%","±2.9","29,691","±1,303","6,333","±1,801","21.3%","±5.8","104,244","±1,167","9,854","±2,332","9.5%","±2.2","49,748","±1,504","8,073","±2,659","16.2%","±5.2","40,562","±1,668","4,188","±1,413","10.3%","±3.5","123,780,922","±48,286","12,087,237","±74,285","9.8%","±0.1"
"        60 years and over","24,038","±1,409","1,774","±1,097","7.4%","±4.5","23,715","±1,495","2,340","±869","9.9%","±3.6","57,580","±1,821","8,412","±1,626","14.6%","±2.7","42,153","±1,936","4,903","±1,192","11.6%","±2.8","91,194","±2,223","10,887","±2,118","11.9%","±2.4","16,317","±1,185","2,123","±713","13.0%","±4.5","106,218","±2,297","9,918","±1,525","9.3%","±1.5","47,881","±2,017","4,812","±1,305","10.0%","±2.7","21,681","±1,178","1,963","±726","9.1%","±3.2","28,000","±1,575","3,324","±1,472","11.9%","±5.2","86,506","±1,877","19,097","±2,431","22.1%","±2.8","31,889","±1,240","5,715","±1,370","17.9%","±4.2","28,317","±1,292","2,953","±765","10.4%","±2.7","19,144","±1,069","3,202","±880","16.7%","±4.6","63,730","±1,863","6,202","±1,444","9.7%","±2.3","27,279","±1,589","4,373","±1,215","16.0%","±4.5","22,343","±1,322","2,460","±1,115","11.0%","±4.9","73,579,563","±66,617","7,162,352","±46,169","9.7%","±0.1"
"        65 years and over","16,135","±1,109","748","±511","4.6%","±3.2","17,747","±603","1,473","±663","8.3%","±3.7","41,295","±768","5,438","±1,220","13.2%","±3.0","30,690","±358","3,772","±1,062","12.3%","±3.5","62,633","±845","6,860","±1,836","11.0%","±2.9","10,780","±674","1,460","±665","13.5%","±6.3","75,690","±627","6,289","±1,348","8.3%","±1.8","32,405","±729","3,322","±997","10.3%","±3.1","15,699","±629","1,474","±667","9.4%","±4.1","18,755","±633","2,129","±1,008","11.4%","±5.3","59,203","±433","12,627","±1,844","21.3%","±3.1","23,116","±484","4,424","±1,229","19.1%","±5.2","20,738","±681","2,060","±666","9.9%","±3.2","13,273","±484","2,592","±746","19.5%","±5.5","44,769","±634","3,906","±1,165","8.7%","±2.6","19,474","±511","2,558","±868","13.1%","±4.4","16,301","±718","1,816","±949","11.1%","±5.8","52,782,328","±26,315","4,985,269","±36,715","9.4%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","61,797","±2,003","4,641","±1,761","7.5%","±2.8","61,380","±1,725","10,061","±2,425","16.4%","±3.9","111,202","±1,193","26,532","±4,093","23.9%","±3.7","96,124","±1,332","18,272","±3,729","19.0%","±3.8","206,332","±1,684","31,221","±5,002","15.1%","±2.4","33,323","±1,375","5,801","±1,457","17.4%","±4.3","205,652","±1,214","27,378","±4,805","13.3%","±2.3","114,503","±1,328","18,046","±4,357","15.8%","±3.8","46,283","±1,093","6,932","±1,517","15.0%","±3.3","67,732","±1,745","7,994","±2,771","11.8%","±4.1","180,109","±1,374","38,549","±4,404","21.4%","±2.4","67,540","±2,909","17,519","±3,064","25.9%","±4.3","60,753","±1,326","10,126","±1,671","16.7%","±2.7","39,035","±793","6,809","±2,215","17.4%","±5.6","123,840","±1,434","13,349","±3,405","10.8%","±2.7","64,279","±1,242","12,764","±3,303","19.9%","±5.0","52,255","±1,940","8,017","±2,445","15.3%","±4.6","156,743,490","±42,059","17,473,451","±123,014","11.1%","±0.1"
"        Female","63,638","±1,953","5,798","±2,612","9.1%","±4.0","62,409","±1,462","13,235","±2,712","21.2%","±4.3","124,276","±1,179","31,326","±3,865","25.2%","±3.1","104,171","±918","23,763","±4,053","22.8%","±3.9","224,509","±1,640","44,290","±5,496","19.7%","±2.5","35,693","±1,182","9,271","±2,157","26.0%","±5.9","222,698","±1,357","32,335","±5,302","14.5%","±2.4","124,457","±1,104","24,056","±4,492","19.3%","±3.6","48,181","±1,066","10,917","±2,488","22.7%","±5.1","71,709","±1,451","10,230","±3,595","14.3%","±5.0","199,890","±1,417","49,495","±3,834","24.8%","±1.9","78,514","±657","19,300","±2,555","24.6%","±3.3","65,616","±593","12,552","±2,561","19.1%","±3.9","41,129","±707","10,813","±2,218","26.3%","±5.4","133,869","±1,092","18,234","±3,736","13.6%","±2.8","67,109","±1,242","17,331","±4,003","25.8%","±6.0","56,138","±1,808","13,615","±3,142","24.3%","±5.7","163,375,301","±45,562","22,016,645","±137,887","13.5%","±0.1"
