"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Below poverty level!!Estimate","DeSoto County, Mississippi!!Below poverty level!!Margin of Error","DeSoto County, Mississippi!!Percent below poverty level!!Estimate","DeSoto County, Mississippi!!Percent below poverty level!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Below poverty level!!Estimate","Forrest County, Mississippi!!Below poverty level!!Margin of Error","Forrest County, Mississippi!!Percent below poverty level!!Estimate","Forrest County, Mississippi!!Percent below poverty level!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Below poverty level!!Estimate","Harrison County, Mississippi!!Below poverty level!!Margin of Error","Harrison County, Mississippi!!Percent below poverty level!!Estimate","Harrison County, Mississippi!!Percent below poverty level!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Below poverty level!!Estimate","Hinds County, Mississippi!!Below poverty level!!Margin of Error","Hinds County, Mississippi!!Percent below poverty level!!Estimate","Hinds County, Mississippi!!Percent below poverty level!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Below poverty level!!Estimate","Jackson County, Mississippi!!Below poverty level!!Margin of Error","Jackson County, Mississippi!!Percent below poverty level!!Estimate","Jackson County, Mississippi!!Percent below poverty level!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Below poverty level!!Estimate","Jones County, Mississippi!!Below poverty level!!Margin of Error","Jones County, Mississippi!!Percent below poverty level!!Estimate","Jones County, Mississippi!!Percent below poverty level!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Below poverty level!!Estimate","Lauderdale County, Mississippi!!Below poverty level!!Margin of Error","Lauderdale County, Mississippi!!Percent below poverty level!!Estimate","Lauderdale County, Mississippi!!Percent below poverty level!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Below poverty level!!Estimate","Lee County, Mississippi!!Below poverty level!!Margin of Error","Lee County, Mississippi!!Percent below poverty level!!Estimate","Lee County, Mississippi!!Percent below poverty level!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Below poverty level!!Estimate","Madison County, Mississippi!!Below poverty level!!Margin of Error","Madison County, Mississippi!!Percent below poverty level!!Estimate","Madison County, Mississippi!!Percent below poverty level!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Below poverty level!!Estimate","Rankin County, Mississippi!!Below poverty level!!Margin of Error","Rankin County, Mississippi!!Percent below poverty level!!Estimate","Rankin County, Mississippi!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","183,057","±1,372","17,650","±3,563","9.6%","±1.9","71,960","±879","17,801","±4,283","24.7%","±5.9","202,552","±1,473","34,264","±5,628","16.9%","±2.8","223,509","±1,383","42,282","±5,197","18.9%","±2.4","141,022","±1,304","21,112","±4,577","15.0%","±3.3","66,396","±730","18,384","±4,397","27.7%","±6.6","70,319","±1,082","14,707","±2,689","20.9%","±3.8","84,216","±641","11,964","±2,474","14.2%","±3.0","104,816","±588","9,077","±2,867","8.7%","±2.7","150,634","±1,698","17,515","±4,652","11.6%","±3.1","320,118,791","±24,954","39,490,096","±242,000","12.3%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","45,858","±907","6,482","±2,062","14.1%","±4.5","16,777","±411","4,477","±2,167","26.7%","±13.0","48,657","±670","13,293","±2,737","27.3%","±5.6","53,879","±605","15,425","±3,106","28.6%","±5.8","31,818","±827","6,797","±2,041","21.4%","±6.3","16,722","±305","7,576","±1,713","45.3%","±10.2","16,961","±377","5,349","±1,462","31.5%","±8.6","20,952","±317","5,434","±1,506","25.9%","±7.2","26,212","±93","3,923","±1,595","15.0%","±6.1","35,243","±325","5,471","±2,601","15.5%","±7.4","71,633,453","±39,859","12,000,470","±134,475","16.8%","±0.2"
"            Under 5 years","11,191","±533","1,851","±772","16.5%","±6.9","4,733","±3","821","±851","17.3%","±18.0","13,148","±1,173","2,706","±994","20.6%","±7.9","14,495","±743","4,686","±1,477","32.3%","±10.0","7,566","±569","1,483","±645","19.6%","±8.7","4,219","±507","1,752","±515","41.5%","±13.1","4,469","±310","1,645","±731","36.8%","±16.5","5,599","±402","1,576","±632","28.1%","±11.6","6,279","±237","788","±618","12.5%","±9.7","9,222","±434","2,445","±1,252","26.5%","±13.3","19,002,162","±24,352","3,457,689","±51,835","18.2%","±0.3"
"            5 to 17 years","34,667","±589","4,631","±1,795","13.4%","±5.2","12,044","±411","3,656","±1,786","30.4%","±14.9","35,509","±1,023","10,587","±2,496","29.8%","±6.9","39,384","±736","10,739","±2,575","27.3%","±6.5","24,252","±955","5,314","±1,857","21.9%","±7.6","12,503","±460","5,824","±1,553","46.6%","±11.8","12,492","±226","3,704","±985","29.7%","±7.8","15,353","±409","3,858","±1,185","25.1%","±7.8","19,933","±240","3,135","±1,320","15.7%","±6.7","26,021","±475","3,026","±1,752","11.6%","±6.7","52,631,291","±38,914","8,542,781","±98,380","16.2%","±0.2"
"            Related children of householder under 18 years","45,802","±908","6,426","±2,066","14.0%","±4.5","16,775","±411","4,475","±2,167","26.7%","±13.0","48,568","±757","13,204","±2,775","27.2%","±5.6","53,711","±662","15,257","±3,107","28.4%","±5.8","31,750","±823","6,729","±2,033","21.2%","±6.3","16,722","±305","7,576","±1,713","45.3%","±10.2","16,939","±372","5,327","±1,454","31.4%","±8.6","20,870","±353","5,352","±1,493","25.6%","±7.2","26,212","±93","3,923","±1,595","15.0%","±6.1","35,243","±325","5,471","±2,601","15.5%","±7.4","71,326,895","±42,129","11,716,595","±134,827","16.4%","±0.2"
"        18 to 64 years","113,011","±933","9,142","±1,770","8.1%","±1.6","44,901","±1,014","11,720","±2,939","26.1%","±6.6","122,606","±1,619","18,771","±3,606","15.3%","±2.9","136,097","±1,267","22,229","±2,669","16.3%","±2.0","85,360","±1,299","12,534","±3,354","14.7%","±3.9","37,816","±781","9,268","±3,310","24.5%","±8.6","40,821","±1,025","7,779","±1,592","19.1%","±3.8","50,834","±455","5,470","±1,229","10.8%","±2.4","64,376","±590","4,031","±1,548","6.3%","±2.4","91,553","±1,789","10,854","±2,736","11.9%","±3.0","195,703,010","±30,404","22,504,357","±113,070","11.5%","±0.1"
"            18 to 34 years","40,269","±1,055","5,286","±1,149","13.1%","±2.9","18,938","±1,330","5,695","±1,602","30.1%","±8.6","44,371","±1,546","7,604","±2,014","17.1%","±4.5","52,897","±1,209","10,522","±2,013","19.9%","±3.8","28,620","±1,385","4,422","±1,316","15.5%","±4.4","14,464","±1,407","4,525","±1,395","31.3%","±10.1","13,871","±1,126","3,027","±1,025","21.8%","±6.8","17,674","±513","2,026","±858","11.5%","±4.7","21,588","±1,007","1,728","±830","8.0%","±3.7","33,268","±1,869","5,649","±2,124","17.0%","±6.1","71,922,088","±37,978","10,417,120","±73,212","14.5%","±0.1"
"            35 to 64 years","72,742","±1,042","3,856","±1,106","5.3%","±1.5","25,963","±763","6,025","±2,076","23.2%","±7.9","78,235","±1,468","11,167","±2,570","14.3%","±3.3","83,200","±318","11,707","±1,687","14.1%","±2.0","56,740","±1,622","8,112","±2,912","14.3%","±5.0","23,352","±1,377","4,743","±2,158","20.3%","±9.0","26,950","±1,168","4,752","±1,360","17.6%","±4.8","33,160","±551","3,444","±953","10.4%","±2.9","42,788","±1,054","2,303","±1,077","5.4%","±2.6","58,285","±1,715","5,205","±1,426","8.9%","±2.5","123,780,922","±48,286","12,087,237","±74,285","9.8%","±0.1"
"        60 years and over","33,818","±1,316","2,140","±741","6.3%","±2.2","15,255","±917","2,727","±1,068","17.9%","±6.9","44,251","±1,563","3,709","±919","8.4%","±2.1","47,018","±1,423","6,863","±1,235","14.6%","±2.6","33,619","±1,838","2,792","±1,082","8.3%","±3.2","15,937","±1,049","1,920","±713","12.0%","±4.4","17,917","±840","2,572","±940","14.4%","±5.1","17,128","±819","1,462","±459","8.5%","±2.6","20,597","±1,274","1,319","±658","6.4%","±3.2","34,479","±1,445","2,274","±1,108","6.6%","±3.2","73,579,563","±66,617","7,162,352","±46,169","9.7%","±0.1"
