"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Below poverty level!!Estimate","Canadian County, Oklahoma!!Below poverty level!!Margin of Error","Canadian County, Oklahoma!!Percent below poverty level!!Estimate","Canadian County, Oklahoma!!Percent below poverty level!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Below poverty level!!Estimate","Cleveland County, Oklahoma!!Below poverty level!!Margin of Error","Cleveland County, Oklahoma!!Percent below poverty level!!Estimate","Cleveland County, Oklahoma!!Percent below poverty level!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Below poverty level!!Estimate","Comanche County, Oklahoma!!Below poverty level!!Margin of Error","Comanche County, Oklahoma!!Percent below poverty level!!Estimate","Comanche County, Oklahoma!!Percent below poverty level!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Below poverty level!!Estimate","Creek County, Oklahoma!!Below poverty level!!Margin of Error","Creek County, Oklahoma!!Percent below poverty level!!Estimate","Creek County, Oklahoma!!Percent below poverty level!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Below poverty level!!Estimate","Muskogee County, Oklahoma!!Below poverty level!!Margin of Error","Muskogee County, Oklahoma!!Percent below poverty level!!Estimate","Muskogee County, Oklahoma!!Percent below poverty level!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Below poverty level!!Estimate","Oklahoma County, Oklahoma!!Below poverty level!!Margin of Error","Oklahoma County, Oklahoma!!Percent below poverty level!!Estimate","Oklahoma County, Oklahoma!!Percent below poverty level!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Below poverty level!!Estimate","Payne County, Oklahoma!!Below poverty level!!Margin of Error","Payne County, Oklahoma!!Percent below poverty level!!Estimate","Payne County, Oklahoma!!Percent below poverty level!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Below poverty level!!Estimate","Pottawatomie County, Oklahoma!!Below poverty level!!Margin of Error","Pottawatomie County, Oklahoma!!Percent below poverty level!!Estimate","Pottawatomie County, Oklahoma!!Percent below poverty level!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Below poverty level!!Estimate","Rogers County, Oklahoma!!Below poverty level!!Margin of Error","Rogers County, Oklahoma!!Percent below poverty level!!Estimate","Rogers County, Oklahoma!!Percent below poverty level!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Below poverty level!!Estimate","Tulsa County, Oklahoma!!Below poverty level!!Margin of Error","Tulsa County, Oklahoma!!Percent below poverty level!!Estimate","Tulsa County, Oklahoma!!Percent below poverty level!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Below poverty level!!Estimate","Wagoner County, Oklahoma!!Below poverty level!!Margin of Error","Wagoner County, Oklahoma!!Percent below poverty level!!Estimate","Wagoner County, Oklahoma!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","145,474","±1,117","12,658","±3,403","8.7%","±2.3","273,675","±1,487","32,536","±4,132","11.9%","±1.5","111,487","±1,870","19,435","±4,140","17.4%","±3.6","70,464","±402","9,409","±1,739","13.4%","±2.5","64,107","±804","15,355","±2,388","24.0%","±3.7","782,342","±1,791","116,472","±7,822","14.9%","±1.0","72,887","±1,300","18,948","±3,140","26.0%","±4.2","69,508","±1,005","9,802","±1,618","14.1%","±2.3","90,886","±823","10,428","±2,287","11.5%","±2.5","641,445","±1,779","91,962","±5,827","14.3%","±0.9","80,634","±382","5,908","±1,229","7.3%","±1.5","320,118,791","±24,954","39,490,096","±242,000","12.3%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","37,790","±573","5,410","±1,813","14.3%","±4.7","59,309","±554","5,321","±2,007","9.0%","±3.4","27,022","±833","6,801","±1,771","25.2%","±6.5","16,465","±200","2,947","±959","17.9%","±5.9","16,443","±169","5,931","±1,225","36.1%","±7.5","200,240","±858","38,338","±5,019","19.1%","±2.5","15,073","±528","4,146","±1,587","27.5%","±10.6","16,837","±440","2,230","±753","13.2%","±4.4","21,080","±183","4,007","±1,357","19.0%","±6.4","160,685","±959","32,416","±2,801","20.2%","±1.7","19,055","±316","1,496","±606","7.9%","±3.2","71,633,453","±39,859","12,000,470","±134,475","16.8%","±0.2"
"            Under 5 years","8,790","±536","1,185","±476","13.5%","±5.3","14,305","±370","1,840","±1,142","12.9%","±7.9","7,971","±80","2,252","±866","28.3%","±10.8","3,851","±199","676","±341","17.6%","±8.9","4,184","±395","1,621","±572","38.7%","±13.5","57,205","±400","10,897","±2,142","19.0%","±3.7","3,908","±494","1,431","±657","36.6%","±15.1","4,284","±276","616","±357","14.4%","±8.0","5,613","±170","1,401","±860","25.0%","±15.4","44,662","±620","11,347","±1,338","25.4%","±3.0","4,419","±262","368","±253","8.3%","±5.7","19,002,162","±24,352","3,457,689","±51,835","18.2%","±0.3"
"            5 to 17 years","29,000","±593","4,225","±1,433","14.6%","±4.9","45,004","±399","3,481","±1,240","7.7%","±2.8","19,051","±815","4,549","±1,258","23.9%","±6.5","12,614","±238","2,271","±851","18.0%","±6.8","12,259","±377","4,310","±885","35.2%","±7.4","143,035","±742","27,441","±4,069","19.2%","±2.8","11,165","±599","2,715","±1,127","24.3%","±10.2","12,553","±362","1,614","±650","12.9%","±5.2","15,467","±224","2,606","±730","16.8%","±4.7","116,023","±772","21,069","±2,234","18.2%","±1.9","14,636","±323","1,128","±531","7.7%","±3.6","52,631,291","±38,914","8,542,781","±98,380","16.2%","±0.2"
"            Related children of householder under 18 years","37,393","±700","5,130","±1,821","13.7%","±4.8","58,781","±764","4,793","±1,873","8.2%","±3.2","26,919","±828","6,698","±1,787","24.9%","±6.5","16,415","±212","2,897","±953","17.6%","±5.8","16,400","±183","5,888","±1,217","35.9%","±7.4","199,570","±951","37,702","±4,982","18.9%","±2.5","15,045","±528","4,118","±1,592","27.4%","±10.6","16,622","±572","2,095","±784","12.6%","±4.6","21,008","±197","3,935","±1,359","18.7%","±6.5","160,335","±974","32,118","±2,806","20.0%","±1.7","18,911","±340","1,412","±623","7.5%","±3.3","71,326,895","±42,129","11,716,595","±134,827","16.4%","±0.2"
"        18 to 64 years","88,257","±958","6,019","±1,874","6.8%","±2.1","175,501","±1,480","24,839","±3,170","14.2%","±1.8","70,698","±1,636","11,384","±2,971","16.1%","±4.1","41,286","±467","5,459","±926","13.2%","±2.3","36,754","±739","8,324","±1,421","22.6%","±3.8","472,520","±1,617","67,090","±3,990","14.2%","±0.8","46,695","±1,454","13,993","±2,074","30.0%","±4.2","41,091","±1,125","6,464","±1,196","15.7%","±2.8","55,159","±658","5,254","±1,024","9.5%","±1.9","386,779","±1,372","51,234","±3,312","13.2%","±0.9","48,097","±253","3,379","±741","7.0%","±1.5","195,703,010","±30,404","22,504,357","±113,070","11.5%","±0.1"
"            18 to 34 years","32,495","±1,243","2,696","±1,104","8.3%","±3.3","76,800","±1,615","19,343","±2,781","25.2%","±3.6","29,645","±1,737","5,408","±1,871","18.2%","±6.1","13,877","±418","2,208","±501","15.9%","±3.6","12,808","±616","3,570","±900","27.9%","±6.8","187,621","±1,497","28,778","±2,726","15.3%","±1.4","25,494","±1,403","11,358","±1,929","44.6%","±6.9","14,130","±794","2,671","±592","18.9%","±4.2","19,348","±498","2,707","±612","14.0%","±3.2","149,007","±1,031","24,330","±2,090","16.3%","±1.4","16,760","±368","1,428","±430","8.5%","±2.6","71,922,088","±37,978","10,417,120","±73,212","14.5%","±0.1"
"            35 to 64 years","55,762","±1,188","3,323","±1,283","6.0%","±2.3","98,701","±1,571","5,496","±1,250","5.6%","±1.3","41,053","±1,412","5,976","±1,627","14.6%","±3.9","27,409","±376","3,251","±611","11.9%","±2.2","23,946","±628","4,754","±950","19.9%","±3.9","284,899","±635","38,312","±3,454","13.4%","±1.2","21,201","±758","2,635","±725","12.4%","±3.5","26,961","±826","3,793","±810","14.1%","±3.0","35,811","±529","2,547","±651","7.1%","±1.8","237,772","±523","26,904","±2,245","11.3%","±0.9","31,337","±413","1,951","±531","6.2%","±1.7","123,780,922","±48,286","12,087,237","±74,285","9.8%","±0.1"
"        60 years and over","28,225","±1,469","1,681","±634","6.0%","±2.2","53,875","±1,442","3,886","±1,154","7.2%","±2.1","20,413","±1,108","2,397","±877","11.7%","±4.1","17,657","±676","1,439","±403","8.1%","±2.3","15,994","±587","2,172","±520","13.6%","±3.3","156,172","±2,100","16,743","±2,223","10.7%","±1.4","14,494","±972","1,128","±412","7.8%","±2.8","15,764","±601","1,772","±458","11.2%","±2.8","21,604","±837","1,539","±468","7.1%","±2.1","133,023","±2,241","12,418","±1,560","9.3%","±1.2","17,957","±572","1,507","±443","8.4%","±2.5","73,579,563","±66,617","7,162,352","±46,169","9.7%","±0.1"
