"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!Below poverty level!!Estimate","Aiken County, South Carolina!!Below poverty level!!Margin of Error","Aiken County, South Carolina!!Percent below poverty level!!Estimate","Aiken County, South Carolina!!Percent below poverty level!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!Below poverty level!!Estimate","Anderson County, South Carolina!!Below poverty level!!Margin of Error","Anderson County, South Carolina!!Percent below poverty level!!Estimate","Anderson County, South Carolina!!Percent below poverty level!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!Below poverty level!!Estimate","Beaufort County, South Carolina!!Below poverty level!!Margin of Error","Beaufort County, South Carolina!!Percent below poverty level!!Estimate","Beaufort County, South Carolina!!Percent below poverty level!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!Below poverty level!!Estimate","Berkeley County, South Carolina!!Below poverty level!!Margin of Error","Berkeley County, South Carolina!!Percent below poverty level!!Estimate","Berkeley County, South Carolina!!Percent below poverty level!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!Below poverty level!!Estimate","Charleston County, South Carolina!!Below poverty level!!Margin of Error","Charleston County, South Carolina!!Percent below poverty level!!Estimate","Charleston County, South Carolina!!Percent below poverty level!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!Below poverty level!!Estimate","Darlington County, South Carolina!!Below poverty level!!Margin of Error","Darlington County, South Carolina!!Percent below poverty level!!Estimate","Darlington County, South Carolina!!Percent below poverty level!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!Below poverty level!!Estimate","Dorchester County, South Carolina!!Below poverty level!!Margin of Error","Dorchester County, South Carolina!!Percent below poverty level!!Estimate","Dorchester County, South Carolina!!Percent below poverty level!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!Below poverty level!!Estimate","Florence County, South Carolina!!Below poverty level!!Margin of Error","Florence County, South Carolina!!Percent below poverty level!!Estimate","Florence County, South Carolina!!Percent below poverty level!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!Below poverty level!!Estimate","Greenville County, South Carolina!!Below poverty level!!Margin of Error","Greenville County, South Carolina!!Percent below poverty level!!Estimate","Greenville County, South Carolina!!Percent below poverty level!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!Below poverty level!!Estimate","Greenwood County, South Carolina!!Below poverty level!!Margin of Error","Greenwood County, South Carolina!!Percent below poverty level!!Estimate","Greenwood County, South Carolina!!Percent below poverty level!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!Below poverty level!!Estimate","Horry County, South Carolina!!Below poverty level!!Margin of Error","Horry County, South Carolina!!Percent below poverty level!!Estimate","Horry County, South Carolina!!Percent below poverty level!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!Below poverty level!!Estimate","Kershaw County, South Carolina!!Below poverty level!!Margin of Error","Kershaw County, South Carolina!!Percent below poverty level!!Estimate","Kershaw County, South Carolina!!Percent below poverty level!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!Below poverty level!!Estimate","Lancaster County, South Carolina!!Below poverty level!!Margin of Error","Lancaster County, South Carolina!!Percent below poverty level!!Estimate","Lancaster County, South Carolina!!Percent below poverty level!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!Below poverty level!!Estimate","Laurens County, South Carolina!!Below poverty level!!Margin of Error","Laurens County, South Carolina!!Percent below poverty level!!Estimate","Laurens County, South Carolina!!Percent below poverty level!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!Below poverty level!!Estimate","Lexington County, South Carolina!!Below poverty level!!Margin of Error","Lexington County, South Carolina!!Percent below poverty level!!Estimate","Lexington County, South Carolina!!Percent below poverty level!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!Below poverty level!!Estimate","Oconee County, South Carolina!!Below poverty level!!Margin of Error","Oconee County, South Carolina!!Percent below poverty level!!Estimate","Oconee County, South Carolina!!Percent below poverty level!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!Below poverty level!!Estimate","Orangeburg County, South Carolina!!Below poverty level!!Margin of Error","Orangeburg County, South Carolina!!Percent below poverty level!!Estimate","Orangeburg County, South Carolina!!Percent below poverty level!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!Below poverty level!!Estimate","Pickens County, South Carolina!!Below poverty level!!Margin of Error","Pickens County, South Carolina!!Percent below poverty level!!Estimate","Pickens County, South Carolina!!Percent below poverty level!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!Below poverty level!!Estimate","Richland County, South Carolina!!Below poverty level!!Margin of Error","Richland County, South Carolina!!Percent below poverty level!!Estimate","Richland County, South Carolina!!Percent below poverty level!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!Below poverty level!!Estimate","Spartanburg County, South Carolina!!Below poverty level!!Margin of Error","Spartanburg County, South Carolina!!Percent below poverty level!!Estimate","Spartanburg County, South Carolina!!Percent below poverty level!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!Below poverty level!!Estimate","Sumter County, South Carolina!!Below poverty level!!Margin of Error","Sumter County, South Carolina!!Percent below poverty level!!Estimate","Sumter County, South Carolina!!Percent below poverty level!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!Below poverty level!!Estimate","York County, South Carolina!!Below poverty level!!Margin of Error","York County, South Carolina!!Percent below poverty level!!Estimate","York County, South Carolina!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","168,051","±1,223","18,942","±4,268","11.3%","±2.5","199,326","±1,057","25,519","±4,255","12.8%","±2.1","187,618","±1,380","19,245","±5,144","10.3%","±2.7","223,674","±1,770","23,969","±3,640","10.7%","±1.6","399,111","±2,245","44,771","±6,457","11.2%","±1.6","65,429","±586","11,712","±3,087","17.9%","±4.7","159,709","±1,632","14,608","±3,172","9.1%","±2.0","135,090","±984","22,078","±4,488","16.3%","±3.3","511,083","±1,924","54,283","±7,122","10.6%","±1.4","67,664","±1,184","13,121","±3,087","19.4%","±4.5","348,018","±1,441","44,405","±6,403","12.8%","±1.8","66,319","±251","9,448","±2,262","14.2%","±3.4","94,181","±2,422","11,665","±3,441","12.4%","±3.6","65,292","±808","13,632","±3,301","20.9%","±5.1","294,896","±1,620","37,176","±6,158","12.6%","±2.1","78,693","±491","10,778","±2,669","13.7%","±3.4","83,292","±759","22,935","±3,935","27.5%","±4.7","120,492","±1,503","18,562","±3,182","15.4%","±2.6","384,013","±3,175","63,658","±7,735","16.6%","±2.0","311,193","±1,577","39,852","±5,852","12.8%","±1.9","104,585","±565","18,165","±4,037","17.4%","±3.9","275,870","±1,710","22,663","±4,336","8.2%","±1.6","320,118,791","±24,954","39,490,096","±242,000","12.3%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","36,321","±480","5,879","±2,298","16.2%","±6.3","44,379","±892","8,708","±2,213","19.6%","±4.9","34,569","±1,077","7,497","±3,031","21.7%","±8.7","53,202","±670","7,577","±2,118","14.2%","±4.0","79,389","±1,446","11,285","±3,145","14.2%","±3.9","14,613","±65","4,877","±2,062","33.4%","±14.1","37,785","±1,476","4,345","±1,800","11.5%","±4.6","31,657","±623","6,751","±2,388","21.3%","±7.5","117,933","±1,184","17,827","±3,874","15.1%","±3.3","15,096","±1,481","4,285","±1,824","28.4%","±10.6","60,906","±926","12,575","±3,492","20.6%","±5.8","15,350","±8","3,957","±1,165","25.8%","±7.6","19,197","±2,001","2,121","±1,519","11.0%","±7.7","14,480","±326","3,795","±1,623","26.2%","±11.2","67,250","±1,185","13,024","±3,355","19.4%","±5.0","15,856","±289","3,048","±1,281","19.2%","±8.1","19,064","±662","9,249","±2,195","48.5%","±10.9","23,388","±177","3,171","±1,253","13.6%","±5.3","86,384","±1,206","19,188","±4,201","22.2%","±4.9","72,051","±884","13,337","±2,769","18.5%","±3.9","25,301","±128","5,982","±2,372","23.6%","±9.4","65,903","±1,401","6,233","±2,045","9.5%","±3.1","71,633,453","±39,859","12,000,470","±134,475","16.8%","±0.2"
"            Under 5 years","9,251","±862","1,762","±928","19.0%","±10.1","11,149","±293","1,623","±837","14.6%","±7.5","9,205","±449","2,802","±1,417","30.4%","±15.0","13,548","±959","2,238","±855","16.5%","±6.2","23,418","±603","3,465","±1,564","14.8%","±6.7","3,851","±3","1,338","±727","34.7%","±18.9","8,423","±1,374","1,191","±738","14.1%","±7.8","8,574","±749","2,457","±976","28.7%","±10.2","31,596","±508","4,216","±1,117","13.3%","±3.5","4,351","±874","1,226","±1,062","28.2%","±20.6","14,763","±654","2,496","±1,013","16.9%","±7.0","3,847","±3","1,338","±538","34.8%","±14.0","5,687","±340","594","±532","10.4%","±9.2","3,779","±496","970","±594","25.7%","±15.2","15,522","±802","2,886","±1,286","18.6%","±8.2","3,251","±422","761","±745","23.4%","±22.8","4,313","±245","1,899","±952","44.0%","±21.8","6,914","±548","648","±479","9.4%","±7.2","23,401","±588","4,946","±1,523","21.1%","±6.6","19,333","±361","4,815","±1,166","24.9%","±6.1","6,977","±410","1,599","±958","22.9%","±14.0","16,285","±543","2,185","±1,120","13.4%","±6.8","19,002,162","±24,352","3,457,689","±51,835","18.2%","±0.3"
"            5 to 17 years","27,070","±766","4,117","±1,741","15.2%","±6.3","33,230","±913","7,085","±1,836","21.3%","±5.4","25,364","±906","4,695","±2,077","18.5%","±8.1","39,654","±1,046","5,339","±1,615","13.5%","±4.1","55,971","±1,309","7,820","±2,422","14.0%","±4.3","10,762","±65","3,539","±1,708","32.9%","±15.9","29,362","±452","3,154","±1,395","10.7%","±4.7","23,083","±762","4,294","±1,812","18.6%","±7.8","86,337","±1,103","13,611","±3,323","15.8%","±3.9","10,745","±1,103","3,059","±1,096","28.5%","±9.2","46,143","±884","10,079","±2,858","21.8%","±6.2","11,503","±8","2,619","±850","22.8%","±7.4","13,510","±2,101","1,527","±1,299","11.3%","±9.2","10,701","±534","2,825","±1,487","26.4%","±14.0","51,728","±1,170","10,138","±2,614","19.6%","±5.1","12,605","±515","2,287","±1,010","18.1%","±7.8","14,751","±613","7,350","±1,617","49.8%","±10.1","16,474","±584","2,523","±956","15.3%","±5.6","62,983","±1,259","14,242","±3,316","22.6%","±5.3","52,718","±870","8,522","±2,192","16.2%","±4.1","18,324","±381","4,383","±2,020","23.9%","±11.0","49,618","±1,353","4,048","±1,386","8.2%","±2.8","52,631,291","±38,914","8,542,781","±98,380","16.2%","±0.2"
"            Related children of householder under 18 years","36,276","±476","5,834","±2,298","16.1%","±6.3","44,022","±1,225","8,351","±2,488","19.0%","±5.4","34,069","±1,301","7,087","±3,034","20.8%","±8.8","52,518","±1,065","6,893","±2,006","13.1%","±3.8","79,256","±1,456","11,152","±3,126","14.1%","±3.9","14,458","±279","4,722","±2,068","32.7%","±14.3","37,601","±1,494","4,161","±1,795","11.1%","±4.7","31,567","±624","6,661","±2,397","21.1%","±7.5","117,554","±1,402","17,448","±3,837","14.8%","±3.3","15,096","±1,481","4,285","±1,824","28.4%","±10.6","60,679","±978","12,348","±3,528","20.3%","±5.9","15,350","±8","3,957","±1,165","25.8%","±7.6","19,197","±2,001","2,121","±1,519","11.0%","±7.7","14,480","±326","3,795","±1,623","26.2%","±11.2","66,694","±1,589","12,468","±3,373","18.7%","±5.0","15,846","±292","3,038","±1,276","19.2%","±8.1","18,785","±712","8,970","±2,134","47.8%","±10.8","23,248","±288","3,031","±1,226","13.0%","±5.3","86,195","±1,315","18,999","±4,163","22.0%","±4.8","71,944","±927","13,230","±2,790","18.4%","±3.9","25,290","±133","5,971","±2,373","23.6%","±9.4","65,557","±1,499","5,887","±2,027","9.0%","±3.0","71,326,895","±42,129","11,716,595","±134,827","16.4%","±0.2"
"        18 to 64 years","99,077","±906","9,919","±2,456","10.0%","±2.5","118,532","±801","13,910","±2,762","11.7%","±2.3","99,644","±1,692","9,941","±2,700","10.0%","±2.7","139,062","±1,660","13,607","±2,081","9.8%","±1.5","251,347","±1,713","26,493","±4,274","10.5%","±1.7","38,214","±478","5,156","±1,573","13.5%","±4.1","98,303","±1,080","8,587","±1,890","8.7%","±1.9","80,102","±861","12,076","±2,607","15.1%","±3.3","310,286","±1,673","28,750","±3,680","9.3%","±1.2","38,812","±1,384","7,195","±1,805","18.5%","±4.6","199,132","±1,363","25,933","±3,765","13.0%","±1.9","38,759","±4","4,430","±1,443","11.4%","±3.7","54,488","±720","6,936","±2,217","12.7%","±4.1","39,114","±653","7,961","±1,918","20.4%","±5.0","180,110","±1,066","19,385","±3,064","10.8%","±1.7","44,115","±752","6,337","±1,743","14.4%","±4.0","47,247","±925","9,761","±2,126","20.7%","±4.5","75,860","±1,612","13,236","±2,331","17.4%","±3.0","243,363","±2,973","38,434","±4,410","15.8%","±1.8","188,478","±1,685","21,988","±3,500","11.7%","±1.9","61,742","±589","10,129","±2,242","16.4%","±3.7","168,448","±1,243","13,817","±2,687","8.2%","±1.6","195,703,010","±30,404","22,504,357","±113,070","11.5%","±0.1"
"            18 to 34 years","35,553","±1,461","2,720","±1,145","7.7%","±3.2","40,891","±906","5,758","±1,439","14.1%","±3.6","35,657","±1,832","3,994","±1,444","11.2%","±4.0","52,402","±1,766","6,231","±1,599","11.9%","±3.0","95,719","±1,532","14,625","±3,158","15.3%","±3.2","13,943","±1,017","2,455","±1,025","17.6%","±7.2","34,184","±1,299","3,378","±1,140","9.9%","±3.3","28,800","±660","4,091","±1,452","14.2%","±5.0","111,265","±1,317","12,446","±2,168","11.2%","±2.0","14,005","±1,432","3,458","±1,466","24.7%","±8.9","61,623","±1,540","8,789","±1,938","14.3%","±3.1","12,162","±508","1,529","±1,010","12.6%","±8.3","16,970","±812","2,751","±1,216","16.2%","±6.9","13,289","±946","2,456","±931","18.5%","±6.7","61,741","±1,074","9,029","±2,194","14.6%","±3.5","14,705","±1,000","2,787","±1,023","19.0%","±6.7","16,497","±472","4,777","±1,458","29.0%","±8.8","32,825","±1,613","8,416","±1,735","25.6%","±4.9","99,958","±2,892","23,425","±3,110","23.4%","±2.9","68,382","±1,133","11,132","±2,242","16.3%","±3.3","23,860","±1,021","4,541","±1,478","19.0%","±6.3","55,279","±1,165","6,195","±1,918","11.2%","±3.5","71,922,088","±37,978","10,417,120","±73,212","14.5%","±0.1"
"            35 to 64 years","63,524","±1,293","7,199","±1,878","11.3%","±2.9","77,641","±728","8,152","±1,979","10.5%","±2.5","63,987","±1,866","5,947","±2,001","9.3%","±3.0","86,660","±1,133","7,376","±1,679","8.5%","±1.9","155,628","±978","11,868","±2,290","7.6%","±1.5","24,271","±1,069","2,701","±1,107","11.1%","±4.4","64,119","±1,103","5,209","±1,478","8.1%","±2.3","51,302","±475","7,985","±1,924","15.6%","±3.8","199,021","±1,015","16,304","±2,826","8.2%","±1.4","24,807","±1,176","3,737","±1,038","15.1%","±4.4","137,509","±1,489","17,144","±2,955","12.5%","±2.1","26,597","±508","2,901","±795","10.9%","±3.0","37,518","±893","4,185","±1,549","11.2%","±4.2","25,825","±1,103","5,505","±1,344","21.3%","±5.4","118,369","±1,230","10,356","±2,018","8.7%","±1.7","29,410","±1,124","3,550","±1,206","12.1%","±4.1","30,750","±646","4,984","±987","16.2%","±3.2","43,035","±881","4,820","±1,475","11.2%","±3.4","143,405","±1,517","15,009","±2,648","10.5%","±1.8","120,096","±1,380","10,856","±2,375","9.0%","±2.0","37,882","±1,001","5,588","±1,458","14.8%","±3.8","113,169","±880","7,622","±1,754","6.7%","±1.6","123,780,922","±48,286","12,087,237","±74,285","9.8%","±0.1"
"        60 years and over","43,810","±1,964","4,111","±1,112","9.4%","±2.5","50,681","±1,787","4,957","±1,306","9.8%","±2.6","65,881","±1,552","2,933","±1,120","4.5%","±1.7","45,264","±1,700","3,741","±905","8.3%","±2.0","91,414","±2,511","9,604","±1,855","10.5%","±2.0","17,406","±910","2,277","±1,067","13.1%","±6.0","32,904","±1,675","2,332","±810","7.1%","±2.5","32,864","±1,416","4,906","±1,299","14.9%","±3.9","115,052","±2,235","10,528","±2,099","9.2%","±1.8","17,575","±793","2,401","±718","13.7%","±4.0","117,865","±1,927","8,923","±1,955","7.6%","±1.6","17,216","±777","2,080","±778","12.1%","±4.4","26,681","±1,358","3,426","±1,105","12.8%","±4.0","16,035","±909","2,794","±1,035","17.4%","±6.0","67,678","±2,100","7,088","±1,843","10.5%","±2.7","24,180","±1,302","1,630","±607","6.7%","±2.5","24,752","±795","5,370","±1,191","21.7%","±4.7","28,184","±1,142","2,873","±1,061","10.2%","±3.7","77,436","±2,356","8,555","±1,568","11.0%","±2.0","71,689","±2,283","6,948","±1,409","9.7%","±1.9","22,367","±1,363","2,872","±676","12.8%","±3.1","58,777","±1,619","4,236","±1,170","7.2%","±2.0","73,579,563","±66,617","7,162,352","±46,169","9.7%","±0.1"
