"Label","Albemarle County, Virginia!!Total!!Estimate","Albemarle County, Virginia!!Total!!Margin of Error","Albemarle County, Virginia!!Below poverty level!!Estimate","Albemarle County, Virginia!!Below poverty level!!Margin of Error","Albemarle County, Virginia!!Percent below poverty level!!Estimate","Albemarle County, Virginia!!Percent below poverty level!!Margin of Error","Arlington County, Virginia!!Total!!Estimate","Arlington County, Virginia!!Total!!Margin of Error","Arlington County, Virginia!!Below poverty level!!Estimate","Arlington County, Virginia!!Below poverty level!!Margin of Error","Arlington County, Virginia!!Percent below poverty level!!Estimate","Arlington County, Virginia!!Percent below poverty level!!Margin of Error","Augusta County, Virginia!!Total!!Estimate","Augusta County, Virginia!!Total!!Margin of Error","Augusta County, Virginia!!Below poverty level!!Estimate","Augusta County, Virginia!!Below poverty level!!Margin of Error","Augusta County, Virginia!!Percent below poverty level!!Estimate","Augusta County, Virginia!!Percent below poverty level!!Margin of Error","Bedford County, Virginia!!Total!!Estimate","Bedford County, Virginia!!Total!!Margin of Error","Bedford County, Virginia!!Below poverty level!!Estimate","Bedford County, Virginia!!Below poverty level!!Margin of Error","Bedford County, Virginia!!Percent below poverty level!!Estimate","Bedford County, Virginia!!Percent below poverty level!!Margin of Error","Chesterfield County, Virginia!!Total!!Estimate","Chesterfield County, Virginia!!Total!!Margin of Error","Chesterfield County, Virginia!!Below poverty level!!Estimate","Chesterfield County, Virginia!!Below poverty level!!Margin of Error","Chesterfield County, Virginia!!Percent below poverty level!!Estimate","Chesterfield County, Virginia!!Percent below poverty level!!Margin of Error","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Total!!Margin of Error","Fairfax County, Virginia!!Below poverty level!!Estimate","Fairfax County, Virginia!!Below poverty level!!Margin of Error","Fairfax County, Virginia!!Percent below poverty level!!Estimate","Fairfax County, Virginia!!Percent below poverty level!!Margin of Error","Fauquier County, Virginia!!Total!!Estimate","Fauquier County, Virginia!!Total!!Margin of Error","Fauquier County, Virginia!!Below poverty level!!Estimate","Fauquier County, Virginia!!Below poverty level!!Margin of Error","Fauquier County, Virginia!!Percent below poverty level!!Estimate","Fauquier County, Virginia!!Percent below poverty level!!Margin of Error","Frederick County, Virginia!!Total!!Estimate","Frederick County, Virginia!!Total!!Margin of Error","Frederick County, Virginia!!Below poverty level!!Estimate","Frederick County, Virginia!!Below poverty level!!Margin of Error","Frederick County, Virginia!!Percent below poverty level!!Estimate","Frederick County, Virginia!!Percent below poverty level!!Margin of Error","Hanover County, Virginia!!Total!!Estimate","Hanover County, Virginia!!Total!!Margin of Error","Hanover County, Virginia!!Below poverty level!!Estimate","Hanover County, Virginia!!Below poverty level!!Margin of Error","Hanover County, Virginia!!Percent below poverty level!!Estimate","Hanover County, Virginia!!Percent below poverty level!!Margin of Error","Henrico County, Virginia!!Total!!Estimate","Henrico County, Virginia!!Total!!Margin of Error","Henrico County, Virginia!!Below poverty level!!Estimate","Henrico County, Virginia!!Below poverty level!!Margin of Error","Henrico County, Virginia!!Percent below poverty level!!Estimate","Henrico County, Virginia!!Percent below poverty level!!Margin of Error","James City County, Virginia!!Total!!Estimate","James City County, Virginia!!Total!!Margin of Error","James City County, Virginia!!Below poverty level!!Estimate","James City County, Virginia!!Below poverty level!!Margin of Error","James City County, Virginia!!Percent below poverty level!!Estimate","James City County, Virginia!!Percent below poverty level!!Margin of Error","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Total!!Margin of Error","Loudoun County, Virginia!!Below poverty level!!Estimate","Loudoun County, Virginia!!Below poverty level!!Margin of Error","Loudoun County, Virginia!!Percent below poverty level!!Estimate","Loudoun County, Virginia!!Percent below poverty level!!Margin of Error","Montgomery County, Virginia!!Total!!Estimate","Montgomery County, Virginia!!Total!!Margin of Error","Montgomery County, Virginia!!Below poverty level!!Estimate","Montgomery County, Virginia!!Below poverty level!!Margin of Error","Montgomery County, Virginia!!Percent below poverty level!!Estimate","Montgomery County, Virginia!!Percent below poverty level!!Margin of Error","Prince William County, Virginia!!Total!!Estimate","Prince William County, Virginia!!Total!!Margin of Error","Prince William County, Virginia!!Below poverty level!!Estimate","Prince William County, Virginia!!Below poverty level!!Margin of Error","Prince William County, Virginia!!Percent below poverty level!!Estimate","Prince William County, Virginia!!Percent below poverty level!!Margin of Error","Roanoke County, Virginia!!Total!!Estimate","Roanoke County, Virginia!!Total!!Margin of Error","Roanoke County, Virginia!!Below poverty level!!Estimate","Roanoke County, Virginia!!Below poverty level!!Margin of Error","Roanoke County, Virginia!!Percent below poverty level!!Estimate","Roanoke County, Virginia!!Percent below poverty level!!Margin of Error","Rockingham County, Virginia!!Total!!Estimate","Rockingham County, Virginia!!Total!!Margin of Error","Rockingham County, Virginia!!Below poverty level!!Estimate","Rockingham County, Virginia!!Below poverty level!!Margin of Error","Rockingham County, Virginia!!Percent below poverty level!!Estimate","Rockingham County, Virginia!!Percent below poverty level!!Margin of Error","Spotsylvania County, Virginia!!Total!!Estimate","Spotsylvania County, Virginia!!Total!!Margin of Error","Spotsylvania County, Virginia!!Below poverty level!!Estimate","Spotsylvania County, Virginia!!Below poverty level!!Margin of Error","Spotsylvania County, Virginia!!Percent below poverty level!!Estimate","Spotsylvania County, Virginia!!Percent below poverty level!!Margin of Error","Stafford County, Virginia!!Total!!Estimate","Stafford County, Virginia!!Total!!Margin of Error","Stafford County, Virginia!!Below poverty level!!Estimate","Stafford County, Virginia!!Below poverty level!!Margin of Error","Stafford County, Virginia!!Percent below poverty level!!Estimate","Stafford County, Virginia!!Percent below poverty level!!Margin of Error","York County, Virginia!!Total!!Estimate","York County, Virginia!!Total!!Margin of Error","York County, Virginia!!Below poverty level!!Estimate","York County, Virginia!!Below poverty level!!Margin of Error","York County, Virginia!!Percent below poverty level!!Estimate","York County, Virginia!!Percent below poverty level!!Margin of Error","Alexandria city, Virginia!!Total!!Estimate","Alexandria city, Virginia!!Total!!Margin of Error","Alexandria city, Virginia!!Below poverty level!!Estimate","Alexandria city, Virginia!!Below poverty level!!Margin of Error","Alexandria city, Virginia!!Percent below poverty level!!Estimate","Alexandria city, Virginia!!Percent below poverty level!!Margin of Error","Chesapeake city, Virginia!!Total!!Estimate","Chesapeake city, Virginia!!Total!!Margin of Error","Chesapeake city, Virginia!!Below poverty level!!Estimate","Chesapeake city, Virginia!!Below poverty level!!Margin of Error","Chesapeake city, Virginia!!Percent below poverty level!!Estimate","Chesapeake city, Virginia!!Percent below poverty level!!Margin of Error","Hampton city, Virginia!!Total!!Estimate","Hampton city, Virginia!!Total!!Margin of Error","Hampton city, Virginia!!Below poverty level!!Estimate","Hampton city, Virginia!!Below poverty level!!Margin of Error","Hampton city, Virginia!!Percent below poverty level!!Estimate","Hampton city, Virginia!!Percent below poverty level!!Margin of Error","Lynchburg city, Virginia!!Total!!Estimate","Lynchburg city, Virginia!!Total!!Margin of Error","Lynchburg city, Virginia!!Below poverty level!!Estimate","Lynchburg city, Virginia!!Below poverty level!!Margin of Error","Lynchburg city, Virginia!!Percent below poverty level!!Estimate","Lynchburg city, Virginia!!Percent below poverty level!!Margin of Error","Newport News city, Virginia!!Total!!Estimate","Newport News city, Virginia!!Total!!Margin of Error","Newport News city, Virginia!!Below poverty level!!Estimate","Newport News city, Virginia!!Below poverty level!!Margin of Error","Newport News city, Virginia!!Percent below poverty level!!Estimate","Newport News city, Virginia!!Percent below poverty level!!Margin of Error","Norfolk city, Virginia!!Total!!Estimate","Norfolk city, Virginia!!Total!!Margin of Error","Norfolk city, Virginia!!Below poverty level!!Estimate","Norfolk city, Virginia!!Below poverty level!!Margin of Error","Norfolk city, Virginia!!Percent below poverty level!!Estimate","Norfolk city, Virginia!!Percent below poverty level!!Margin of Error","Portsmouth city, Virginia!!Total!!Estimate","Portsmouth city, Virginia!!Total!!Margin of Error","Portsmouth city, Virginia!!Below poverty level!!Estimate","Portsmouth city, Virginia!!Below poverty level!!Margin of Error","Portsmouth city, Virginia!!Percent below poverty level!!Estimate","Portsmouth city, Virginia!!Percent below poverty level!!Margin of Error","Richmond city, Virginia!!Total!!Estimate","Richmond city, Virginia!!Total!!Margin of Error","Richmond city, Virginia!!Below poverty level!!Estimate","Richmond city, Virginia!!Below poverty level!!Margin of Error","Richmond city, Virginia!!Percent below poverty level!!Estimate","Richmond city, Virginia!!Percent below poverty level!!Margin of Error","Roanoke city, Virginia!!Total!!Estimate","Roanoke city, Virginia!!Total!!Margin of Error","Roanoke city, Virginia!!Below poverty level!!Estimate","Roanoke city, Virginia!!Below poverty level!!Margin of Error","Roanoke city, Virginia!!Percent below poverty level!!Estimate","Roanoke city, Virginia!!Percent below poverty level!!Margin of Error","Suffolk city, Virginia!!Total!!Estimate","Suffolk city, Virginia!!Total!!Margin of Error","Suffolk city, Virginia!!Below poverty level!!Estimate","Suffolk city, Virginia!!Below poverty level!!Margin of Error","Suffolk city, Virginia!!Percent below poverty level!!Estimate","Suffolk city, Virginia!!Percent below poverty level!!Margin of Error","Virginia Beach city, Virginia!!Total!!Estimate","Virginia Beach city, Virginia!!Total!!Margin of Error","Virginia Beach city, Virginia!!Below poverty level!!Estimate","Virginia Beach city, Virginia!!Below poverty level!!Margin of Error","Virginia Beach city, Virginia!!Percent below poverty level!!Estimate","Virginia Beach city, Virginia!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","102,175","±1,275","6,350","±1,615","6.2%","±1.6","233,464","±1,207","20,084","±4,705","8.6%","±2.0","70,290","±2,184","3,949","±1,476","5.6%","±2.1","78,236","±556","6,572","±1,976","8.4%","±2.5","347,984","±1,572","22,942","±4,647","6.6%","±1.3","1,136,115","±2,479","68,141","±9,135","6.0%","±0.8","70,947","±256","4,612","±1,899","6.5%","±2.7","87,865","±588","5,137","±1,744","5.8%","±2.0","105,886","±699","5,219","±1,873","4.9%","±1.8","327,970","±988","29,123","±5,330","8.9%","±1.6","75,799","±832","3,730","±1,402","4.9%","±1.8","411,162","±1,194","12,489","±3,890","3.0%","±0.9","88,935","±2,313","20,546","±3,672","23.1%","±3.9","464,334","±1,973","29,203","±5,458","6.3%","±1.2","91,835","±981","5,685","±1,782","6.2%","±1.9","80,111","±629","5,709","±1,921","7.1%","±2.4","135,189","±686","8,711","±2,525","6.4%","±1.9","148,352","±1,557","8,820","±2,704","5.9%","±1.8","66,366","±983","3,820","±1,506","5.8%","±2.3","157,636","±1,011","13,479","±2,894","8.6%","±1.8","238,736","±1,912","19,091","±5,160","8.0%","±2.2","129,153","±1,420","17,829","±3,924","13.8%","±3.0","72,374","±1,431","10,718","±3,062","14.8%","±4.2","170,897","±2,490","25,244","±4,340","14.8%","±2.5","217,451","±3,141","39,030","±4,023","17.9%","±1.8","90,257","±2,043","17,323","±3,313","19.2%","±3.6","219,742","±2,539","41,516","±5,283","18.9%","±2.4","97,441","±601","20,092","±3,430","20.6%","±3.5","91,512","±375","7,662","±2,501","8.4%","±2.7","440,582","±2,109","29,839","±4,888","6.8%","±1.1","320,118,791","±24,954","39,490,096","±242,000","12.3%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","21,154","±283","785","±704","3.7%","±3.3","42,749","±290","4,992","±2,054","11.7%","±4.8","12,517","±655","1,148","±770","9.2%","±6.1","15,563","±605","1,057","±801","6.8%","±5.1","80,973","±1,267","7,632","±2,784","9.4%","±3.5","263,679","±1,540","22,195","±5,411","8.4%","±2.0","16,451","±4","1,348","±853","8.2%","±5.2","19,915","±378","1,496","±891","7.5%","±4.4","22,867","±524","1,213","±780","5.3%","±3.4","73,578","±508","10,513","±3,288","14.3%","±4.5","14,970","±317","797","±719","5.3%","±4.8","113,964","±728","2,908","±1,585","2.6%","±1.4","13,712","±484","2,064","±1,363","15.1%","±10.0","123,421","±1,780","10,499","±3,323","8.5%","±2.7","18,355","±164","1,280","±799","7.0%","±4.4","17,707","±209","1,998","±1,053","11.3%","±5.9","33,127","±650","2,459","±1,357","7.4%","±4.1","38,920","±575","3,026","±1,548","7.8%","±4.0","15,929","±180","801","±535","5.0%","±3.4","27,860","±696","3,968","±1,358","14.2%","±4.9","57,841","±1,298","7,448","±2,595","12.9%","±4.4","27,286","±945","5,741","±1,942","21.0%","±7.1","15,363","±821","1,864","±989","12.1%","±6.5","41,307","±536","9,610","±2,511","23.3%","±6.1","46,594","±259","13,468","±2,229","28.9%","±4.8","21,218","±280","6,244","±1,877","29.4%","±8.8","38,308","±672","9,228","±2,709","24.1%","±7.0","21,198","±723","6,915","±1,992","32.6%","±9.3","21,788","±258","3,004","±1,536","13.8%","±7.1","98,110","±548","8,652","±2,240","8.8%","±2.3","71,633,453","±39,859","12,000,470","±134,475","16.8%","±0.2"
"            Under 5 years","5,555","±591","259","±304","4.7%","±5.5","13,714","±96","1,758","±1,014","12.8%","±7.4","2,937","±317","206","±260","7.0%","±8.9","3,476","±394","457","±622","13.1%","±17.8","21,256","±339","2,174","±973","10.2%","±4.5","69,791","±1,383","6,955","±2,689","10.0%","±3.8","3,993","±426","551","±433","13.8%","±10.0","4,726","±491","136","±161","2.9%","±3.4","5,033","±345","739","±676","14.7%","±13.4","18,900","±1,024","3,308","±1,925","17.5%","±9.9","3,619","±894","265","±332","7.3%","±9.4","27,626","±515","957","±690","3.5%","±2.5","4,105","±441","556","±449","13.5%","±11.4","32,170","±1,367","2,729","±1,215","8.5%","±3.8","4,457","±507","252","±256","5.7%","±5.8","4,446","±320","229","±234","5.2%","±5.3","8,276","±137","104","±143","1.3%","±1.7","9,605","±474","799","±512","8.3%","±5.3","4,231","±618","161","±207","3.8%","±4.9","10,616","±592","1,316","±668","12.4%","±6.3","15,104","±808","2,046","±978","13.5%","±6.5","7,851","±646","1,857","±690","23.7%","±8.8","5,200","±297","807","±566","15.5%","±11.2","13,384","±340","3,165","±1,074","23.6%","±8.0","15,354","±251","4,384","±1,119","28.6%","±7.4","6,544","±269","1,565","±920","23.9%","±14.1","13,188","±391","3,821","±1,390","29.0%","±10.5","6,110","±735","2,078","±888","34.0%","±12.2","5,904","±269","924","±630","15.7%","±10.4","27,487","±439","2,133","±964","7.8%","±3.5","19,002,162","±24,352","3,457,689","±51,835","18.2%","±0.3"
"            5 to 17 years","15,599","±661","526","±602","3.4%","±3.9","29,035","±256","3,234","±1,392","11.1%","±4.8","9,580","±423","942","±572","9.8%","±5.9","12,087","±659","600","±489","5.0%","±4.0","59,717","±1,231","5,458","±2,362","9.1%","±4.0","193,888","±768","15,240","±3,867","7.9%","±2.0","12,458","±427","797","±587","6.4%","±4.8","15,189","±556","1,360","±847","9.0%","±5.6","17,834","±656","474","±337","2.7%","±1.9","54,678","±1,052","7,205","±2,331","13.2%","±4.3","11,351","±946","532","±453","4.7%","±4.0","86,338","±367","1,951","±998","2.3%","±1.2","9,607","±406","1,508","±1,001","15.7%","±10.4","91,251","±750","7,770","±2,483","8.5%","±2.7","13,898","±508","1,028","±697","7.4%","±5.0","13,261","±389","1,769","±974","13.3%","±7.2","24,851","±644","2,355","±1,356","9.5%","±5.5","29,315","±561","2,227","±1,267","7.6%","±4.3","11,698","±625","640","±485","5.5%","±4.1","17,244","±420","2,652","±883","15.4%","±5.1","42,737","±1,394","5,402","±2,109","12.6%","±4.8","19,435","±893","3,884","±1,504","20.0%","±7.8","10,163","±664","1,057","±547","10.4%","±5.3","27,923","±541","6,445","±1,972","23.1%","±7.0","31,240","±269","9,084","±1,746","29.1%","±5.6","14,674","±441","4,679","±1,629","31.9%","±10.8","25,120","±435","5,407","±1,797","21.5%","±7.1","15,088","±564","4,837","±1,592","32.1%","±10.9","15,884","±200","2,080","±1,155","13.1%","±7.3","70,623","±393","6,519","±1,966","9.2%","±2.8","52,631,291","±38,914","8,542,781","±98,380","16.2%","±0.2"
"            Related children of householder under 18 years","21,154","±283","785","±704","3.7%","±3.3","42,749","±290","4,992","±2,054","11.7%","±4.8","12,259","±681","890","±699","7.3%","±5.6","15,563","±605","1,057","±801","6.8%","±5.1","80,675","±1,268","7,334","±2,798","9.1%","±3.5","262,773","±1,655","21,349","±5,355","8.1%","±2.0","16,287","±179","1,184","±830","7.3%","±5.1","19,758","±441","1,339","±876","6.8%","±4.4","22,828","±554","1,174","±772","5.1%","±3.4","73,417","±566","10,352","±3,307","14.1%","±4.5","14,970","±317","797","±719","5.3%","±4.8","113,797","±787","2,741","±1,594","2.4%","±1.4","13,673","±496","2,025","±1,364","14.8%","±10.0","122,621","±1,932","9,699","±3,227","7.9%","±2.6","18,174","±200","1,099","±739","6.0%","±4.1","17,590","±260","1,881","±1,024","10.7%","±5.8","32,797","±816","2,129","±1,305","6.5%","±4.0","38,826","±585","2,932","±1,535","7.6%","±3.9","15,929","±180","801","±535","5.0%","±3.4","27,860","±696","3,968","±1,358","14.2%","±4.9","57,642","±1,286","7,249","±2,544","12.6%","±4.4","27,286","±945","5,741","±1,942","21.0%","±7.1","15,267","±843","1,768","±994","11.6%","±6.6","41,049","±662","9,352","±2,459","22.8%","±6.0","46,558","±263","13,432","±2,223","28.9%","±4.8","21,218","±280","6,244","±1,877","29.4%","±8.8","38,215","±676","9,135","±2,688","23.9%","±7.0","21,198","±723","6,915","±1,992","32.6%","±9.3","21,788","±258","3,004","±1,536","13.8%","±7.1","97,929","±631","8,471","±2,241","8.7%","±2.3","71,326,895","±42,129","11,716,595","±134,827","16.4%","±0.2"
"        18 to 64 years","60,156","±1,412","4,577","±1,185","7.6%","±1.9","165,211","±1,306","12,710","±2,947","7.7%","±1.8","41,146","±1,727","2,308","±903","5.6%","±2.2","45,621","±805","4,316","±1,394","9.5%","±3.0","213,152","±1,123","12,465","±2,633","5.8%","±1.2","713,293","±2,027","38,542","±5,079","5.4%","±0.7","42,591","±447","2,756","±1,137","6.5%","±2.7","52,101","±559","2,899","±1,124","5.6%","±2.2","63,562","±576","3,219","±1,267","5.1%","±2.0","201,704","±1,304","14,217","±2,707","7.0%","±1.3","41,000","±1,028","2,064","±836","5.0%","±2.0","257,446","±748","8,699","±2,576","3.4%","±1.0","62,664","±2,278","18,010","±2,900","28.7%","±4.1","292,613","±1,053","16,916","±3,094","5.8%","±1.1","53,259","±942","3,724","±1,249","7.0%","±2.3","46,593","±751","3,125","±945","6.7%","±2.0","82,355","±473","4,471","±1,363","5.4%","±1.7","93,228","±1,452","5,041","±1,423","5.4%","±1.5","39,493","±1,134","2,084","±915","5.3%","±2.3","111,670","±1,071","8,951","±1,980","8.0%","±1.8","148,446","±1,410","10,403","±2,918","7.0%","±2.0","80,700","±1,224","10,749","±2,399","13.3%","±2.9","46,048","±1,611","8,217","±2,453","17.8%","±5.3","105,791","±2,484","12,756","±2,163","12.1%","±2.0","143,289","±3,263","22,704","±2,524","15.8%","±1.7","55,093","±2,012","9,771","±2,011","17.7%","±3.5","150,406","±2,465","28,061","±3,541","18.7%","±2.3","60,485","±807","11,173","±2,232","18.5%","±3.7","56,138","±268","3,955","±1,173","7.0%","±2.1","277,067","±2,001","18,196","±2,875","6.6%","±1.0","195,703,010","±30,404","22,504,357","±113,070","11.5%","±0.1"
"            18 to 34 years","21,078","±1,129","2,798","±974","13.3%","±4.5","73,134","±1,003","6,837","±1,772","9.3%","±2.4","12,429","±637","1,211","±684","9.7%","±5.4","14,258","±413","1,670","±1,025","11.7%","±7.2","71,735","±1,064","6,687","±1,874","9.3%","±2.6","241,248","±1,687","17,603","±3,273","7.3%","±1.4","13,628","±841","1,225","±704","9.0%","±5.0","16,742","±925","1,436","±629","8.6%","±3.7","18,928","±1,002","1,621","±850","8.6%","±4.4","72,813","±1,174","4,719","±1,475","6.5%","±2.0","12,939","±837","1,362","±652","10.5%","±5.2","78,143","±461","4,860","±1,778","6.2%","±2.3","32,232","±2,238","14,668","±2,571","45.5%","±6.1","101,488","±847","8,672","±2,167","8.5%","±2.1","17,323","±978","1,757","±974","10.1%","±5.6","15,259","±567","1,044","±471","6.8%","±3.1","27,190","±821","1,780","±820","6.5%","±2.9","30,656","±1,346","2,574","±984","8.4%","±3.2","11,475","±1,529","826","±612","7.2%","±5.3","42,883","±828","5,226","±1,581","12.2%","±3.7","50,835","±1,473","4,286","±1,590","8.4%","±3.1","33,327","±1,206","5,889","±1,721","17.7%","±5.1","24,417","±1,592","5,193","±1,849","21.3%","±7.3","45,106","±2,663","6,505","±1,740","14.4%","±3.7","66,472","±3,180","14,087","±2,067","21.2%","±2.9","21,869","±1,233","4,247","±1,220","19.4%","±5.4","70,177","±2,426","16,008","±2,584","22.8%","±3.5","23,135","±1,236","3,728","±1,322","16.1%","±5.8","19,398","±997","1,798","±729","9.3%","±3.7","105,949","±1,993","8,268","±2,078","7.8%","±2.0","71,922,088","±37,978","10,417,120","±73,212","14.5%","±0.1"
"            35 to 64 years","39,078","±934","1,779","±718","4.6%","±1.8","92,077","±957","5,873","±2,079","6.4%","±2.3","28,717","±1,454","1,097","±524","3.8%","±1.8","31,363","±904","2,646","±923","8.4%","±2.9","141,417","±943","5,778","±1,421","4.1%","±1.0","472,045","±893","20,939","±3,366","4.4%","±0.7","28,963","±891","1,531","±678","5.3%","±2.3","35,359","±797","1,463","±749","4.1%","±2.1","44,634","±1,047","1,598","±808","3.6%","±1.8","128,891","±1,427","9,498","±2,270","7.4%","±1.7","28,061","±1,079","702","±400","2.5%","±1.4","179,303","±348","3,839","±1,344","2.1%","±0.8","30,432","±779","3,342","±1,157","11.0%","±3.8","191,125","±569","8,244","±1,972","4.3%","±1.0","35,936","±880","1,967","±815","5.5%","±2.2","31,334","±697","2,081","±679","6.6%","±2.2","55,165","±988","2,691","±1,052","4.9%","±1.9","62,572","±1,192","2,467","±1,007","3.9%","±1.6","28,018","±1,160","1,258","±654","4.5%","±2.4","68,787","±1,366","3,725","±1,202","5.4%","±1.8","97,611","±1,448","6,117","±2,073","6.3%","±2.1","47,373","±773","4,860","±1,328","10.3%","±2.8","21,631","±874","3,024","±1,099","14.0%","±5.0","60,685","±1,190","6,251","±1,247","10.3%","±2.1","76,817","±876","8,617","±1,402","11.2%","±1.8","33,224","±1,402","5,524","±1,429","16.6%","±4.2","80,229","±1,022","12,053","±2,241","15.0%","±2.8","37,350","±1,122","7,445","±2,038","19.9%","±5.5","36,740","±1,018","2,157","±774","5.9%","±2.1","171,118","±890","9,928","±1,999","5.8%","±1.2","123,780,922","±48,286","12,087,237","±74,285","9.8%","±0.1"
"        60 years and over","27,839","±1,213","1,458","±756","5.2%","±2.7","35,052","±1,576","2,959","±1,130","8.4%","±3.2","22,052","±1,098","767","±482","3.5%","±2.2","24,229","±968","1,934","±891","8.0%","±3.6","76,853","±1,963","3,884","±1,055","5.1%","±1.3","228,714","±3,056","9,895","±2,054","4.3%","±0.9","16,248","±946","717","±358","4.4%","±2.1","23,273","±1,444","1,234","±619","5.3%","±2.7","27,584","±906","1,501","±678","5.4%","±2.4","73,424","±1,898","5,243","±1,304","7.1%","±1.8","25,795","±953","1,008","±528","3.9%","±2.0","57,202","±1,434","1,252","±525","2.2%","±0.9","17,387","±1,157","586","±362","3.4%","±2.1","72,872","±2,009","2,856","±785","3.9%","±1.1","26,218","±938","844","±474","3.2%","±1.8","21,406","±1,280","856","±349","4.0%","±1.6","28,030","±1,345","2,337","±871","8.3%","±3.0","22,538","±1,241","1,014","±419","4.5%","±1.9","15,383","±865","1,222","±508","7.9%","±3.2","27,534","±1,520","1,267","±555","4.6%","±2.0","49,883","±1,528","2,290","±969","4.6%","±1.9","30,255","±1,161","2,196","±804","7.3%","±2.6","14,757","±623","1,044","±460","7.1%","±3.1","34,835","±1,284","4,599","±1,375","13.2%","±3.9","41,285","±1,352","4,940","±1,305","12.0%","±3.1","19,480","±1,129","2,533","±805","13.0%","±3.9","45,589","±1,970","7,231","±1,631","15.9%","±3.4","21,158","±1,237","2,967","±969","14.0%","±4.6","18,748","±816","1,171","±471","6.2%","±2.4","93,217","±2,060","4,702","±1,082","5.0%","±1.2","73,579,563","±66,617","7,162,352","±46,169","9.7%","±0.1"
