"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Male!!Estimate","DeSoto County, Mississippi!!Male!!Margin of Error","DeSoto County, Mississippi!!Percent Male!!Estimate","DeSoto County, Mississippi!!Percent Male!!Margin of Error","DeSoto County, Mississippi!!Female!!Estimate","DeSoto County, Mississippi!!Female!!Margin of Error","DeSoto County, Mississippi!!Percent Female!!Estimate","DeSoto County, Mississippi!!Percent Female!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Male!!Estimate","Forrest County, Mississippi!!Male!!Margin of Error","Forrest County, Mississippi!!Percent Male!!Estimate","Forrest County, Mississippi!!Percent Male!!Margin of Error","Forrest County, Mississippi!!Female!!Estimate","Forrest County, Mississippi!!Female!!Margin of Error","Forrest County, Mississippi!!Percent Female!!Estimate","Forrest County, Mississippi!!Percent Female!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Male!!Estimate","Harrison County, Mississippi!!Male!!Margin of Error","Harrison County, Mississippi!!Percent Male!!Estimate","Harrison County, Mississippi!!Percent Male!!Margin of Error","Harrison County, Mississippi!!Female!!Estimate","Harrison County, Mississippi!!Female!!Margin of Error","Harrison County, Mississippi!!Percent Female!!Estimate","Harrison County, Mississippi!!Percent Female!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Male!!Estimate","Hinds County, Mississippi!!Male!!Margin of Error","Hinds County, Mississippi!!Percent Male!!Estimate","Hinds County, Mississippi!!Percent Male!!Margin of Error","Hinds County, Mississippi!!Female!!Estimate","Hinds County, Mississippi!!Female!!Margin of Error","Hinds County, Mississippi!!Percent Female!!Estimate","Hinds County, Mississippi!!Percent Female!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Male!!Estimate","Jackson County, Mississippi!!Male!!Margin of Error","Jackson County, Mississippi!!Percent Male!!Estimate","Jackson County, Mississippi!!Percent Male!!Margin of Error","Jackson County, Mississippi!!Female!!Estimate","Jackson County, Mississippi!!Female!!Margin of Error","Jackson County, Mississippi!!Percent Female!!Estimate","Jackson County, Mississippi!!Percent Female!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Male!!Estimate","Jones County, Mississippi!!Male!!Margin of Error","Jones County, Mississippi!!Percent Male!!Estimate","Jones County, Mississippi!!Percent Male!!Margin of Error","Jones County, Mississippi!!Female!!Estimate","Jones County, Mississippi!!Female!!Margin of Error","Jones County, Mississippi!!Percent Female!!Estimate","Jones County, Mississippi!!Percent Female!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Male!!Estimate","Lauderdale County, Mississippi!!Male!!Margin of Error","Lauderdale County, Mississippi!!Percent Male!!Estimate","Lauderdale County, Mississippi!!Percent Male!!Margin of Error","Lauderdale County, Mississippi!!Female!!Estimate","Lauderdale County, Mississippi!!Female!!Margin of Error","Lauderdale County, Mississippi!!Percent Female!!Estimate","Lauderdale County, Mississippi!!Percent Female!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Male!!Estimate","Lee County, Mississippi!!Male!!Margin of Error","Lee County, Mississippi!!Percent Male!!Estimate","Lee County, Mississippi!!Percent Male!!Margin of Error","Lee County, Mississippi!!Female!!Estimate","Lee County, Mississippi!!Female!!Margin of Error","Lee County, Mississippi!!Percent Female!!Estimate","Lee County, Mississippi!!Percent Female!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Male!!Estimate","Madison County, Mississippi!!Male!!Margin of Error","Madison County, Mississippi!!Percent Male!!Estimate","Madison County, Mississippi!!Percent Male!!Margin of Error","Madison County, Mississippi!!Female!!Estimate","Madison County, Mississippi!!Female!!Margin of Error","Madison County, Mississippi!!Percent Female!!Estimate","Madison County, Mississippi!!Percent Female!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Male!!Estimate","Rankin County, Mississippi!!Male!!Margin of Error","Rankin County, Mississippi!!Percent Male!!Estimate","Rankin County, Mississippi!!Percent Male!!Margin of Error","Rankin County, Mississippi!!Female!!Estimate","Rankin County, Mississippi!!Female!!Margin of Error","Rankin County, Mississippi!!Percent Female!!Estimate","Rankin County, Mississippi!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Civilian employed population 16 years and over","92,703","±2,399","47,834","±1,436","51.6%","±1.3","44,869","±1,887","48.4%","±1.3","34,069","±2,560","16,757","±1,451","49.2%","±4.0","17,312","±2,203","50.8%","±4.0","85,741","±4,386","41,015","±2,418","47.8%","±1.9","44,726","±3,018","52.2%","±1.9","102,825","±3,227","48,470","±2,324","47.1%","±1.7","54,355","±2,405","52.9%","±1.7","62,016","±3,563","32,950","±2,076","53.1%","±2.1","29,066","±2,339","46.9%","±2.1","N","N","N","N","N","N","N","N","N","N","30,349","±2,170","14,096","±1,880","46.4%","±4.5","16,253","±1,570","53.6%","±4.5","38,627","±2,045","19,556","±1,403","50.6%","±2.8","19,071","±1,594","49.4%","±2.8","53,484","±2,460","26,806","±1,488","50.1%","±2.2","26,678","±1,903","49.9%","±2.2","74,220","±3,715","38,650","±2,235","52.1%","±2.3","35,570","±2,735","47.9%","±2.3","158,758,794","±158,474","83,061,060","±91,586","52.3%","±0.1","75,697,734","±106,057","47.7%","±0.1"
"    Management, business, science, and arts occupations:","35,146","±3,800","14,009","±2,216","39.9%","±4.1","21,137","±2,569","60.1%","±4.1","11,795","±2,069","3,679","±999","31.2%","±6.2","8,116","±1,552","68.8%","±6.2","29,268","±3,480","9,992","±1,815","34.1%","±4.4","19,276","±2,552","65.9%","±4.4","33,486","±3,109","13,243","±1,859","39.5%","±4.1","20,243","±2,327","60.5%","±4.1","21,242","±2,397","7,695","±1,513","36.2%","±5.1","13,547","±1,702","63.8%","±5.1","N","N","N","N","N","N","N","N","N","N","11,026","±1,640","4,271","±1,277","38.7%","±9.1","6,755","±1,299","61.3%","±9.1","12,222","±1,419","4,861","±880","39.8%","±6.1","7,361","±1,207","60.2%","±6.1","26,996","±2,335","11,681","±1,504","43.3%","±4.8","15,315","±2,021","56.7%","±4.8","29,522","±3,391","12,818","±2,315","43.4%","±5.0","16,704","±2,102","56.6%","±5.0","63,267,357","±216,159","29,841,855","±117,141","47.2%","±0.1","33,425,502","±119,923","52.8%","±0.1"
"        Management, business, and financial occupations:","14,647","±2,872","7,544","±1,688","51.5%","±7.1","7,103","±1,831","48.5%","±7.1","4,139","±1,341","1,976","±883","47.7%","±13.7","2,163","±853","52.3%","±13.7","9,955","±2,046","4,719","±1,376","47.4%","±9.8","5,236","±1,451","52.6%","±9.8","12,218","±1,987","6,099","±1,422","49.9%","±7.9","6,119","±1,330","50.1%","±7.9","6,831","±1,598","3,508","±1,035","51.4%","±8.5","3,323","±932","48.6%","±8.5","N","N","N","N","N","N","N","N","N","N","2,749","±1,036","2,066","±835","75.2%","±11.5","683","±395","24.8%","±11.5","4,475","±901","2,127","±656","47.5%","±10.9","2,348","±661","52.5%","±10.9","11,283","±1,844","6,379","±1,427","56.5%","±9.8","4,904","±1,445","43.5%","±9.8","10,592","±2,188","5,889","±1,767","55.6%","±9.3","4,703","±1,159","44.4%","±9.3","25,587,202","±98,137","13,883,359","±57,929","54.3%","±0.1","11,703,843","±59,356","45.7%","±0.1"
"            Management occupations","9,923","±1,988","6,314","±1,505","63.6%","±8.9","3,609","±1,144","36.4%","±8.9","3,010","±1,236","1,571","±808","52.2%","±18.1","1,439","±812","47.8%","±18.1","7,275","±1,645","3,842","±1,261","52.8%","±10.7","3,433","±989","47.2%","±10.7","8,285","±1,640","4,510","±1,186","54.4%","±9.7","3,775","±1,109","45.6%","±9.7","4,422","±1,228","2,457","±823","55.6%","±9.6","1,965","±670","44.4%","±9.6","N","N","N","N","N","N","N","N","N","N","1,999","±845","1,594","±741","79.7%","±11.9","405","±273","20.3%","±11.9","3,325","±836","1,588","±630","47.8%","±13.3","1,737","±570","52.2%","±13.3","7,815","±1,721","4,561","±1,351","58.4%","±11.6","3,254","±1,158","41.6%","±11.6","6,787","±1,792","4,081","±1,536","60.1%","±11.3","2,706","±845","39.9%","±11.3","17,049,444","±78,966","9,993,197","±48,456","58.6%","±0.1","7,056,247","±44,048","41.4%","±0.1"
"            Business and financial operations occupations","4,724","±1,596","1,230","±545","26.0%","±11.1","3,494","±1,411","74.0%","±11.1","1,129","±614","405","±335","35.9%","±22.0","724","±437","64.1%","±22.0","2,680","±910","877","±485","32.7%","±16.2","1,803","±804","67.3%","±16.2","3,933","±962","1,589","±687","40.4%","±12.8","2,344","±669","59.6%","±12.8","2,409","±830","1,051","±579","43.6%","±16.3","1,358","±554","56.4%","±16.3","N","N","N","N","N","N","N","N","N","N","750","±515","472","±413","62.9%","±28.9","278","±257","37.1%","±28.9","1,150","±543","539","±449","46.9%","±28.6","611","±334","53.1%","±28.6","3,468","±964","1,818","±747","52.4%","±16.1","1,650","±720","47.6%","±16.1","3,805","±1,205","1,808","±895","47.5%","±15.8","1,997","±773","52.5%","±15.8","8,537,758","±58,478","3,890,162","±38,834","45.6%","±0.3","4,647,596","±40,221","54.4%","±0.3"
"        Computer, engineering, and science occupations:","4,130","±1,066","3,007","±864","72.8%","±11.9","1,123","±596","27.2%","±11.9","851","±592","376","±257","44.2%","±33.8","475","±504","55.8%","±33.8","2,754","±842","1,881","±713","68.3%","±18.6","873","±610","31.7%","±18.6","3,660","±1,084","2,007","±702","54.8%","±16.6","1,653","±902","45.2%","±16.6","3,005","±1,037","1,813","±713","60.3%","±16.5","1,192","±715","39.7%","±16.5","N","N","N","N","N","N","N","N","N","N","626","±433","499","±413","79.7%","±32.4","127","±219","20.3%","±32.4","832","±434","675","±388","81.1%","±19.6","157","±176","18.9%","±19.6","3,628","±1,212","2,621","±975","72.2%","±16.7","1,007","±717","27.8%","±16.7","3,819","±1,220","2,614","±889","68.4%","±17.2","1,205","±852","31.6%","±17.2","10,181,740","±72,083","7,442,100","±56,458","73.1%","±0.2","2,739,640","±27,767","26.9%","±0.2"
"            Computer and mathematical occupations","1,663","±666","1,353","±645","81.4%","±19.1","310","±333","18.6%","±19.1","57","±86","57","±86","100.0%","±100.0","0","±226","0.0%","±100.0","898","±542","506","±316","56.3%","±34.4","392","±448","43.7%","±34.4","2,181","±970","1,047","±571","48.0%","±24.6","1,134","±864","52.0%","±24.6","878","±549","448","±349","51.0%","±26.3","430","±353","49.0%","±26.3","N","N","N","N","N","N","N","N","N","N","0","±226","0","±226","-","**","0","±226","-","**","647","±386","561","±359","86.7%","±17.4","86","±118","13.3%","±17.4","628","±320","489","±270","77.9%","±17.0","139","±128","22.1%","±17.0","1,780","±895","1,023","±585","57.5%","±29.4","757","±717","42.5%","±29.4","5,231,914","±39,534","3,831,913","±29,645","73.2%","±0.3","1,400,001","±20,859","26.8%","±0.3"
"            Architecture and engineering occupations","1,514","±715","1,231","±555","81.3%","±24.5","283","±428","18.7%","±24.5","591","±554","116","±151","19.6%","±29.3","475","±504","80.4%","±29.3","903","±569","867","±562","96.0%","±7.2","36","±61","4.0%","±7.2","790","±354","544","±286","68.9%","±20.3","246","±194","31.1%","±20.3","1,460","±807","1,255","±686","86.0%","±17.6","205","±291","14.0%","±17.6","N","N","N","N","N","N","N","N","N","N","446","±397","446","±397","100.0%","±35.6","0","±226","0.0%","±35.6","63","±110","63","±110","100.0%","±95.5","0","±226","0.0%","±95.5","1,697","±799","1,472","±729","86.7%","±13.5","225","±259","13.3%","±13.5","1,670","±686","1,476","±653","88.4%","±15.4","194","±264","11.6%","±15.4","3,283,825","±36,274","2,750,591","±33,007","83.8%","±0.3","533,234","±12,254","16.2%","±0.3"
"            Life, physical, and social science occupations","953","±489","423","±298","44.4%","±24.3","530","±359","55.6%","±24.3","203","±181","203","±181","100.0%","±53.2","0","±226","0.0%","±53.2","953","±523","508","±373","53.3%","±31.4","445","±410","46.7%","±31.4","689","±366","416","±271","60.4%","±31.1","273","±273","39.6%","±31.1","667","±606","110","±144","16.5%","±25.4","557","±586","83.5%","±25.4","N","N","N","N","N","N","N","N","N","N","180","±237","53","±96","29.4%","±60.0","127","±219","70.6%","±60.0","122","±128","51","±87","41.8%","±58.2","71","±134","58.2%","±58.2","1,303","±924","660","±588","50.7%","±36.7","643","±673","49.3%","±36.7","369","±291","115","±143","31.2%","±33.5","254","±245","68.8%","±33.5","1,666,001","±26,133","859,596","±19,146","51.6%","±0.7","806,405","±15,348","48.4%","±0.7"
"        Education, legal, community service, arts, and media occupations:","10,014","±2,079","2,364","±870","23.6%","±6.6","7,650","±1,656","76.4%","±6.6","3,205","±1,054","737","±390","23.0%","±10.0","2,468","±894","77.0%","±10.0","9,444","±1,868","1,639","±535","17.4%","±6.4","7,805","±1,925","82.6%","±6.4","10,839","±1,871","3,538","±910","32.6%","±6.7","7,301","±1,495","67.4%","±6.7","6,183","±1,594","1,755","±793","28.4%","±9.7","4,428","±1,210","71.6%","±9.7","N","N","N","N","N","N","N","N","N","N","3,606","±1,264","878","±580","24.3%","±13.6","2,728","±1,038","75.7%","±13.6","2,786","±811","1,143","±601","41.0%","±16.2","1,643","±618","59.0%","±16.2","7,733","±1,396","1,688","±515","21.8%","±6.4","6,045","±1,293","78.2%","±6.4","7,909","±1,953","3,155","±1,252","39.9%","±9.3","4,754","±1,131","60.1%","±9.3","17,741,328","±93,549","6,072,732","±45,723","34.2%","±0.2","11,668,596","±67,198","65.8%","±0.2"
