,asa.county,asa.states,score_infection,score_death,asa.population,asa.under5yr,asa.15yrto44yr,asa.65andOver,asa.75andOver,asa.bachelor,asa.disabilityrate,asa.employment,asa.highrisk,asa.population_density,asa.lessHighSchool,asa.nocomputer,asa.noinsurance,asa.nointernet,asa.poverty,asa.black,asa.white,map_cty,map_state
1,Aiken County ,SC,-0.353319032,-0.015655234,170872,0.055889789,0.362066342,0.195947844,0.078626106,0.208741046,0.136,0.423006695,0.075138115,2.516932051,0.078579287,0.031064188,0.103,0.051143546,0.113,0.260826818,0.694180439,aiken,south carolina
2,Alachua County ,FL,0.094433306,-0.032711559,269043,0.051348669,0.497396327,0.146311184,0.057853206,0.320417182,0.116,0.477102173,0.082637348,2.611459466,0.050330245,0.01214304,0.088,0.044535632,0.186,0.18662816,0.673290143,alachua,florida
3,Alamance County ,NC,0.268700949,-0.002107888,169509,0.058799238,0.392167967,0.171436325,0.074055065,0.17565439,0.117,0.492870585,0.088526273,2.635565023,0.098997693,0.03065324,0.101,0.071654012,0.153,0.200119168,0.692582695,alamance,north carolina
4,Albemarle County ,VA,-1.385665849,-0.027866898,109330,0.050855209,0.398509101,0.19217964,0.079310345,0.429022226,0.091,0.500128053,0.062928748,2.498742972,0.043629379,0.034107747,0.04,0.051861337,0.062,0.085447727,0.811378396,albemarle,virginia
5,Anderson County ,SC,-0.071001029,0.024576285,202558,0.055041025,0.371419544,0.184401505,0.075469742,0.175633646,0.174,0.471326731,0.078757689,2.671388065,0.100168841,0.032746176,0.116,0.058506699,0.128,0.145958195,0.789359097,anderson,south carolina
6,Anderson County ,TN,-0.319206529,-0.003698948,76978,0.049624568,0.34385149,0.209618333,0.088908519,0.155291122,0.224,0.41501468,0.071981605,2.551052196,0.082608018,0.032840552,0.118,0.047117358,0.168,0,0.894138585,anderson,tennessee
7,Angelina County ,TX,0.000427497,0.04830485,86715,0.066735859,0.400230641,0.170904688,0.068281151,0.125087932,0.146,0.462180707,0.093478637,2.685256867,0.104756962,0.033373695,0.176,0.047777201,0.142,0.152661016,0.801326183,angelina,texas
8,Arlington County ,VA,-0.610052396,0.013010735,236842,0.057903581,0.509331115,0.109870715,0.043256686,0.6007676,0.063,0.618902053,0.062657806,2.116796411,0.04427002,0.017974008,0.056,0.035099349,0.086,0.091575818,0.706365425,arlington,virginia
9,Ascension Parish ,LA,0.018002768,-0.010302416,126604,0.055811823,0.408920729,0.129537771,0.044106031,0.173043506,0.125,0.492954409,0.058418375,2.860008584,0.062675745,0.021460617,0.063,0.04090708,0.083,0.241161417,0.696028561,ascension,louisiana
10,Augusta County ,VA,-0.880735867,-0.026889762,75558,0.039704598,0.353384155,0.222835438,0.095608671,0.160300696,0.139,0.483602001,0.086106038,2.522720443,0.100571746,0.033153339,0.075,0.052965933,0.056,0,0.892718177,augusta,virginia
11,Baldwin County ,AL,-0.379310213,-0.021267793,223234,0.04755548,0.352007311,0.213623373,0.084082174,0.237495184,0.144,0.430095774,0.068963509,2.711618585,0.078276607,0.022595124,0.081,0.048321492,0.101,0.07914565,0.848101096,baldwin,alabama
12,Barrow County ,GA,0.228640017,-0.001221969,83240,0.06415185,0.41516098,0.124675637,0.043644882,0.161496877,0.183,0.475360404,0.064836617,2.998019089,0.115413263,0.022681403,0.138,0.030862566,0.1,0.121239789,0.773810668,barrow,georgia
13,Bartow County ,GA,0.401499794,0.022800551,107738,0.063505912,0.385574263,0.150466873,0.059589003,0.123401214,0.134,0.452143162,0.07870018,2.710935534,0.120858007,0.02910765,0.158,0.073223932,0.151,0.103649594,0.83047764,bartow,georgia
14,Bastrop County ,TX,-0.493399264,-0.027189064,88723,0.065428356,0.392953349,0.156036203,0.045737858,0.112282046,0.141,0.443999865,0.080914757,3.361611033,0.121231248,0.02734353,0.224,0.071976827,0.197,0,0.631865469,bastrop,texas
15,Bay County ,FL,0.864706158,0.013185022,174705,0.054360207,0.36392204,0.18479723,0.075796342,0.201373744,0.188,0.476729344,0.080226668,2.524821158,0.072894308,0.013628688,0.126,0.044246015,0.103,0.094536504,0.794070004,bay,florida
16,Beaufort County ,SC,-0.364238883,-0.02450535,192122,0.049952634,0.325267278,0.279853426,0.114765618,0.299044357,0.132,0.427686574,0.086554377,2.630258889,0.068191045,0.016343782,0.1,0.082634992,0.103,0.164556896,0.712391085,beaufort,south carolina
