"Label","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!With a disability!!Estimate","Barrow County, Georgia!!With a disability!!Margin of Error","Barrow County, Georgia!!Percent with a disability!!Estimate","Barrow County, Georgia!!Percent with a disability!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!With a disability!!Estimate","Bartow County, Georgia!!With a disability!!Margin of Error","Bartow County, Georgia!!Percent with a disability!!Estimate","Bartow County, Georgia!!Percent with a disability!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!With a disability!!Estimate","Bibb County, Georgia!!With a disability!!Margin of Error","Bibb County, Georgia!!Percent with a disability!!Estimate","Bibb County, Georgia!!Percent with a disability!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!With a disability!!Estimate","Bulloch County, Georgia!!With a disability!!Margin of Error","Bulloch County, Georgia!!Percent with a disability!!Estimate","Bulloch County, Georgia!!Percent with a disability!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!With a disability!!Estimate","Carroll County, Georgia!!With a disability!!Margin of Error","Carroll County, Georgia!!Percent with a disability!!Estimate","Carroll County, Georgia!!Percent with a disability!!Margin of Error","Catoosa County, Georgia!!Total!!Estimate","Catoosa County, Georgia!!Total!!Margin of Error","Catoosa County, Georgia!!With a disability!!Estimate","Catoosa County, Georgia!!With a disability!!Margin of Error","Catoosa County, Georgia!!Percent with a disability!!Estimate","Catoosa County, Georgia!!Percent with a disability!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!With a disability!!Estimate","Chatham County, Georgia!!With a disability!!Margin of Error","Chatham County, Georgia!!Percent with a disability!!Estimate","Chatham County, Georgia!!Percent with a disability!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!With a disability!!Estimate","Cherokee County, Georgia!!With a disability!!Margin of Error","Cherokee County, Georgia!!Percent with a disability!!Estimate","Cherokee County, Georgia!!Percent with a disability!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!With a disability!!Estimate","Clarke County, Georgia!!With a disability!!Margin of Error","Clarke County, Georgia!!Percent with a disability!!Estimate","Clarke County, Georgia!!Percent with a disability!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!With a disability!!Estimate","Clayton County, Georgia!!With a disability!!Margin of Error","Clayton County, Georgia!!Percent with a disability!!Estimate","Clayton County, Georgia!!Percent with a disability!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!With a disability!!Estimate","Cobb County, Georgia!!With a disability!!Margin of Error","Cobb County, Georgia!!Percent with a disability!!Estimate","Cobb County, Georgia!!Percent with a disability!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!With a disability!!Estimate","Columbia County, Georgia!!With a disability!!Margin of Error","Columbia County, Georgia!!Percent with a disability!!Estimate","Columbia County, Georgia!!Percent with a disability!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!With a disability!!Estimate","Coweta County, Georgia!!With a disability!!Margin of Error","Coweta County, Georgia!!Percent with a disability!!Estimate","Coweta County, Georgia!!Percent with a disability!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!With a disability!!Estimate","DeKalb County, Georgia!!With a disability!!Margin of Error","DeKalb County, Georgia!!Percent with a disability!!Estimate","DeKalb County, Georgia!!Percent with a disability!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!With a disability!!Estimate","Dougherty County, Georgia!!With a disability!!Margin of Error","Dougherty County, Georgia!!Percent with a disability!!Estimate","Dougherty County, Georgia!!Percent with a disability!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!With a disability!!Estimate","Douglas County, Georgia!!With a disability!!Margin of Error","Douglas County, Georgia!!Percent with a disability!!Estimate","Douglas County, Georgia!!Percent with a disability!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!With a disability!!Estimate","Fayette County, Georgia!!With a disability!!Margin of Error","Fayette County, Georgia!!Percent with a disability!!Estimate","Fayette County, Georgia!!Percent with a disability!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!With a disability!!Estimate","Floyd County, Georgia!!With a disability!!Margin of Error","Floyd County, Georgia!!Percent with a disability!!Estimate","Floyd County, Georgia!!Percent with a disability!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!With a disability!!Estimate","Forsyth County, Georgia!!With a disability!!Margin of Error","Forsyth County, Georgia!!Percent with a disability!!Estimate","Forsyth County, Georgia!!Percent with a disability!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!With a disability!!Estimate","Fulton County, Georgia!!With a disability!!Margin of Error","Fulton County, Georgia!!Percent with a disability!!Estimate","Fulton County, Georgia!!Percent with a disability!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!With a disability!!Estimate","Glynn County, Georgia!!With a disability!!Margin of Error","Glynn County, Georgia!!Percent with a disability!!Estimate","Glynn County, Georgia!!Percent with a disability!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!With a disability!!Estimate","Gwinnett County, Georgia!!With a disability!!Margin of Error","Gwinnett County, Georgia!!Percent with a disability!!Estimate","Gwinnett County, Georgia!!Percent with a disability!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!With a disability!!Estimate","Hall County, Georgia!!With a disability!!Margin of Error","Hall County, Georgia!!Percent with a disability!!Estimate","Hall County, Georgia!!Percent with a disability!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!With a disability!!Estimate","Henry County, Georgia!!With a disability!!Margin of Error","Henry County, Georgia!!Percent with a disability!!Estimate","Henry County, Georgia!!Percent with a disability!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!With a disability!!Estimate","Houston County, Georgia!!With a disability!!Margin of Error","Houston County, Georgia!!Percent with a disability!!Estimate","Houston County, Georgia!!Percent with a disability!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!With a disability!!Estimate","Jackson County, Georgia!!With a disability!!Margin of Error","Jackson County, Georgia!!Percent with a disability!!Estimate","Jackson County, Georgia!!Percent with a disability!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!With a disability!!Estimate","Lowndes County, Georgia!!With a disability!!Margin of Error","Lowndes County, Georgia!!Percent with a disability!!Estimate","Lowndes County, Georgia!!Percent with a disability!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!With a disability!!Estimate","Muscogee County, Georgia!!With a disability!!Margin of Error","Muscogee County, Georgia!!Percent with a disability!!Estimate","Muscogee County, Georgia!!Percent with a disability!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!With a disability!!Estimate","Newton County, Georgia!!With a disability!!Margin of Error","Newton County, Georgia!!Percent with a disability!!Estimate","Newton County, Georgia!!Percent with a disability!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!With a disability!!Estimate","Paulding County, Georgia!!With a disability!!Margin of Error","Paulding County, Georgia!!Percent with a disability!!Estimate","Paulding County, Georgia!!Percent with a disability!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!With a disability!!Estimate","Richmond County, Georgia!!With a disability!!Margin of Error","Richmond County, Georgia!!Percent with a disability!!Estimate","Richmond County, Georgia!!Percent with a disability!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!With a disability!!Estimate","Rockdale County, Georgia!!With a disability!!Margin of Error","Rockdale County, Georgia!!Percent with a disability!!Estimate","Rockdale County, Georgia!!Percent with a disability!!Margin of Error","Spalding County, Georgia!!Total!!Estimate","Spalding County, Georgia!!Total!!Margin of Error","Spalding County, Georgia!!With a disability!!Estimate","Spalding County, Georgia!!With a disability!!Margin of Error","Spalding County, Georgia!!Percent with a disability!!Estimate","Spalding County, Georgia!!Percent with a disability!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!With a disability!!Estimate","Troup County, Georgia!!With a disability!!Margin of Error","Troup County, Georgia!!Percent with a disability!!Estimate","Troup County, Georgia!!Percent with a disability!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!With a disability!!Estimate","Walker County, Georgia!!With a disability!!Margin of Error","Walker County, Georgia!!Percent with a disability!!Estimate","Walker County, Georgia!!Percent with a disability!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!With a disability!!Estimate","Walton County, Georgia!!With a disability!!Margin of Error","Walton County, Georgia!!Percent with a disability!!Estimate","Walton County, Georgia!!Percent with a disability!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!With a disability!!Estimate","Whitfield County, Georgia!!With a disability!!Margin of Error","Whitfield County, Georgia!!Percent with a disability!!Estimate","Whitfield County, Georgia!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","83,109","±278","15,246","±2,494","18.3%","±3.0","106,636","±728","14,309","±2,389","13.4%","±2.2","150,140","±872","25,261","±2,847","16.8%","±1.9","79,029","±270","8,627","±1,629","10.9%","±2.1","118,835","±720","16,872","±2,558","14.2%","±2.2","67,097","±396","12,700","±2,595","18.9%","±3.9","280,329","±1,529","42,013","±4,818","15.0%","±1.7","257,624","±679","26,286","±3,863","10.2%","±1.5","127,623","±348","16,688","±2,342","13.1%","±1.8","288,139","±1,480","30,454","±3,849","10.6%","±1.3","755,074","±1,384","70,886","±6,354","9.4%","±0.8","155,016","±756","18,242","±3,208","11.8%","±2.1","147,837","±741","18,163","±2,305","12.3%","±1.6","752,968","±1,553","73,584","±5,507","9.8%","±0.7","85,803","±906","15,724","±1,787","18.3%","±2.0","145,246","±856","14,159","±2,398","9.7%","±1.7","113,692","±658","13,373","±2,201","11.8%","±1.9","96,115","±953","15,930","±2,488","16.6%","±2.6","243,565","±547","17,321","±1,908","7.1%","±0.8","1,053,583","±1,481","102,612","±6,584","9.7%","±0.6","84,337","±868","10,894","±1,909","12.9%","±2.2","930,955","±962","63,740","±5,877","6.8%","±0.6","203,309","±687","26,913","±2,764","13.2%","±1.4","233,110","±794","20,679","±2,356","8.9%","±1.0","152,785","±1,568","21,016","±2,938","13.8%","±1.9","72,171","±666","11,753","±1,611","16.3%","±2.2","111,889","±1,345","11,378","±1,911","10.2%","±1.7","186,163","±1,921","34,525","±2,823","18.5%","±1.5","110,853","±1,049","16,831","±3,618","15.2%","±3.3","167,725","±774","17,602","±3,033","10.5%","±1.8","190,929","±1,866","34,209","±3,345","17.9%","±1.8","90,120","±734","11,615","±1,904","12.9%","±2.1","65,349","±1,253","10,240","±1,883","15.7%","±2.9","68,204","±1,134","11,758","±1,849","17.2%","±2.7","68,199","±1,015","16,593","±2,683","24.3%","±3.8","93,641","±866","14,584","±2,182","15.6%","±2.3","103,726","±1,032","10,547","±1,549","10.2%","±1.5","323,120,678","±17,674","41,089,958","±115,466","12.7%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","41,334","±928","8,286","±1,723","20.0%","±4.3","51,234","±1,313","7,395","±1,722","14.4%","±3.4","69,814","±881","11,920","±1,848","17.1%","±2.7","38,301","±1,114","4,319","±1,157","11.3%","±3.0","57,852","±974","8,096","±1,682","14.0%","±2.9","31,912","±1,123","5,247","±1,086","16.4%","±3.4","131,809","±1,663","20,430","±2,764","15.5%","±2.1","125,292","±1,786","14,188","±2,798","11.3%","±2.2","60,957","±1,276","8,192","±1,620","13.4%","±2.6","132,717","±2,376","13,355","±2,819","10.1%","±2.1","365,633","±1,573","35,921","±4,150","9.8%","±1.1","76,870","±1,504","10,433","±2,349","13.6%","±3.0","72,727","±1,242","9,098","±1,548","12.5%","±2.1","354,844","±1,147","34,274","±3,633","9.7%","±1.0","38,457","±1,399","5,532","±1,163","14.4%","±3.0","69,424","±1,697","7,420","±1,798","10.7%","±2.6","54,308","±898","7,269","±1,372","13.4%","±2.5","46,118","±1,407","7,402","±1,622","16.1%","±3.5","120,770","±976","8,298","±1,140","6.9%","±0.9","507,188","±1,154","47,158","±5,019","9.3%","±1.0","39,872","±1,250","4,869","±1,036","12.2%","±2.6","452,734","±1,289","29,470","±3,549","6.5%","±0.8","100,524","±954","13,326","±2,122","13.3%","±2.1","111,896","±1,152","9,917","±1,730","8.9%","±1.5","73,538","±2,180","8,832","±1,647","12.0%","±2.3","35,118","±1,130","5,716","±1,181","16.3%","±3.4","52,264","±1,690","5,636","±1,486","10.8%","±2.8","85,669","±1,934","15,295","±1,758","17.9%","±2.0","50,419","±1,809","6,766","±1,865","13.4%","±3.5","81,434","±1,235","8,322","±1,962","10.2%","±2.4","88,426","±1,665","16,558","±2,303","18.7%","±2.5","43,036","±1,333","5,453","±1,235","12.7%","±2.7","32,237","±1,781","4,905","±1,373","15.2%","±4.0","31,078","±1,208","4,996","±1,036","16.1%","±3.3","34,034","±1,531","9,083","±1,760","26.7%","±5.1","45,619","±854","6,646","±1,222","14.6%","±2.7","51,329","±1,597","5,070","±1,172","9.9%","±2.3","157,833,027","±41,074","19,901,988","±72,503","12.6%","±0.1"
"        Female","41,775","±959","6,960","±1,360","16.7%","±3.3","55,402","±1,192","6,914","±1,346","12.5%","±2.4","80,326","±679","13,341","±1,907","16.6%","±2.4","40,728","±1,067","4,308","±1,086","10.6%","±2.7","60,983","±798","8,776","±1,787","14.4%","±3.0","35,185","±1,162","7,453","±2,022","21.2%","±5.7","148,520","±789","21,583","±2,930","14.5%","±2.0","132,332","±1,779","12,098","±2,209","9.1%","±1.7","66,666","±1,289","8,496","±1,657","12.7%","±2.5","155,422","±2,017","17,099","±2,440","11.0%","±1.6","389,441","±1,088","34,965","±3,884","9.0%","±1.0","78,146","±1,423","7,809","±1,870","10.0%","±2.4","75,110","±1,032","9,065","±1,664","12.1%","±2.3","398,124","±1,409","39,310","±3,756","9.9%","±0.9","47,346","±1,238","10,192","±1,495","21.5%","±3.2","75,822","±1,751","6,739","±1,519","8.9%","±2.0","59,384","±781","6,104","±1,421","10.3%","±2.4","49,997","±1,136","8,528","±1,562","17.1%","±3.2","122,795","±860","9,023","±1,510","7.3%","±1.2","546,395","±856","55,454","±3,706","10.1%","±0.7","44,465","±1,187","6,025","±1,350","13.5%","±3.0","478,221","±902","34,270","±3,886","7.2%","±0.8","102,785","±750","13,587","±1,731","13.2%","±1.7","121,214","±933","10,762","±1,788","8.9%","±1.5","79,247","±1,635","12,184","±2,164","15.4%","±2.8","37,053","±1,038","6,037","±1,131","16.3%","±3.0","59,625","±1,058","5,742","±1,121","9.6%","±1.9","100,494","±1,232","19,230","±2,270","19.1%","±2.3","60,434","±1,634","10,065","±2,329","16.7%","±4.0","86,291","±985","9,280","±1,931","10.8%","±2.2","102,503","±1,417","17,651","±2,246","17.2%","±2.2","47,084","±1,213","6,162","±1,367","13.1%","±3.0","33,112","±1,379","5,335","±1,163","16.1%","±3.4","37,126","±775","6,762","±1,471","18.2%","±4.0","34,165","±1,228","7,510","±1,664","22.0%","±5.0","48,022","±746","7,938","±1,394","16.5%","±2.9","52,397","±1,554","5,477","±1,024","10.5%","±2.0","165,287,651","±36,898","21,187,970","±68,127","12.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","64,412","±1,524","12,429","±2,189","19.3%","±3.4","89,474","±1,865","12,643","±2,053","14.1%","±2.3","59,228","±1,158","11,085","±2,065","18.7%","±3.5","51,476","±897","6,417","±1,427","12.5%","±2.8","87,726","±3,061","12,756","±2,337","14.5%","±2.8","62,379","±801","12,147","±2,566","19.5%","±4.1","144,216","±2,986","21,875","±3,447","15.2%","±2.3","219,780","±3,548","23,197","±3,215","10.6%","±1.5","80,281","±1,991","8,938","±1,499","11.1%","±1.9","48,686","±5,321","6,823","±1,605","14.0%","±3.4","424,838","±7,147","44,220","±4,025","10.4%","±1.0","113,317","±1,222","12,195","±2,534","10.8%","±2.2","112,122","±1,578","14,241","±2,140","12.7%","±1.9","255,005","±4,866","20,071","±2,534","7.9%","±1.0","21,211","±533","4,236","±911","20.0%","±4.3","64,966","±1,864","8,420","±1,744","13.0%","±2.8","74,683","±1,366","8,575","±1,676","11.5%","±2.3","74,184","±2,488","11,949","±2,357","16.1%","±3.0","182,134","±3,001","15,035","±1,841","8.3%","±1.0","466,561","±5,650","34,592","±3,294","7.4%","±0.7","55,418","±1,208","8,664","±1,417","15.6%","±2.6","427,224","±10,626","35,902","±3,807","8.4%","±0.9","174,205","±2,586","23,502","±2,600","13.5%","±1.5","106,388","±1,867","11,765","±1,574","11.1%","±1.5","87,698","±2,604","12,766","±2,275","14.6%","±2.7","61,178","±1,617","9,981","±1,386","16.3%","±2.2","60,625","±1,811","6,685","±1,509","11.0%","±2.5","77,729","±2,139","14,215","±1,840","18.3%","±2.4","54,915","±807","8,428","±1,260","15.3%","±2.3","125,140","±1,543","14,713","±2,701","11.8%","±2.2","64,875","±1,680","12,829","±1,931","19.8%","±2.9","33,095","±1,625","5,536","±994","16.7%","±3.0","40,279","±943","6,429","±1,418","16.0%","±3.5","38,974","±1,266","6,421","±1,275","16.5%","±3.4","62,808","±1,360","15,451","±2,498","24.6%","±3.9","72,078","±1,238","11,913","±1,827","16.5%","±2.5","92,645","±2,150","9,307","±1,371","10.0%","±1.5","233,212,096","±100,367","30,878,182","±102,831","13.2%","±0.1"
"        Black or African American alone","10,092","±995","1,298","±665","12.9%","±6.4","11,167","±1,432","999","±798","8.9%","±7.2","81,261","±1,913","13,937","±2,018","17.2%","±2.5","22,376","±1,188","2,003","±898","9.0%","±4.0","24,268","±1,055","3,634","±1,157","15.0%","±4.9","N","N","N","N","N","N","114,283","±2,015","17,969","±2,418","15.7%","±2.2","19,446","±843","1,683","±1,028","8.7%","±5.3","35,947","±1,163","6,373","±1,785","17.7%","±4.9","201,060","±4,395","21,318","±2,973","10.6%","±1.5","210,796","±4,789","18,019","±3,390","8.5%","±1.6","25,795","±2,766","5,302","±2,049","20.6%","±7.7","27,455","±1,350","2,591","±927","9.4%","±3.4","405,358","±3,321","46,723","±5,298","11.5%","±1.3","61,848","±1,004","11,405","±1,567","18.4%","±2.5","69,711","±2,322","4,707","±1,425","6.8%","±2.0","27,754","±1,852","4,247","±1,527","15.3%","±5.3","12,321","±1,266","2,782","±1,023","22.6%","±8.5","9,346","±1,165","214","±213","2.3%","±2.3","466,051","±4,879","61,290","±5,852","13.2%","±1.3","23,268","±1,247","1,953","±972","8.4%","±4.2","263,886","±4,773","16,904","±3,859","6.4%","±1.5","13,299","±1,322","1,799","±935","13.5%","±7.1","111,455","±2,614","7,978","±1,736","7.2%","±1.6","48,692","±2,640","7,233","±1,842","14.9%","±3.9","5,140","±791","1,455","±656","28.3%","±11.3","42,457","±1,131","4,308","±1,383","10.1%","±3.2","88,602","±2,385","18,321","±2,465","20.7%","±2.6","53,468","±2,073","8,259","±3,379","15.4%","±6.2","30,699","±3,522","2,039","±932","6.6%","±3.3","110,806","±3,646","19,608","±2,361","17.7%","±2.2","50,540","±2,406","5,284","±1,236","10.5%","±2.4","23,485","±1,051","3,555","±1,147","15.1%","±4.8","25,031","±897","4,651","±1,043","18.6%","±4.1","N","N","N","N","N","N","16,969","±1,200","2,508","±1,087","14.8%","±6.6","N","N","N","N","N","N","40,702,085","±78,149","5,743,213","±49,644","14.1%","±0.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,330","±2,980","1,585","±820","14.0%","±6.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,777,677","±33,436","477,954","±11,142","17.2%","±0.4"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,984","±857","1,263","±1,011","15.8%","±12.1","N","N","N","N","N","N","N","N","N","N","N","N","14,938","±609","893","±611","6.0%","±4.1","41,478","±1,453","2,446","±1,109","5.9%","±2.7","4,693","±900","405","±306","8.6%","±6.9","N","N","N","N","N","N","47,162","±1,509","3,040","±927","6.4%","±1.9","N","N","N","N","N","N","2,444","±510","335","±229","13.7%","±8.0","4,796","±2,015","286","±331","6.0%","±6.3","N","N","N","N","N","N","35,925","±1,089","949","±522","2.6%","±1.5","76,587","±3,545","2,353","±1,164","3.1%","±1.5","N","N","N","N","N","N","113,525","±2,702","5,611","±1,384","4.9%","±1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,901","±234","170","±205","8.9%","±10.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,534,191","±40,253","1,342,054","±18,976","7.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","±17,678","64,782","±4,656","10.6%","±0.7"
