"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!With a disability!!Estimate","DeSoto County, Mississippi!!With a disability!!Margin of Error","DeSoto County, Mississippi!!Percent with a disability!!Estimate","DeSoto County, Mississippi!!Percent with a disability!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!With a disability!!Estimate","Forrest County, Mississippi!!With a disability!!Margin of Error","Forrest County, Mississippi!!Percent with a disability!!Estimate","Forrest County, Mississippi!!Percent with a disability!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!With a disability!!Estimate","Harrison County, Mississippi!!With a disability!!Margin of Error","Harrison County, Mississippi!!Percent with a disability!!Estimate","Harrison County, Mississippi!!Percent with a disability!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!With a disability!!Estimate","Hinds County, Mississippi!!With a disability!!Margin of Error","Hinds County, Mississippi!!Percent with a disability!!Estimate","Hinds County, Mississippi!!Percent with a disability!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!With a disability!!Estimate","Jackson County, Mississippi!!With a disability!!Margin of Error","Jackson County, Mississippi!!Percent with a disability!!Estimate","Jackson County, Mississippi!!Percent with a disability!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!With a disability!!Estimate","Jones County, Mississippi!!With a disability!!Margin of Error","Jones County, Mississippi!!Percent with a disability!!Estimate","Jones County, Mississippi!!Percent with a disability!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!With a disability!!Estimate","Lauderdale County, Mississippi!!With a disability!!Margin of Error","Lauderdale County, Mississippi!!Percent with a disability!!Estimate","Lauderdale County, Mississippi!!Percent with a disability!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!With a disability!!Estimate","Lee County, Mississippi!!With a disability!!Margin of Error","Lee County, Mississippi!!Percent with a disability!!Estimate","Lee County, Mississippi!!Percent with a disability!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!With a disability!!Estimate","Madison County, Mississippi!!With a disability!!Margin of Error","Madison County, Mississippi!!Percent with a disability!!Estimate","Madison County, Mississippi!!Percent with a disability!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!With a disability!!Estimate","Rankin County, Mississippi!!With a disability!!Margin of Error","Rankin County, Mississippi!!Percent with a disability!!Estimate","Rankin County, Mississippi!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","183,617","±966","20,291","±2,605","11.1%","±1.4","74,267","±389","16,566","±2,064","22.3%","±2.8","199,029","±2,015","37,982","±3,713","19.1%","±1.9","229,815","±679","32,492","±3,266","14.1%","±1.4","141,798","±1,150","28,191","±2,918","19.9%","±2.1","67,260","±607","10,326","±1,889","15.4%","±2.8","69,513","±1,352","15,362","±2,307","22.1%","±3.2","84,389","±577","14,384","±2,124","17.0%","±2.5","105,347","±569","10,767","±2,079","10.2%","±2.0","150,383","±1,731","20,252","±3,121","13.5%","±2.1","323,120,678","±17,674","41,089,958","±115,466","12.7%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","88,470","±1,123","8,443","±1,713","9.5%","±1.9","34,226","±1,224","7,769","±1,827","22.7%","±5.2","94,170","±1,861","17,979","±2,209","19.1%","±2.4","107,038","±751","15,221","±2,187","14.2%","±2.0","68,410","±1,606","12,600","±1,942","18.4%","±2.9","33,022","±848","4,003","±981","12.1%","±2.9","31,898","±1,580","7,793","±1,693","24.4%","±5.1","39,900","±710","6,137","±1,067","15.4%","±2.7","48,893","±955","4,641","±1,146","9.5%","±2.3","70,312","±1,668","9,047","±1,994","12.9%","±2.9","157,833,027","±41,074","19,901,988","±72,503","12.6%","±0.1"
"        Female","95,147","±977","11,848","±1,728","12.5%","±1.8","40,041","±1,241","8,797","±1,463","22.0%","±3.8","104,859","±1,513","20,003","±2,619","19.1%","±2.5","122,777","±735","17,271","±2,017","14.1%","±1.6","73,388","±870","15,591","±1,689","21.2%","±2.3","34,238","±807","6,323","±1,418","18.5%","±4.3","37,615","±970","7,569","±1,218","20.1%","±3.3","44,489","±594","8,247","±1,757","18.5%","±3.9","56,454","±924","6,126","±1,419","10.9%","±2.5","80,071","±1,525","11,205","±2,118","14.0%","±2.6","165,287,651","±36,898","21,187,970","±68,127","12.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","119,143","±1,371","15,977","±2,104","13.4%","±1.8","44,242","±554","9,668","±1,615","21.9%","±3.7","134,175","±2,133","25,849","±3,032","19.3%","±2.3","57,290","±649","9,014","±1,405","15.7%","±2.5","102,075","±1,873","19,547","±2,247","19.1%","±2.2","46,316","±457","7,438","±1,571","16.1%","±3.4","37,479","±973","7,910","±1,680","21.1%","±4.3","54,920","±624","10,986","±1,796","20.0%","±3.2","60,695","±797","6,520","±1,639","10.7%","±2.7","113,606","±1,649","16,564","±2,543","14.6%","±2.3","233,212,096","±100,367","30,878,182","±102,831","13.2%","±0.1"
"        Black or African American alone","55,257","±1,117","3,391","±907","6.1%","±1.7","28,539","±855","6,466","±1,390","22.7%","±4.7","49,573","±2,279","9,470","±1,887","19.1%","±3.8","167,857","±1,364","23,139","±2,859","13.8%","±1.7","29,082","±1,647","6,807","±2,047","23.4%","±6.6","20,220","±680","2,727","±944","13.5%","±4.6","30,697","±911","7,452","±1,787","24.3%","±5.9","26,196","±1,312","3,296","±916","12.6%","±3.4","39,788","±1,101","4,082","±1,355","10.3%","±3.4","31,353","±1,229","3,636","±1,546","11.6%","±4.9","40,702,085","±78,149","5,743,213","±49,644","14.1%","±0.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,777,677","±33,436","477,954","±11,142","17.2%","±0.4"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","4,747","±1,534","914","±555","19.3%","±8.7","N","N","N","N","N","N","3,541","±603","807","±315","22.8%","±10.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,534,191","±40,253","1,342,054","±18,976","7.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","±17,678","64,782","±4,656","10.6%","±0.7"
