"Label","Albemarle County, Virginia!!Total!!Estimate","Albemarle County, Virginia!!Total!!Margin of Error","Albemarle County, Virginia!!With a disability!!Estimate","Albemarle County, Virginia!!With a disability!!Margin of Error","Albemarle County, Virginia!!Percent with a disability!!Estimate","Albemarle County, Virginia!!Percent with a disability!!Margin of Error","Arlington County, Virginia!!Total!!Estimate","Arlington County, Virginia!!Total!!Margin of Error","Arlington County, Virginia!!With a disability!!Estimate","Arlington County, Virginia!!With a disability!!Margin of Error","Arlington County, Virginia!!Percent with a disability!!Estimate","Arlington County, Virginia!!Percent with a disability!!Margin of Error","Augusta County, Virginia!!Total!!Estimate","Augusta County, Virginia!!Total!!Margin of Error","Augusta County, Virginia!!With a disability!!Estimate","Augusta County, Virginia!!With a disability!!Margin of Error","Augusta County, Virginia!!Percent with a disability!!Estimate","Augusta County, Virginia!!Percent with a disability!!Margin of Error","Bedford County, Virginia!!Total!!Estimate","Bedford County, Virginia!!Total!!Margin of Error","Bedford County, Virginia!!With a disability!!Estimate","Bedford County, Virginia!!With a disability!!Margin of Error","Bedford County, Virginia!!Percent with a disability!!Estimate","Bedford County, Virginia!!Percent with a disability!!Margin of Error","Chesterfield County, Virginia!!Total!!Estimate","Chesterfield County, Virginia!!Total!!Margin of Error","Chesterfield County, Virginia!!With a disability!!Estimate","Chesterfield County, Virginia!!With a disability!!Margin of Error","Chesterfield County, Virginia!!Percent with a disability!!Estimate","Chesterfield County, Virginia!!Percent with a disability!!Margin of Error","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Total!!Margin of Error","Fairfax County, Virginia!!With a disability!!Estimate","Fairfax County, Virginia!!With a disability!!Margin of Error","Fairfax County, Virginia!!Percent with a disability!!Estimate","Fairfax County, Virginia!!Percent with a disability!!Margin of Error","Fauquier County, Virginia!!Total!!Estimate","Fauquier County, Virginia!!Total!!Margin of Error","Fauquier County, Virginia!!With a disability!!Estimate","Fauquier County, Virginia!!With a disability!!Margin of Error","Fauquier County, Virginia!!Percent with a disability!!Estimate","Fauquier County, Virginia!!Percent with a disability!!Margin of Error","Frederick County, Virginia!!Total!!Estimate","Frederick County, Virginia!!Total!!Margin of Error","Frederick County, Virginia!!With a disability!!Estimate","Frederick County, Virginia!!With a disability!!Margin of Error","Frederick County, Virginia!!Percent with a disability!!Estimate","Frederick County, Virginia!!Percent with a disability!!Margin of Error","Hanover County, Virginia!!Total!!Estimate","Hanover County, Virginia!!Total!!Margin of Error","Hanover County, Virginia!!With a disability!!Estimate","Hanover County, Virginia!!With a disability!!Margin of Error","Hanover County, Virginia!!Percent with a disability!!Estimate","Hanover County, Virginia!!Percent with a disability!!Margin of Error","Henrico County, Virginia!!Total!!Estimate","Henrico County, Virginia!!Total!!Margin of Error","Henrico County, Virginia!!With a disability!!Estimate","Henrico County, Virginia!!With a disability!!Margin of Error","Henrico County, Virginia!!Percent with a disability!!Estimate","Henrico County, Virginia!!Percent with a disability!!Margin of Error","James City County, Virginia!!Total!!Estimate","James City County, Virginia!!Total!!Margin of Error","James City County, Virginia!!With a disability!!Estimate","James City County, Virginia!!With a disability!!Margin of Error","James City County, Virginia!!Percent with a disability!!Estimate","James City County, Virginia!!Percent with a disability!!Margin of Error","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Total!!Margin of Error","Loudoun County, Virginia!!With a disability!!Estimate","Loudoun County, Virginia!!With a disability!!Margin of Error","Loudoun County, Virginia!!Percent with a disability!!Estimate","Loudoun County, Virginia!!Percent with a disability!!Margin of Error","Montgomery County, Virginia!!Total!!Estimate","Montgomery County, Virginia!!Total!!Margin of Error","Montgomery County, Virginia!!With a disability!!Estimate","Montgomery County, Virginia!!With a disability!!Margin of Error","Montgomery County, Virginia!!Percent with a disability!!Estimate","Montgomery County, Virginia!!Percent with a disability!!Margin of Error","Prince William County, Virginia!!Total!!Estimate","Prince William County, Virginia!!Total!!Margin of Error","Prince William County, Virginia!!With a disability!!Estimate","Prince William County, Virginia!!With a disability!!Margin of Error","Prince William County, Virginia!!Percent with a disability!!Estimate","Prince William County, Virginia!!Percent with a disability!!Margin of Error","Roanoke County, Virginia!!Total!!Estimate","Roanoke County, Virginia!!Total!!Margin of Error","Roanoke County, Virginia!!With a disability!!Estimate","Roanoke County, Virginia!!With a disability!!Margin of Error","Roanoke County, Virginia!!Percent with a disability!!Estimate","Roanoke County, Virginia!!Percent with a disability!!Margin of Error","Rockingham County, Virginia!!Total!!Estimate","Rockingham County, Virginia!!Total!!Margin of Error","Rockingham County, Virginia!!With a disability!!Estimate","Rockingham County, Virginia!!With a disability!!Margin of Error","Rockingham County, Virginia!!Percent with a disability!!Estimate","Rockingham County, Virginia!!Percent with a disability!!Margin of Error","Spotsylvania County, Virginia!!Total!!Estimate","Spotsylvania County, Virginia!!Total!!Margin of Error","Spotsylvania County, Virginia!!With a disability!!Estimate","Spotsylvania County, Virginia!!With a disability!!Margin of Error","Spotsylvania County, Virginia!!Percent with a disability!!Estimate","Spotsylvania County, Virginia!!Percent with a disability!!Margin of Error","Stafford County, Virginia!!Total!!Estimate","Stafford County, Virginia!!Total!!Margin of Error","Stafford County, Virginia!!With a disability!!Estimate","Stafford County, Virginia!!With a disability!!Margin of Error","Stafford County, Virginia!!Percent with a disability!!Estimate","Stafford County, Virginia!!Percent with a disability!!Margin of Error","York County, Virginia!!Total!!Estimate","York County, Virginia!!Total!!Margin of Error","York County, Virginia!!With a disability!!Estimate","York County, Virginia!!With a disability!!Margin of Error","York County, Virginia!!Percent with a disability!!Estimate","York County, Virginia!!Percent with a disability!!Margin of Error","Alexandria city, Virginia!!Total!!Estimate","Alexandria city, Virginia!!Total!!Margin of Error","Alexandria city, Virginia!!With a disability!!Estimate","Alexandria city, Virginia!!With a disability!!Margin of Error","Alexandria city, Virginia!!Percent with a disability!!Estimate","Alexandria city, Virginia!!Percent with a disability!!Margin of Error","Chesapeake city, Virginia!!Total!!Estimate","Chesapeake city, Virginia!!Total!!Margin of Error","Chesapeake city, Virginia!!With a disability!!Estimate","Chesapeake city, Virginia!!With a disability!!Margin of Error","Chesapeake city, Virginia!!Percent with a disability!!Estimate","Chesapeake city, Virginia!!Percent with a disability!!Margin of Error","Hampton city, Virginia!!Total!!Estimate","Hampton city, Virginia!!Total!!Margin of Error","Hampton city, Virginia!!With a disability!!Estimate","Hampton city, Virginia!!With a disability!!Margin of Error","Hampton city, Virginia!!Percent with a disability!!Estimate","Hampton city, Virginia!!Percent with a disability!!Margin of Error","Lynchburg city, Virginia!!Total!!Estimate","Lynchburg city, Virginia!!Total!!Margin of Error","Lynchburg city, Virginia!!With a disability!!Estimate","Lynchburg city, Virginia!!With a disability!!Margin of Error","Lynchburg city, Virginia!!Percent with a disability!!Estimate","Lynchburg city, Virginia!!Percent with a disability!!Margin of Error","Newport News city, Virginia!!Total!!Estimate","Newport News city, Virginia!!Total!!Margin of Error","Newport News city, Virginia!!With a disability!!Estimate","Newport News city, Virginia!!With a disability!!Margin of Error","Newport News city, Virginia!!Percent with a disability!!Estimate","Newport News city, Virginia!!Percent with a disability!!Margin of Error","Norfolk city, Virginia!!Total!!Estimate","Norfolk city, Virginia!!Total!!Margin of Error","Norfolk city, Virginia!!With a disability!!Estimate","Norfolk city, Virginia!!With a disability!!Margin of Error","Norfolk city, Virginia!!Percent with a disability!!Estimate","Norfolk city, Virginia!!Percent with a disability!!Margin of Error","Portsmouth city, Virginia!!Total!!Estimate","Portsmouth city, Virginia!!Total!!Margin of Error","Portsmouth city, Virginia!!With a disability!!Estimate","Portsmouth city, Virginia!!With a disability!!Margin of Error","Portsmouth city, Virginia!!Percent with a disability!!Estimate","Portsmouth city, Virginia!!Percent with a disability!!Margin of Error","Richmond city, Virginia!!Total!!Estimate","Richmond city, Virginia!!Total!!Margin of Error","Richmond city, Virginia!!With a disability!!Estimate","Richmond city, Virginia!!With a disability!!Margin of Error","Richmond city, Virginia!!Percent with a disability!!Estimate","Richmond city, Virginia!!Percent with a disability!!Margin of Error","Roanoke city, Virginia!!Total!!Estimate","Roanoke city, Virginia!!Total!!Margin of Error","Roanoke city, Virginia!!With a disability!!Estimate","Roanoke city, Virginia!!With a disability!!Margin of Error","Roanoke city, Virginia!!Percent with a disability!!Estimate","Roanoke city, Virginia!!Percent with a disability!!Margin of Error","Suffolk city, Virginia!!Total!!Estimate","Suffolk city, Virginia!!Total!!Margin of Error","Suffolk city, Virginia!!With a disability!!Estimate","Suffolk city, Virginia!!With a disability!!Margin of Error","Suffolk city, Virginia!!Percent with a disability!!Estimate","Suffolk city, Virginia!!Percent with a disability!!Margin of Error","Virginia Beach city, Virginia!!Total!!Estimate","Virginia Beach city, Virginia!!Total!!Margin of Error","Virginia Beach city, Virginia!!With a disability!!Estimate","Virginia Beach city, Virginia!!With a disability!!Margin of Error","Virginia Beach city, Virginia!!Percent with a disability!!Estimate","Virginia Beach city, Virginia!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","107,798","±1,029","9,789","±1,445","9.1%","±1.3","231,652","±1,441","14,506","±2,067","6.3%","±0.9","70,347","±2,183","9,748","±1,314","13.9%","±1.8","78,658","±200","11,287","±1,446","14.3%","±1.8","349,587","±1,137","42,654","±3,424","12.2%","±1.0","1,131,979","±2,449","87,662","±4,649","7.7%","±0.4","70,793","±305","7,955","±1,331","11.2%","±1.9","88,159","±438","12,213","±1,703","13.9%","±1.9","107,504","±257","13,641","±1,809","12.7%","±1.7","328,119","±915","40,117","±3,538","12.2%","±1.1","74,716","±1,017","9,853","±1,921","13.2%","±2.6","411,654","±1,024","23,713","±2,426","5.8%","±0.6","97,820","±372","8,825","±1,869","9.0%","±1.9","462,205","±1,402","38,120","±3,437","8.2%","±0.7","92,347","±984","10,070","±1,808","10.9%","±1.9","81,512","±355","11,496","±1,164","14.1%","±1.4","134,977","±843","14,810","±1,666","11.0%","±1.2","147,226","±1,473","13,530","±1,503","9.2%","±1.0","64,226","±1,301","6,641","±1,326","10.3%","±2.1","155,298","±1,150","10,181","±1,641","6.6%","±1.1","232,910","±2,284","33,316","±3,774","14.3%","±1.6","127,175","±1,699","19,708","±2,350","15.5%","±1.8","80,666","±878","8,404","±1,434","10.4%","±1.8","168,900","±2,123","20,505","±2,110","12.1%","±1.2","212,766","±2,811","29,694","±2,523","14.0%","±1.2","88,329","±2,111","12,793","±1,749","14.5%","±1.9","228,222","±806","33,651","±3,862","14.7%","±1.7","98,137","±352","10,744","±2,059","10.9%","±2.1","89,660","±863","9,950","±1,407","11.1%","±1.6","423,796","±3,477","49,797","±3,720","11.8%","±0.9","323,120,678","±17,674","41,089,958","±115,466","12.7%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","52,442","±1,216","4,611","±1,006","8.8%","±1.9","113,246","±1,445","7,222","±1,399","6.4%","±1.2","34,195","±1,809","4,920","±936","14.4%","±2.6","38,725","±497","7,066","±1,105","18.2%","±2.9","168,023","±1,134","20,485","±2,215","12.2%","±1.3","557,575","±2,156","41,426","±3,068","7.4%","±0.6","34,113","±490","3,638","±877","10.7%","±2.6","43,384","±1,020","6,656","±1,288","15.3%","±3.0","52,415","±438","6,636","±1,127","12.7%","±2.1","156,119","±942","17,984","±2,297","11.5%","±1.5","34,591","±1,435","4,526","±1,178","13.1%","±3.3","203,901","±1,186","11,429","±1,554","5.6%","±0.8","50,109","±615","4,226","±1,305","8.4%","±2.6","228,029","±1,359","16,984","±2,365","7.4%","±1.0","44,598","±907","5,019","±1,175","11.3%","±2.6","40,258","±532","5,897","±962","14.6%","±2.4","66,939","±859","7,445","±1,284","11.1%","±1.9","71,883","±1,732","5,994","±1,007","8.3%","±1.4","29,412","±1,369","3,593","±863","12.2%","±2.9","73,916","±1,281","5,109","±1,032","6.9%","±1.4","110,160","±2,021","16,949","±2,496","15.4%","±2.2","60,070","±1,631","8,756","±1,576","14.6%","±2.6","38,547","±1,098","4,790","±1,093","12.4%","±2.9","77,848","±2,022","7,905","±1,226","10.2%","±1.6","101,788","±2,657","13,373","±1,623","13.1%","±1.6","39,131","±2,009","5,437","±1,156","13.9%","±2.9","108,429","±1,098","16,589","±2,862","15.3%","±2.6","46,844","±1,138","5,242","±1,671","11.2%","±3.5","43,185","±835","4,334","±861","10.0%","±2.0","200,386","±2,907","23,922","±2,689","11.9%","±1.3","157,833,027","±41,074","19,901,988","±72,503","12.6%","±0.1"
"        Female","55,356","±834","5,178","±1,047","9.4%","±1.9","118,406","±1,333","7,284","±1,372","6.2%","±1.2","36,152","±672","4,828","±864","13.4%","±2.4","39,933","±506","4,221","±953","10.6%","±2.4","181,564","±635","22,169","±2,609","12.2%","±1.4","574,404","±862","46,236","±3,554","8.0%","±0.6","36,680","±457","4,317","±894","11.8%","±2.5","44,775","±905","5,557","±950","12.4%","±2.2","55,089","±390","7,005","±1,393","12.7%","±2.5","172,000","±809","22,133","±2,465","12.9%","±1.4","40,125","±1,021","5,327","±1,398","13.3%","±3.5","207,753","±660","12,284","±1,779","5.9%","±0.9","47,711","±679","4,599","±1,235","9.6%","±2.6","234,176","±599","21,136","±2,375","9.0%","±1.0","47,749","±765","5,051","±1,061","10.6%","±2.2","41,254","±476","5,599","±694","13.6%","±1.7","68,038","±807","7,365","±1,312","10.8%","±1.9","75,343","±1,031","7,536","±1,266","10.0%","±1.7","34,814","±842","3,048","±757","8.8%","±2.1","81,382","±929","5,072","±1,047","6.2%","±1.3","122,750","±1,334","16,367","±2,472","13.3%","±2.0","67,105","±1,254","10,952","±1,544","16.3%","±2.3","42,119","±1,050","3,614","±844","8.6%","±2.0","91,052","±1,199","12,600","±1,729","13.8%","±1.9","110,978","±1,326","16,321","±1,745","14.7%","±1.6","49,198","±1,000","7,356","±1,175","15.0%","±2.4","119,793","±957","17,062","±2,596","14.2%","±2.1","51,293","±1,036","5,502","±1,093","10.7%","±2.1","46,475","±494","5,616","±1,062","12.1%","±2.3","223,410","±1,697","25,875","±2,593","11.6%","±1.1","165,287,651","±36,898","21,187,970","±68,127","12.8%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","88,708","±867","8,349","±1,166","9.4%","±1.3","167,297","±3,322","10,215","±1,692","6.1%","±1.0","67,452","±1,085","9,559","±1,229","14.2%","±1.8","70,502","±435","10,270","±1,288","14.6%","±1.8","223,066","±2,954","27,935","±2,956","12.5%","±1.3","674,454","±8,626","55,366","±3,114","8.2%","±0.5","61,385","±703","6,990","±1,293","11.4%","±2.1","80,079","±979","11,809","±1,698","14.7%","±2.1","90,989","±1,111","11,466","±1,603","12.6%","±1.8","178,776","±2,734","22,347","±2,345","12.5%","±1.3","60,374","±909","8,028","±1,694","13.3%","±2.8","259,776","±4,323","17,218","±2,106","6.6%","±0.8","83,906","±631","7,911","±1,832","9.4%","±2.2","263,932","±7,310","22,568","±2,319","8.6%","±0.9","81,256","±1,058","9,305","±1,626","11.5%","±2.0","75,647","±933","10,640","±1,267","14.1%","±1.7","94,072","±1,623","11,521","±1,653","12.2%","±1.7","95,410","±3,005","10,374","±1,263","10.9%","±1.3","45,739","±1,784","5,323","±1,064","11.6%","±2.2","98,168","±3,429","6,476","±1,115","6.6%","±1.1","139,115","±2,226","18,143","±2,140","13.0%","±1.5","49,907","±1,304","8,058","±1,304","16.1%","±2.7","51,447","±1,112","5,568","±1,133","10.8%","±2.1","79,708","±2,668","10,364","±1,429","13.0%","±1.8","94,650","±2,513","14,576","±1,702","15.4%","±1.8","34,544","±1,152","4,982","±948","14.4%","±2.8","101,648","±2,445","9,402","±1,761","9.2%","±1.7","59,928","±1,721","7,807","±1,825","13.0%","±3.0","44,391","±1,102","5,276","±813","11.9%","±1.8","276,917","±3,086","33,902","±2,941","12.2%","±1.0","233,212,096","±100,367","30,878,182","±102,831","13.2%","±0.1"
"        Black or African American alone","9,342","±997","950","±512","10.2%","±5.6","21,689","±988","1,535","±632","7.1%","±2.9","N","N","N","N","N","N","3,690","±1,085","923","±444","25.0%","±11.9","82,210","±2,962","9,451","±1,804","11.5%","±2.2","114,456","±3,493","8,970","±1,724","7.8%","±1.5","5,418","±731","681","±378","12.6%","±6.7","3,947","±983","385","±321","9.8%","±8.7","10,672","±857","1,415","±761","13.3%","±7.0","101,271","±3,319","14,744","±2,189","14.6%","±2.1","9,783","±788","1,564","±628","16.0%","±6.3","32,383","±1,548","1,746","±620","5.4%","±1.9","N","N","N","N","N","N","97,405","±3,321","8,479","±1,890","8.7%","±1.9","5,611","±1,042","397","±509","7.1%","±9.3","N","N","N","N","N","N","22,698","±1,524","2,317","±772","10.2%","±3.3","28,523","±1,713","2,133","±755","7.5%","±2.8","10,090","±790","539","±435","5.3%","±4.3","32,448","±2,002","1,599","±662","4.9%","±2.0","70,472","±2,989","12,597","±2,516","17.9%","±3.6","64,498","±2,791","10,112","±1,813","15.7%","±3.0","23,122","±1,348","2,472","±844","10.7%","±3.6","71,484","±2,416","8,869","±1,447","12.4%","±2.0","94,203","±2,296","13,117","±1,792","13.9%","±1.9","48,541","±1,929","7,499","±1,449","15.4%","±2.9","103,382","±2,652","20,337","±2,713","19.7%","±2.6","30,367","±2,113","2,753","±877","9.1%","±2.9","38,443","±1,734","4,216","±969","11.0%","±2.4","81,199","±3,595","9,214","±1,929","11.3%","±2.4","40,702,085","±78,149","5,743,213","±49,644","14.1%","±0.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,576","±1,081","182","±241","5.1%","±6.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,777,677","±33,436","477,954","±11,142","17.2%","±0.4"
"        Asian alone","5,462","±520","447","±323","8.2%","±5.9","24,195","±1,708","1,554","±801","6.4%","±3.3","N","N","N","N","N","N","N","N","N","N","N","N","13,197","±832","447","±367","3.4%","±2.8","227,401","±3,894","14,576","±2,019","6.4%","±0.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","28,217","±1,971","1,743","±790","6.2%","±2.6","2,078","±426","261","±184","12.6%","±10.1","81,355","±2,569","2,731","±1,035","3.4%","±1.3","N","N","N","N","N","N","42,175","±2,857","2,641","±808","6.3%","±1.9","3,629","±279","165","±173","4.5%","±4.8","N","N","N","N","N","N","3,430","±975","271","±210","7.9%","±6.1","5,315","±810","316","±297","5.9%","±5.5","4,004","±712","414","±251","10.3%","±7.1","8,978","±1,212","734","±391","8.2%","±4.5","8,565","±918","807","±585","9.4%","±7.0","3,289","±634","482","±387","14.7%","±12.2","N","N","N","N","N","N","5,182","±848","484","±322","9.3%","±5.9","7,910","±805","442","±280","5.6%","±3.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","31,215","±1,793","3,282","±1,315","10.5%","±4.1","18,534,191","±40,253","1,342,054","±18,976","7.2%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","612,857","±17,678","64,782","±4,656","10.6%","±0.7"
