"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Benton County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Benton County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Benton County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Benton County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Benton County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Benton County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Benton County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Craighead County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Craighead County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Craighead County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Craighead County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Craighead County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Craighead County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Craighead County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Faulkner County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Faulkner County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Faulkner County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Faulkner County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Faulkner County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Faulkner County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Faulkner County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Garland County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Garland County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Garland County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Garland County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Garland County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Garland County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Garland County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Jefferson County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Jefferson County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Jefferson County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Jefferson County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Jefferson County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Jefferson County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Jefferson County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Lonoke County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Lonoke County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Lonoke County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Lonoke County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Lonoke County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Lonoke County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Lonoke County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Pulaski County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Pulaski County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Pulaski County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Pulaski County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Pulaski County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Pulaski County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Pulaski County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Saline County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Saline County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Saline County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Saline County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Saline County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Saline County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Saline County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Sebastian County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Sebastian County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Sebastian County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Sebastian County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Sebastian County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Sebastian County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Sebastian County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Washington County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Washington County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Washington County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Washington County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Washington County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Washington County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Washington County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","White County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","White County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","White County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","White County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","White County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","White County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","White County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","68,749","±877","3,857","±1,136","(X)","(X)","56","±16","46.6%","±13.5","N","N","N","N","(X)","(X)","N","N","N","N","35,062","±785","1,644","±768","(X)","(X)","47","±22","27.2%","±24.1","N","N","N","N","(X)","(X)","N","N","N","N","14,869","±491","2,009","±1,141","(X)","(X)","135","±76","76.3%","±16.7","18,045","±801","1,156","±583","(X)","(X)","64","±32","14.9%","±17.3","95,388","±929","3,459","±1,080","(X)","(X)","36","±11","29.2%","±13.0","28,525","±1,163","1,611","±656","(X)","(X)","56","±23","30.8%","±17.7","30,203","±904","1,229","±642","(X)","(X)","41","±21","34.1%","±24.8","62,330","±1,461","3,848","±1,081","(X)","(X)","62","±18","25.4%","±13.0","18,627","±552","1,626","±856","(X)","(X)","87","±46","54.8%","±28.0","76,879,571","±47,490","3,877,882","±31,847","(X)","(X)","50","±1","32.8%","±0.5"
"    15 to 19 years","8,997","±445","210","±255","5.4%","±6.6","23","±28","100.0%","±47.5","N","N","N","N","N","N","N","N","N","N","5,526","±684","36","±80","2.2%","±4.8","7","±14","0.0%","±100.0","N","N","N","N","N","N","N","N","N","N","1,868","±700","24","±43","1.2%","±2.3","13","±24","100.0%","±100.0","2,356","±388","0","±206","0.0%","±14.0","0","±72","-","**","11,350","±750","121","±184","3.5%","±5.5","11","±16","100.0%","±62.6","4,397","±1,194","83","±140","5.2%","±8.4","19","±32","0.0%","±75.5","4,140","±624","0","±206","0.0%","±13.2","0","±41","-","**","9,552","±1,083","154","±320","4.0%","±7.9","16","±34","0.0%","±55.5","3,416","±898","64","±111","3.9%","±7.1","19","±34","0.0%","±86.0","10,449,871","±27,410","110,459","±6,740","2.8%","±0.2","11","±1","86.4%","±2.1"
"    20 to 34 years","28,468","±620","2,551","±868","66.1%","±12.2","90","±31","47.7%","±19.3","N","N","N","N","N","N","N","N","N","N","16,155","±1,063","1,363","±629","82.9%","±19.2","84","±41","32.8%","±27.3","N","N","N","N","N","N","N","N","N","N","7,038","±774","1,835","±1,139","91.3%","±12.1","261","±154","80.3%","±16.5","7,394","±743","808","±497","69.9%","±22.3","109","±66","21.3%","±24.5","42,270","±750","2,918","±1,060","84.4%","±8.5","69","±25","30.4%","±13.1","11,119","±936","1,343","±552","83.4%","±14.5","121","±50","36.9%","±20.7","13,408","±940","1,025","±650","83.4%","±20.7","76","±47","29.8%","±25.9","28,306","±1,194","2,769","±1,036","72.0%","±14.9","98","±36","19.0%","±12.1","7,705","±843","1,544","±847","95.0%","±7.5","200","±102","57.7%","±28.0","32,933,396","±29,410","2,773,193","±28,655","71.5%","±0.4","84","±1","34.9%","±0.6"
"    35 to 50 years","31,284","±837","1,096","±575","28.4%","±11.7","35","±19","33.6%","±28.2","N","N","N","N","N","N","N","N","N","N","13,381","±867","245","±353","14.9%","±18.8","18","±26","0.0%","±44.0","N","N","N","N","N","N","N","N","N","N","5,963","±478","150","±200","7.5%","±11.5","25","±34","24.0%","±55.0","8,295","±518","348","±284","30.1%","±22.3","42","±34","0.0%","±36.8","41,768","±1,015","420","±286","12.1%","±8.6","10","±7","0.0%","±32.7","13,009","±904","185","±223","11.5%","±12.0","14","±17","0.0%","±50.6","12,655","±866","204","±245","16.6%","±20.7","16","±19","55.9%","±55.9","24,472","±1,229","925","±517","24.0%","±13.4","38","±21","48.5%","±33.5","7,506","±486","18","±31","1.1%","±2.1","2","±4","0.0%","±100.0","33,496,304","±37,663","994,230","±18,203","25.6%","±0.4","30","±1","20.9%","±0.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","74,179,173","±60,015","3,743,194","±29,640","96.5%","±0.2","50","±1","32.5%","±0.5"
"            White","59,166","±869","3,468","±1,057","89.9%","±6.8","59","±18","46.1%","±14.3","20,553","±640","334","±289","N","N","16","±14","44.3%","±40.2","27,235","±670","1,564","±763","95.1%","±7.4","57","±28","23.9%","±25.3","17,508","±982","441","±299","N","N","25","±17","48.5%","±32.8","4,886","±448","653","±485","32.5%","±23.5","134","±94","44.6%","±25.9","15,953","±492","883","±527","76.4%","±18.0","55","±33","19.5%","±23.0","46,896","±1,187","1,906","±639","55.1%","±15.4","41","±14","30.1%","±17.4","23,879","±635","1,515","±620","94.0%","±11.5","63","±26","26.4%","±18.8","20,458","±805","562","±361","45.7%","±27.8","27","±18","34.3%","±34.4","48,468","±1,931","2,748","±981","71.4%","±14.8","57","±20","29.8%","±16.4","16,870","±598","1,363","±777","83.8%","±18.5","81","±46","62.1%","±27.5","52,648,175","±49,905","2,628,122","±24,041","67.8%","±0.5","50","±1","26.8%","±0.5"
"            Black or African American","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,281","±514","1,356","±995","67.5%","±23.5","146","±108","91.6%","±15.5","1,193","±532","201","±170","17.4%","±14.3","168","±156","0.0%","±48.5","41,470","±832","1,086","±781","31.4%","±16.3","26","±19","37.9%","±27.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,908,109","±36,892","567,631","±17,150","14.6%","±0.4","52","±2","62.9%","±1.5"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","708,275","±12,660","35,367","±3,250","0.9%","±0.1","50","±4","58.9%","±4.0"
"            Asian","2,844","±464","95","±110","2.5%","±2.8","33","±38","0.0%","±70.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,388","±577","318","±312","9.2%","±8.7","133","±134","0.0%","±38.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,627","±356","288","±264","7.5%","±6.5","177","±164","0.0%","±40.5","N","N","N","N","N","N","N","N","N","N","5,281,751","±17,006","252,552","±7,950","6.5%","±0.2","48","±1","10.0%","±1.1"
"            Native Hawaiian and Other Pacific Islander","446","±50","0","±206","0.0%","±4.4","0","±313","-","**","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","172,393","±7,116","10,025","±2,004","0.3%","±0.1","58","±11","50.5%","±9.9"
"            Some other race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,265","±2,135","573","±497","14.9%","±12.4","109","±106","10.5%","±23.5","N","N","N","N","N","N","N","N","N","N","4,460,470","±44,318","249,497","±9,284","6.4%","±0.2","56","±2","41.1%","±2.0"
