"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Boone County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Boone County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Boone County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Boone County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Boone County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Boone County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Boone County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Bullitt County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Bullitt County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Bullitt County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Bullitt County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Bullitt County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Bullitt County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Bullitt County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Campbell County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Campbell County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Campbell County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Campbell County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Campbell County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Campbell County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Campbell County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Christian County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Christian County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Christian County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Christian County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Christian County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Christian County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Christian County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Daviess County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Daviess County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Daviess County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Daviess County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Daviess County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Daviess County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Daviess County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Fayette County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Fayette County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Fayette County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Fayette County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Fayette County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Fayette County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Fayette County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Hardin County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Hardin County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Hardin County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Hardin County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Hardin County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Hardin County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Hardin County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Jefferson County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Jefferson County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Jefferson County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Jefferson County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Jefferson County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Jefferson County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Jefferson County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Kenton County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Kenton County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Kenton County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Kenton County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Kenton County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Kenton County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Kenton County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","McCracken County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","McCracken County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","McCracken County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","McCracken County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","McCracken County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","McCracken County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","McCracken County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Madison County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Madison County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Madison County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Madison County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Madison County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Madison County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Madison County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Oldham County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Oldham County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Oldham County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Oldham County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Oldham County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Oldham County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Oldham County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Warren County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Warren County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Warren County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Warren County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Warren County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Warren County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Warren County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","32,239","±872","1,397","±613","(X)","(X)","43","±19","42.4%","±24.0","18,667","±514","464","±317","(X)","(X)","25","±17","55.6%","±31.5","22,016","±525","1,207","±511","(X)","(X)","55","±23","22.0%","±19.0","17,684","±1,054","1,382","±605","(X)","(X)","78","±34","13.9%","±17.9","22,573","±461","1,181","±557","(X)","(X)","52","±25","27.4%","±19.7","85,136","±1,000","2,722","±777","(X)","(X)","32","±9","30.7%","±17.6","26,268","±1,084","1,070","±506","(X)","(X)","41","±19","27.4%","±20.7","181,823","±1,418","8,175","±1,595","(X)","(X)","45","±9","43.2%","±11.9","39,015","±686","2,450","±824","(X)","(X)","63","±21","9.4%","±6.7","13,965","±674","1,066","±611","(X)","(X)","76","±43","28.6%","±23.2","24,972","±683","1,327","±634","(X)","(X)","53","±25","50.0%","±24.2","13,950","±475","634","±352","(X)","(X)","45","±25","42.4%","±27.8","36,511","±915","1,541","±623","(X)","(X)","42","±17","28.6%","±20.5","76,879,571","±47,490","3,877,882","±31,847","(X)","(X)","50","±1","32.8%","±0.5"
"    15 to 19 years","4,832","±571","0","±201","0.0%","±11.3","0","±34","-","**","2,238","±201","0","±201","0.0%","±29.4","0","±72","-","**","2,639","±524","0","±201","0.0%","±12.9","0","±61","-","**","3,681","±1,150","0","±201","0.0%","±11.4","0","±44","-","**","2,814","±216","117","±188","9.9%","±14.6","42","±67","100.0%","±62.2","12,463","±1,400","71","±119","2.6%","±4.4","6","±10","100.0%","±79.9","3,720","±706","84","±140","7.9%","±12.7","23","±37","0.0%","±73.5","22,930","±818","723","±750","8.8%","±8.4","32","±33","100.0%","±20.5","4,708","±345","39","±73","1.6%","±3.0","8","±16","100.0%","±100.0","1,935","±404","125","±202","11.7%","±17.7","65","±95","100.0%","±60.2","4,185","±787","0","±201","0.0%","±11.8","0","±39","-","**","2,458","±525","0","±201","0.0%","±22.9","0","±66","-","**","6,848","±981","108","±156","7.0%","±10.6","16","±22","100.0%","±64.8","10,449,871","±27,410","110,459","±6,740","2.8%","±0.2","11","±1","86.4%","±2.1"
"    20 to 34 years","12,083","±739","1,222","±594","87.5%","±12.9","101","±49","48.5%","±26.2","7,448","±308","464","±317","100.0%","±29.4","62","±43","55.6%","±31.5","10,571","±566","905","±462","75.0%","±18.7","86","±44","29.3%","±24.1","7,820","±816","1,224","±510","88.6%","±15.8","157","±64","15.7%","±19.0","9,982","±434","1,064","±491","90.1%","±14.6","107","±48","19.5%","±15.7","39,619","±1,157","1,922","±643","70.6%","±11.3","49","±16","31.6%","±21.2","10,505","±529","918","±478","85.8%","±15.8","87","±46","31.9%","±23.4","80,044","±553","5,943","±1,240","72.7%","±9.2","74","±16","40.1%","±12.2","17,558","±468","1,991","±782","81.3%","±10.8","113","±45","9.6%","±8.2","5,802","±583","407","±312","38.2%","±22.1","70","±55","38.8%","±36.9","11,786","±682","1,168","±609","88.0%","±11.7","99","±50","52.4%","±26.4","4,415","±595","499","±320","78.7%","±25.9","113","±74","34.1%","±31.3","16,155","±993","1,181","±569","76.6%","±17.6","73","±35","16.0%","±17.0","32,933,396","±29,410","2,773,193","±28,655","71.5%","±0.4","84","±1","34.9%","±0.6"
"    35 to 50 years","15,324","±890","175","±179","12.5%","±12.9","11","±12","0.0%","±50.9","8,981","±540","0","±201","0.0%","±29.4","0","±18","-","**","8,806","±423","302","±237","25.0%","±18.7","34","±27","0.0%","±38.7","6,183","±576","158","±250","11.4%","±15.8","26","±40","0.0%","±53.6","9,777","±694","0","±201","0.0%","±13.2","0","±17","-","**","33,054","±860","729","±369","26.8%","±11.7","22","±11","21.4%","±24.2","12,043","±843","68","±111","6.4%","±11.0","6","±9","0.0%","±81.6","78,849","±1,333","1,509","±530","18.5%","±6.6","19","±7","28.4%","±24.6","16,749","±542","420","±270","17.1%","±10.9","25","±16","0.0%","±31.7","6,228","±493","534","±419","50.1%","±25.6","86","±68","4.1%","±8.4","9,001","±465","159","±155","12.0%","±11.7","18","±17","32.1%","±49.7","7,077","±353","135","±183","21.3%","±25.9","19","±26","73.3%","±57.0","13,508","±915","252","±255","16.4%","±15.3","19","±19","56.7%","±55.2","33,496,304","±37,663","994,230","±18,203","25.6%","±0.4","30","±1","20.9%","±0.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","74,179,173","±60,015","3,743,194","±29,640","96.5%","±0.2","50","±1","32.5%","±0.5"
"            White","28,698","±859","1,324","±615","94.8%","±9.6","46","±21","44.8%","±24.5","17,842","±340","414","±299","89.2%","±20.5","23","±17","62.3%","±30.5","20,457","±445","1,207","±511","100.0%","±12.9","59","±25","22.0%","±19.0","10,984","±468","1,115","±510","80.7%","±20.3","102","±47","7.6%","±12.6","20,072","±582","967","±488","81.9%","±21.0","48","±25","28.1%","±22.3","62,712","±1,058","2,032","±642","74.7%","±11.9","32","±10","28.0%","±18.6","19,380","±525","918","±457","85.8%","±17.9","47","±23","31.9%","±23.1","123,036","±1,233","4,663","±1,009","57.0%","±10.9","38","±8","27.5%","±12.4","34,920","±583","2,382","±822","97.2%","±3.9","68","±24","6.8%","±5.4","11,837","±443","1,007","±599","94.5%","±8.9","85","±49","30.3%","±24.6","23,012","±401","909","±440","68.5%","±24.9","40","±19","27.0%","±24.4","13,268","±367","569","±342","89.7%","±17.0","43","±26","47.3%","±30.2","29,072","±792","1,053","±538","68.3%","±17.3","36","±19","24.3%","±22.9","52,648,175","±49,905","2,628,122","±24,041","67.8%","±0.5","50","±1","26.8%","±0.5"
"            Black or African American","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,996","±816","160","±253","11.6%","±16.8","32","±51","0.0%","±53.2","N","N","N","N","N","N","N","N","N","N","11,963","±1,150","390","±296","14.3%","±10.0","33","±26","53.6%","±53.6","4,037","±748","152","±208","14.2%","±17.9","38","±50","0.0%","±54.6","45,145","±1,211","3,123","±1,289","38.2%","±10.9","69","±28","69.1%","±18.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,908,109","±36,892","567,631","±17,150","14.6%","±0.4","52","±2","62.9%","±1.5"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","708,275","±12,660","35,367","±3,250","0.9%","±0.1","50","±4","58.9%","±4.0"
"            Asian","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,411","±324","92","±107","3.4%","±4.0","21","±25","0.0%","±70.2","N","N","N","N","N","N","N","N","N","N","7,180","±727","263","±219","3.2%","±2.8","37","±31","36.5%","±45.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,281,751","±17,006","252,552","±7,950","6.5%","±0.2","48","±1","10.0%","±1.1"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","172,393","±7,116","10,025","±2,004","0.3%","±0.1","58","±11","50.5%","±9.9"
"            Some other race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,716","±716","100","±125","1.2%","±1.6","58","±72","0.0%","±67.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,460,470","±44,318","249,497","±9,284","6.4%","±0.2","56","±2","41.1%","±2.0"
