"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Public Coverage!!Estimate","Baldwin County, Alabama!!Public Coverage!!Margin of Error","Baldwin County, Alabama!!Percent Public Coverage!!Estimate","Baldwin County, Alabama!!Percent Public Coverage!!Margin of Error","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Total!!Margin of Error","Calhoun County, Alabama!!Public Coverage!!Estimate","Calhoun County, Alabama!!Public Coverage!!Margin of Error","Calhoun County, Alabama!!Percent Public Coverage!!Estimate","Calhoun County, Alabama!!Percent Public Coverage!!Margin of Error","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Total!!Margin of Error","Cullman County, Alabama!!Public Coverage!!Estimate","Cullman County, Alabama!!Public Coverage!!Margin of Error","Cullman County, Alabama!!Percent Public Coverage!!Estimate","Cullman County, Alabama!!Percent Public Coverage!!Margin of Error","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Total!!Margin of Error","DeKalb County, Alabama!!Public Coverage!!Estimate","DeKalb County, Alabama!!Public Coverage!!Margin of Error","DeKalb County, Alabama!!Percent Public Coverage!!Estimate","DeKalb County, Alabama!!Percent Public Coverage!!Margin of Error","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Total!!Margin of Error","Elmore County, Alabama!!Public Coverage!!Estimate","Elmore County, Alabama!!Public Coverage!!Margin of Error","Elmore County, Alabama!!Percent Public Coverage!!Estimate","Elmore County, Alabama!!Percent Public Coverage!!Margin of Error","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Total!!Margin of Error","Etowah County, Alabama!!Public Coverage!!Estimate","Etowah County, Alabama!!Public Coverage!!Margin of Error","Etowah County, Alabama!!Percent Public Coverage!!Estimate","Etowah County, Alabama!!Percent Public Coverage!!Margin of Error","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Total!!Margin of Error","Houston County, Alabama!!Public Coverage!!Estimate","Houston County, Alabama!!Public Coverage!!Margin of Error","Houston County, Alabama!!Percent Public Coverage!!Estimate","Houston County, Alabama!!Percent Public Coverage!!Margin of Error","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Total!!Margin of Error","Jefferson County, Alabama!!Public Coverage!!Estimate","Jefferson County, Alabama!!Public Coverage!!Margin of Error","Jefferson County, Alabama!!Percent Public Coverage!!Estimate","Jefferson County, Alabama!!Percent Public Coverage!!Margin of Error","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Total!!Margin of Error","Lauderdale County, Alabama!!Public Coverage!!Estimate","Lauderdale County, Alabama!!Public Coverage!!Margin of Error","Lauderdale County, Alabama!!Percent Public Coverage!!Estimate","Lauderdale County, Alabama!!Percent Public Coverage!!Margin of Error","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Total!!Margin of Error","Lee County, Alabama!!Public Coverage!!Estimate","Lee County, Alabama!!Public Coverage!!Margin of Error","Lee County, Alabama!!Percent Public Coverage!!Estimate","Lee County, Alabama!!Percent Public Coverage!!Margin of Error","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Total!!Margin of Error","Limestone County, Alabama!!Public Coverage!!Estimate","Limestone County, Alabama!!Public Coverage!!Margin of Error","Limestone County, Alabama!!Percent Public Coverage!!Estimate","Limestone County, Alabama!!Percent Public Coverage!!Margin of Error","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Total!!Margin of Error","Madison County, Alabama!!Public Coverage!!Estimate","Madison County, Alabama!!Public Coverage!!Margin of Error","Madison County, Alabama!!Percent Public Coverage!!Estimate","Madison County, Alabama!!Percent Public Coverage!!Margin of Error","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Total!!Margin of Error","Marshall County, Alabama!!Public Coverage!!Estimate","Marshall County, Alabama!!Public Coverage!!Margin of Error","Marshall County, Alabama!!Percent Public Coverage!!Estimate","Marshall County, Alabama!!Percent Public Coverage!!Margin of Error","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Total!!Margin of Error","Mobile County, Alabama!!Public Coverage!!Estimate","Mobile County, Alabama!!Public Coverage!!Margin of Error","Mobile County, Alabama!!Percent Public Coverage!!Estimate","Mobile County, Alabama!!Percent Public Coverage!!Margin of Error","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Total!!Margin of Error","Montgomery County, Alabama!!Public Coverage!!Estimate","Montgomery County, Alabama!!Public Coverage!!Margin of Error","Montgomery County, Alabama!!Percent Public Coverage!!Estimate","Montgomery County, Alabama!!Percent Public Coverage!!Margin of Error","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Total!!Margin of Error","Morgan County, Alabama!!Public Coverage!!Estimate","Morgan County, Alabama!!Public Coverage!!Margin of Error","Morgan County, Alabama!!Percent Public Coverage!!Estimate","Morgan County, Alabama!!Percent Public Coverage!!Margin of Error","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Total!!Margin of Error","St. Clair County, Alabama!!Public Coverage!!Estimate","St. Clair County, Alabama!!Public Coverage!!Margin of Error","St. Clair County, Alabama!!Percent Public Coverage!!Estimate","St. Clair County, Alabama!!Percent Public Coverage!!Margin of Error","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Total!!Margin of Error","Shelby County, Alabama!!Public Coverage!!Estimate","Shelby County, Alabama!!Public Coverage!!Margin of Error","Shelby County, Alabama!!Percent Public Coverage!!Estimate","Shelby County, Alabama!!Percent Public Coverage!!Margin of Error","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Total!!Margin of Error","Talladega County, Alabama!!Public Coverage!!Estimate","Talladega County, Alabama!!Public Coverage!!Margin of Error","Talladega County, Alabama!!Percent Public Coverage!!Estimate","Talladega County, Alabama!!Percent Public Coverage!!Margin of Error","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Total!!Margin of Error","Tuscaloosa County, Alabama!!Public Coverage!!Estimate","Tuscaloosa County, Alabama!!Public Coverage!!Margin of Error","Tuscaloosa County, Alabama!!Percent Public Coverage!!Estimate","Tuscaloosa County, Alabama!!Percent Public Coverage!!Margin of Error","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Total!!Margin of Error","Walker County, Alabama!!Public Coverage!!Estimate","Walker County, Alabama!!Public Coverage!!Margin of Error","Walker County, Alabama!!Percent Public Coverage!!Estimate","Walker County, Alabama!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"Civilian noninstitutionalized population","220,911","±1,474","86,564","±6,504","39.2%","±2.9","111,075","±1,241","43,304","±2,746","39.0%","±2.4","82,841","±827","33,841","±2,204","40.9%","±2.6","70,392","±791","27,417","±2,091","38.9%","±3.0","75,409","±1,381","26,696","±3,326","35.4%","±4.3","101,470","±336","40,091","±2,562","39.5%","±2.5","104,604","±829","43,175","±1,785","41.3%","±1.7","652,965","±1,756","235,956","±7,534","36.1%","±1.1","91,845","±608","33,608","±2,689","36.6%","±2.9","163,952","±390","45,486","±4,564","27.7%","±2.8","95,533","±1,096","30,811","±3,943","32.3%","±4.1","366,888","±1,383","112,262","±6,361","30.6%","±1.7","95,953","±340","38,155","±3,084","39.8%","±3.2","409,112","±865","155,855","±5,967","38.1%","±1.5","220,235","±2,154","81,372","±4,039","36.9%","±1.8","117,792","±1,310","44,467","±3,713","37.8%","±3.3","87,361","±748","30,907","±3,409","35.4%","±3.9","215,918","±1,231","57,647","±2,984","26.7%","±1.4","76,722","±1,875","34,474","±2,297","44.9%","±3.1","207,872","±1,358","59,759","±4,815","28.7%","±2.3","62,896","±520","23,180","±1,707","36.9%","±2.7","323,120,678","±17,674","114,314,962","±222,364","35.4%","±0.1"
"COVERAGE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Medicare coverage alone or in combination","(X)","(X)","52,251","±2,305","23.7%","±1.0","(X)","(X)","23,617","±1,016","21.3%","±0.9","(X)","(X)","19,667","±1,099","23.7%","±1.3","(X)","(X)","13,179","±1,080","18.7%","±1.5","(X)","(X)","15,333","±1,020","20.3%","±1.3","(X)","(X)","23,015","±1,298","22.7%","±1.3","(X)","(X)","23,643","±1,138","22.6%","±1.0","(X)","(X)","123,954","±3,695","19.0%","±0.6","(X)","(X)","22,140","±1,306","24.1%","±1.4","(X)","(X)","23,128","±1,297","14.1%","±0.8","(X)","(X)","19,281","±1,795","20.2%","±1.9","(X)","(X)","62,361","±2,205","17.0%","±0.6","(X)","(X)","19,500","±1,139","20.3%","±1.2","(X)","(X)","81,131","±2,404","19.8%","±0.6","(X)","(X)","40,116","±1,586","18.2%","±0.7","(X)","(X)","25,981","±1,654","22.1%","±1.4","(X)","(X)","17,592","±1,193","20.1%","±1.4","(X)","(X)","39,121","±1,646","18.1%","±0.8","(X)","(X)","18,614","±1,124","24.3%","±1.5","(X)","(X)","35,769","±2,050","17.2%","±1.0","(X)","(X)","14,769","±713","23.5%","±1.1","(X)","(X)","58,327,219","±59,455","18.1%","±0.1"
"        Under 19","49,101","±748","89","±153","0.2%","±0.3","25,187","±510","0","±206","0.0%","±0.7","19,587","±408","237","±380","1.2%","±1.9","18,767","±829","45","±74","0.2%","±0.4","18,968","±550","0","±206","0.0%","±0.9","22,810","±535","253","±322","1.1%","±1.4","25,754","±338","201","±191","0.8%","±0.7","158,033","±1,416","1,058","±647","0.7%","±0.4","20,000","±1,519","69","±112","0.3%","±0.6","38,861","±1,163","119","±149","0.3%","±0.4","23,979","±1,238","0","±206","0.0%","±0.7","85,310","±1,285","987","±1,041","1.2%","±1.2","25,365","±332","60","±117","0.2%","±0.5","102,180","±972","272","±220","0.3%","±0.2","56,862","±704","132","±130","0.2%","±0.2","28,175","±434","1,370","±1,237","4.9%","±4.4","21,474","±737","155","±234","0.7%","±1.1","53,276","±754","454","±595","0.9%","±1.1","18,202","±682","168","±282","0.9%","±1.5","48,736","±1,080","192","±243","0.4%","±0.5","14,701","±461","0","±206","0.0%","±1.2","77,350,432","±52,527","475,670","±17,504","0.6%","±0.1"
"        19 to 64 years","124,972","±2,166","6,989","±1,915","5.6%","±1.5","65,743","±1,186","3,834","±1,004","5.8%","±1.5","48,208","±856","4,667","±1,050","9.7%","±2.2","40,114","±1,012","1,954","±795","4.9%","±2.0","44,079","±1,517","3,117","±908","7.1%","±2.1","59,085","±723","3,929","±1,089","6.6%","±1.8","60,228","±649","5,275","±886","8.8%","±1.5","389,292","±2,392","21,884","±3,215","5.6%","±0.8","52,817","±1,349","3,514","±898","6.7%","±1.7","104,510","±1,451","2,817","±1,076","2.7%","±1.0","55,812","±1,627","4,249","±1,135","7.6%","±2.0","224,914","±2,019","6,861","±1,447","3.1%","±0.6","54,406","±611","3,649","±1,118","6.7%","±2.1","240,303","±1,519","16,461","±2,352","6.9%","±1.0","128,554","±2,336","6,373","±1,452","5.0%","±1.1","68,434","±1,640","3,655","±979","5.3%","±1.4","51,680","±1,145","3,340","±1,127","6.5%","±2.1","127,676","±1,435","4,131","±1,356","3.2%","±1.1","44,357","±1,820","4,573","±891","10.3%","±2.0","131,034","±1,664","8,133","±1,977","6.2%","±1.5","36,369","±782","3,130","±682","8.6%","±1.9","192,987,829","±49,706","7,295,947","±48,655","3.8%","±0.1"
"        65 years and over","46,838","±1,373","45,173","±1,477","96.4%","±1.8","20,145","±315","19,783","±314","98.2%","±1.4","15,046","±418","14,763","±464","98.1%","±1.8","11,511","±297","11,180","±600","97.1%","±4.8","12,362","±463","12,216","±479","98.8%","±1.3","19,575","±497","18,833","±705","96.2%","±2.9","18,622","±533","18,167","±622","97.6%","±1.2","105,640","±1,173","101,012","±1,727","95.6%","±1.2","19,028","±820","18,557","±875","97.5%","±1.5","20,581","±667","20,192","±737","98.1%","±1.5","15,742","±1,347","15,032","±1,422","95.5%","±3.2","56,664","±798","54,513","±1,081","96.2%","±1.3","16,182","±476","15,791","±380","97.6%","±1.6","66,629","±710","64,398","±932","96.7%","±0.9","34,819","±543","33,611","±655","96.5%","±1.4","21,183","±888","20,956","±896","98.9%","±0.9","14,207","±602","14,097","±619","99.2%","±0.9","34,966","±738","34,536","±790","98.8%","±1.0","14,163","±322","13,873","±472","98.0%","±1.9","28,102","±548","27,444","±639","97.7%","±1.4","11,826","±403","11,639","±434","98.4%","±1.5","52,782,417","±26,301","50,555,602","±40,581","95.8%","±0.1"
"    Medicaid/means-tested public coverage alone or in combination","(X)","(X)","37,300","±6,076","16.9%","±2.7","(X)","(X)","23,172","±2,852","20.9%","±2.6","(X)","(X)","16,407","±2,396","19.8%","±2.9","(X)","(X)","17,599","±2,004","25.0%","±2.8","(X)","(X)","12,791","±3,454","17.0%","±4.5","(X)","(X)","22,505","±2,840","22.2%","±2.8","(X)","(X)","23,414","±1,531","22.4%","±1.5","(X)","(X)","132,895","±7,159","20.4%","±1.1","(X)","(X)","15,456","±2,837","16.8%","±3.1","(X)","(X)","22,927","±4,429","14.0%","±2.7","(X)","(X)","15,409","±3,221","16.1%","±3.4","(X)","(X)","49,880","±5,573","13.6%","±1.5","(X)","(X)","22,267","±3,130","23.2%","±3.3","(X)","(X)","90,627","±5,448","22.2%","±1.3","(X)","(X)","47,587","±3,797","21.6%","±1.7","(X)","(X)","22,226","±3,681","18.9%","±3.2","(X)","(X)","17,016","±3,482","19.5%","±4.0","(X)","(X)","19,694","±2,733","9.1%","±1.3","(X)","(X)","19,788","±2,278","25.8%","±3.0","(X)","(X)","29,916","±4,168","14.4%","±2.0","(X)","(X)","10,418","±1,714","16.6%","±2.7","(X)","(X)","64,077,172","±247,116","19.8%","±0.1"
"        Under 19","49,101","±748","18,904","±4,097","38.5%","±8.4","25,187","±510","11,932","±1,908","47.4%","±7.6","19,587","±408","10,119","±1,800","51.7%","±9.3","18,767","±829","11,245","±1,393","59.9%","±7.7","18,968","±550","6,925","±2,383","36.5%","±12.2","22,810","±535","9,998","±1,887","43.8%","±8.1","25,754","±338","12,828","±1,052","49.8%","±4.3","158,033","±1,416","72,499","±5,364","45.9%","±3.3","20,000","±1,519","7,074","±1,858","35.4%","±8.0","38,861","±1,163","13,529","±3,821","34.8%","±10.1","23,979","±1,238","6,357","±1,895","26.5%","±8.4","85,310","±1,285","28,663","±3,393","33.6%","±3.9","25,365","±332","14,497","±2,159","57.2%","±8.6","102,180","±972","51,509","±4,089","50.4%","±4.1","56,862","±704","27,226","±2,657","47.9%","±4.7","28,175","±434","12,499","±2,345","44.4%","±8.3","21,474","±737","8,448","±1,793","39.3%","±8.3","53,276","±754","12,545","±2,392","23.5%","±4.5","18,202","±682","11,192","±1,695","61.5%","±9.7","48,736","±1,080","15,542","±3,014","31.9%","±6.3","14,701","±461","4,985","±1,376","33.9%","±9.4","77,350,432","±52,527","29,101,514","±162,736","37.6%","±0.2"
"        19 to 64 years","124,972","±2,166","14,717","±3,255","11.8%","±2.6","65,743","±1,186","8,694","±1,873","13.2%","±2.8","48,208","±856","4,045","±978","8.4%","±2.0","40,114","±1,012","4,029","±1,190","10.0%","±3.0","44,079","±1,517","4,261","±1,430","9.7%","±3.2","59,085","±723","8,644","±1,685","14.6%","±2.9","60,228","±649","7,812","±1,011","13.0%","±1.7","389,292","±2,392","43,595","±3,615","11.2%","±0.9","52,817","±1,349","5,327","±1,316","10.1%","±2.5","104,510","±1,451","7,466","±2,103","7.1%","±2.0","55,812","±1,627","7,730","±1,962","13.9%","±3.5","224,914","±2,019","16,853","±3,028","7.5%","±1.4","54,406","±611","5,763","±1,392","10.6%","±2.6","240,303","±1,519","28,447","±2,910","11.8%","±1.2","128,554","±2,336","13,598","±2,163","10.6%","±1.7","68,434","±1,640","6,667","±1,715","9.7%","±2.6","51,680","±1,145","6,256","±2,297","12.1%","±4.4","127,676","±1,435","4,909","±1,322","3.8%","±1.0","44,357","±1,820","5,958","±1,089","13.4%","±2.5","131,034","±1,664","10,520","±1,896","8.0%","±1.4","36,369","±782","3,550","±860","9.8%","±2.4","192,987,829","±49,706","27,752,633","±101,714","14.4%","±0.1"
"        65 years and over","46,838","±1,373","3,679","±1,101","7.9%","±2.4","20,145","±315","2,546","±769","12.6%","±3.8","15,046","±418","2,243","±950","14.9%","±6.3","11,511","±297","2,325","±740","20.2%","±6.3","12,362","±463","1,605","±562","13.0%","±4.5","19,575","±497","3,863","±941","19.7%","±4.8","18,622","±533","2,774","±410","14.9%","±2.1","105,640","±1,173","16,801","±2,164","15.9%","±2.1","19,028","±820","3,055","±890","16.1%","±4.8","20,581","±667","1,932","±784","9.4%","±3.8","15,742","±1,347","1,322","±509","8.4%","±3.3","56,664","±798","4,364","±1,010","7.7%","±1.8","16,182","±476","2,007","±638","12.4%","±4.0","66,629","±710","10,671","±1,318","16.0%","±1.9","34,819","±543","6,763","±1,291","19.4%","±3.8","21,183","±888","3,060","±919","14.4%","±4.4","14,207","±602","2,312","±798","16.3%","±5.4","34,966","±738","2,240","±567","6.4%","±1.6","14,163","±322","2,638","±790","18.6%","±5.5","28,102","±548","3,854","±855","13.7%","±3.1","11,826","±403","1,883","±623","15.9%","±5.3","52,782,417","±26,301","7,223,025","±47,156","13.7%","±0.1"
