"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Public Coverage!!Estimate","Boone County, Kentucky!!Public Coverage!!Margin of Error","Boone County, Kentucky!!Percent Public Coverage!!Estimate","Boone County, Kentucky!!Percent Public Coverage!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Public Coverage!!Estimate","Bullitt County, Kentucky!!Public Coverage!!Margin of Error","Bullitt County, Kentucky!!Percent Public Coverage!!Estimate","Bullitt County, Kentucky!!Percent Public Coverage!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Public Coverage!!Estimate","Campbell County, Kentucky!!Public Coverage!!Margin of Error","Campbell County, Kentucky!!Percent Public Coverage!!Estimate","Campbell County, Kentucky!!Percent Public Coverage!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Public Coverage!!Estimate","Christian County, Kentucky!!Public Coverage!!Margin of Error","Christian County, Kentucky!!Percent Public Coverage!!Estimate","Christian County, Kentucky!!Percent Public Coverage!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Public Coverage!!Estimate","Daviess County, Kentucky!!Public Coverage!!Margin of Error","Daviess County, Kentucky!!Percent Public Coverage!!Estimate","Daviess County, Kentucky!!Percent Public Coverage!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Public Coverage!!Estimate","Fayette County, Kentucky!!Public Coverage!!Margin of Error","Fayette County, Kentucky!!Percent Public Coverage!!Estimate","Fayette County, Kentucky!!Percent Public Coverage!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Public Coverage!!Estimate","Hardin County, Kentucky!!Public Coverage!!Margin of Error","Hardin County, Kentucky!!Percent Public Coverage!!Estimate","Hardin County, Kentucky!!Percent Public Coverage!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Public Coverage!!Estimate","Jefferson County, Kentucky!!Public Coverage!!Margin of Error","Jefferson County, Kentucky!!Percent Public Coverage!!Estimate","Jefferson County, Kentucky!!Percent Public Coverage!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Public Coverage!!Estimate","Kenton County, Kentucky!!Public Coverage!!Margin of Error","Kenton County, Kentucky!!Percent Public Coverage!!Estimate","Kenton County, Kentucky!!Percent Public Coverage!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Public Coverage!!Estimate","McCracken County, Kentucky!!Public Coverage!!Margin of Error","McCracken County, Kentucky!!Percent Public Coverage!!Estimate","McCracken County, Kentucky!!Percent Public Coverage!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Public Coverage!!Estimate","Madison County, Kentucky!!Public Coverage!!Margin of Error","Madison County, Kentucky!!Percent Public Coverage!!Estimate","Madison County, Kentucky!!Percent Public Coverage!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Public Coverage!!Estimate","Oldham County, Kentucky!!Public Coverage!!Margin of Error","Oldham County, Kentucky!!Percent Public Coverage!!Estimate","Oldham County, Kentucky!!Percent Public Coverage!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Public Coverage!!Estimate","Warren County, Kentucky!!Public Coverage!!Margin of Error","Warren County, Kentucky!!Percent Public Coverage!!Estimate","Warren County, Kentucky!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"Civilian noninstitutionalized population","132,935","±608","37,655","±4,140","28.3%","±3.1","81,237","±575","30,777","±3,029","37.9%","±3.7","92,334","±778","28,202","±2,222","30.5%","±2.4","60,504","±1,469","25,151","±3,022","41.6%","±4.8","99,652","±995","41,391","±2,926","41.5%","±2.9","318,746","±1,076","101,976","±5,071","32.0%","±1.6","106,286","±1,400","43,783","±3,728","41.2%","±3.4","758,744","±990","303,678","±10,177","40.0%","±1.3","165,846","±505","53,014","±3,645","32.0%","±2.2","64,130","±884","29,986","±2,952","46.8%","±4.5","92,066","±695","37,441","±3,141","40.7%","±3.5","63,224","±916","16,317","±1,960","25.8%","±3.1","131,663","±634","45,458","±3,409","34.5%","±2.6","323,120,678","±17,674","114,314,962","±222,364","35.4%","±0.1"
"COVERAGE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Medicare coverage alone or in combination","(X)","(X)","21,025","±1,281","15.8%","±1.0","(X)","(X)","15,269","±1,261","18.8%","±1.5","(X)","(X)","18,703","±1,809","20.3%","±2.0","(X)","(X)","11,217","±1,205","18.5%","±2.0","(X)","(X)","21,172","±1,199","21.2%","±1.2","(X)","(X)","48,970","±2,290","15.4%","±0.7","(X)","(X)","19,368","±1,336","18.2%","±1.2","(X)","(X)","142,453","±3,002","18.8%","±0.4","(X)","(X)","28,873","±1,589","17.4%","±0.9","(X)","(X)","14,534","±1,028","22.7%","±1.5","(X)","(X)","15,877","±1,017","17.2%","±1.1","(X)","(X)","10,156","±880","16.1%","±1.4","(X)","(X)","19,575","±1,247","14.9%","±0.9","(X)","(X)","58,327,219","±59,455","18.1%","±0.1"
"        Under 19","36,105","±612","0","±201","0.0%","±0.5","18,457","±451","50","±94","0.3%","±0.5","20,631","±554","547","±585","2.7%","±2.8","19,747","±587","0","±201","0.0%","±0.8","25,304","±392","63","±89","0.2%","±0.4","73,279","±1,208","259","±216","0.4%","±0.3","27,962","±568","147","±219","0.5%","±0.8","176,286","±1,492","608","±402","0.3%","±0.2","41,218","±446","432","±579","1.0%","±1.4","15,062","±544","244","±356","1.6%","±2.4","22,128","±776","0","±201","0.0%","±0.8","17,438","±585","0","±201","0.0%","±1.0","33,893","±948","132","±165","0.4%","±0.5","77,350,432","±52,527","475,670","±17,504","0.6%","±0.1"
"        19 to 64 years","78,637","±868","3,284","±1,168","4.2%","±1.5","49,328","±742","2,076","±781","4.2%","±1.6","56,729","±1,000","3,306","±1,247","5.8%","±2.2","32,059","±1,466","2,891","±930","9.0%","±3.0","57,359","±1,088","4,623","±1,110","8.1%","±1.9","202,655","±1,667","7,422","±2,131","3.7%","±1.1","62,391","±1,659","3,773","±1,030","6.0%","±1.6","457,791","±1,678","20,735","±2,652","4.5%","±0.6","100,579","±727","5,288","±1,177","5.3%","±1.2","36,790","±884","2,442","±817","6.6%","±2.2","57,189","±1,084","3,417","±935","6.0%","±1.7","36,256","±986","1,080","±600","3.0%","±1.7","81,452","±1,241","3,689","±1,025","4.5%","±1.2","192,987,829","±49,706","7,295,947","±48,655","3.8%","±0.1"
"        65 years and over","18,193","±489","17,741","±573","97.5%","±1.6","13,452","±809","13,143","±849","97.7%","±1.6","14,974","±494","14,850","±483","99.2%","±0.7","8,698","±531","8,326","±638","95.7%","±4.3","16,989","±505","16,486","±580","97.0%","±1.8","42,812","±630","41,289","±739","96.4%","±1.4","15,933","±879","15,448","±779","97.0%","±2.3","124,667","±408","121,110","±1,018","97.1%","±0.7","24,049","±634","23,153","±672","96.3%","±1.8","12,278","±563","11,848","±540","96.5%","±2.8","12,749","±319","12,460","±376","97.7%","±2.0","9,530","±595","9,076","±594","95.2%","±2.1","16,318","±823","15,754","±667","96.5%","±3.0","52,782,417","±26,301","50,555,602","±40,581","95.8%","±0.1"
"    Medicaid/means-tested public coverage alone or in combination","(X)","(X)","16,985","±3,452","12.8%","±2.6","(X)","(X)","17,382","±2,962","21.4%","±3.7","(X)","(X)","11,952","±1,803","12.9%","±2.0","(X)","(X)","15,556","±2,974","25.7%","±4.8","(X)","(X)","23,763","±3,010","23.8%","±3.0","(X)","(X)","57,118","±5,154","17.9%","±1.6","(X)","(X)","26,579","±3,394","25.0%","±3.1","(X)","(X)","179,011","±10,732","23.6%","±1.4","(X)","(X)","29,261","±3,622","17.6%","±2.2","(X)","(X)","17,866","±2,846","27.9%","±4.4","(X)","(X)","22,905","±3,136","24.9%","±3.5","(X)","(X)","6,569","±1,750","10.4%","±2.8","(X)","(X)","27,414","±3,313","20.8%","±2.5","(X)","(X)","64,077,172","±247,116","19.8%","±0.1"
"        Under 19","36,105","±612","9,224","±2,297","25.5%","±6.4","18,457","±451","7,959","±1,983","43.1%","±10.7","20,631","±554","4,182","±999","20.3%","±4.8","19,747","±587","8,301","±1,931","42.0%","±9.6","25,304","±392","10,357","±1,680","40.9%","±6.6","73,279","±1,208","25,659","±2,755","35.0%","±3.9","27,962","±568","11,258","±2,083","40.3%","±7.5","176,286","±1,492","74,670","±5,411","42.4%","±3.1","41,218","±446","12,947","±2,320","31.4%","±5.6","15,062","±544","7,477","±1,473","49.6%","±9.2","22,128","±776","9,547","±1,562","43.1%","±7.1","17,438","±585","2,162","±875","12.4%","±5.0","33,893","±948","14,322","±2,073","42.3%","±6.3","77,350,432","±52,527","29,101,514","±162,736","37.6%","±0.2"
"        19 to 64 years","78,637","±868","6,882","±1,876","8.8%","±2.4","49,328","±742","7,767","±1,443","15.7%","±2.9","56,729","±1,000","5,561","±1,088","9.8%","±1.9","32,059","±1,466","6,129","±1,472","19.1%","±4.6","57,359","±1,088","11,260","±1,887","19.6%","±3.3","202,655","±1,667","27,630","±3,279","13.6%","±1.6","62,391","±1,659","12,361","±2,271","19.8%","±3.6","457,791","±1,678","89,920","±6,545","19.6%","±1.4","100,579","±727","13,536","±2,037","13.5%","±2.0","36,790","±884","9,061","±1,778","24.6%","±4.8","57,189","±1,084","12,025","±2,019","21.0%","±3.5","36,256","±986","3,985","±1,124","11.0%","±3.1","81,452","±1,241","12,047","±2,115","14.8%","±2.6","192,987,829","±49,706","27,752,633","±101,714","14.4%","±0.1"
"        65 years and over","18,193","±489","879","±641","4.8%","±3.5","13,452","±809","1,656","±956","12.3%","±6.5","14,974","±494","2,209","±726","14.8%","±4.9","8,698","±531","1,126","±477","12.9%","±5.4","16,989","±505","2,146","±830","12.6%","±4.9","42,812","±630","3,829","±853","8.9%","±2.0","15,933","±879","2,960","±1,021","18.6%","±6.1","124,667","±408","14,421","±1,847","11.6%","±1.5","24,049","±634","2,778","±941","11.6%","±3.9","12,278","±563","1,328","±445","10.8%","±3.5","12,749","±319","1,333","±473","10.5%","±3.8","9,530","±595","422","±313","4.4%","±3.2","16,318","±823","1,045","±502","6.4%","±3.1","52,782,417","±26,301","7,223,025","±47,156","13.7%","±0.1"
