"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Public Coverage!!Estimate","DeSoto County, Mississippi!!Public Coverage!!Margin of Error","DeSoto County, Mississippi!!Percent Public Coverage!!Estimate","DeSoto County, Mississippi!!Percent Public Coverage!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Public Coverage!!Estimate","Forrest County, Mississippi!!Public Coverage!!Margin of Error","Forrest County, Mississippi!!Percent Public Coverage!!Estimate","Forrest County, Mississippi!!Percent Public Coverage!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Public Coverage!!Estimate","Harrison County, Mississippi!!Public Coverage!!Margin of Error","Harrison County, Mississippi!!Percent Public Coverage!!Estimate","Harrison County, Mississippi!!Percent Public Coverage!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Public Coverage!!Estimate","Hinds County, Mississippi!!Public Coverage!!Margin of Error","Hinds County, Mississippi!!Percent Public Coverage!!Estimate","Hinds County, Mississippi!!Percent Public Coverage!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Public Coverage!!Estimate","Jackson County, Mississippi!!Public Coverage!!Margin of Error","Jackson County, Mississippi!!Percent Public Coverage!!Estimate","Jackson County, Mississippi!!Percent Public Coverage!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Public Coverage!!Estimate","Jones County, Mississippi!!Public Coverage!!Margin of Error","Jones County, Mississippi!!Percent Public Coverage!!Estimate","Jones County, Mississippi!!Percent Public Coverage!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Public Coverage!!Estimate","Lauderdale County, Mississippi!!Public Coverage!!Margin of Error","Lauderdale County, Mississippi!!Percent Public Coverage!!Estimate","Lauderdale County, Mississippi!!Percent Public Coverage!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Public Coverage!!Estimate","Lee County, Mississippi!!Public Coverage!!Margin of Error","Lee County, Mississippi!!Percent Public Coverage!!Estimate","Lee County, Mississippi!!Percent Public Coverage!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Public Coverage!!Estimate","Madison County, Mississippi!!Public Coverage!!Margin of Error","Madison County, Mississippi!!Percent Public Coverage!!Estimate","Madison County, Mississippi!!Percent Public Coverage!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Public Coverage!!Estimate","Rankin County, Mississippi!!Public Coverage!!Margin of Error","Rankin County, Mississippi!!Percent Public Coverage!!Estimate","Rankin County, Mississippi!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"Civilian noninstitutionalized population","183,617","±966","49,259","±3,889","26.8%","±2.1","74,267","±389","27,977","±3,843","37.7%","±5.2","199,029","±2,015","77,559","±6,021","39.0%","±2.9","229,815","±679","91,745","±4,570","39.9%","±2.0","141,798","±1,150","52,330","±4,366","36.9%","±3.1","67,260","±607","28,981","±2,461","43.1%","±3.6","69,513","±1,352","28,750","±2,146","41.4%","±3.0","84,389","±577","29,553","±2,607","35.0%","±3.1","105,347","±569","27,430","±3,240","26.0%","±3.1","150,383","±1,731","44,232","±4,504","29.4%","±3.0","323,120,678","±17,674","114,314,962","±222,364","35.4%","±0.1"
"COVERAGE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Medicare coverage alone or in combination","(X)","(X)","27,098","±1,280","14.8%","±0.7","(X)","(X)","12,348","±1,025","16.6%","±1.4","(X)","(X)","36,184","±1,577","18.2%","±0.8","(X)","(X)","38,710","±1,469","16.8%","±0.6","(X)","(X)","27,274","±1,568","19.2%","±1.1","(X)","(X)","12,932","±946","19.2%","±1.4","(X)","(X)","15,008","±1,046","21.6%","±1.4","(X)","(X)","15,961","±1,049","18.9%","±1.2","(X)","(X)","16,317","±1,281","15.5%","±1.2","(X)","(X)","26,446","±1,821","17.6%","±1.2","(X)","(X)","58,327,219","±59,455","18.1%","±0.1"
"        Under 19","49,207","±653","0","±226","0.0%","±0.4","17,881","±642","0","±226","0.0%","±1.2","52,782","±1,509","0","±226","0.0%","±0.4","58,782","±1,049","60","±92","0.1%","±0.2","35,470","±1,280","193","±222","0.5%","±0.6","18,430","±872","0","±226","0.0%","±1.1","17,771","±442","95","±166","0.5%","±0.9","22,088","±560","149","±181","0.7%","±0.8","26,805","±462","0","±226","0.0%","±0.8","36,697","±809","72","±131","0.2%","±0.4","77,350,432","±52,527","475,670","±17,504","0.6%","±0.1"
"        19 to 64 years","110,222","±1,031","3,336","±1,226","3.0%","±1.1","46,104","±775","2,242","±883","4.9%","±1.9","114,958","±2,300","5,486","±1,471","4.8%","±1.3","137,500","±1,116","6,554","±1,385","4.8%","±1.0","82,484","±1,710","3,841","±1,257","4.7%","±1.5","36,972","±1,201","1,674","±850","4.5%","±2.2","39,205","±1,342","3,004","±895","7.7%","±2.2","49,871","±710","3,492","±944","7.0%","±1.9","64,314","±671","2,490","±1,211","3.9%","±1.9","89,848","±1,990","3,680","±1,396","4.1%","±1.6","192,987,829","±49,706","7,295,947","±48,655","3.8%","±0.1"
"        65 years and over","24,188","±379","23,762","±498","98.2%","±1.5","10,282","±447","10,106","±478","98.3%","±1.5","31,289","±710","30,698","±782","98.1%","±1.1","33,533","±262","32,096","±722","95.7%","±1.8","23,844","±814","23,240","±908","97.5%","±2.0","11,858","±611","11,258","±826","94.9%","±4.5","12,537","±156","11,909","±491","95.0%","±3.8","12,430","±356","12,320","±373","99.1%","±0.9","14,228","±252","13,827","±345","97.2%","±1.7","23,838","±466","22,694","±915","95.2%","±3.3","52,782,417","±26,301","50,555,602","±40,581","95.8%","±0.1"
"    Medicaid/means-tested public coverage alone or in combination","(X)","(X)","25,443","±3,716","13.9%","±2.0","(X)","(X)","18,059","±3,826","24.3%","±5.2","(X)","(X)","43,448","±5,932","21.8%","±2.9","(X)","(X)","62,515","±4,807","27.2%","±2.1","(X)","(X)","27,329","±3,988","19.3%","±2.8","(X)","(X)","18,363","±2,525","27.3%","±3.7","(X)","(X)","16,090","±2,085","23.1%","±3.0","(X)","(X)","16,069","±2,628","19.0%","±3.1","(X)","(X)","14,577","±3,343","13.8%","±3.2","(X)","(X)","21,396","±4,450","14.2%","±2.9","(X)","(X)","64,077,172","±247,116","19.8%","±0.1"
"        Under 19","49,207","±653","14,061","±2,538","28.6%","±5.2","17,881","±642","9,219","±2,680","51.6%","±15.0","52,782","±1,509","25,650","±4,269","48.6%","±7.7","58,782","±1,049","37,275","±2,664","63.4%","±4.6","35,470","±1,280","15,330","±2,872","43.2%","±7.9","18,430","±872","9,660","±1,402","52.4%","±7.7","17,771","±442","9,954","±1,405","56.0%","±7.5","22,088","±560","9,611","±1,498","43.5%","±6.7","26,805","±462","7,610","±2,006","28.4%","±7.4","36,697","±809","10,124","±2,515","27.6%","±6.8","77,350,432","±52,527","29,101,514","±162,736","37.6%","±0.2"
"        19 to 64 years","110,222","±1,031","7,797","±1,694","7.1%","±1.5","46,104","±775","6,705","±1,647","14.5%","±3.6","114,958","±2,300","14,408","±3,046","12.5%","±2.6","137,500","±1,116","18,711","±2,966","13.6%","±2.1","82,484","±1,710","9,529","±2,086","11.6%","±2.5","36,972","±1,201","6,884","±1,713","18.6%","±4.5","39,205","±1,342","4,574","±1,200","11.7%","±3.0","49,871","±710","5,006","±1,409","10.0%","±2.8","64,314","±671","4,920","±1,746","7.6%","±2.7","89,848","±1,990","8,521","±2,773","9.5%","±3.1","192,987,829","±49,706","27,752,633","±101,714","14.4%","±0.1"
"        65 years and over","24,188","±379","3,585","±782","14.8%","±3.2","10,282","±447","2,135","±751","20.8%","±7.3","31,289","±710","3,390","±805","10.8%","±2.5","33,533","±262","6,529","±1,190","19.5%","±3.5","23,844","±814","2,470","±885","10.4%","±3.6","11,858","±611","1,819","±723","15.3%","±6.0","12,537","±156","1,562","±757","12.5%","±6.0","12,430","±356","1,452","±487","11.7%","±3.8","14,228","±252","2,047","±793","14.4%","±5.5","23,838","±466","2,751","±1,009","11.5%","±4.2","52,782,417","±26,301","7,223,025","±47,156","13.7%","±0.1"
