"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Public Coverage!!Estimate","Canadian County, Oklahoma!!Public Coverage!!Margin of Error","Canadian County, Oklahoma!!Percent Public Coverage!!Estimate","Canadian County, Oklahoma!!Percent Public Coverage!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Public Coverage!!Estimate","Cleveland County, Oklahoma!!Public Coverage!!Margin of Error","Cleveland County, Oklahoma!!Percent Public Coverage!!Estimate","Cleveland County, Oklahoma!!Percent Public Coverage!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Public Coverage!!Estimate","Comanche County, Oklahoma!!Public Coverage!!Margin of Error","Comanche County, Oklahoma!!Percent Public Coverage!!Estimate","Comanche County, Oklahoma!!Percent Public Coverage!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Public Coverage!!Estimate","Creek County, Oklahoma!!Public Coverage!!Margin of Error","Creek County, Oklahoma!!Percent Public Coverage!!Estimate","Creek County, Oklahoma!!Percent Public Coverage!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Public Coverage!!Estimate","Muskogee County, Oklahoma!!Public Coverage!!Margin of Error","Muskogee County, Oklahoma!!Percent Public Coverage!!Estimate","Muskogee County, Oklahoma!!Percent Public Coverage!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Public Coverage!!Estimate","Oklahoma County, Oklahoma!!Public Coverage!!Margin of Error","Oklahoma County, Oklahoma!!Percent Public Coverage!!Estimate","Oklahoma County, Oklahoma!!Percent Public Coverage!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Public Coverage!!Estimate","Payne County, Oklahoma!!Public Coverage!!Margin of Error","Payne County, Oklahoma!!Percent Public Coverage!!Estimate","Payne County, Oklahoma!!Percent Public Coverage!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Public Coverage!!Estimate","Pottawatomie County, Oklahoma!!Public Coverage!!Margin of Error","Pottawatomie County, Oklahoma!!Percent Public Coverage!!Estimate","Pottawatomie County, Oklahoma!!Percent Public Coverage!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Public Coverage!!Estimate","Rogers County, Oklahoma!!Public Coverage!!Margin of Error","Rogers County, Oklahoma!!Percent Public Coverage!!Estimate","Rogers County, Oklahoma!!Percent Public Coverage!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Public Coverage!!Estimate","Tulsa County, Oklahoma!!Public Coverage!!Margin of Error","Tulsa County, Oklahoma!!Percent Public Coverage!!Estimate","Tulsa County, Oklahoma!!Percent Public Coverage!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Public Coverage!!Estimate","Wagoner County, Oklahoma!!Public Coverage!!Margin of Error","Wagoner County, Oklahoma!!Percent Public Coverage!!Estimate","Wagoner County, Oklahoma!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"Civilian noninstitutionalized population","146,012","±973","42,199","±3,306","28.9%","±2.3","278,119","±1,335","73,730","±4,437","26.5%","±1.6","106,861","±2,059","41,739","±3,354","39.1%","±3.0","70,760","±382","26,348","±1,543","37.2%","±2.2","65,051","±686","32,419","±1,575","49.8%","±2.5","785,041","±1,740","260,420","±7,308","33.2%","±0.9","80,165","±637","20,557","±1,989","25.6%","±2.5","70,658","±891","24,523","±1,567","34.7%","±2.2","91,324","±756","26,425","±1,677","28.9%","±1.8","646,052","±1,292","203,124","±4,542","31.4%","±0.7","80,967","±224","24,681","±1,593","30.5%","±2.0","323,120,678","±17,674","114,314,962","±222,364","35.4%","±0.1"
"COVERAGE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Medicare coverage alone or in combination","(X)","(X)","28,634","±3,049","19.6%","±2.1","(X)","(X)","43,379","±1,607","15.6%","±0.6","(X)","(X)","25,014","±2,949","23.4%","±2.7","(X)","(X)","17,788","±1,216","25.1%","±1.7","(X)","(X)","14,144","±789","21.7%","±1.2","(X)","(X)","123,134","±2,423","15.7%","±0.3","(X)","(X)","12,592","±966","15.7%","±1.2","(X)","(X)","13,696","±736","19.4%","±1.1","(X)","(X)","15,179","±671","16.6%","±0.7","(X)","(X)","102,813","±1,612","15.9%","±0.3","(X)","(X)","14,592","±538","18.0%","±0.7","(X)","(X)","58,327,219","±59,455","18.1%","±0.1"
"        Under 19","40,547","±754","7,117","±2,627","17.6%","±6.5","65,488","±1,234","147","±137","0.2%","±0.2","29,040","±965","5,674","±2,164","19.5%","±7.5","17,489","±260","2,370","±744","13.6%","±4.2","17,869","±386","235","±218","1.3%","±1.2","211,867","±1,194","1,044","±711","0.5%","±0.3","18,162","±708","185","±190","1.0%","±1.0","18,402","±678","188","±158","1.0%","±0.8","21,978","±216","0","±165","0.0%","±0.5","171,302","±743","685","±418","0.4%","±0.2","20,733","±288","36","±64","0.2%","±0.3","77,350,432","±52,527","475,670","±17,504","0.6%","±0.1"
"        19 to 64 years","86,038","±1,264","3,095","±1,059","3.6%","±1.2","173,766","±2,011","5,833","±1,308","3.4%","±0.8","64,054","±2,000","5,751","±1,711","9.0%","±2.7","40,558","±464","3,154","±612","7.8%","±1.5","36,272","±733","3,368","±727","9.3%","±2.0","463,592","±1,803","18,568","±2,007","4.0%","±0.4","50,883","±1,227","1,681","±609","3.3%","±1.2","40,676","±1,100","2,360","±656","5.8%","±1.6","54,699","±631","1,244","±348","2.3%","±0.6","380,769","±1,394","13,496","±1,281","3.5%","±0.3","46,752","±392","1,619","±423","3.5%","±0.9","192,987,829","±49,706","7,295,947","±48,655","3.8%","±0.1"
"        65 years and over","19,427","±519","18,422","±864","94.8%","±3.7","38,865","±759","37,399","±818","96.2%","±1.8","13,767","±759","13,589","±783","98.7%","±1.9","12,713","±364","12,264","±403","96.5%","±1.7","10,910","±232","10,541","±318","96.6%","±2.4","109,582","±581","103,522","±1,329","94.5%","±1.3","11,120","±748","10,726","±740","96.5%","±2.8","11,580","±272","11,148","±335","96.3%","±2.0","14,647","±556","13,935","±593","95.1%","±2.0","93,981","±400","88,632","±838","94.3%","±0.7","13,482","±255","12,937","±392","96.0%","±1.9","52,782,417","±26,301","50,555,602","±40,581","95.8%","±0.1"
"    Medicaid/means-tested public coverage alone or in combination","(X)","(X)","14,194","±2,645","9.7%","±1.8","(X)","(X)","31,703","±3,954","11.4%","±1.4","(X)","(X)","15,870","±2,947","14.9%","±2.7","(X)","(X)","12,660","±1,359","17.9%","±1.9","(X)","(X)","20,193","±1,597","31.0%","±2.5","(X)","(X)","143,768","±7,089","18.3%","±0.9","(X)","(X)","9,231","±1,754","11.5%","±2.2","(X)","(X)","12,431","±1,596","17.6%","±2.3","(X)","(X)","11,209","±1,566","12.3%","±1.7","(X)","(X)","107,106","±4,787","16.6%","±0.7","(X)","(X)","9,860","±1,534","12.2%","±1.9","(X)","(X)","64,077,172","±247,116","19.8%","±0.1"
"        Under 19","40,547","±754","8,244","±2,155","20.3%","±5.3","65,488","±1,234","18,341","±3,037","28.0%","±4.7","29,040","±965","8,092","±1,957","27.9%","±6.4","17,489","±260","7,545","±968","43.1%","±5.5","17,869","±386","12,593","±898","70.5%","±5.0","211,867","±1,194","95,855","±6,132","45.2%","±2.9","18,162","±708","5,402","±1,243","29.7%","±6.9","18,402","±678","6,682","±1,167","36.3%","±6.1","21,978","±216","6,643","±1,074","30.2%","±4.9","171,302","±743","71,265","±3,540","41.6%","±2.1","20,733","±288","7,025","±1,179","33.9%","±5.6","77,350,432","±52,527","29,101,514","±162,736","37.6%","±0.2"
"        19 to 64 years","86,038","±1,264","4,136","±1,372","4.8%","±1.6","173,766","±2,011","9,060","±1,958","5.2%","±1.1","64,054","±2,000","6,793","±1,450","10.6%","±2.3","40,558","±464","4,129","±727","10.2%","±1.8","36,272","±733","6,523","±1,204","18.0%","±3.3","463,592","±1,803","38,793","±3,140","8.4%","±0.7","50,883","±1,227","2,868","±949","5.6%","±1.8","40,676","±1,100","4,340","±869","10.7%","±2.2","54,699","±631","3,238","±653","5.9%","±1.2","380,769","±1,394","27,279","±1,963","7.2%","±0.5","46,752","±392","2,166","±671","4.6%","±1.4","192,987,829","±49,706","27,752,633","±101,714","14.4%","±0.1"
"        65 years and over","19,427","±519","1,814","±704","9.3%","±3.6","38,865","±759","4,302","±964","11.1%","±2.4","13,767","±759","985","±378","7.2%","±2.6","12,713","±364","986","±295","7.8%","±2.3","10,910","±232","1,077","±362","9.9%","±3.3","109,582","±581","9,120","±1,359","8.3%","±1.2","11,120","±748","961","±442","8.6%","±4.0","11,580","±272","1,409","±425","12.2%","±3.6","14,647","±556","1,328","±401","9.1%","±2.8","93,981","±400","8,562","±1,086","9.1%","±1.2","13,482","±255","669","±323","5.0%","±2.4","52,782,417","±26,301","7,223,025","±47,156","13.7%","±0.1"
