"Label","Anderson County, Tennessee!!Total!!Estimate","Anderson County, Tennessee!!Total!!Margin of Error","Anderson County, Tennessee!!Public Coverage!!Estimate","Anderson County, Tennessee!!Public Coverage!!Margin of Error","Anderson County, Tennessee!!Percent Public Coverage!!Estimate","Anderson County, Tennessee!!Percent Public Coverage!!Margin of Error","Blount County, Tennessee!!Total!!Estimate","Blount County, Tennessee!!Total!!Margin of Error","Blount County, Tennessee!!Public Coverage!!Estimate","Blount County, Tennessee!!Public Coverage!!Margin of Error","Blount County, Tennessee!!Percent Public Coverage!!Estimate","Blount County, Tennessee!!Percent Public Coverage!!Margin of Error","Bradley County, Tennessee!!Total!!Estimate","Bradley County, Tennessee!!Total!!Margin of Error","Bradley County, Tennessee!!Public Coverage!!Estimate","Bradley County, Tennessee!!Public Coverage!!Margin of Error","Bradley County, Tennessee!!Percent Public Coverage!!Estimate","Bradley County, Tennessee!!Percent Public Coverage!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Public Coverage!!Estimate","Davidson County, Tennessee!!Public Coverage!!Margin of Error","Davidson County, Tennessee!!Percent Public Coverage!!Estimate","Davidson County, Tennessee!!Percent Public Coverage!!Margin of Error","Greene County, Tennessee!!Total!!Estimate","Greene County, Tennessee!!Total!!Margin of Error","Greene County, Tennessee!!Public Coverage!!Estimate","Greene County, Tennessee!!Public Coverage!!Margin of Error","Greene County, Tennessee!!Percent Public Coverage!!Estimate","Greene County, Tennessee!!Percent Public Coverage!!Margin of Error","Hamilton County, Tennessee!!Total!!Estimate","Hamilton County, Tennessee!!Total!!Margin of Error","Hamilton County, Tennessee!!Public Coverage!!Estimate","Hamilton County, Tennessee!!Public Coverage!!Margin of Error","Hamilton County, Tennessee!!Percent Public Coverage!!Estimate","Hamilton County, Tennessee!!Percent Public Coverage!!Margin of Error","Knox County, Tennessee!!Total!!Estimate","Knox County, Tennessee!!Total!!Margin of Error","Knox County, Tennessee!!Public Coverage!!Estimate","Knox County, Tennessee!!Public Coverage!!Margin of Error","Knox County, Tennessee!!Percent Public Coverage!!Estimate","Knox County, Tennessee!!Percent Public Coverage!!Margin of Error","Madison County, Tennessee!!Total!!Estimate","Madison County, Tennessee!!Total!!Margin of Error","Madison County, Tennessee!!Public Coverage!!Estimate","Madison County, Tennessee!!Public Coverage!!Margin of Error","Madison County, Tennessee!!Percent Public Coverage!!Estimate","Madison County, Tennessee!!Percent Public Coverage!!Margin of Error","Maury County, Tennessee!!Total!!Estimate","Maury County, Tennessee!!Total!!Margin of Error","Maury County, Tennessee!!Public Coverage!!Estimate","Maury County, Tennessee!!Public Coverage!!Margin of Error","Maury County, Tennessee!!Percent Public Coverage!!Estimate","Maury County, Tennessee!!Percent Public Coverage!!Margin of Error","Montgomery County, Tennessee!!Total!!Estimate","Montgomery County, Tennessee!!Total!!Margin of Error","Montgomery County, Tennessee!!Public Coverage!!Estimate","Montgomery County, Tennessee!!Public Coverage!!Margin of Error","Montgomery County, Tennessee!!Percent Public Coverage!!Estimate","Montgomery County, Tennessee!!Percent Public Coverage!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Public Coverage!!Estimate","Putnam County, Tennessee!!Public Coverage!!Margin of Error","Putnam County, Tennessee!!Percent Public Coverage!!Estimate","Putnam County, Tennessee!!Percent Public Coverage!!Margin of Error","Robertson County, Tennessee!!Total!!Estimate","Robertson County, Tennessee!!Total!!Margin of Error","Robertson County, Tennessee!!Public Coverage!!Estimate","Robertson County, Tennessee!!Public Coverage!!Margin of Error","Robertson County, Tennessee!!Percent Public Coverage!!Estimate","Robertson County, Tennessee!!Percent Public Coverage!!Margin of Error","Rutherford County, Tennessee!!Total!!Estimate","Rutherford County, Tennessee!!Total!!Margin of Error","Rutherford County, Tennessee!!Public Coverage!!Estimate","Rutherford County, Tennessee!!Public Coverage!!Margin of Error","Rutherford County, Tennessee!!Percent Public Coverage!!Estimate","Rutherford County, Tennessee!!Percent Public Coverage!!Margin of Error","Sevier County, Tennessee!!Total!!Estimate","Sevier County, Tennessee!!Total!!Margin of Error","Sevier County, Tennessee!!Public Coverage!!Estimate","Sevier County, Tennessee!!Public Coverage!!Margin of Error","Sevier County, Tennessee!!Percent Public Coverage!!Estimate","Sevier County, Tennessee!!Percent Public Coverage!!Margin of Error","Shelby County, Tennessee!!Total!!Estimate","Shelby County, Tennessee!!Total!!Margin of Error","Shelby County, Tennessee!!Public Coverage!!Estimate","Shelby County, Tennessee!!Public Coverage!!Margin of Error","Shelby County, Tennessee!!Percent Public Coverage!!Estimate","Shelby County, Tennessee!!Percent Public Coverage!!Margin of Error","Sullivan County, Tennessee!!Total!!Estimate","Sullivan County, Tennessee!!Total!!Margin of Error","Sullivan County, Tennessee!!Public Coverage!!Estimate","Sullivan County, Tennessee!!Public Coverage!!Margin of Error","Sullivan County, Tennessee!!Percent Public Coverage!!Estimate","Sullivan County, Tennessee!!Percent Public Coverage!!Margin of Error","Sumner County, Tennessee!!Total!!Estimate","Sumner County, Tennessee!!Total!!Margin of Error","Sumner County, Tennessee!!Public Coverage!!Estimate","Sumner County, Tennessee!!Public Coverage!!Margin of Error","Sumner County, Tennessee!!Percent Public Coverage!!Estimate","Sumner County, Tennessee!!Percent Public Coverage!!Margin of Error","Washington County, Tennessee!!Total!!Estimate","Washington County, Tennessee!!Total!!Margin of Error","Washington County, Tennessee!!Public Coverage!!Estimate","Washington County, Tennessee!!Public Coverage!!Margin of Error","Washington County, Tennessee!!Percent Public Coverage!!Estimate","Washington County, Tennessee!!Percent Public Coverage!!Margin of Error","Williamson County, Tennessee!!Total!!Estimate","Williamson County, Tennessee!!Total!!Margin of Error","Williamson County, Tennessee!!Public Coverage!!Estimate","Williamson County, Tennessee!!Public Coverage!!Margin of Error","Williamson County, Tennessee!!Percent Public Coverage!!Estimate","Williamson County, Tennessee!!Percent Public Coverage!!Margin of Error","Wilson County, Tennessee!!Total!!Estimate","Wilson County, Tennessee!!Total!!Margin of Error","Wilson County, Tennessee!!Public Coverage!!Estimate","Wilson County, Tennessee!!Public Coverage!!Margin of Error","Wilson County, Tennessee!!Percent Public Coverage!!Estimate","Wilson County, Tennessee!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"Civilian noninstitutionalized population","75,963","±809","31,202","±2,759","41.1%","±3.6","131,562","±1,202","47,499","±3,326","36.1%","±2.5","106,888","±1,046","40,183","±3,493","37.6%","±3.2","687,264","±1,532","195,985","±9,374","28.5%","±1.4","67,691","±586","28,298","±2,844","41.8%","±4.2","363,655","±1,086","119,545","±5,221","32.9%","±1.5","465,544","±1,125","146,653","±5,967","31.5%","±1.3","96,604","±702","38,874","±3,207","40.2%","±3.3","95,364","±698","29,343","±3,050","30.8%","±3.2","194,529","±2,380","67,860","±5,044","34.9%","±2.5","79,323","±573","27,566","±2,944","34.8%","±3.7","70,798","±1,098","24,379","±2,386","34.4%","±3.4","329,985","±1,067","88,077","±7,884","26.7%","±2.4","97,194","±619","42,479","±3,784","43.7%","±3.8","925,475","±1,733","326,983","±13,437","35.3%","±1.4","156,524","±1,121","67,979","±3,788","43.4%","±2.5","189,540","±901","58,530","±4,088","30.9%","±2.1","127,330","±716","46,648","±3,857","36.6%","±3.0","237,993","±325","45,796","±2,938","19.2%","±1.2","143,440","±1,135","47,198","±4,141","32.9%","±2.9","323,120,678","±17,674","114,314,962","±222,364","35.4%","±0.1"
"COVERAGE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Medicare coverage alone or in combination","(X)","(X)","17,772","±991","23.4%","±1.3","(X)","(X)","30,455","±1,663","23.1%","±1.3","(X)","(X)","20,684","±1,152","19.4%","±1.0","(X)","(X)","92,212","±2,525","13.4%","±0.4","(X)","(X)","17,353","±1,121","25.6%","±1.6","(X)","(X)","71,315","±2,062","19.6%","±0.6","(X)","(X)","82,328","±1,769","17.7%","±0.4","(X)","(X)","17,807","±696","18.4%","±0.7","(X)","(X)","16,703","±750","17.5%","±0.8","(X)","(X)","24,956","±1,688","12.8%","±0.9","(X)","(X)","14,550","±968","18.3%","±1.2","(X)","(X)","12,453","±955","17.6%","±1.4","(X)","(X)","40,151","±1,853","12.2%","±0.6","(X)","(X)","23,004","±1,459","23.7%","±1.5","(X)","(X)","148,372","±3,881","16.0%","±0.4","(X)","(X)","40,521","±1,411","25.9%","±0.9","(X)","(X)","33,405","±1,419","17.6%","±0.7","(X)","(X)","25,530","±1,112","20.1%","±0.9","(X)","(X)","32,386","±1,074","13.6%","±0.4","(X)","(X)","24,470","±1,404","17.1%","±0.9","(X)","(X)","58,327,219","±59,455","18.1%","±0.1"
"        Under 19","16,157","±729","0","±216","0.0%","±1.2","28,654","±715","46","±81","0.2%","±0.3","25,225","±616","0","±216","0.0%","±0.8","151,986","±1,404","120","±160","0.1%","±0.1","13,560","±354","110","±130","0.8%","±1.0","81,205","±954","395","±414","0.5%","±0.5","103,817","±1,335","238","±191","0.2%","±0.2","23,239","±599","192","±263","0.8%","±1.1","23,177","±519","0","±216","0.0%","±0.8","59,998","±1,188","241","±318","0.4%","±0.5","17,394","±584","53","±100","0.3%","±0.6","18,264","±675","0","±216","0.0%","±1.0","86,451","±1,531","192","±242","0.2%","±0.3","20,536","±984","208","±297","1.0%","±1.4","243,826","±2,080","2,658","±1,449","1.1%","±0.6","31,145","±489","0","±216","0.0%","±0.6","47,505","±946","0","±216","0.0%","±0.4","26,787","±1,257","0","±216","0.0%","±0.7","68,556","±863","377","±427","0.5%","±0.6","35,352","±410","381","±299","1.1%","±0.8","77,350,432","±52,527","475,670","±17,504","0.6%","±0.1"
"        19 to 64 years","44,032","±1,102","2,699","±816","6.1%","±1.8","75,279","±1,328","3,776","±1,346","5.0%","±1.8","63,510","±1,117","2,829","±1,031","4.5%","±1.6","449,754","±1,827","11,225","±1,956","2.5%","±0.4","39,564","±635","2,993","±913","7.6%","±2.3","218,960","±1,523","9,668","±1,734","4.4%","±0.8","287,390","±1,621","10,410","±1,672","3.6%","±0.6","56,711","±909","1,616","±532","2.8%","±0.9","56,811","±1,206","1,515","±538","2.7%","±0.9","114,804","±2,633","5,262","±1,495","4.6%","±1.3","48,849","±923","1,605","±592","3.3%","±1.2","41,521","±1,309","1,795","±847","4.3%","±2.1","208,124","±2,198","6,117","±1,268","2.9%","±0.6","56,935","±1,178","3,451","±1,239","6.1%","±2.2","552,932","±2,659","23,711","±2,682","4.3%","±0.5","90,827","±1,362","6,182","±1,200","6.8%","±1.3","111,869","±1,592","3,815","±1,082","3.4%","±1.0","77,853","±1,446","3,198","±1,168","4.1%","±1.5","137,535","±1,096","1,335","±686","1.0%","±0.5","85,433","±1,187","2,341","±896","2.7%","±1.0","192,987,829","±49,706","7,295,947","±48,655","3.8%","±0.1"
"        65 years and over","15,774","±536","15,073","±649","95.6%","±2.9","27,629","±569","26,633","±802","96.4%","±2.1","18,153","±578","17,855","±586","98.4%","±1.3","85,524","±802","80,867","±1,570","94.6%","±1.5","14,567","±471","14,250","±516","97.8%","±1.5","63,490","±788","61,252","±1,258","96.5%","±1.5","74,337","±897","71,680","±1,012","96.4%","±1.0","16,654","±431","15,999","±505","96.1%","±2.3","15,376","±636","15,188","±601","98.8%","±1.5","19,727","±700","19,453","±769","98.6%","±1.1","13,080","±633","12,892","±605","98.6%","±1.5","11,013","±443","10,658","±437","96.8%","±2.0","35,410","±1,228","33,842","±1,313","95.6%","±1.8","19,723","±469","19,345","±485","98.1%","±1.5","128,717","±840","122,003","±1,561","94.8%","±1.1","34,552","±652","34,339","±632","99.4%","±0.5","30,166","±736","29,590","±801","98.1%","±0.9","22,690","±463","22,332","±496","98.4%","±1.1","31,902","±759","30,674","±888","96.2%","±1.5","22,655","±879","21,748","±961","96.0%","±2.2","52,782,417","±26,301","50,555,602","±40,581","95.8%","±0.1"
"    Medicaid/means-tested public coverage alone or in combination","(X)","(X)","15,227","±2,750","20.0%","±3.6","(X)","(X)","21,652","±3,562","16.5%","±2.7","(X)","(X)","23,616","±3,428","22.1%","±3.2","(X)","(X)","115,113","±8,648","16.7%","±1.3","(X)","(X)","13,252","±2,656","19.6%","±3.9","(X)","(X)","56,922","±5,567","15.7%","±1.5","(X)","(X)","71,606","±5,390","15.4%","±1.2","(X)","(X)","23,116","±3,030","23.9%","±3.1","(X)","(X)","14,518","±2,993","15.2%","±3.1","(X)","(X)","38,460","±5,226","19.8%","±2.7","(X)","(X)","15,249","±2,846","19.2%","±3.6","(X)","(X)","12,962","±2,377","18.3%","±3.3","(X)","(X)","51,229","±8,036","15.5%","±2.4","(X)","(X)","22,205","±3,734","22.8%","±3.8","(X)","(X)","204,888","±12,811","22.1%","±1.4","(X)","(X)","33,286","±4,155","21.3%","±2.7","(X)","(X)","28,131","±4,158","14.8%","±2.2","(X)","(X)","22,125","±3,946","17.4%","±3.1","(X)","(X)","15,451","±2,985","6.5%","±1.3","(X)","(X)","23,378","±3,713","16.3%","±2.6","(X)","(X)","64,077,172","±247,116","19.8%","±0.1"
"        Under 19","16,157","±729","6,402","±1,324","39.6%","±8.3","28,654","±715","9,449","±1,906","33.0%","±6.3","25,225","±616","11,617","±2,237","46.1%","±8.9","151,986","±1,404","62,770","±5,824","41.3%","±3.8","13,560","±354","6,050","±1,502","44.6%","±11.1","81,205","±954","27,307","±3,561","33.6%","±4.5","103,817","±1,335","33,508","±3,067","32.3%","±3.0","23,239","±599","12,153","±1,865","52.3%","±7.8","23,177","±519","6,817","±1,847","29.4%","±7.9","59,998","±1,188","20,859","±3,364","34.8%","±5.4","17,394","±584","7,502","±1,716","43.1%","±9.9","18,264","±675","7,303","±1,426","40.0%","±7.8","86,451","±1,531","26,731","±5,043","30.9%","±5.9","20,536","±984","11,111","±2,004","54.1%","±9.2","243,826","±2,080","103,955","±8,689","42.6%","±3.5","31,145","±489","13,937","±2,307","44.7%","±7.3","47,505","±946","14,847","±2,645","31.3%","±5.6","26,787","±1,257","11,193","±2,245","41.8%","±8.6","68,556","±863","8,485","±2,263","12.4%","±3.3","35,352","±410","13,038","±2,593","36.9%","±7.3","77,350,432","±52,527","29,101,514","±162,736","37.6%","±0.2"
"        19 to 64 years","44,032","±1,102","7,718","±1,880","17.5%","±4.1","75,279","±1,328","8,841","±1,948","11.7%","±2.6","63,510","±1,117","8,997","±1,971","14.2%","±3.1","449,754","±1,827","40,792","±4,478","9.1%","±1.0","39,564","±635","5,648","±1,462","14.3%","±3.7","218,960","±1,523","21,754","±2,723","9.9%","±1.2","287,390","±1,621","30,456","±3,094","10.6%","±1.1","56,711","±909","9,433","±1,881","16.6%","±3.3","56,811","±1,206","6,212","±1,543","10.9%","±2.7","114,804","±2,633","14,789","±2,504","12.9%","±2.1","48,849","±923","5,611","±1,497","11.5%","±3.1","41,521","±1,309","4,516","±1,281","10.9%","±3.0","208,124","±2,198","19,436","±3,482","9.3%","±1.7","56,935","±1,178","8,795","±2,161","15.4%","±3.8","552,932","±2,659","79,164","±6,156","14.3%","±1.1","90,827","±1,362","14,930","±2,315","16.4%","±2.6","111,869","±1,592","11,008","±2,156","9.8%","±1.9","77,853","±1,446","8,804","±2,083","11.3%","±2.6","137,535","±1,096","4,783","±1,344","3.5%","±1.0","85,433","±1,187","8,688","±1,851","10.2%","±2.2","192,987,829","±49,706","27,752,633","±101,714","14.4%","±0.1"
"        65 years and over","15,774","±536","1,107","±479","7.0%","±3.0","27,629","±569","3,362","±946","12.2%","±3.4","18,153","±578","3,002","±881","16.5%","±4.8","85,524","±802","11,551","±2,001","13.5%","±2.4","14,567","±471","1,554","±609","10.7%","±4.2","63,490","±788","7,861","±1,464","12.4%","±2.3","74,337","±897","7,642","±1,382","10.3%","±1.9","16,654","±431","1,530","±618","9.2%","±3.7","15,376","±636","1,489","±612","9.7%","±3.9","19,727","±700","2,812","±1,203","14.3%","±5.9","13,080","±633","2,136","±803","16.3%","±6.2","11,013","±443","1,143","±471","10.4%","±4.4","35,410","±1,228","5,062","±1,491","14.3%","±4.2","19,723","±469","2,299","±907","11.7%","±4.6","128,717","±840","21,769","±2,658","16.9%","±2.1","34,552","±652","4,419","±1,071","12.8%","±3.1","30,166","±736","2,276","±717","7.5%","±2.4","22,690","±463","2,128","±783","9.4%","±3.5","31,902","±759","2,183","±802","6.8%","±2.5","22,655","±879","1,652","±606","7.3%","±2.7","52,782,417","±26,301","7,223,025","±47,156","13.7%","±0.1"
