"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Insured!!Estimate","Baldwin County, Alabama!!Percent Insured!!Estimate","Baldwin County, Alabama!!Uninsured!!Estimate","Baldwin County, Alabama!!Percent Uninsured!!Estimate","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Insured!!Estimate","Calhoun County, Alabama!!Percent Insured!!Estimate","Calhoun County, Alabama!!Uninsured!!Estimate","Calhoun County, Alabama!!Percent Uninsured!!Estimate","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Insured!!Estimate","Cullman County, Alabama!!Percent Insured!!Estimate","Cullman County, Alabama!!Uninsured!!Estimate","Cullman County, Alabama!!Percent Uninsured!!Estimate","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Insured!!Estimate","DeKalb County, Alabama!!Percent Insured!!Estimate","DeKalb County, Alabama!!Uninsured!!Estimate","DeKalb County, Alabama!!Percent Uninsured!!Estimate","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Insured!!Estimate","Elmore County, Alabama!!Percent Insured!!Estimate","Elmore County, Alabama!!Uninsured!!Estimate","Elmore County, Alabama!!Percent Uninsured!!Estimate","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Insured!!Estimate","Etowah County, Alabama!!Percent Insured!!Estimate","Etowah County, Alabama!!Uninsured!!Estimate","Etowah County, Alabama!!Percent Uninsured!!Estimate","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Insured!!Estimate","Houston County, Alabama!!Percent Insured!!Estimate","Houston County, Alabama!!Uninsured!!Estimate","Houston County, Alabama!!Percent Uninsured!!Estimate","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Insured!!Estimate","Jefferson County, Alabama!!Percent Insured!!Estimate","Jefferson County, Alabama!!Uninsured!!Estimate","Jefferson County, Alabama!!Percent Uninsured!!Estimate","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Insured!!Estimate","Lauderdale County, Alabama!!Percent Insured!!Estimate","Lauderdale County, Alabama!!Uninsured!!Estimate","Lauderdale County, Alabama!!Percent Uninsured!!Estimate","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Insured!!Estimate","Lee County, Alabama!!Percent Insured!!Estimate","Lee County, Alabama!!Uninsured!!Estimate","Lee County, Alabama!!Percent Uninsured!!Estimate","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Insured!!Estimate","Limestone County, Alabama!!Percent Insured!!Estimate","Limestone County, Alabama!!Uninsured!!Estimate","Limestone County, Alabama!!Percent Uninsured!!Estimate","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Insured!!Estimate","Madison County, Alabama!!Percent Insured!!Estimate","Madison County, Alabama!!Uninsured!!Estimate","Madison County, Alabama!!Percent Uninsured!!Estimate","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Insured!!Estimate","Marshall County, Alabama!!Percent Insured!!Estimate","Marshall County, Alabama!!Uninsured!!Estimate","Marshall County, Alabama!!Percent Uninsured!!Estimate","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Insured!!Estimate","Mobile County, Alabama!!Percent Insured!!Estimate","Mobile County, Alabama!!Uninsured!!Estimate","Mobile County, Alabama!!Percent Uninsured!!Estimate","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Insured!!Estimate","Montgomery County, Alabama!!Percent Insured!!Estimate","Montgomery County, Alabama!!Uninsured!!Estimate","Montgomery County, Alabama!!Percent Uninsured!!Estimate","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Insured!!Estimate","Morgan County, Alabama!!Percent Insured!!Estimate","Morgan County, Alabama!!Uninsured!!Estimate","Morgan County, Alabama!!Percent Uninsured!!Estimate","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Insured!!Estimate","St. Clair County, Alabama!!Percent Insured!!Estimate","St. Clair County, Alabama!!Uninsured!!Estimate","St. Clair County, Alabama!!Percent Uninsured!!Estimate","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Insured!!Estimate","Shelby County, Alabama!!Percent Insured!!Estimate","Shelby County, Alabama!!Uninsured!!Estimate","Shelby County, Alabama!!Percent Uninsured!!Estimate","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Insured!!Estimate","Talladega County, Alabama!!Percent Insured!!Estimate","Talladega County, Alabama!!Uninsured!!Estimate","Talladega County, Alabama!!Percent Uninsured!!Estimate","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Insured!!Estimate","Tuscaloosa County, Alabama!!Percent Insured!!Estimate","Tuscaloosa County, Alabama!!Uninsured!!Estimate","Tuscaloosa County, Alabama!!Percent Uninsured!!Estimate","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Insured!!Estimate","Walker County, Alabama!!Percent Insured!!Estimate","Walker County, Alabama!!Uninsured!!Estimate","Walker County, Alabama!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"Civilian noninstitutionalized population","220,911","202,983","91.9%","17,928","8.1%","111,075","98,796","88.9%","12,279","11.1%","82,841","74,097","89.4%","8,744","10.6%","70,392","60,469","85.9%","9,923","14.1%","75,409","70,910","94.0%","4,499","6.0%","101,470","88,085","86.8%","13,385","13.2%","104,604","91,160","87.1%","13,444","12.9%","652,965","591,315","90.6%","61,650","9.4%","91,845","81,100","88.3%","10,745","11.7%","163,952","152,329","92.9%","11,623","7.1%","95,533","84,370","88.3%","11,163","11.7%","366,888","338,983","92.4%","27,905","7.6%","95,953","84,757","88.3%","11,196","11.7%","409,112","362,777","88.7%","46,335","11.3%","220,235","199,341","90.5%","20,894","9.5%","117,792","105,772","89.8%","12,020","10.2%","87,361","82,100","94.0%","5,261","6.0%","215,918","201,527","93.3%","14,391","6.7%","76,722","68,940","89.9%","7,782","10.1%","207,872","193,016","92.9%","14,856","7.1%","62,896","51,405","81.7%","11,491","18.3%","323,120,678","293,482,006","90.8%","29,638,672","9.2%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 6 years","13,169","12,868","97.7%","301","2.3%","8,110","7,769","95.8%","341","4.2%","6,165","6,165","100.0%","0","0.0%","5,335","5,041","94.5%","294","5.5%","6,129","5,836","95.2%","293","4.8%","6,850","6,052","88.4%","798","11.6%","7,846","7,716","98.3%","130","1.7%","51,016","49,285","96.6%","1,731","3.4%","4,302","3,727","86.6%","575","13.4%","11,534","11,386","98.7%","148","1.3%","6,999","6,999","100.0%","0","0.0%","25,766","25,479","98.9%","287","1.1%","8,475","8,422","99.4%","53","0.6%","32,174","31,779","98.8%","395","1.2%","17,844","16,983","95.2%","861","4.8%","8,513","7,977","93.7%","536","6.3%","5,960","5,960","100.0%","0","0.0%","14,229","13,806","97.0%","423","3.0%","5,451","5,322","97.6%","129","2.4%","14,188","14,121","99.5%","67","0.5%","4,336","3,451","79.6%","885","20.4%","23,282,008","22,199,355","95.3%","1,082,653","4.7%"
"        6 to 18 years","35,932","34,892","97.1%","1,040","2.9%","17,077","16,511","96.7%","566","3.3%","13,422","13,080","97.5%","342","2.5%","13,432","13,251","98.7%","181","1.3%","12,839","12,194","95.0%","645","5.0%","15,960","14,563","91.2%","1,397","8.8%","17,908","17,290","96.5%","618","3.5%","107,017","103,792","97.0%","3,225","3.0%","15,698","14,583","92.9%","1,115","7.1%","27,327","26,742","97.9%","585","2.1%","16,980","15,690","92.4%","1,290","7.6%","59,544","57,302","96.2%","2,242","3.8%","16,890","16,676","98.7%","214","1.3%","70,006","68,142","97.3%","1,864","2.7%","39,018","38,264","98.1%","754","1.9%","19,662","18,266","92.9%","1,396","7.1%","15,514","15,338","98.9%","176","1.1%","39,047","38,357","98.2%","690","1.8%","12,751","12,144","95.2%","607","4.8%","34,548","32,649","94.5%","1,899","5.5%","10,365","7,765","74.9%","2,600","25.1%","54,068,424","50,775,975","93.9%","3,292,449","6.1%"
"        19 to 25 years","16,549","13,734","83.0%","2,815","17.0%","10,554","9,747","92.4%","807","7.6%","6,152","5,486","89.2%","666","10.8%","6,066","4,436","73.1%","1,630","26.9%","5,114","4,559","89.1%","555","10.9%","8,914","7,034","78.9%","1,880","21.1%","8,471","5,933","70.0%","2,538","30.0%","57,242","48,362","84.5%","8,880","15.5%","9,367","8,117","86.7%","1,250","13.3%","26,947","24,481","90.8%","2,466","9.2%","6,674","4,697","70.4%","1,977","29.6%","35,152","29,741","84.6%","5,411","15.4%","6,764","5,234","77.4%","1,530","22.6%","35,568","27,546","77.4%","8,022","22.6%","21,372","18,067","84.5%","3,305","15.5%","9,926","7,835","78.9%","2,091","21.1%","5,648","4,302","76.2%","1,346","23.8%","17,770","14,567","82.0%","3,203","18.0%","6,589","5,217","79.2%","1,372","20.8%","33,141","30,790","92.9%","2,351","7.1%","5,041","3,189","63.3%","1,852","36.7%","29,667,712","25,238,072","85.1%","4,429,640","14.9%"
"        26 to 34 years","21,835","17,251","79.0%","4,584","21.0%","12,820","9,718","75.8%","3,102","24.2%","9,554","6,859","71.8%","2,695","28.2%","7,627","5,233","68.6%","2,394","31.4%","10,503","9,737","92.7%","766","7.3%","10,993","8,090","73.6%","2,903","26.4%","11,548","8,246","71.4%","3,302","28.6%","86,125","71,846","83.4%","14,279","16.6%","9,617","7,201","74.9%","2,416","25.1%","19,829","17,379","87.6%","2,450","12.4%","11,313","8,402","74.3%","2,911","25.7%","45,388","38,385","84.6%","7,003","15.4%","11,799","7,562","64.1%","4,237","35.9%","52,082","41,008","78.7%","11,074","21.3%","26,775","20,848","77.9%","5,927","22.1%","10,840","8,503","78.4%","2,337","21.6%","10,856","9,081","83.6%","1,775","16.4%","23,772","20,670","87.0%","3,102","13.0%","7,663","5,826","76.0%","1,837","24.0%","25,729","23,179","90.1%","2,550","9.9%","6,107","4,546","74.4%","1,561","25.6%","39,837,331","33,424,276","83.9%","6,413,055","16.1%"
"        35 to 44 years","27,872","24,272","87.1%","3,600","12.9%","13,495","9,901","73.4%","3,594","26.6%","10,186","8,350","82.0%","1,836","18.0%","8,927","6,855","76.8%","2,072","23.2%","8,404","7,567","90.0%","837","10.0%","11,934","9,879","82.8%","2,055","17.2%","13,018","9,888","76.0%","3,130","24.0%","83,453","71,032","85.1%","12,421","14.9%","10,533","7,951","75.5%","2,582","24.5%","22,284","19,764","88.7%","2,520","11.3%","12,177","9,451","77.6%","2,726","22.4%","45,209","40,722","90.1%","4,487","9.9%","11,389","9,247","81.2%","2,142","18.8%","48,975","40,447","82.6%","8,528","17.4%","27,142","22,918","84.4%","4,224","15.6%","14,642","12,461","85.1%","2,181","14.9%","10,963","9,946","90.7%","1,017","9.3%","29,651","26,917","90.8%","2,734","9.2%","8,874","7,286","82.1%","1,588","17.9%","24,940","20,079","80.5%","4,861","19.5%","6,938","5,236","75.5%","1,702","24.5%","41,051,376","35,276,912","85.9%","5,774,464","14.1%"
"        45 to 54 years","27,174","24,410","89.8%","2,764","10.2%","13,075","11,178","85.5%","1,897","14.5%","11,307","9,588","84.8%","1,719","15.2%","8,665","7,003","80.8%","1,662","19.2%","9,590","8,767","91.4%","823","8.6%","13,583","11,903","87.6%","1,680","12.4%","12,931","10,658","82.4%","2,273","17.6%","77,839","67,561","86.8%","10,278","13.2%","10,981","9,189","83.7%","1,792","16.3%","17,728","16,801","94.8%","927","5.2%","13,538","12,282","90.7%","1,256","9.3%","46,982","42,450","90.4%","4,532","9.6%","12,008","10,118","84.3%","1,890","15.7%","48,629","39,019","80.2%","9,610","19.8%","25,794","22,190","86.0%","3,604","14.0%","16,796","14,442","86.0%","2,354","14.0%","11,401","10,837","95.1%","564","4.9%","28,971","26,450","91.3%","2,521","8.7%","10,131","8,524","84.1%","1,607","15.9%","23,603","21,746","92.1%","1,857","7.9%","8,722","6,863","78.7%","1,859","21.3%","40,357,454","35,699,527","88.5%","4,657,927","11.5%"
"        55 to 64 years","31,542","29,073","92.2%","2,469","7.8%","15,799","13,918","88.1%","1,881","11.9%","11,009","9,676","87.9%","1,333","12.1%","8,829","7,470","84.6%","1,359","15.4%","10,468","9,888","94.5%","580","5.5%","13,661","11,273","82.5%","2,388","17.5%","14,260","12,897","90.4%","1,363","9.6%","84,633","74,179","87.6%","10,454","12.4%","12,319","11,304","91.8%","1,015","8.2%","17,722","15,195","85.7%","2,527","14.3%","12,110","11,274","93.1%","836","6.9%","52,183","48,416","92.8%","3,767","7.2%","12,446","11,491","92.3%","955","7.7%","55,049","48,687","88.4%","6,362","11.6%","27,471","25,252","91.9%","2,219","8.1%","16,230","15,105","93.1%","1,125","6.9%","12,812","12,429","97.0%","383","3.0%","27,512","25,794","93.8%","1,718","6.2%","11,100","10,458","94.2%","642","5.8%","23,621","22,360","94.7%","1,261","5.3%","9,561","8,602","90.0%","959","10.0%","42,073,956","38,497,142","91.5%","3,576,814","8.5%"
"        65 to 74 years","28,682","28,327","98.8%","355","1.2%","12,017","11,926","99.2%","91","0.8%","8,973","8,820","98.3%","153","1.7%","6,970","6,639","95.3%","331","4.7%","7,587","7,587","100.0%","0","0.0%","11,278","10,994","97.5%","284","2.5%","11,017","10,992","99.8%","25","0.2%","64,247","64,122","99.8%","125","0.2%","11,248","11,248","100.0%","0","0.0%","12,800","12,800","100.0%","0","0.0%","9,314","9,147","98.2%","167","1.8%","33,694","33,518","99.5%","176","0.5%","9,627","9,452","98.2%","175","1.8%","39,979","39,523","98.9%","456","1.1%","20,937","20,937","100.0%","0","0.0%","11,789","11,789","100.0%","0","0.0%","8,803","8,803","100.0%","0","0.0%","21,859","21,859","100.0%","0","0.0%","8,536","8,536","100.0%","0","0.0%","17,575","17,565","99.9%","10","0.1%","6,946","6,873","98.9%","73","1.1%","31,216,223","30,913,049","99.0%","303,174","1.0%"
