"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Insured!!Estimate","Benton County, Arkansas!!Percent Insured!!Estimate","Benton County, Arkansas!!Uninsured!!Estimate","Benton County, Arkansas!!Percent Uninsured!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Insured!!Estimate","Craighead County, Arkansas!!Percent Insured!!Estimate","Craighead County, Arkansas!!Uninsured!!Estimate","Craighead County, Arkansas!!Percent Uninsured!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Insured!!Estimate","Faulkner County, Arkansas!!Percent Insured!!Estimate","Faulkner County, Arkansas!!Uninsured!!Estimate","Faulkner County, Arkansas!!Percent Uninsured!!Estimate","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Insured!!Estimate","Garland County, Arkansas!!Percent Insured!!Estimate","Garland County, Arkansas!!Uninsured!!Estimate","Garland County, Arkansas!!Percent Uninsured!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Insured!!Estimate","Jefferson County, Arkansas!!Percent Insured!!Estimate","Jefferson County, Arkansas!!Uninsured!!Estimate","Jefferson County, Arkansas!!Percent Uninsured!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Insured!!Estimate","Lonoke County, Arkansas!!Percent Insured!!Estimate","Lonoke County, Arkansas!!Uninsured!!Estimate","Lonoke County, Arkansas!!Percent Uninsured!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Insured!!Estimate","Pulaski County, Arkansas!!Percent Insured!!Estimate","Pulaski County, Arkansas!!Uninsured!!Estimate","Pulaski County, Arkansas!!Percent Uninsured!!Estimate","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Insured!!Estimate","Saline County, Arkansas!!Percent Insured!!Estimate","Saline County, Arkansas!!Uninsured!!Estimate","Saline County, Arkansas!!Percent Uninsured!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Insured!!Estimate","Sebastian County, Arkansas!!Percent Insured!!Estimate","Sebastian County, Arkansas!!Uninsured!!Estimate","Sebastian County, Arkansas!!Percent Uninsured!!Estimate","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Insured!!Estimate","Washington County, Arkansas!!Percent Insured!!Estimate","Washington County, Arkansas!!Uninsured!!Estimate","Washington County, Arkansas!!Percent Uninsured!!Estimate","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Insured!!Estimate","White County, Arkansas!!Percent Insured!!Estimate","White County, Arkansas!!Uninsured!!Estimate","White County, Arkansas!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"Civilian noninstitutionalized population","277,490","249,880","90.1%","27,610","9.9%","109,086","99,554","91.3%","9,532","8.7%","124,135","112,414","90.6%","11,721","9.4%","98,266","87,429","89.0%","10,837","11.0%","62,180","58,027","93.3%","4,153","6.7%","72,212","66,154","91.6%","6,058","8.4%","384,198","350,073","91.1%","34,125","8.9%","121,134","111,126","91.7%","10,008","8.3%","126,657","112,262","88.6%","14,395","11.4%","237,158","206,785","87.2%","30,373","12.8%","78,364","71,800","91.6%","6,564","8.4%","323,120,678","293,482,006","90.8%","29,638,672","9.2%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 6 years","22,510","21,135","93.9%","1,375","6.1%","9,098","8,960","98.5%","138","1.5%","7,790","7,790","100.0%","0","0.0%","6,001","5,798","96.6%","203","3.4%","5,033","4,700","93.4%","333","6.6%","5,769","5,437","94.2%","332","5.8%","31,720","30,395","95.8%","1,325","4.2%","8,142","7,977","98.0%","165","2.0%","9,716","9,003","92.7%","713","7.3%","18,550","16,859","90.9%","1,691","9.1%","5,768","5,578","96.7%","190","3.3%","23,282,008","22,199,355","95.3%","1,082,653","4.7%"
"        6 to 18 years","53,798","50,369","93.6%","3,429","6.4%","18,285","16,936","92.6%","1,349","7.4%","23,077","22,211","96.2%","866","3.8%","14,555","12,660","87.0%","1,895","13.0%","10,077","9,278","92.1%","799","7.9%","13,839","13,357","96.5%","482","3.5%","62,090","58,695","94.5%","3,395","5.5%","22,254","20,548","92.3%","1,706","7.7%","22,863","21,532","94.2%","1,331","5.8%","44,370","40,281","90.8%","4,089","9.2%","14,298","13,674","95.6%","624","4.4%","54,068,424","50,775,975","93.9%","3,292,449","6.1%"
"        19 to 25 years","23,053","19,826","86.0%","3,227","14.0%","14,675","13,079","89.1%","1,596","10.9%","20,180","16,033","79.4%","4,147","20.6%","7,092","5,364","75.6%","1,728","24.4%","6,551","5,651","86.3%","900","13.7%","4,925","4,145","84.2%","780","15.8%","31,169","26,210","84.1%","4,959","15.9%","8,383","6,998","83.5%","1,385","16.5%","11,415","8,438","73.9%","2,977","26.1%","33,753","27,721","82.1%","6,032","17.9%","8,142","7,515","92.3%","627","7.7%","29,667,712","25,238,072","85.1%","4,429,640","14.9%"
"        26 to 34 years","37,148","32,124","86.5%","5,024","13.5%","12,546","10,126","80.7%","2,420","19.3%","14,159","11,537","81.5%","2,622","18.5%","9,863","7,236","73.4%","2,627","26.6%","6,942","6,306","90.8%","636","9.2%","9,314","7,378","79.2%","1,936","20.8%","51,589","42,601","82.6%","8,988","17.4%","13,501","12,000","88.9%","1,501","11.1%","15,323","12,101","79.0%","3,222","21.0%","29,874","24,999","83.7%","4,875","16.3%","8,785","7,539","85.8%","1,246","14.2%","39,837,331","33,424,276","83.9%","6,413,055","16.1%"
"        35 to 44 years","40,212","33,129","82.4%","7,083","17.6%","15,527","13,759","88.6%","1,768","11.4%","16,386","15,460","94.3%","926","5.7%","11,724","10,208","87.1%","1,516","12.9%","6,368","5,343","83.9%","1,025","16.1%","10,333","9,183","88.9%","1,150","11.1%","50,516","43,983","87.1%","6,533","12.9%","15,891","12,668","79.7%","3,223","20.3%","15,344","11,951","77.9%","3,393","22.1%","32,319","24,787","76.7%","7,532","23.3%","8,721","7,977","91.5%","744","8.5%","41,051,376","35,276,912","85.9%","5,774,464","14.1%"
"        45 to 54 years","33,741","29,205","86.6%","4,536","13.4%","13,296","11,642","87.6%","1,654","12.4%","13,381","11,046","82.5%","2,335","17.5%","11,380","9,800","86.1%","1,580","13.9%","7,293","7,204","98.8%","89","1.2%","9,548","8,598","90.1%","950","9.9%","46,001","41,133","89.4%","4,868","10.6%","15,541","13,965","89.9%","1,576","10.1%","15,386","13,794","89.7%","1,592","10.3%","26,180","21,765","83.1%","4,415","16.9%","9,759","8,519","87.3%","1,240","12.7%","40,357,454","35,699,527","88.5%","4,657,927","11.5%"
"        55 to 64 years","29,629","27,225","91.9%","2,404","8.1%","11,530","11,045","95.8%","485","4.2%","13,526","12,701","93.9%","825","6.1%","14,168","12,880","90.9%","1,288","9.1%","8,627","8,278","96.0%","349","4.0%","8,526","8,098","95.0%","428","5.0%","48,942","45,873","93.7%","3,069","6.3%","15,039","14,587","97.0%","452","3.0%","15,716","14,829","94.4%","887","5.6%","23,795","22,107","92.9%","1,688","7.1%","9,976","8,083","81.0%","1,893","19.0%","42,073,956","38,497,142","91.5%","3,576,814","8.5%"
"        65 to 74 years","22,242","21,854","98.3%","388","1.7%","8,027","7,905","98.5%","122","1.5%","10,006","10,006","100.0%","0","0.0%","13,295","13,295","100.0%","0","0.0%","6,793","6,793","100.0%","0","0.0%","6,053","6,053","100.0%","0","0.0%","37,893","37,056","97.8%","837","2.2%","13,092","13,092","100.0%","0","0.0%","11,949","11,762","98.4%","187","1.6%","17,290","17,290","100.0%","0","0.0%","7,597","7,597","100.0%","0","0.0%","31,216,223","30,913,049","99.0%","303,174","1.0%"
