"Label","Alachua County, Florida!!Total!!Estimate","Alachua County, Florida!!Insured!!Estimate","Alachua County, Florida!!Percent Insured!!Estimate","Alachua County, Florida!!Uninsured!!Estimate","Alachua County, Florida!!Percent Uninsured!!Estimate","Bay County, Florida!!Total!!Estimate","Bay County, Florida!!Insured!!Estimate","Bay County, Florida!!Percent Insured!!Estimate","Bay County, Florida!!Uninsured!!Estimate","Bay County, Florida!!Percent Uninsured!!Estimate","Brevard County, Florida!!Total!!Estimate","Brevard County, Florida!!Insured!!Estimate","Brevard County, Florida!!Percent Insured!!Estimate","Brevard County, Florida!!Uninsured!!Estimate","Brevard County, Florida!!Percent Uninsured!!Estimate","Broward County, Florida!!Total!!Estimate","Broward County, Florida!!Insured!!Estimate","Broward County, Florida!!Percent Insured!!Estimate","Broward County, Florida!!Uninsured!!Estimate","Broward County, Florida!!Percent Uninsured!!Estimate","Charlotte County, Florida!!Total!!Estimate","Charlotte County, Florida!!Insured!!Estimate","Charlotte County, Florida!!Percent Insured!!Estimate","Charlotte County, Florida!!Uninsured!!Estimate","Charlotte County, Florida!!Percent Uninsured!!Estimate","Citrus County, Florida!!Total!!Estimate","Citrus County, Florida!!Insured!!Estimate","Citrus County, Florida!!Percent Insured!!Estimate","Citrus County, Florida!!Uninsured!!Estimate","Citrus County, Florida!!Percent Uninsured!!Estimate","Clay County, Florida!!Total!!Estimate","Clay County, Florida!!Insured!!Estimate","Clay County, Florida!!Percent Insured!!Estimate","Clay County, Florida!!Uninsured!!Estimate","Clay County, Florida!!Percent Uninsured!!Estimate","Collier County, Florida!!Total!!Estimate","Collier County, Florida!!Insured!!Estimate","Collier County, Florida!!Percent Insured!!Estimate","Collier County, Florida!!Uninsured!!Estimate","Collier County, Florida!!Percent Uninsured!!Estimate","Columbia County, Florida!!Total!!Estimate","Columbia County, Florida!!Insured!!Estimate","Columbia County, Florida!!Percent Insured!!Estimate","Columbia County, Florida!!Uninsured!!Estimate","Columbia County, Florida!!Percent Uninsured!!Estimate","Duval County, Florida!!Total!!Estimate","Duval County, Florida!!Insured!!Estimate","Duval County, Florida!!Percent Insured!!Estimate","Duval County, Florida!!Uninsured!!Estimate","Duval County, Florida!!Percent Uninsured!!Estimate","Escambia County, Florida!!Total!!Estimate","Escambia County, Florida!!Insured!!Estimate","Escambia County, Florida!!Percent Insured!!Estimate","Escambia County, Florida!!Uninsured!!Estimate","Escambia County, Florida!!Percent Uninsured!!Estimate","Flagler County, Florida!!Total!!Estimate","Flagler County, Florida!!Insured!!Estimate","Flagler County, Florida!!Percent Insured!!Estimate","Flagler County, Florida!!Uninsured!!Estimate","Flagler County, Florida!!Percent Uninsured!!Estimate","Hernando County, Florida!!Total!!Estimate","Hernando County, Florida!!Insured!!Estimate","Hernando County, Florida!!Percent Insured!!Estimate","Hernando County, Florida!!Uninsured!!Estimate","Hernando County, Florida!!Percent Uninsured!!Estimate","Highlands County, Florida!!Total!!Estimate","Highlands County, Florida!!Insured!!Estimate","Highlands County, Florida!!Percent Insured!!Estimate","Highlands County, Florida!!Uninsured!!Estimate","Highlands County, Florida!!Percent Uninsured!!Estimate","Hillsborough County, Florida!!Total!!Estimate","Hillsborough County, Florida!!Insured!!Estimate","Hillsborough County, Florida!!Percent Insured!!Estimate","Hillsborough County, Florida!!Uninsured!!Estimate","Hillsborough County, Florida!!Percent Uninsured!!Estimate","Indian River County, Florida!!Total!!Estimate","Indian River County, Florida!!Insured!!Estimate","Indian River County, Florida!!Percent Insured!!Estimate","Indian River County, Florida!!Uninsured!!Estimate","Indian River County, Florida!!Percent Uninsured!!Estimate","Lake County, Florida!!Total!!Estimate","Lake County, Florida!!Insured!!Estimate","Lake County, Florida!!Percent Insured!!Estimate","Lake County, Florida!!Uninsured!!Estimate","Lake County, Florida!!Percent Uninsured!!Estimate","Lee County, Florida!!Total!!Estimate","Lee County, Florida!!Insured!!Estimate","Lee County, Florida!!Percent Insured!!Estimate","Lee County, Florida!!Uninsured!!Estimate","Lee County, Florida!!Percent Uninsured!!Estimate","Leon County, Florida!!Total!!Estimate","Leon County, Florida!!Insured!!Estimate","Leon County, Florida!!Percent Insured!!Estimate","Leon County, Florida!!Uninsured!!Estimate","Leon County, Florida!!Percent Uninsured!!Estimate","Manatee County, Florida!!Total!!Estimate","Manatee County, Florida!!Insured!!Estimate","Manatee County, Florida!!Percent Insured!!Estimate","Manatee County, Florida!!Uninsured!!Estimate","Manatee County, Florida!!Percent Uninsured!!Estimate","Marion County, Florida!!Total!!Estimate","Marion County, Florida!!Insured!!Estimate","Marion County, Florida!!Percent Insured!!Estimate","Marion County, Florida!!Uninsured!!Estimate","Marion County, Florida!!Percent Uninsured!!Estimate","Martin County, Florida!!Total!!Estimate","Martin County, Florida!!Insured!!Estimate","Martin County, Florida!!Percent Insured!!Estimate","Martin County, Florida!!Uninsured!!Estimate","Martin County, Florida!!Percent Uninsured!!Estimate","Miami-Dade County, Florida!!Total!!Estimate","Miami-Dade County, Florida!!Insured!!Estimate","Miami-Dade County, Florida!!Percent Insured!!Estimate","Miami-Dade County, Florida!!Uninsured!!Estimate","Miami-Dade County, Florida!!Percent Uninsured!!Estimate","Monroe County, Florida!!Total!!Estimate","Monroe County, Florida!!Insured!!Estimate","Monroe County, Florida!!Percent Insured!!Estimate","Monroe County, Florida!!Uninsured!!Estimate","Monroe County, Florida!!Percent Uninsured!!Estimate","Nassau County, Florida!!Total!!Estimate","Nassau County, Florida!!Insured!!Estimate","Nassau County, Florida!!Percent Insured!!Estimate","Nassau County, Florida!!Uninsured!!Estimate","Nassau County, Florida!!Percent Uninsured!!Estimate","Okaloosa County, Florida!!Total!!Estimate","Okaloosa County, Florida!!Insured!!Estimate","Okaloosa County, Florida!!Percent Insured!!Estimate","Okaloosa County, Florida!!Uninsured!!Estimate","Okaloosa County, Florida!!Percent Uninsured!!Estimate","Orange County, Florida!!Total!!Estimate","Orange County, Florida!!Insured!!Estimate","Orange County, Florida!!Percent Insured!!Estimate","Orange County, Florida!!Uninsured!!Estimate","Orange County, Florida!!Percent Uninsured!!Estimate","Osceola County, Florida!!Total!!Estimate","Osceola County, Florida!!Insured!!Estimate","Osceola County, Florida!!Percent Insured!!Estimate","Osceola County, Florida!!Uninsured!!Estimate","Osceola County, Florida!!Percent Uninsured!!Estimate","Palm Beach County, Florida!!Total!!Estimate","Palm Beach County, Florida!!Insured!!Estimate","Palm Beach County, Florida!!Percent Insured!!Estimate","Palm Beach County, Florida!!Uninsured!!Estimate","Palm Beach County, Florida!!Percent Uninsured!!Estimate","Pasco County, Florida!!Total!!Estimate","Pasco County, Florida!!Insured!!Estimate","Pasco County, Florida!!Percent Insured!!Estimate","Pasco County, Florida!!Uninsured!!Estimate","Pasco County, Florida!!Percent Uninsured!!Estimate","Pinellas County, Florida!!Total!!Estimate","Pinellas County, Florida!!Insured!!Estimate","Pinellas County, Florida!!Percent Insured!!Estimate","Pinellas County, Florida!!Uninsured!!Estimate","Pinellas County, Florida!!Percent Uninsured!!Estimate","Polk County, Florida!!Total!!Estimate","Polk County, Florida!!Insured!!Estimate","Polk County, Florida!!Percent Insured!!Estimate","Polk County, Florida!!Uninsured!!Estimate","Polk County, Florida!!Percent Uninsured!!Estimate","Putnam County, Florida!!Total!!Estimate","Putnam County, Florida!!Insured!!Estimate","Putnam County, Florida!!Percent Insured!!Estimate","Putnam County, Florida!!Uninsured!!Estimate","Putnam County, Florida!!Percent Uninsured!!Estimate","St. Johns County, Florida!!Total!!Estimate","St. Johns County, Florida!!Insured!!Estimate","St. Johns County, Florida!!Percent Insured!!Estimate","St. Johns County, Florida!!Uninsured!!Estimate","St. Johns County, Florida!!Percent Uninsured!!Estimate","St. Lucie County, Florida!!Total!!Estimate","St. Lucie County, Florida!!Insured!!Estimate","St. Lucie County, Florida!!Percent Insured!!Estimate","St. Lucie County, Florida!!Uninsured!!Estimate","St. Lucie County, Florida!!Percent Uninsured!!Estimate","Santa Rosa County, Florida!!Total!!Estimate","Santa Rosa County, Florida!!Insured!!Estimate","Santa Rosa County, Florida!!Percent Insured!!Estimate","Santa Rosa County, Florida!!Uninsured!!Estimate","Santa Rosa County, Florida!!Percent Uninsured!!Estimate","Sarasota County, Florida!!Total!!Estimate","Sarasota County, Florida!!Insured!!Estimate","Sarasota County, Florida!!Percent Insured!!Estimate","Sarasota County, Florida!!Uninsured!!Estimate","Sarasota County, Florida!!Percent Uninsured!!Estimate","Seminole County, Florida!!Total!!Estimate","Seminole County, Florida!!Insured!!Estimate","Seminole County, Florida!!Percent Insured!!Estimate","Seminole County, Florida!!Uninsured!!Estimate","Seminole County, Florida!!Percent Uninsured!!Estimate","Sumter County, Florida!!Total!!Estimate","Sumter County, Florida!!Insured!!Estimate","Sumter County, Florida!!Percent Insured!!Estimate","Sumter County, Florida!!Uninsured!!Estimate","Sumter County, Florida!!Percent Uninsured!!Estimate","Volusia County, Florida!!Total!!Estimate","Volusia County, Florida!!Insured!!Estimate","Volusia County, Florida!!Percent Insured!!Estimate","Volusia County, Florida!!Uninsured!!Estimate","Volusia County, Florida!!Percent Uninsured!!Estimate","Walton County, Florida!!Total!!Estimate","Walton County, Florida!!Insured!!Estimate","Walton County, Florida!!Percent Insured!!Estimate","Walton County, Florida!!Uninsured!!Estimate","Walton County, Florida!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"Civilian noninstitutionalized population","266,549","243,082","91.2%","23,467","8.8%","170,632","149,186","87.4%","21,446","12.6%","596,398","533,213","89.4%","63,185","10.6%","1,941,114","1,643,281","84.7%","297,833","15.3%","186,002","165,722","89.1%","20,280","10.9%","147,448","129,972","88.1%","17,476","11.9%","216,402","195,523","90.4%","20,879","9.6%","383,332","332,967","86.9%","50,365","13.1%","66,783","56,269","84.3%","10,514","15.7%","933,533","815,125","87.3%","118,408","12.7%","301,231","262,881","87.3%","38,350","12.7%","114,318","99,197","86.8%","15,121","13.2%","192,009","169,410","88.2%","22,599","11.8%","104,995","92,819","88.4%","12,176","11.6%","1,459,415","1,268,482","86.9%","190,933","13.1%","158,335","137,405","86.8%","20,930","13.2%","363,745","323,317","88.9%","40,428","11.1%","765,673","672,341","87.8%","93,332","12.2%","289,917","263,001","90.7%","26,916","9.3%","400,114","350,816","87.7%","49,298","12.3%","356,778","312,013","87.5%","44,765","12.5%","158,049","144,480","91.4%","13,569","8.6%","2,696,151","2,257,372","83.7%","438,779","16.3%","71,680","57,039","79.6%","14,641","20.4%","87,175","79,764","91.5%","7,411","8.5%","197,374","170,656","86.5%","26,718","13.5%","1,382,152","1,196,706","86.6%","185,446","13.4%","374,298","324,394","86.7%","49,904","13.3%","1,483,317","1,276,737","86.1%","206,580","13.9%","548,036","477,411","87.1%","70,625","12.9%","962,616","852,436","88.6%","110,180","11.4%","716,526","617,153","86.1%","99,373","13.9%","73,528","61,697","83.9%","11,831","16.1%","263,093","240,785","91.5%","22,308","8.5%","325,322","278,825","85.7%","46,497","14.3%","173,974","155,963","89.6%","18,011","10.4%","429,861","383,713","89.3%","46,148","10.7%","468,681","425,992","90.9%","42,689","9.1%","122,245","113,540","92.9%","8,705","7.1%","547,881","475,778","86.8%","72,103","13.2%","72,349","63,277","87.5%","9,072","12.5%","323,120,678","293,482,006","90.8%","29,638,672","9.2%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 6 years","15,948","14,822","92.9%","1,126","7.1%","10,600","10,445","98.5%","155","1.5%","32,279","28,968","89.7%","3,311","10.3%","133,005","122,978","92.5%","10,027","7.5%","6,898","6,898","100.0%","0","0.0%","6,645","6,217","93.6%","428","6.4%","13,892","12,993","93.5%","899","6.5%","20,260","19,886","98.2%","374","1.8%","4,321","4,321","100.0%","0","0.0%","75,581","72,037","95.3%","3,544","4.7%","22,515","21,483","95.4%","1,032","4.6%","5,354","4,148","77.5%","1,206","22.5%","10,146","9,613","94.7%","533","5.3%","5,227","5,227","100.0%","0","0.0%","107,447","103,624","96.4%","3,823","3.6%","6,950","6,481","93.3%","469","6.7%","21,117","20,223","95.8%","894","4.2%","41,479","39,263","94.7%","2,216","5.3%","17,541","16,222","92.5%","1,319","7.5%","21,467","21,107","98.3%","360","1.7%","21,251","20,419","96.1%","832","3.9%","6,933","6,799","98.1%","134","1.9%","186,243","177,808","95.5%","8,435","4.5%","3,560","3,324","93.4%","236","6.6%","5,453","5,375","98.6%","78","1.4%","16,319","14,945","91.6%","1,374","8.4%","99,952","95,591","95.6%","4,361","4.4%","26,359","24,900","94.5%","1,459","5.5%","89,568","84,821","94.7%","4,747","5.3%","33,232","31,558","95.0%","1,674","5.0%","48,630","46,708","96.0%","1,922","4.0%","50,226","48,453","96.5%","1,773","3.5%","4,363","3,991","91.5%","372","8.5%","16,226","14,377","88.6%","1,849","11.4%","19,403","18,185","93.7%","1,218","6.3%","12,312","11,162","90.7%","1,150","9.3%","16,632","15,518","93.3%","1,114","6.7%","30,516","29,690","97.3%","826","2.7%","2,742","2,685","97.9%","57","2.1%","30,990","28,929","93.3%","2,061","6.7%","5,011","4,930","98.4%","81","1.6%","23,282,008","22,199,355","95.3%","1,082,653","4.7%"
"        6 to 18 years","39,887","37,806","94.8%","2,081","5.2%","26,487","23,569","89.0%","2,918","11.0%","84,138","80,698","95.9%","3,440","4.1%","299,666","264,007","88.1%","35,659","11.9%","16,526","14,311","86.6%","2,215","13.4%","16,215","14,240","87.8%","1,975","12.2%","39,455","37,295","94.5%","2,160","5.5%","49,011","44,051","89.9%","4,960","10.1%","12,434","11,115","89.4%","1,319","10.6%","151,811","140,578","92.6%","11,233","7.4%","46,821","43,156","92.2%","3,665","7.8%","15,126","12,735","84.2%","2,391","15.8%","27,655","25,137","90.9%","2,518","9.1%","13,781","12,206","88.6%","1,575","11.4%","237,163","219,054","92.4%","18,109","7.6%","20,113","19,600","97.4%","513","2.6%","52,851","49,719","94.1%","3,132","5.9%","100,143","89,641","89.5%","10,502","10.5%","45,499","42,789","94.0%","2,710","6.0%","55,840","52,452","93.9%","3,388","6.1%","50,282","46,479","92.4%","3,803","7.6%","21,250","20,282","95.4%","968","4.6%","394,810","360,587","91.3%","34,223","8.7%","7,596","6,199","81.6%","1,397","18.4%","13,151","12,655","96.2%","496","3.8%","32,838","30,166","91.9%","2,672","8.1%","225,813","207,418","91.9%","18,395","8.1%","68,083","61,800","90.8%","6,283","9.2%","211,995","190,112","89.7%","21,883","10.3%","83,819","77,134","92.0%","6,685","8.0%","113,914","105,325","92.5%","8,589","7.5%","119,115","108,397","91.0%","10,718","9.0%","11,880","11,486","96.7%","394","3.3%","43,776","40,811","93.2%","2,965","6.8%","46,305","39,940","86.3%","6,365","13.7%","29,212","27,510","94.2%","1,702","5.8%","47,073","43,928","93.3%","3,145","6.7%","73,962","69,804","94.4%","4,158","5.6%","7,084","4,820","68.0%","2,264","32.0%","72,848","65,213","89.5%","7,635","10.5%","10,620","9,472","89.2%","1,148","10.8%","54,068,424","50,775,975","93.9%","3,292,449","6.1%"
"        19 to 25 years","51,052","48,234","94.5%","2,818","5.5%","13,452","10,073","74.9%","3,379","25.1%","43,588","35,663","81.8%","7,925","18.2%","151,264","113,965","75.3%","37,299","24.7%","8,955","7,068","78.9%","1,887","21.1%","8,842","5,912","66.9%","2,930","33.1%","15,875","13,282","83.7%","2,593","16.3%","26,338","19,911","75.6%","6,427","24.4%","5,943","4,315","72.6%","1,628","27.4%","77,212","63,644","82.4%","13,568","17.6%","27,534","22,218","80.7%","5,316","19.3%","7,374","5,829","79.0%","1,545","21.0%","12,444","9,132","73.4%","3,312","26.6%","7,527","4,804","63.8%","2,723","36.2%","129,758","102,773","79.2%","26,985","20.8%","8,820","6,726","76.3%","2,094","23.7%","23,931","18,886","78.9%","5,045","21.1%","51,617","42,584","82.5%","9,033","17.5%","60,035","53,668","89.4%","6,367","10.6%","27,620","21,390","77.4%","6,230","22.6%","22,380","16,590","74.1%","5,790","25.9%","8,875","6,646","74.9%","2,229","25.1%","228,885","173,326","75.7%","55,559","24.3%","4,329","2,961","68.4%","1,368","31.6%","4,099","3,510","85.6%","589","14.4%","15,344","12,011","78.3%","3,333","21.7%","153,201","122,741","80.1%","30,460","19.9%","38,321","32,071","83.7%","6,250","16.3%","113,119","80,651","71.3%","32,468","28.7%","39,440","29,642","75.2%","9,798","24.8%","69,680","56,790","81.5%","12,890","18.5%","61,695","44,488","72.1%","17,207","27.9%","5,188","3,593","69.3%","1,595","30.7%","20,865","16,759","80.3%","4,106","19.7%","24,559","17,240","70.2%","7,319","29.8%","13,437","10,783","80.2%","2,654","19.8%","26,809","20,529","76.6%","6,280","23.4%","38,619","32,914","85.2%","5,705","14.8%","3,471","1,924","55.4%","1,547","44.6%","43,104","33,390","77.5%","9,714","22.5%","4,439","3,201","72.1%","1,238","27.9%","29,667,712","25,238,072","85.1%","4,429,640","14.9%"
"        26 to 34 years","35,944","29,442","81.9%","6,502","18.1%","20,102","16,212","80.6%","3,890","19.4%","59,157","45,366","76.7%","13,791","23.3%","234,430","168,477","71.9%","65,953","28.1%","12,004","8,445","70.4%","3,559","29.6%","9,374","6,720","71.7%","2,654","28.3%","22,587","18,590","82.3%","3,997","17.7%","30,064","19,739","65.7%","10,325","34.3%","6,212","4,456","71.7%","1,756","28.3%","135,799","105,474","77.7%","30,325","22.3%","41,303","32,453","78.6%","8,850","21.4%","8,968","5,528","61.6%","3,440","38.4%","18,231","13,539","74.3%","4,692","25.7%","5,958","4,689","78.7%","1,269","21.3%","200,409","152,776","76.2%","47,633","23.8%","14,112","6,283","44.5%","7,829","55.5%","34,154","24,674","72.2%","9,480","27.8%","74,254","55,514","74.8%","18,740","25.2%","34,612","29,711","85.8%","4,901","14.2%","35,537","27,300","76.8%","8,237","23.2%","34,397","24,723","71.9%","9,674","28.1%","13,767","10,460","76.0%","3,307","24.0%","342,896","251,215","73.3%","91,681","26.7%","7,787","5,343","68.6%","2,444","31.4%","9,262","7,458","80.5%","1,804","19.5%","25,404","15,120","59.5%","10,284","40.5%","201,166","159,888","79.5%","41,278","20.5%","46,818","41,059","87.7%","5,759","12.3%","154,959","112,099","72.3%","42,860","27.7%","53,753","39,019","72.6%","14,734","27.4%","102,454","78,162","76.3%","24,292","23.7%","82,360","60,925","74.0%","21,435","26.0%","6,306","4,623","73.3%","1,683","26.7%","19,333","15,147","78.3%","4,186","21.7%","33,407","24,069","72.0%","9,338","28.0%","19,547","15,095","77.2%","4,452","22.8%","31,251","21,259","68.0%","9,992","32.0%","61,497","50,354","81.9%","11,143","18.1%","3,678","3,016","82.0%","662","18.0%","57,186","41,033","71.8%","16,153","28.2%","7,451","5,554","74.5%","1,897","25.5%","39,837,331","33,424,276","83.9%","6,413,055","16.1%"
"        35 to 44 years","30,663","25,602","83.5%","5,061","16.5%","19,861","16,334","82.2%","3,527","17.8%","62,112","51,114","82.3%","10,998","17.7%","259,252","203,874","78.6%","55,378","21.4%","14,100","10,807","76.6%","3,293","23.4%","11,593","8,818","76.1%","2,775","23.9%","28,242","23,314","82.6%","4,928","17.4%","36,396","26,119","71.8%","10,277","28.2%","6,967","5,207","74.7%","1,760","25.3%","121,275","100,174","82.6%","21,101","17.4%","32,402","24,290","75.0%","8,112","25.0%","10,767","8,238","76.5%","2,529","23.5%","19,280","14,881","77.2%","4,399","22.8%","9,657","8,544","88.5%","1,113","11.5%","201,023","162,003","80.6%","39,020","19.4%","14,664","10,968","74.8%","3,696","25.2%","40,101","31,626","78.9%","8,475","21.1%","79,726","58,456","73.3%","21,270","26.7%","30,980","26,089","84.2%","4,891","15.8%","40,620","29,657","73.0%","10,963","27.0%","34,927","24,549","70.3%","10,378","29.7%","13,211","11,829","89.5%","1,382","10.5%","365,777","276,550","75.6%","89,227","24.4%","8,441","5,810","68.8%","2,631","31.2%","8,961","7,890","88.0%","1,071","12.0%","23,017","19,005","82.6%","4,012","17.4%","198,188","159,633","80.5%","38,555","19.5%","57,875","45,079","77.9%","12,796","22.1%","169,464","128,191","75.6%","41,273","24.4%","69,279","57,202","82.6%","12,077","17.4%","105,948","84,799","80.0%","21,149","20.0%","84,787","63,376","74.7%","21,411","25.3%","7,938","5,968","75.2%","1,970","24.8%","34,480","32,007","92.8%","2,473","7.2%","38,107","29,224","76.7%","8,883","23.3%","20,301","18,535","91.3%","1,766","8.7%","35,523","27,306","76.9%","8,217","23.1%","65,675","58,419","89.0%","7,256","11.0%","5,996","3,997","66.7%","1,999","33.3%","58,113","44,635","76.8%","13,478","23.2%","9,555","8,172","85.5%","1,383","14.5%","41,051,376","35,276,912","85.9%","5,774,464","14.1%"
"        45 to 54 years","26,349","23,150","87.9%","3,199","12.1%","22,454","18,204","81.1%","4,250","18.9%","72,834","61,710","84.7%","11,124","15.3%","268,906","222,315","82.7%","46,591","17.3%","18,568","15,651","84.3%","2,917","15.7%","16,116","12,510","77.6%","3,606","22.4%","30,626","25,710","83.9%","4,916","16.1%","42,986","34,424","80.1%","8,562","19.9%","8,212","6,040","73.6%","2,172","26.4%","115,014","93,182","81.0%","21,832","19.0%","34,924","27,445","78.6%","7,479","21.4%","13,101","11,568","88.3%","1,533","11.7%","23,714","19,466","82.1%","4,248","17.9%","11,200","8,675","77.5%","2,525","22.5%","194,068","166,804","86.0%","27,264","14.0%","15,102","11,999","79.5%","3,103","20.5%","43,047","36,905","85.7%","6,142","14.3%","86,715","67,802","78.2%","18,913","21.8%","30,399","26,585","87.5%","3,814","12.5%","47,455","36,912","77.8%","10,543","22.2%","38,953","32,175","82.6%","6,778","17.4%","17,685","15,773","89.2%","1,912","10.8%","390,393","305,044","78.1%","85,349","21.9%","10,473","6,492","62.0%","3,981","38.0%","12,260","10,601","86.5%","1,659","13.5%","22,290","19,685","88.3%","2,605","11.7%","178,896","150,427","84.1%","28,469","15.9%","45,928","38,191","83.2%","7,737","16.8%","185,914","154,310","83.0%","31,604","17.0%","70,310","54,728","77.8%","15,582","22.2%","123,719","102,533","82.9%","21,186","17.1%","84,442","69,015","81.7%","15,427","18.3%","9,148","5,793","63.3%","3,355","36.7%","36,689","33,632","91.7%","3,057","8.3%","37,176","29,267","78.7%","7,909","21.3%","23,755","21,568","90.8%","2,187","9.2%","46,340","37,001","79.8%","9,339","20.2%","63,267","55,779","88.2%","7,488","11.8%","4,950","4,613","93.2%","337","6.8%","66,412","54,391","81.9%","12,021","18.1%","8,718","7,031","80.6%","1,687","19.4%","40,357,454","35,699,527","88.5%","4,657,927","11.5%"
"        55 to 64 years","28,503","26,347","92.4%","2,156","7.6%","26,125","22,885","87.6%","3,240","12.4%","98,100","86,341","88.0%","11,759","12.0%","263,513","223,098","84.7%","40,415","15.3%","32,103","25,982","80.9%","6,121","19.1%","24,174","21,123","87.4%","3,051","12.6%","30,652","29,584","96.5%","1,068","3.5%","52,332","43,886","83.9%","8,446","16.1%","9,850","7,971","80.9%","1,879","19.1%","121,704","106,754","87.7%","14,950","12.3%","42,923","39,082","91.1%","3,841","8.9%","17,986","15,602","86.7%","2,384","13.3%","27,579","24,757","89.8%","2,822","10.2%","14,802","12,052","81.4%","2,750","18.6%","177,927","154,148","86.6%","23,779","13.4%","24,382","21,326","87.5%","3,056","12.5%","50,573","43,495","86.0%","7,078","14.0%","108,706","97,651","89.8%","11,055","10.2%","31,008","28,475","91.8%","2,533","8.2%","58,878","51,337","87.2%","7,541","12.8%","49,331","42,493","86.1%","6,838","13.9%","25,641","22,257","86.8%","3,384","13.2%","342,963","278,709","81.3%","64,254","18.7%","11,992","9,944","82.9%","2,048","17.1%","13,498","11,851","87.8%","1,647","12.2%","28,176","25,800","91.6%","2,376","8.4%","157,216","137,200","87.3%","20,016","12.7%","40,829","32,154","78.8%","8,675","21.2%","198,826","173,136","87.1%","25,690","12.9%","74,765","65,457","87.6%","9,308","12.4%","156,320","137,310","87.8%","19,010","12.2%","87,077","75,895","87.2%","11,182","12.8%","11,436","8,974","78.5%","2,462","21.5%","36,822","33,573","91.2%","3,249","8.8%","45,951","41,344","90.0%","4,607","10.0%","24,653","20,703","84.0%","3,950","16.0%","67,347","60,016","89.1%","7,331","10.9%","61,534","55,956","90.9%","5,578","9.1%","16,295","14,472","88.8%","1,823","11.2%","85,102","74,658","87.7%","10,444","12.3%","11,929","10,291","86.3%","1,638","13.7%","42,073,956","38,497,142","91.5%","3,576,814","8.5%"
"        65 to 74 years","23,256","22,814","98.1%","442","1.9%","18,792","18,705","99.5%","87","0.5%","78,257","77,737","99.3%","520","0.7%","186,178","182,506","98.0%","3,672","2.0%","40,710","40,474","99.4%","236","0.6%","28,575","28,575","100.0%","0","0.0%","20,998","20,680","98.5%","318","1.5%","60,241","59,713","99.1%","528","0.9%","7,777","7,777","100.0%","0","0.0%","84,348","82,893","98.3%","1,455","1.7%","31,741","31,686","99.8%","55","0.2%","21,173","21,173","100.0%","0","0.0%","27,432","27,357","99.7%","75","0.3%","17,685","17,464","98.8%","221","1.2%","127,166","123,074","96.8%","4,092","3.2%","28,927","28,819","99.6%","108","0.4%","51,848","51,666","99.6%","182","0.4%","119,673","118,959","99.4%","714","0.6%","25,014","24,633","98.5%","381","1.5%","61,784","60,745","98.3%","1,039","1.7%","56,849","56,233","98.9%","616","1.1%","24,955","24,702","99.0%","253","1.0%","238,941","232,313","97.2%","6,628","2.8%","11,300","10,837","95.9%","463","4.1%","11,963","11,896","99.4%","67","0.6%","19,936","19,874","99.7%","62","0.3%","102,578","99,506","97.0%","3,072","3.0%","29,479","28,650","97.2%","829","2.8%","175,255","170,891","97.5%","4,364","2.5%","67,613","67,292","99.5%","321","0.5%","130,750","129,917","99.4%","833","0.6%","82,796","82,624","99.8%","172","0.2%","9,828","9,828","100.0%","0","0.0%","32,367","31,944","98.7%","423","1.3%","43,519","43,012","98.8%","507","1.2%","19,095","18,945","99.2%","150","0.8%","81,650","81,014","99.2%","636","0.8%","44,399","44,039","99.2%","360","0.8%","43,585","43,569","100.0%","16","0.0%","76,258","75,695","99.3%","563","0.7%","9,123","9,123","100.0%","0","0.0%","31,216,223","30,913,049","99.0%","303,174","1.0%"
