"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Percent!!Estimate","Baldwin County, Alabama!!Percent!!Margin of Error","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Total!!Margin of Error","Calhoun County, Alabama!!Percent!!Estimate","Calhoun County, Alabama!!Percent!!Margin of Error","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Total!!Margin of Error","Cullman County, Alabama!!Percent!!Estimate","Cullman County, Alabama!!Percent!!Margin of Error","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Total!!Margin of Error","DeKalb County, Alabama!!Percent!!Estimate","DeKalb County, Alabama!!Percent!!Margin of Error","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Total!!Margin of Error","Elmore County, Alabama!!Percent!!Estimate","Elmore County, Alabama!!Percent!!Margin of Error","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Total!!Margin of Error","Etowah County, Alabama!!Percent!!Estimate","Etowah County, Alabama!!Percent!!Margin of Error","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Total!!Margin of Error","Houston County, Alabama!!Percent!!Estimate","Houston County, Alabama!!Percent!!Margin of Error","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Total!!Margin of Error","Jefferson County, Alabama!!Percent!!Estimate","Jefferson County, Alabama!!Percent!!Margin of Error","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Total!!Margin of Error","Lauderdale County, Alabama!!Percent!!Estimate","Lauderdale County, Alabama!!Percent!!Margin of Error","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Total!!Margin of Error","Lee County, Alabama!!Percent!!Estimate","Lee County, Alabama!!Percent!!Margin of Error","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Total!!Margin of Error","Limestone County, Alabama!!Percent!!Estimate","Limestone County, Alabama!!Percent!!Margin of Error","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Total!!Margin of Error","Madison County, Alabama!!Percent!!Estimate","Madison County, Alabama!!Percent!!Margin of Error","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Total!!Margin of Error","Marshall County, Alabama!!Percent!!Estimate","Marshall County, Alabama!!Percent!!Margin of Error","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Total!!Margin of Error","Mobile County, Alabama!!Percent!!Estimate","Mobile County, Alabama!!Percent!!Margin of Error","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Total!!Margin of Error","Montgomery County, Alabama!!Percent!!Estimate","Montgomery County, Alabama!!Percent!!Margin of Error","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Total!!Margin of Error","Morgan County, Alabama!!Percent!!Estimate","Morgan County, Alabama!!Percent!!Margin of Error","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Total!!Margin of Error","St. Clair County, Alabama!!Percent!!Estimate","St. Clair County, Alabama!!Percent!!Margin of Error","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Total!!Margin of Error","Shelby County, Alabama!!Percent!!Estimate","Shelby County, Alabama!!Percent!!Margin of Error","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Total!!Margin of Error","Talladega County, Alabama!!Percent!!Estimate","Talladega County, Alabama!!Percent!!Margin of Error","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Total!!Margin of Error","Tuscaloosa County, Alabama!!Percent!!Estimate","Tuscaloosa County, Alabama!!Percent!!Margin of Error","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Total!!Margin of Error","Walker County, Alabama!!Percent!!Estimate","Walker County, Alabama!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","82,325","±3,231","(X)","(X)","44,636","±2,010","(X)","(X)","32,090","±1,233","(X)","(X)","24,880","±1,347","(X)","(X)","30,712","±1,330","(X)","(X)","40,053","±1,930","(X)","(X)","39,761","±1,040","(X)","(X)","264,753","±3,376","(X)","(X)","38,761","±1,573","(X)","(X)","64,448","±1,810","(X)","(X)","32,020","±1,530","(X)","(X)","155,878","±2,604","(X)","(X)","35,330","±1,274","(X)","(X)","155,946","±2,876","(X)","(X)","88,864","±2,242","(X)","(X)","46,470","±1,676","(X)","(X)","32,829","±1,261","(X)","(X)","84,048","±1,602","(X)","(X)","30,602","±1,841","(X)","(X)","74,259","±2,679","(X)","(X)","25,153","±1,223","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","77,281","±3,480","93.9%","±1.7","38,833","±2,317","87.0%","±3.1","27,889","±1,303","86.9%","±2.7","21,513","±1,469","86.5%","±3.7","27,867","±1,566","90.7%","±3.0","35,124","±2,134","87.7%","±2.9","36,174","±1,138","91.0%","±1.3","240,128","±4,326","90.7%","±0.9","34,254","±1,972","88.4%","±2.8","59,968","±1,982","93.0%","±2.0","29,903","±1,493","93.4%","±1.7","148,135","±2,950","95.0%","±0.9","31,790","±1,581","90.0%","±2.3","141,238","±3,564","90.6%","±1.4","80,859","±2,515","91.0%","±1.6","41,134","±1,778","88.5%","±2.9","31,061","±1,526","94.6%","±2.9","80,702","±1,936","96.0%","±1.1","25,876","±1,821","84.6%","±2.9","67,356","±2,989","90.7%","±2.0","22,267","±1,489","88.5%","±3.8","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","63,551","±3,367","77.2%","±2.9","28,390","±2,165","63.6%","±4.0","20,740","±1,451","64.6%","±3.7","14,732","±1,536","59.2%","±5.8","20,436","±1,787","66.5%","±5.1","23,643","±2,060","59.0%","±4.3","26,308","±1,026","66.2%","±1.8","188,943","±4,790","71.4%","±1.5","24,331","±1,976","62.8%","±4.2","51,957","±2,501","80.6%","±3.1","24,896","±1,594","77.8%","±3.4","130,344","±3,502","83.6%","±1.5","23,814","±1,592","67.4%","±3.8","104,642","±3,451","67.1%","±1.9","60,988","±3,068","68.6%","±3.2","32,087","±2,046","69.0%","±3.8","25,353","±1,987","77.2%","±4.7","69,343","±2,266","82.5%","±2.3","18,394","±1,585","60.1%","±3.8","53,865","±3,038","72.5%","±3.0","15,080","±1,497","60.0%","±5.2","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","2,759","±1,223","3.4%","±1.5","924","±422","2.1%","±1.0","1,216","±542","3.8%","±1.7","686","±342","2.8%","±1.4","547","±306","1.8%","±1.0","1,734","±598","4.3%","±1.5","1,528","±425","3.8%","±1.1","9,139","±1,593","3.5%","±0.6","1,310","±594","3.4%","±1.5","2,005","±925","3.1%","±1.4","866","±422","2.7%","±1.3","5,743","±1,417","3.7%","±0.9","1,417","±498","4.0%","±1.4","6,739","±1,610","4.3%","±1.0","2,701","±921","3.0%","±1.0","1,888","±531","4.1%","±1.1","1,041","±541","3.2%","±1.7","2,396","±600","2.9%","±0.7","815","±442","2.7%","±1.4","1,529","±525","2.1%","±0.7","489","±341","1.9%","±1.4","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","72,336","±3,583","87.9%","±2.3","35,915","±2,411","80.5%","±3.3","25,806","±1,286","80.4%","±2.7","19,996","±1,429","80.4%","±3.7","26,695","±1,602","86.9%","±3.4","31,865","±2,187","79.6%","±3.4","33,944","±1,189","85.4%","±1.8","224,709","±4,300","84.9%","±1.1","31,855","±2,078","82.2%","±3.2","57,214","±2,126","88.8%","±2.5","27,939","±1,498","87.3%","±2.3","139,680","±3,137","89.6%","±1.3","29,485","±1,543","83.5%","±2.8","130,598","±3,751","83.7%","±1.6","75,853","±2,625","85.4%","±1.8","38,218","±1,793","82.2%","±3.2","28,915","±1,670","88.1%","±3.7","76,475","±2,119","91.0%","±1.5","24,317","±1,849","79.5%","±3.3","64,426","±3,035","86.8%","±2.1","21,050","±1,513","83.7%","±4.0","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","8,824","±1,806","10.7%","±2.1","6,665","±1,506","14.9%","±3.2","5,145","±1,090","16.0%","±3.3","4,078","±949","16.4%","±3.7","4,170","±1,220","13.6%","±3.9","8,920","±1,614","22.3%","±3.7","6,992","±784","17.6%","±1.9","33,645","±2,731","12.7%","±1.0","7,205","±1,506","18.6%","±3.7","5,557","±1,555","8.6%","±2.4","2,556","±730","8.0%","±2.2","11,396","±1,780","7.3%","±1.1","5,758","±1,253","16.3%","±3.4","26,565","±2,706","17.0%","±1.7","13,240","±2,027","14.9%","±2.3","5,671","±1,299","12.2%","±2.8","4,104","±1,373","12.5%","±4.2","7,445","±1,427","8.9%","±1.7","4,141","±1,069","13.5%","±3.4","10,735","±1,888","14.5%","±2.5","4,816","±989","19.1%","±3.8","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","51,758","±3,299","62.9%","±2.9","25,610","±2,304","57.4%","±4.4","16,510","±1,491","51.4%","±4.3","11,941","±1,393","48.0%","±5.3","18,807","±1,846","61.2%","±5.3","20,873","±2,032","52.1%","±4.7","22,102","±1,202","55.6%","±2.6","145,478","±4,435","54.9%","±1.5","16,754","±1,732","43.2%","±4.5","39,414","±2,700","61.2%","±4.1","21,758","±1,525","68.0%","±4.1","96,075","±3,661","61.6%","±2.1","17,573","±1,594","49.7%","±4.2","73,324","±3,530","47.0%","±2.1","51,350","±2,755","57.8%","±2.8","25,029","±2,051","53.9%","±3.9","21,322","±2,162","64.9%","±5.8","58,812","±2,458","70.0%","±2.9","17,571","±1,886","57.4%","±4.7","40,900","±2,900","55.1%","±3.4","12,501","±1,511","49.7%","±5.2","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","585","±393","0.7%","±0.5","1,217","±580","2.7%","±1.3","270","±256","0.8%","±0.8","312","±284","1.3%","±1.1","169","±185","0.6%","±0.6","631","±374","1.6%","±0.9","297","±103","0.7%","±0.3","2,414","±734","0.9%","±0.3","508","±300","1.3%","±0.8","143","±230","0.2%","±0.4","414","±332","1.3%","±1.0","421","±250","0.3%","±0.2","396","±282","1.1%","±0.8","1,977","±618","1.3%","±0.4","1,340","±714","1.5%","±0.8","838","±565","1.8%","±1.2","595","±440","1.8%","±1.3","657","±306","0.8%","±0.4","363","±268","1.2%","±0.9","563","±300","0.8%","±0.4","487","±322","1.9%","±1.3","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","2,010","±716","2.4%","±0.9","519","±373","1.2%","±0.8","320","±216","1.0%","±0.7","232","±208","0.9%","±0.8","619","±450","2.0%","±1.5","2,821","±1,275","7.0%","±3.1","330","±146","0.8%","±0.4","4,602","±1,095","1.7%","±0.4","151","±161","0.4%","±0.4","1,353","±620","2.1%","±1.0","561","±370","1.8%","±1.1","3,245","±1,106","2.1%","±0.7","834","±473","2.4%","±1.3","1,334","±564","0.9%","±0.4","1,169","±616","1.3%","±0.7","904","±487","1.9%","±1.1","1,074","±665","3.3%","±2.0","2,968","±1,165","3.5%","±1.4","1,085","±677","3.5%","±2.2","1,676","±615","2.3%","±0.8","476","±325","1.9%","±1.3","2,937,915","±27,533","2.4%","±0.1"
