"Label","Alachua County, Florida!!Total!!Estimate","Alachua County, Florida!!Total!!Margin of Error","Alachua County, Florida!!Percent!!Estimate","Alachua County, Florida!!Percent!!Margin of Error","Bay County, Florida!!Total!!Estimate","Bay County, Florida!!Total!!Margin of Error","Bay County, Florida!!Percent!!Estimate","Bay County, Florida!!Percent!!Margin of Error","Brevard County, Florida!!Total!!Estimate","Brevard County, Florida!!Total!!Margin of Error","Brevard County, Florida!!Percent!!Estimate","Brevard County, Florida!!Percent!!Margin of Error","Broward County, Florida!!Total!!Estimate","Broward County, Florida!!Total!!Margin of Error","Broward County, Florida!!Percent!!Estimate","Broward County, Florida!!Percent!!Margin of Error","Charlotte County, Florida!!Total!!Estimate","Charlotte County, Florida!!Total!!Margin of Error","Charlotte County, Florida!!Percent!!Estimate","Charlotte County, Florida!!Percent!!Margin of Error","Citrus County, Florida!!Total!!Estimate","Citrus County, Florida!!Total!!Margin of Error","Citrus County, Florida!!Percent!!Estimate","Citrus County, Florida!!Percent!!Margin of Error","Clay County, Florida!!Total!!Estimate","Clay County, Florida!!Total!!Margin of Error","Clay County, Florida!!Percent!!Estimate","Clay County, Florida!!Percent!!Margin of Error","Collier County, Florida!!Total!!Estimate","Collier County, Florida!!Total!!Margin of Error","Collier County, Florida!!Percent!!Estimate","Collier County, Florida!!Percent!!Margin of Error","Columbia County, Florida!!Total!!Estimate","Columbia County, Florida!!Total!!Margin of Error","Columbia County, Florida!!Percent!!Estimate","Columbia County, Florida!!Percent!!Margin of Error","Duval County, Florida!!Total!!Estimate","Duval County, Florida!!Total!!Margin of Error","Duval County, Florida!!Percent!!Estimate","Duval County, Florida!!Percent!!Margin of Error","Escambia County, Florida!!Total!!Estimate","Escambia County, Florida!!Total!!Margin of Error","Escambia County, Florida!!Percent!!Estimate","Escambia County, Florida!!Percent!!Margin of Error","Flagler County, Florida!!Total!!Estimate","Flagler County, Florida!!Total!!Margin of Error","Flagler County, Florida!!Percent!!Estimate","Flagler County, Florida!!Percent!!Margin of Error","Hernando County, Florida!!Total!!Estimate","Hernando County, Florida!!Total!!Margin of Error","Hernando County, Florida!!Percent!!Estimate","Hernando County, Florida!!Percent!!Margin of Error","Highlands County, Florida!!Total!!Estimate","Highlands County, Florida!!Total!!Margin of Error","Highlands County, Florida!!Percent!!Estimate","Highlands County, Florida!!Percent!!Margin of Error","Hillsborough County, Florida!!Total!!Estimate","Hillsborough County, Florida!!Total!!Margin of Error","Hillsborough County, Florida!!Percent!!Estimate","Hillsborough County, Florida!!Percent!!Margin of Error","Indian River County, Florida!!Total!!Estimate","Indian River County, Florida!!Total!!Margin of Error","Indian River County, Florida!!Percent!!Estimate","Indian River County, Florida!!Percent!!Margin of Error","Lake County, Florida!!Total!!Estimate","Lake County, Florida!!Total!!Margin of Error","Lake County, Florida!!Percent!!Estimate","Lake County, Florida!!Percent!!Margin of Error","Lee County, Florida!!Total!!Estimate","Lee County, Florida!!Total!!Margin of Error","Lee County, Florida!!Percent!!Estimate","Lee County, Florida!!Percent!!Margin of Error","Leon County, Florida!!Total!!Estimate","Leon County, Florida!!Total!!Margin of Error","Leon County, Florida!!Percent!!Estimate","Leon County, Florida!!Percent!!Margin of Error","Manatee County, Florida!!Total!!Estimate","Manatee County, Florida!!Total!!Margin of Error","Manatee County, Florida!!Percent!!Estimate","Manatee County, Florida!!Percent!!Margin of Error","Marion County, Florida!!Total!!Estimate","Marion County, Florida!!Total!!Margin of Error","Marion County, Florida!!Percent!!Estimate","Marion County, Florida!!Percent!!Margin of Error","Martin County, Florida!!Total!!Estimate","Martin County, Florida!!Total!!Margin of Error","Martin County, Florida!!Percent!!Estimate","Martin County, Florida!!Percent!!Margin of Error","Miami-Dade County, Florida!!Total!!Estimate","Miami-Dade County, Florida!!Total!!Margin of Error","Miami-Dade County, Florida!!Percent!!Estimate","Miami-Dade County, Florida!!Percent!!Margin of Error","Monroe County, Florida!!Total!!Estimate","Monroe County, Florida!!Total!!Margin of Error","Monroe County, Florida!!Percent!!Estimate","Monroe County, Florida!!Percent!!Margin of Error","Nassau County, Florida!!Total!!Estimate","Nassau County, Florida!!Total!!Margin of Error","Nassau County, Florida!!Percent!!Estimate","Nassau County, Florida!!Percent!!Margin of Error","Okaloosa County, Florida!!Total!!Estimate","Okaloosa County, Florida!!Total!!Margin of Error","Okaloosa County, Florida!!Percent!!Estimate","Okaloosa County, Florida!!Percent!!Margin of Error","Orange County, Florida!!Total!!Estimate","Orange County, Florida!!Total!!Margin of Error","Orange County, Florida!!Percent!!Estimate","Orange County, Florida!!Percent!!Margin of Error","Osceola County, Florida!!Total!!Estimate","Osceola County, Florida!!Total!!Margin of Error","Osceola County, Florida!!Percent!!Estimate","Osceola County, Florida!!Percent!!Margin of Error","Palm Beach County, Florida!!Total!!Estimate","Palm Beach County, Florida!!Total!!Margin of Error","Palm Beach County, Florida!!Percent!!Estimate","Palm Beach County, Florida!!Percent!!Margin of Error","Pasco County, Florida!!Total!!Estimate","Pasco County, Florida!!Total!!Margin of Error","Pasco County, Florida!!Percent!!Estimate","Pasco County, Florida!!Percent!!Margin of Error","Pinellas County, Florida!!Total!!Estimate","Pinellas County, Florida!!Total!!Margin of Error","Pinellas County, Florida!!Percent!!Estimate","Pinellas County, Florida!!Percent!!Margin of Error","Polk County, Florida!!Total!!Estimate","Polk County, Florida!!Total!!Margin of Error","Polk County, Florida!!Percent!!Estimate","Polk County, Florida!!Percent!!Margin of Error","Putnam County, Florida!!Total!!Estimate","Putnam County, Florida!!Total!!Margin of Error","Putnam County, Florida!!Percent!!Estimate","Putnam County, Florida!!Percent!!Margin of Error","St. Johns County, Florida!!Total!!Estimate","St. Johns County, Florida!!Total!!Margin of Error","St. Johns County, Florida!!Percent!!Estimate","St. Johns County, Florida!!Percent!!Margin of Error","St. Lucie County, Florida!!Total!!Estimate","St. Lucie County, Florida!!Total!!Margin of Error","St. Lucie County, Florida!!Percent!!Estimate","St. Lucie County, Florida!!Percent!!Margin of Error","Santa Rosa County, Florida!!Total!!Estimate","Santa Rosa County, Florida!!Total!!Margin of Error","Santa Rosa County, Florida!!Percent!!Estimate","Santa Rosa County, Florida!!Percent!!Margin of Error","Sarasota County, Florida!!Total!!Estimate","Sarasota County, Florida!!Total!!Margin of Error","Sarasota County, Florida!!Percent!!Estimate","Sarasota County, Florida!!Percent!!Margin of Error","Seminole County, Florida!!Total!!Estimate","Seminole County, Florida!!Total!!Margin of Error","Seminole County, Florida!!Percent!!Estimate","Seminole County, Florida!!Percent!!Margin of Error","Sumter County, Florida!!Total!!Estimate","Sumter County, Florida!!Total!!Margin of Error","Sumter County, Florida!!Percent!!Estimate","Sumter County, Florida!!Percent!!Margin of Error","Volusia County, Florida!!Total!!Estimate","Volusia County, Florida!!Total!!Margin of Error","Volusia County, Florida!!Percent!!Estimate","Volusia County, Florida!!Percent!!Margin of Error","Walton County, Florida!!Total!!Estimate","Walton County, Florida!!Total!!Margin of Error","Walton County, Florida!!Percent!!Estimate","Walton County, Florida!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","103,024","±2,847","(X)","(X)","69,195","±2,744","(X)","(X)","230,043","±4,772","(X)","(X)","705,472","±7,707","(X)","(X)","76,589","±3,272","(X)","(X)","64,448","±2,659","(X)","(X)","75,793","±1,945","(X)","(X)","140,578","±5,062","(X)","(X)","25,240","±1,483","(X)","(X)","368,668","±4,596","(X)","(X)","120,618","±3,101","(X)","(X)","44,464","±1,735","(X)","(X)","78,755","±1,776","(X)","(X)","43,351","±2,443","(X)","(X)","541,584","±4,189","(X)","(X)","63,917","±2,654","(X)","(X)","139,192","±3,527","(X)","(X)","286,887","±5,798","(X)","(X)","116,283","±2,781","(X)","(X)","145,171","±4,572","(X)","(X)","145,622","±4,007","(X)","(X)","65,014","±2,055","(X)","(X)","912,805","±5,898","(X)","(X)","32,839","±2,048","(X)","(X)","35,212","±1,465","(X)","(X)","76,097","±2,603","(X)","(X)","457,949","±6,978","(X)","(X)","111,539","±4,304","(X)","(X)","568,915","±6,021","(X)","(X)","212,856","±4,410","(X)","(X)","395,286","±6,581","(X)","(X)","238,629","±5,267","(X)","(X)","30,866","±1,415","(X)","(X)","94,761","±2,990","(X)","(X)","116,900","±4,160","(X)","(X)","66,187","±2,766","(X)","(X)","187,411","±4,122","(X)","(X)","181,142","±2,623","(X)","(X)","59,458","±3,085","(X)","(X)","219,451","±3,752","(X)","(X)","26,475","±2,685","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","99,757","±2,955","96.8%","±0.8","66,814","±2,821","96.6%","±1.1","216,250","±5,087","94.0%","±0.9","671,227","±8,195","95.1%","±0.5","71,391","±3,668","93.2%","±1.9","59,974","±2,817","93.1%","±1.6","73,301","±2,007","96.7%","±1.1","134,309","±4,947","95.5%","±1.2","23,779","±1,536","94.2%","±2.4","345,469","±5,013","93.7%","±0.7","111,469","±3,385","92.4%","±1.3","41,917","±2,047","94.3%","±2.2","74,975","±1,866","95.2%","±1.2","38,247","±2,673","88.2%","±2.9","519,751","±4,367","96.0%","±0.5","59,039","±2,817","92.4%","±1.9","131,313","±3,838","94.3%","±1.4","275,502","±5,737","96.0%","±0.5","111,627","±3,154","96.0%","±1.1","139,180","±4,777","95.9%","±0.9","135,983","±3,860","93.4%","±1.5","60,758","±2,182","93.5%","±2.0","856,771","±6,852","93.9%","±0.5","30,760","±2,065","93.7%","±2.0","34,619","±1,466","98.3%","±1.0","71,478","±2,594","93.9%","±1.7","439,587","±7,751","96.0%","±0.7","106,353","±4,491","95.4%","±1.4","539,146","±6,531","94.8%","±0.6","201,988","±4,332","94.9%","±0.8","370,429","±6,470","93.7%","±0.9","220,047","±5,362","92.2%","±1.0","26,957","±1,474","87.3%","±3.3","90,166","±3,053","95.2%","±1.3","111,047","±3,822","95.0%","±1.2","62,835","±2,756","94.9%","±1.5","177,404","±4,428","94.7%","±0.9","175,513","±2,785","96.9%","±0.6","57,277","±3,163","96.3%","±1.2","209,180","±3,952","95.3%","±0.7","25,009","±2,607","94.5%","±2.3","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","83,322","±3,411","80.9%","±2.7","55,714","±2,860","80.5%","±3.3","193,437","±5,554","84.1%","±1.5","571,055","±8,892","80.9%","±0.8","61,047","±3,341","79.7%","±2.6","51,929","±2,562","80.6%","±2.8","64,372","±2,648","84.9%","±2.9","111,203","±5,124","79.1%","±2.1","17,721","±1,635","70.2%","±5.3","283,601","±6,094","76.9%","±1.2","88,870","±3,331","73.7%","±2.2","32,038","±2,165","72.1%","±4.2","64,299","±2,222","81.6%","±2.3","30,135","±2,610","69.5%","±3.8","440,052","±5,468","81.3%","±0.8","50,924","±2,893","79.7%","±3.0","105,429","±4,266","75.7%","±2.5","230,692","±5,680","80.4%","±1.2","96,917","±3,471","83.3%","±2.0","121,086","±4,912","83.4%","±1.8","113,578","±4,498","78.0%","±2.8","53,656","±2,593","82.5%","±3.0","696,860","±8,516","76.3%","±0.8","25,978","±1,822","79.1%","±3.7","29,907","±1,718","84.9%","±3.4","63,206","±2,794","83.1%","±2.3","381,105","±7,373","83.2%","±1.0","90,640","±4,552","81.3%","±2.8","451,740","±6,967","79.4%","±1.0","173,151","±4,229","81.3%","±1.4","321,376","±6,579","81.3%","±1.2","177,146","±5,467","74.2%","±1.7","19,563","±1,690","63.4%","±5.5","79,629","±3,072","84.0%","±2.3","92,606","±3,830","79.2%","±2.6","55,881","±2,775","84.4%","±2.2","155,480","±4,398","83.0%","±1.6","154,370","±4,029","85.2%","±1.8","50,624","±3,178","85.1%","±3.4","170,024","±4,718","77.5%","±1.8","20,646","±2,056","78.0%","±4.5","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","2,086","±733","2.0%","±0.7","2,835","±777","4.1%","±1.1","12,933","±1,950","5.6%","±0.9","17,829","±2,227","2.5%","±0.3","3,654","±1,041","4.8%","±1.4","4,454","±1,014","6.9%","±1.6","1,420","±543","1.9%","±0.7","6,595","±1,326","4.7%","±1.0","558","±357","2.2%","±1.4","13,109","±2,078","3.6%","±0.6","3,755","±953","3.1%","±0.8","2,428","±821","5.5%","±1.8","4,830","±922","6.1%","±1.2","2,636","±861","6.1%","±2.0","13,879","±1,622","2.6%","±0.3","3,872","±993","6.1%","±1.5","5,950","±1,394","4.3%","±1.0","13,019","±1,897","4.5%","±0.7","2,363","±668","2.0%","±0.6","7,227","±1,197","5.0%","±0.8","9,530","±1,770","6.5%","±1.2","4,762","±1,283","7.3%","±2.0","18,154","±2,388","2.0%","±0.3","821","±366","2.5%","±1.1","1,979","±763","5.6%","±2.1","2,930","±797","3.9%","±1.0","10,621","±1,753","2.3%","±0.4","2,879","±1,176","2.6%","±1.1","19,619","±2,051","3.4%","±0.4","11,907","±1,578","5.6%","±0.7","18,289","±2,251","4.6%","±0.6","10,533","±1,428","4.4%","±0.6","1,325","±466","4.3%","±1.5","2,708","±992","2.9%","±1.0","4,976","±1,194","4.3%","±1.0","2,123","±705","3.2%","±1.1","12,090","±2,260","6.5%","±1.2","3,744","±902","2.1%","±0.5","4,745","±1,288","8.0%","±2.1","9,707","±1,560","4.4%","±0.7","424","±339","1.6%","±1.3","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","95,616","±3,014","92.8%","±1.1","62,051","±2,761","89.7%","±1.6","196,427","±5,343","85.4%","±1.3","639,722","±8,324","90.7%","±0.5","64,814","±3,785","84.6%","±2.3","51,623","±3,213","80.1%","±2.8","70,428","±2,084","92.9%","±1.5","122,970","±5,074","87.5%","±1.6","22,503","±1,518","89.2%","±2.8","325,074","±5,155","88.2%","±0.9","103,892","±3,488","86.1%","±1.7","37,099","±2,057","83.4%","±3.1","65,602","±2,067","83.3%","±1.8","33,767","±2,873","77.9%","±3.8","496,573","±4,949","91.7%","±0.6","51,433","±2,930","80.5%","±2.8","119,976","±3,766","86.2%","±1.9","255,075","±6,067","88.9%","±1.0","107,099","±3,191","92.1%","±1.2","127,847","±4,883","88.1%","±1.5","119,935","±4,211","82.4%","±2.0","54,709","±2,473","84.1%","±2.6","825,994","±7,213","90.5%","±0.6","29,295","±2,102","89.2%","±2.5","32,088","±1,543","91.1%","±2.4","65,762","±2,729","86.4%","±1.9","422,147","±7,721","92.2%","±0.8","102,081","±4,579","91.5%","±1.8","505,879","±6,592","88.9%","±0.8","181,254","±4,327","85.2%","±1.2","339,301","±6,435","85.8%","±1.0","201,438","±5,405","84.4%","±1.1","24,330","±1,583","78.8%","±4.0","85,298","±3,020","90.0%","±1.7","103,462","±4,061","88.5%","±1.6","59,187","±2,894","89.4%","±1.9","158,015","±4,466","84.3%","±1.4","167,970","±2,806","92.7%","±0.9","49,886","±3,011","83.9%","±2.9","193,247","±4,179","88.1%","±0.9","24,232","±2,641","91.5%","±2.9","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","12,505","±2,219","12.1%","±2.1","7,583","±1,986","11.0%","±2.7","14,392","±2,711","6.3%","±1.2","64,759","±4,094","9.2%","±0.6","5,127","±1,173","6.7%","±1.4","4,113","±1,414","6.4%","±2.1","6,099","±1,799","8.0%","±2.3","13,128","±2,589","9.3%","±1.8","3,859","±1,069","15.3%","±4.0","39,311","±3,405","10.7%","±0.9","13,050","±1,974","10.8%","±1.6","6,235","±1,445","14.0%","±3.1","5,181","±1,219","6.6%","±1.5","5,667","±1,348","13.1%","±3.0","59,712","±4,189","11.0%","±0.8","3,573","±1,233","5.6%","±1.9","12,663","±2,977","9.1%","±2.1","29,739","±3,407","10.4%","±1.2","9,945","±1,886","8.6%","±1.6","7,831","±1,659","5.4%","±1.1","14,223","±2,908","9.8%","±2.0","4,347","±1,453","6.7%","±2.2","122,709","±6,369","13.4%","±0.7","3,680","±1,048","11.2%","±3.0","3,147","±990","8.9%","±2.8","4,101","±1,185","5.4%","±1.6","33,696","±3,960","7.4%","±0.8","7,473","±2,151","6.7%","±1.9","49,900","±4,009","8.8%","±0.7","14,038","±2,227","6.6%","±1.0","28,284","±3,228","7.2%","±0.8","28,092","±3,452","11.8%","±1.4","5,110","±1,353","16.6%","±4.2","6,315","±1,757","6.7%","±1.8","11,302","±2,543","9.7%","±2.1","4,060","±961","6.1%","±1.4","14,453","±2,447","7.7%","±1.3","10,535","±2,026","5.8%","±1.1","3,761","±1,244","6.3%","±2.0","24,986","±3,075","11.4%","±1.4","2,587","±1,040","9.8%","±3.6","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","60,821","±3,099","59.0%","±2.6","44,081","±2,862","63.7%","±3.7","147,387","±4,773","64.1%","±1.7","451,402","±8,903","64.0%","±1.0","48,492","±3,459","63.3%","±3.3","39,860","±2,657","61.8%","±3.6","53,113","±3,108","70.1%","±3.7","92,244","±5,098","65.6%","±2.6","14,912","±1,588","59.1%","±5.1","214,459","±6,603","58.2%","±1.6","74,917","±3,466","62.1%","±2.3","26,416","±2,030","59.4%","±4.3","51,643","±2,635","65.6%","±3.0","20,323","±2,084","46.9%","±4.1","330,212","±6,118","61.0%","±1.1","38,560","±2,868","60.3%","±3.6","90,405","±4,285","64.9%","±2.7","177,782","±5,426","62.0%","±1.6","75,039","±3,453","64.5%","±2.4","94,515","±4,468","65.1%","±2.3","85,197","±4,276","58.5%","±2.7","39,018","±2,241","60.0%","±3.2","508,256","±7,815","55.7%","±0.8","18,222","±1,505","55.5%","±3.4","23,053","±1,684","65.5%","±4.3","51,769","±2,488","68.0%","±3.1","316,255","±8,074","69.1%","±1.5","73,779","±4,412","66.1%","±3.2","369,197","±6,626","64.9%","±1.1","139,827","±4,378","65.7%","±1.7","247,525","±5,711","62.6%","±1.1","139,022","±4,932","58.3%","±1.7","16,336","±1,605","52.9%","±4.6","64,454","±3,665","68.0%","±3.4","71,590","±3,864","61.2%","±2.9","45,959","±2,993","69.4%","±3.7","116,247","±4,214","62.0%","±2.0","132,886","±3,929","73.4%","±1.8","40,823","±2,923","68.7%","±3.9","130,085","±5,075","59.3%","±2.1","17,300","±2,365","65.3%","±5.6","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","307","±250","0.3%","±0.2","389","±261","0.6%","±0.4","1,512","±500","0.7%","±0.2","4,150","±1,285","0.6%","±0.2","621","±322","0.8%","±0.4","1,248","±557","1.9%","±0.9","260","±228","0.3%","±0.3","1,984","±795","1.4%","±0.6","139","±116","0.6%","±0.5","2,809","±788","0.8%","±0.2","1,339","±629","1.1%","±0.5","1,059","±507","2.4%","±1.1","1,321","±599","1.7%","±0.8","484","±335","1.1%","±0.8","2,458","±636","0.5%","±0.1","866","±608","1.4%","±1.0","1,705","±958","1.2%","±0.7","1,886","±733","0.7%","±0.3","715","±451","0.6%","±0.4","1,149","±448","0.8%","±0.3","1,671","±718","1.1%","±0.5","407","±339","0.6%","±0.5","3,310","±951","0.4%","±0.1","138","±168","0.4%","±0.5","101","±140","0.3%","±0.4","762","±529","1.0%","±0.7","2,608","±875","0.6%","±0.2","350","±313","0.3%","±0.3","5,740","±1,016","1.0%","±0.2","3,376","±1,006","1.6%","±0.5","3,871","±1,035","1.0%","±0.3","2,110","±719","0.9%","±0.3","405","±335","1.3%","±1.1","367","±274","0.4%","±0.3","613","±348","0.5%","±0.3","202","±212","0.3%","±0.3","2,518","±814","1.3%","±0.4","1,285","±647","0.7%","±0.4","574","±437","1.0%","±0.7","2,190","±749","1.0%","±0.3","119","±197","0.4%","±0.7","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","1,967","±660","1.9%","±0.6","1,353","±524","2.0%","±0.8","4,596","±912","2.0%","±0.4","32,881","±3,584","4.7%","±0.5","1,181","±479","1.5%","±0.6","791","±471","1.2%","±0.7","1,757","±742","2.3%","±1.0","2,706","±926","1.9%","±0.7","386","±286","1.5%","±1.1","16,069","±3,052","4.4%","±0.8","2,112","±825","1.8%","±0.7","573","±331","1.3%","±0.7","1,995","±672","2.5%","±0.8","763","±435","1.8%","±1.0","7,681","±1,220","1.4%","±0.2","4,945","±1,410","7.7%","±2.1","2,985","±1,041","2.1%","±0.8","14,724","±2,361","5.1%","±0.8","1,379","±574","1.2%","±0.5","4,739","±1,357","3.3%","±0.9","3,651","±979","2.5%","±0.7","1,978","±1,036","3.0%","±1.6","48,210","±4,333","5.3%","±0.5","577","±330","1.8%","±1.0","1,518","±739","4.3%","±2.1","930","±476","1.2%","±0.6","11,258","±1,972","2.5%","±0.4","2,306","±866","2.1%","±0.8","14,308","±1,972","2.5%","±0.3","4,582","±1,154","2.2%","±0.5","7,955","±1,608","2.0%","±0.4","4,855","±1,056","2.0%","±0.4","292","±244","0.9%","±0.8","2,161","±833","2.3%","±0.9","1,687","±647","1.4%","±0.6","925","±483","1.4%","±0.7","3,193","±840","1.7%","±0.4","3,772","±1,086","2.1%","±0.6","1,679","±883","2.8%","±1.4","4,007","±1,007","1.8%","±0.5","878","±537","3.3%","±2.0","2,937,915","±27,533","2.4%","±0.1"
