"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Percent!!Estimate","Canadian County, Oklahoma!!Percent!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Percent!!Estimate","Cleveland County, Oklahoma!!Percent!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Percent!!Estimate","Comanche County, Oklahoma!!Percent!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Percent!!Estimate","Creek County, Oklahoma!!Percent!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Percent!!Estimate","Muskogee County, Oklahoma!!Percent!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Percent!!Estimate","Oklahoma County, Oklahoma!!Percent!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Percent!!Estimate","Payne County, Oklahoma!!Percent!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Percent!!Estimate","Pottawatomie County, Oklahoma!!Percent!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Percent!!Estimate","Rogers County, Oklahoma!!Percent!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Percent!!Estimate","Tulsa County, Oklahoma!!Percent!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Percent!!Estimate","Wagoner County, Oklahoma!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","46,005","±1,005","(X)","(X)","108,673","±1,881","(X)","(X)","41,843","±1,796","(X)","(X)","26,561","±712","(X)","(X)","26,842","±769","(X)","(X)","305,493","±3,296","(X)","(X)","31,788","±1,484","(X)","(X)","25,655","±667","(X)","(X)","35,531","±891","(X)","(X)","255,352","±1,952","(X)","(X)","29,837","±611","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","43,980","±1,238","95.6%","±1.9","103,533","±2,005","95.3%","±1.0","39,472","±1,917","94.3%","±1.7","24,403","±802","91.9%","±1.6","24,158","±904","90.0%","±2.0","285,050","±3,376","93.3%","±0.7","30,055","±1,659","94.5%","±2.4","23,230","±839","90.5%","±1.8","33,263","±999","93.6%","±1.5","240,690","±1,929","94.3%","±0.5","27,788","±716","93.1%","±1.5","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","38,800","±1,577","84.3%","±2.7","87,680","±2,890","80.7%","±2.3","30,580","±1,810","73.1%","±3.1","17,374","±929","65.4%","±2.9","17,124","±1,090","63.8%","±3.4","216,145","±4,624","70.8%","±1.4","25,762","±1,801","81.0%","±3.5","17,611","±887","68.6%","±2.9","27,082","±1,136","76.2%","±2.6","189,492","±2,833","74.2%","±1.0","22,273","±882","74.6%","±2.7","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","1,298","±422","2.8%","±0.9","2,774","±769","2.6%","±0.7","1,559","±692","3.7%","±1.6","750","±234","2.8%","±0.9","526","±243","2.0%","±0.9","8,092","±1,210","2.6%","±0.4","926","±474","2.9%","±1.5","908","±323","3.5%","±1.3","1,372","±368","3.9%","±1.0","7,203","±961","2.8%","±0.4","961","±340","3.2%","±1.1","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","42,086","±1,291","91.5%","±2.1","99,132","±2,113","91.2%","±1.2","37,089","±1,804","88.6%","±2.3","23,146","±858","87.1%","±2.1","22,699","±981","84.6%","±2.5","271,279","±3,634","88.8%","±0.9","28,238","±1,759","88.8%","±2.9","21,861","±869","85.2%","±2.2","31,225","±983","87.9%","±1.9","228,336","±2,160","89.4%","±0.6","25,855","±795","86.7%","±2.0","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","3,612","±997","7.9%","±2.2","10,938","±1,985","10.1%","±1.8","5,054","±1,119","12.1%","±2.5","4,921","±533","18.5%","±2.0","4,971","±802","18.5%","±3.0","51,473","±4,126","16.8%","±1.3","2,386","±648","7.5%","±2.1","4,023","±645","15.7%","±2.4","3,757","±729","10.6%","±2.0","34,863","±2,019","13.7%","±0.8","3,615","±678","12.1%","±2.2","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","29,710","±1,875","64.6%","±3.9","67,411","±3,239","62.0%","±2.8","26,069","±1,866","62.3%","±3.7","14,616","±1,043","55.0%","±3.2","12,570","±1,126","46.8%","±3.9","165,029","±4,519","54.0%","±1.5","18,764","±1,871","59.0%","±5.0","13,214","±894","51.5%","±3.2","22,494","±1,165","63.3%","±3.1","153,340","±3,029","60.1%","±1.2","18,673","±1,059","62.6%","±3.3","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","153","±139","0.3%","±0.3","677","±369","0.6%","±0.3","144","±158","0.3%","±0.4","217","±149","0.8%","±0.6","329","±195","1.2%","±0.7","1,841","±597","0.6%","±0.2","385","±336","1.2%","±1.0","246","±184","1.0%","±0.7","173","±154","0.5%","±0.4","1,797","±480","0.7%","±0.2","139","±132","0.5%","±0.4","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","805","±490","1.7%","±1.1","1,879","±794","1.7%","±0.7","688","±390","1.6%","±0.9","3,909","±667","14.7%","±2.5","1,960","±597","7.3%","±2.2","6,826","±1,372","2.2%","±0.5","397","±280","1.2%","±0.9","226","±184","0.9%","±0.7","538","±319","1.5%","±0.9","5,157","±819","2.0%","±0.3","274","±182","0.9%","±0.6","2,937,915","±27,533","2.4%","±0.1"
"                Other computer with no other type of computing device","26","±45","0.1%","±0.1","0","±165","0.0%","±0.1","0","±165","0.0%","±0.3","0","±165","0.0%","±0.4","0","±165","0.0%","±0.4","57","±101","0.0%","±0.1","0","±165","0.0%","±0.4","9","±16","0.0%","±0.1","0","±165","0.0%","±0.3","81","±99","0.0%","±0.1","0","±165","0.0%","±0.4","25,911","±2,308","0.0%","±0.1"
"        No computer","2,025","±878","4.4%","±1.9","5,140","±1,130","4.7%","±1.0","2,371","±690","5.7%","±1.7","2,158","±430","8.1%","±1.6","2,684","±545","10.0%","±2.0","20,443","±2,190","6.7%","±0.7","1,733","±749","5.5%","±2.4","2,425","±465","9.5%","±1.8","2,268","±533","6.4%","±1.5","14,662","±1,231","5.7%","±0.5","2,049","±459","6.9%","±1.5","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","41,706","±1,279","90.7%","±2.1","97,174","±2,371","89.4%","±1.7","36,556","±1,870","87.4%","±2.4","22,726","±841","85.6%","±2.0","19,807","±1,016","73.8%","±3.1","266,221","±3,849","87.1%","±1.0","26,343","±1,732","82.9%","±3.8","21,751","±899","84.8%","±2.4","30,005","±1,074","84.4%","±2.2","226,349","±2,448","88.6%","±0.7","25,919","±838","86.9%","±2.3","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","16","±26","0.0%","±0.1","154","±188","0.1%","±0.2","52","±81","0.1%","±0.2","35","±42","0.1%","±0.2","40","±65","0.1%","±0.2","197","±169","0.1%","±0.1","14","±24","0.0%","±0.1","59","±100","0.2%","±0.4","83","±118","0.2%","±0.3","285","±180","0.1%","±0.1","90","±85","0.3%","±0.3","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","41,690","±1,278","90.6%","±2.1","97,020","±2,399","89.3%","±1.7","36,504","±1,873","87.2%","±2.4","22,691","±844","85.4%","±2.0","19,767","±1,010","73.6%","±3.1","266,024","±3,834","87.1%","±1.0","26,329","±1,730","82.8%","±3.8","21,692","±887","84.6%","±2.4","29,922","±1,088","84.2%","±2.2","226,064","±2,412","88.5%","±0.7","25,829","±835","86.6%","±2.3","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","39,335","±1,431","85.5%","±2.6","90,977","±2,553","83.7%","±1.9","32,451","±1,966","77.6%","±3.4","21,783","±856","82.0%","±2.3","16,378","±1,074","61.0%","±3.7","236,169","±3,830","77.3%","±1.2","23,633","±1,779","74.3%","±4.0","20,367","±941","79.4%","±2.8","28,015","±1,040","78.8%","±2.4","213,077","±2,521","83.4%","±0.9","23,974","±848","80.3%","±2.4","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","4,697","±977","10.2%","±2.1","10,987","±2,021","10.1%","±1.9","6,606","±1,400","15.8%","±3.3","4,942","±569","18.6%","±2.1","4,797","±860","17.9%","±3.2","52,970","±3,663","17.3%","±1.2","4,982","±1,257","15.7%","±3.8","5,475","±828","21.3%","±3.0","5,882","±811","16.6%","±2.2","36,882","±1,859","14.4%","±0.7","3,990","±677","13.4%","±2.2","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","33,183","±1,486","72.1%","±3.0","80,280","±2,860","73.9%","±2.4","27,262","±1,832","65.2%","±3.5","16,019","±974","60.3%","±3.1","12,644","±1,110","47.1%","±3.7","202,936","±5,487","66.4%","±1.7","18,763","±1,689","59.0%","±4.8","14,041","±954","54.7%","±3.6","19,777","±1,212","55.7%","±3.1","183,233","±2,756","71.8%","±0.9","19,896","±970","66.7%","±3.0","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","5,601","±1,257","12.2%","±2.7","7,326","±1,281","6.7%","±1.2","3,734","±1,042","8.9%","±2.4","3,041","±569","11.4%","±2.1","2,764","±559","10.3%","±2.1","18,234","±1,722","6.0%","±0.6","3,582","±930","11.3%","±2.9","3,120","±589","12.2%","±2.3","4,610","±771","13.0%","±2.1","14,983","±1,366","5.9%","±0.5","2,479","±528","8.3%","±1.8","8,021,594","±64,513","6.5%","±0.1"
"        Without an Internet subscription","4,299","±967","9.3%","±2.1","11,499","±1,819","10.6%","±1.7","5,287","±1,048","12.6%","±2.4","3,835","±527","14.4%","±2.0","7,035","±855","26.2%","±3.1","39,272","±3,234","12.9%","±1.0","5,445","±1,240","17.1%","±3.8","3,904","±605","15.2%","±2.4","5,526","±785","15.6%","±2.2","29,003","±1,873","11.4%","±0.7","3,918","±685","13.1%","±2.3","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","3,180","±1,001","(X)","(X)","14,184","±1,725","(X)","(X)","7,648","±1,317","(X)","(X)","4,398","±643","(X)","(X)","5,809","±858","(X)","(X)","47,997","±3,267","(X)","(X)","8,334","±1,405","(X)","(X)","4,895","±710","(X)","(X)","3,791","±585","(X)","(X)","39,059","±1,984","(X)","(X)","3,348","±618","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","16","±26","0.5%","±0.9","85","±151","0.6%","±1.1","0","±165","0.0%","±1.5","0","±165","0.0%","±2.5","0","±165","0.0%","±1.9","73","±90","0.2%","±0.2","0","±165","0.0%","±1.3","59","±100","1.2%","±2.0","0","±165","0.0%","±2.9","75","±88","0.2%","±0.2","22","±36","0.7%","±1.1","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","2,467","±789","77.6%","±11.5","9,375","±1,644","66.1%","±7.5","5,054","±1,036","66.1%","±8.7","3,098","±573","70.4%","±7.0","2,938","±724","50.6%","±9.1","32,627","±2,564","68.0%","±3.3","6,175","±1,356","74.1%","±8.9","3,296","±623","67.3%","±7.6","2,283","±505","60.2%","±9.0","27,850","±1,943","71.3%","±3.0","1,812","±517","54.1%","±12.9","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","697","±462","21.9%","±11.4","4,724","±1,144","33.3%","±7.4","2,594","±827","33.9%","±8.7","1,300","±343","29.6%","±7.0","2,871","±646","49.4%","±9.1","15,297","±2,025","31.9%","±3.4","2,159","±775","25.9%","±8.9","1,540","±417","31.5%","±7.6","1,508","±399","39.8%","±9.0","11,134","±1,268","28.5%","±3.1","1,514","±541","45.2%","±12.9","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","20,195","±1,888","(X)","(X)","47,411","±2,598","(X)","(X)","20,599","±1,957","(X)","(X)","12,923","±848","(X)","(X)","13,906","±1,104","(X)","(X)","143,069","±4,879","(X)","(X)","15,068","±1,505","(X)","(X)","12,457","±934","(X)","(X)","16,532","±1,177","(X)","(X)","118,712","±2,715","(X)","(X)","13,705","±1,100","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","0","±165","0.0%","±0.6","69","±116","0.1%","±0.2","0","±165","0.0%","±0.5","19","±32","0.1%","±0.2","40","±65","0.3%","±0.5","124","±146","0.1%","±0.1","14","±24","0.1%","±0.2","0","±165","0.0%","±0.9","83","±118","0.5%","±0.7","166","±143","0.1%","±0.1","68","±79","0.5%","±0.6","154,033","±5,386","0.3%","±0.1"
