"Label","Angelina County, Texas!!Total!!Estimate","Angelina County, Texas!!Total!!Margin of Error","Angelina County, Texas!!Percent!!Estimate","Angelina County, Texas!!Percent!!Margin of Error","Bastrop County, Texas!!Total!!Estimate","Bastrop County, Texas!!Total!!Margin of Error","Bastrop County, Texas!!Percent!!Estimate","Bastrop County, Texas!!Percent!!Margin of Error","Bell County, Texas!!Total!!Estimate","Bell County, Texas!!Total!!Margin of Error","Bell County, Texas!!Percent!!Estimate","Bell County, Texas!!Percent!!Margin of Error","Bexar County, Texas!!Total!!Estimate","Bexar County, Texas!!Total!!Margin of Error","Bexar County, Texas!!Percent!!Estimate","Bexar County, Texas!!Percent!!Margin of Error","Bowie County, Texas!!Total!!Estimate","Bowie County, Texas!!Total!!Margin of Error","Bowie County, Texas!!Percent!!Estimate","Bowie County, Texas!!Percent!!Margin of Error","Brazoria County, Texas!!Total!!Estimate","Brazoria County, Texas!!Total!!Margin of Error","Brazoria County, Texas!!Percent!!Estimate","Brazoria County, Texas!!Percent!!Margin of Error","Brazos County, Texas!!Total!!Estimate","Brazos County, Texas!!Total!!Margin of Error","Brazos County, Texas!!Percent!!Estimate","Brazos County, Texas!!Percent!!Margin of Error","Cameron County, Texas!!Total!!Estimate","Cameron County, Texas!!Total!!Margin of Error","Cameron County, Texas!!Percent!!Estimate","Cameron County, Texas!!Percent!!Margin of Error","Collin County, Texas!!Total!!Estimate","Collin County, Texas!!Total!!Margin of Error","Collin County, Texas!!Percent!!Estimate","Collin County, Texas!!Percent!!Margin of Error","Comal County, Texas!!Total!!Estimate","Comal County, Texas!!Total!!Margin of Error","Comal County, Texas!!Percent!!Estimate","Comal County, Texas!!Percent!!Margin of Error","Coryell County, Texas!!Total!!Estimate","Coryell County, Texas!!Total!!Margin of Error","Coryell County, Texas!!Percent!!Estimate","Coryell County, Texas!!Percent!!Margin of Error","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Total!!Margin of Error","Dallas County, Texas!!Percent!!Estimate","Dallas County, Texas!!Percent!!Margin of Error","Denton County, Texas!!Total!!Estimate","Denton County, Texas!!Total!!Margin of Error","Denton County, Texas!!Percent!!Estimate","Denton County, Texas!!Percent!!Margin of Error","Ector County, Texas!!Total!!Estimate","Ector County, Texas!!Total!!Margin of Error","Ector County, Texas!!Percent!!Estimate","Ector County, Texas!!Percent!!Margin of Error","Ellis County, Texas!!Total!!Estimate","Ellis County, Texas!!Total!!Margin of Error","Ellis County, Texas!!Percent!!Estimate","Ellis County, Texas!!Percent!!Margin of Error","El Paso County, Texas!!Total!!Estimate","El Paso County, Texas!!Total!!Margin of Error","El Paso County, Texas!!Percent!!Estimate","El Paso County, Texas!!Percent!!Margin of Error","Fort Bend County, Texas!!Total!!Estimate","Fort Bend County, Texas!!Total!!Margin of Error","Fort Bend County, Texas!!Percent!!Estimate","Fort Bend County, Texas!!Percent!!Margin of Error","Galveston County, Texas!!Total!!Estimate","Galveston County, Texas!!Total!!Margin of Error","Galveston County, Texas!!Percent!!Estimate","Galveston County, Texas!!Percent!!Margin of Error","Grayson County, Texas!!Total!!Estimate","Grayson County, Texas!!Total!!Margin of Error","Grayson County, Texas!!Percent!!Estimate","Grayson County, Texas!!Percent!!Margin of Error","Gregg County, Texas!!Total!!Estimate","Gregg County, Texas!!Total!!Margin of Error","Gregg County, Texas!!Percent!!Estimate","Gregg County, Texas!!Percent!!Margin of Error","Guadalupe County, Texas!!Total!!Estimate","Guadalupe County, Texas!!Total!!Margin of Error","Guadalupe County, Texas!!Percent!!Estimate","Guadalupe County, Texas!!Percent!!Margin of Error","Harris County, Texas!!Total!!Estimate","Harris County, Texas!!Total!!Margin of Error","Harris County, Texas!!Percent!!Estimate","Harris County, Texas!!Percent!!Margin of Error","Harrison County, Texas!!Total!!Estimate","Harrison County, Texas!!Total!!Margin of Error","Harrison County, Texas!!Percent!!Estimate","Harrison County, Texas!!Percent!!Margin of Error","Hays County, Texas!!Total!!Estimate","Hays County, Texas!!Total!!Margin of Error","Hays County, Texas!!Percent!!Estimate","Hays County, Texas!!Percent!!Margin of Error","Henderson County, Texas!!Total!!Estimate","Henderson County, Texas!!Total!!Margin of Error","Henderson County, Texas!!Percent!!Estimate","Henderson County, Texas!!Percent!!Margin of Error","Hidalgo County, Texas!!Total!!Estimate","Hidalgo County, Texas!!Total!!Margin of Error","Hidalgo County, Texas!!Percent!!Estimate","Hidalgo County, Texas!!Percent!!Margin of Error","Hunt County, Texas!!Total!!Estimate","Hunt County, Texas!!Total!!Margin of Error","Hunt County, Texas!!Percent!!Estimate","Hunt County, Texas!!Percent!!Margin of Error","Jefferson County, Texas!!Total!!Estimate","Jefferson County, Texas!!Total!!Margin of Error","Jefferson County, Texas!!Percent!!Estimate","Jefferson County, Texas!!Percent!!Margin of Error","Johnson County, Texas!!Total!!Estimate","Johnson County, Texas!!Total!!Margin of Error","Johnson County, Texas!!Percent!!Estimate","Johnson County, Texas!!Percent!!Margin of Error","Kaufman County, Texas!!Total!!Estimate","Kaufman County, Texas!!Total!!Margin of Error","Kaufman County, Texas!!Percent!!Estimate","Kaufman County, Texas!!Percent!!Margin of Error","Liberty County, Texas!!Total!!Estimate","Liberty County, Texas!!Total!!Margin of Error","Liberty County, Texas!!Percent!!Estimate","Liberty County, Texas!!Percent!!Margin of Error","Lubbock County, Texas!!Total!!Estimate","Lubbock County, Texas!!Total!!Margin of Error","Lubbock County, Texas!!Percent!!Estimate","Lubbock County, Texas!!Percent!!Margin of Error","McLennan County, Texas!!Total!!Estimate","McLennan County, Texas!!Total!!Margin of Error","McLennan County, Texas!!Percent!!Estimate","McLennan County, Texas!!Percent!!Margin of Error","Midland County, Texas!!Total!!Estimate","Midland County, Texas!!Total!!Margin of Error","Midland County, Texas!!Percent!!Estimate","Midland County, Texas!!Percent!!Margin of Error","Montgomery County, Texas!!Total!!Estimate","Montgomery County, Texas!!Total!!Margin of Error","Montgomery County, Texas!!Percent!!Estimate","Montgomery County, Texas!!Percent!!Margin of Error","Nacogdoches County, Texas!!Total!!Estimate","Nacogdoches County, Texas!!Total!!Margin of Error","Nacogdoches County, Texas!!Percent!!Estimate","Nacogdoches County, Texas!!Percent!!Margin of Error","Nueces County, Texas!!Total!!Estimate","Nueces County, Texas!!Total!!Margin of Error","Nueces County, Texas!!Percent!!Estimate","Nueces County, Texas!!Percent!!Margin of Error","Orange County, Texas!!Total!!Estimate","Orange County, Texas!!Total!!Margin of Error","Orange County, Texas!!Percent!!Estimate","Orange County, Texas!!Percent!!Margin of Error","Parker County, Texas!!Total!!Estimate","Parker County, Texas!!Total!!Margin of Error","Parker County, Texas!!Percent!!Estimate","Parker County, Texas!!Percent!!Margin of Error","Potter County, Texas!!Total!!Estimate","Potter County, Texas!!Total!!Margin of Error","Potter County, Texas!!Percent!!Estimate","Potter County, Texas!!Percent!!Margin of Error","Randall County, Texas!!Total!!Estimate","Randall County, Texas!!Total!!Margin of Error","Randall County, Texas!!Percent!!Estimate","Randall County, Texas!!Percent!!Margin of Error","Rockwall County, Texas!!Total!!Estimate","Rockwall County, Texas!!Total!!Margin of Error","Rockwall County, Texas!!Percent!!Estimate","Rockwall County, Texas!!Percent!!Margin of Error","San Patricio County, Texas!!Total!!Estimate","San Patricio County, Texas!!Total!!Margin of Error","San Patricio County, Texas!!Percent!!Estimate","San Patricio County, Texas!!Percent!!Margin of Error","Smith County, Texas!!Total!!Estimate","Smith County, Texas!!Total!!Margin of Error","Smith County, Texas!!Percent!!Estimate","Smith County, Texas!!Percent!!Margin of Error","Tarrant County, Texas!!Total!!Estimate","Tarrant County, Texas!!Total!!Margin of Error","Tarrant County, Texas!!Percent!!Estimate","Tarrant County, Texas!!Percent!!Margin of Error","Taylor County, Texas!!Total!!Estimate","Taylor County, Texas!!Total!!Margin of Error","Taylor County, Texas!!Percent!!Estimate","Taylor County, Texas!!Percent!!Margin of Error","Tom Green County, Texas!!Total!!Estimate","Tom Green County, Texas!!Total!!Margin of Error","Tom Green County, Texas!!Percent!!Estimate","Tom Green County, Texas!!Percent!!Margin of Error","Travis County, Texas!!Total!!Estimate","Travis County, Texas!!Total!!Margin of Error","Travis County, Texas!!Percent!!Estimate","Travis County, Texas!!Percent!!Margin of Error","Victoria County, Texas!!Total!!Estimate","Victoria County, Texas!!Total!!Margin of Error","Victoria County, Texas!!Percent!!Estimate","Victoria County, Texas!!Percent!!Margin of Error","Walker County, Texas!!Total!!Estimate","Walker County, Texas!!Total!!Margin of Error","Walker County, Texas!!Percent!!Estimate","Walker County, Texas!!Percent!!Margin of Error","Webb County, Texas!!Total!!Estimate","Webb County, Texas!!Total!!Margin of Error","Webb County, Texas!!Percent!!Estimate","Webb County, Texas!!Percent!!Margin of Error","Wichita County, Texas!!Total!!Estimate","Wichita County, Texas!!Total!!Margin of Error","Wichita County, Texas!!Percent!!Estimate","Wichita County, Texas!!Percent!!Margin of Error","Williamson County, Texas!!Total!!Estimate","Williamson County, Texas!!Total!!Margin of Error","Williamson County, Texas!!Percent!!Estimate","Williamson County, Texas!!Percent!!Margin of Error","Wise County, Texas!!Total!!Estimate","Wise County, Texas!!Total!!Margin of Error","Wise County, Texas!!Percent!!Estimate","Wise County, Texas!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","32,293","±1,229","(X)","(X)","26,393","±1,525","(X)","(X)","126,772","±2,430","(X)","(X)","646,352","±4,813","(X)","(X)","34,935","±1,517","(X)","(X)","129,261","±2,246","(X)","(X)","79,971","±2,792","(X)","(X)","129,307","±2,801","(X)","(X)","363,599","±3,928","(X)","(X)","57,004","±1,375","(X)","(X)","22,093","±1,237","(X)","(X)","940,587","±5,547","(X)","(X)","305,164","±3,815","(X)","(X)","53,155","±1,332","(X)","(X)","61,465","±1,556","(X)","(X)","269,150","±3,541","(X)","(X)","253,030","±3,135","(X)","(X)","127,092","±2,880","(X)","(X)","49,024","±1,794","(X)","(X)","45,711","±1,858","(X)","(X)","56,051","±1,420","(X)","(X)","1,647,384","±10,077","(X)","(X)","24,197","±1,193","(X)","(X)","77,749","±2,243","(X)","(X)","30,607","±1,358","(X)","(X)","247,544","±3,892","(X)","(X)","35,093","±1,197","(X)","(X)","89,273","±2,715","(X)","(X)","59,113","±1,594","(X)","(X)","39,835","±1,204","(X)","(X)","27,367","±1,657","(X)","(X)","117,494","±2,362","(X)","(X)","93,021","±1,894","(X)","(X)","59,325","±1,205","(X)","(X)","209,528","±3,925","(X)","(X)","24,722","±1,323","(X)","(X)","131,194","±3,135","(X)","(X)","31,913","±1,388","(X)","(X)","43,520","±1,693","(X)","(X)","44,180","±1,624","(X)","(X)","50,261","±1,349","(X)","(X)","36,665","±604","(X)","(X)","21,872","±1,351","(X)","(X)","78,600","±2,407","(X)","(X)","727,094","±5,181","(X)","(X)","50,282","±1,592","(X)","(X)","43,604","±1,687","(X)","(X)","507,751","±5,452","(X)","(X)","30,058","±1,589","(X)","(X)","22,201","±1,485","(X)","(X)","76,326","±2,150","(X)","(X)","48,315","±2,499","(X)","(X)","193,008","±2,970","(X)","(X)","22,882","±1,087","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","29,399","±1,126","91.0%","±2.3","23,967","±1,602","90.8%","±3.1","118,652","±3,189","93.6%","±1.4","608,736","±5,869","94.2%","±0.5","29,221","±1,582","83.6%","±3.7","125,655","±2,640","97.2%","±0.8","75,893","±2,837","94.9%","±1.6","109,789","±3,130","84.9%","±1.6","357,624","±4,110","98.4%","±0.4","54,796","±1,462","96.1%","±1.2","20,239","±1,263","91.6%","±3.2","874,102","±7,042","92.9%","±0.5","300,542","±4,199","98.5%","±0.4","49,050","±1,811","92.3%","±2.6","58,660","±1,926","95.4%","±1.5","245,777","±3,896","91.3%","±0.8","244,291","±3,570","96.5%","±0.8","120,866","±3,305","95.1%","±1.2","44,234","±2,001","90.2%","±2.3","42,292","±1,954","92.5%","±2.0","53,843","±1,513","96.1%","±1.3","1,546,971","±12,421","93.9%","±0.4","21,717","±1,284","89.8%","±4.2","75,492","±2,320","97.1%","±1.4","26,662","±1,713","87.1%","±3.3","221,336","±4,712","89.4%","±1.2","32,178","±1,424","91.7%","±2.7","84,118","±2,740","94.2%","±1.1","55,244","±1,853","93.5%","±2.0","38,443","±1,364","96.5%","±1.2","24,377","±1,785","89.1%","±3.2","110,996","±2,589","94.5%","±1.0","86,245","±2,188","92.7%","±1.4","57,126","±1,443","96.3%","±1.7","202,953","±4,503","96.9%","±0.9","22,884","±1,397","92.6%","±2.4","120,227","±3,564","91.6%","±1.3","29,278","±1,383","91.7%","±2.1","41,703","±1,639","95.8%","±1.7","41,166","±1,827","93.2%","±2.1","48,097","±1,504","95.7%","±1.3","36,417","±655","99.3%","±0.6","19,909","±1,297","91.0%","±3.1","74,309","±2,790","94.5%","±1.7","698,468","±5,816","96.1%","±0.4","46,318","±1,777","92.1%","±1.9","40,604","±1,782","93.1%","±2.0","484,180","±6,074","95.4%","±0.6","27,368","±1,505","91.1%","±2.6","19,684","±1,528","88.7%","±3.3","70,946","±2,207","93.0%","±1.4","42,242","±2,410","87.4%","±2.7","188,630","±3,090","97.7%","±0.5","21,255","±1,328","92.9%","±3.4","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","21,786","±1,431","67.5%","±3.7","18,401","±1,871","69.7%","±6.7","103,174","±3,675","81.4%","±2.3","477,750","±7,186","73.9%","±1.1","21,687","±1,530","62.1%","±3.7","106,650","±3,566","82.5%","±2.1","64,192","±2,969","80.3%","±3.1","70,470","±3,846","54.5%","±2.8","324,903","±5,264","89.4%","±1.1","50,485","±1,944","88.6%","±2.8","17,153","±1,399","77.6%","±5.1","700,079","±8,654","74.4%","±0.8","274,157","±4,979","89.8%","±1.1","32,241","±2,417","60.7%","±4.1","48,308","±2,469","78.6%","±3.2","179,392","±4,746","66.7%","±1.6","227,572","±4,665","89.9%","±1.4","100,897","±3,665","79.4%","±2.0","32,372","±2,083","66.0%","±3.4","31,269","±2,316","68.4%","±4.3","44,612","±2,037","79.6%","±3.2","1,257,084","±14,192","76.3%","±0.7","15,565","±1,558","64.3%","±6.1","67,371","±2,717","86.7%","±2.6","19,641","±1,882","64.2%","±5.5","144,633","±5,294","58.4%","±1.9","23,653","±1,509","67.4%","±4.3","55,422","±3,216","62.1%","±2.9","44,094","±2,299","74.6%","±3.3","32,047","±1,654","80.4%","±3.2","16,343","±1,507","59.7%","±4.9","88,192","±3,400","75.1%","±2.5","67,533","±2,545","72.6%","±2.5","43,400","±2,892","73.2%","±4.8","175,130","±4,658","83.6%","±1.8","15,989","±1,959","64.7%","±6.5","89,420","±3,251","68.2%","±2.2","22,170","±1,675","69.5%","±4.5","35,441","±1,870","81.4%","±3.3","27,379","±1,841","62.0%","±3.5","39,999","±1,911","79.6%","±2.9","33,900","±1,048","92.5%","±2.6","15,195","±1,559","69.5%","±5.6","46,429","±3,341","59.1%","±3.8","585,993","±8,565","80.6%","±0.9","36,634","±1,989","72.9%","±3.4","32,526","±2,106","74.6%","±3.7","435,871","±6,393","85.8%","±1.0","20,043","±1,869","66.7%","±5.3","15,470","±1,494","69.7%","±5.7","47,729","±2,739","62.5%","±3.3","33,405","±2,624","69.1%","±4.2","172,625","±4,179","89.4%","±1.5","16,327","±1,444","71.4%","±4.8","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","1,473","±453","4.6%","±1.4","1,398","±644","5.3%","±2.4","4,927","±1,329","3.9%","±1.0","15,347","±1,932","2.4%","±0.3","1,037","±489","3.0%","±1.4","2,576","±964","2.0%","±0.7","1,901","±966","2.4%","±1.2","2,755","±1,295","2.1%","±1.0","4,233","±1,025","1.2%","±0.3","2,250","±830","3.9%","±1.5","1,015","±458","4.6%","±2.0","20,519","±2,294","2.2%","±0.2","4,743","±1,140","1.6%","±0.4","537","±304","1.0%","±0.6","2,181","±769","3.5%","±1.3","5,547","±1,014","2.1%","±0.4","5,054","±1,490","2.0%","±0.6","4,675","±1,184","3.7%","±0.9","2,289","±704","4.7%","±1.4","1,301","±509","2.8%","±1.1","1,890","±785","3.4%","±1.4","37,378","±3,629","2.3%","±0.2","306","±174","1.3%","±0.7","1,030","±456","1.3%","±0.6","1,056","±454","3.5%","±1.5","4,545","±1,635","1.8%","±0.7","925","±460","2.6%","±1.3","2,153","±631","2.4%","±0.7","1,480","±552","2.5%","±0.9","790","±469","2.0%","±1.2","783","±421","2.9%","±1.6","2,553","±729","2.2%","±0.6","2,751","±774","3.0%","±0.8","1,382","±981","2.3%","±1.7","3,390","±1,045","1.6%","±0.5","1,139","±544","4.6%","±2.2","3,605","±1,106","2.7%","±0.8","1,077","±450","3.4%","±1.4","1,064","±524","2.4%","±1.2","730","±344","1.7%","±0.8","1,572","±627","3.1%","±1.2","283","±278","0.8%","±0.8","736","±416","3.4%","±1.9","2,153","±787","2.7%","±1.0","16,956","±2,315","2.3%","±0.3","1,760","±679","3.5%","±1.3","1,505","±553","3.5%","±1.3","11,586","±2,528","2.3%","±0.5","1,276","±608","4.2%","±2.0","559","±353","2.5%","±1.6","1,748","±703","2.3%","±0.9","1,283","±450","2.7%","±0.9","4,308","±1,145","2.2%","±0.6","1,019","±501","4.5%","±2.2","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","26,874","±1,271","83.2%","±2.9","21,971","±1,556","83.2%","±3.9","110,778","±3,316","87.4%","±1.7","582,723","±6,141","90.2%","±0.6","27,020","±1,608","77.3%","±4.1","120,562","±2,946","93.3%","±1.3","72,377","±2,874","90.5%","±1.9","104,844","±3,739","81.1%","±2.1","347,835","±4,149","95.7%","±0.5","51,313","±1,707","90.0%","±2.1","18,936","±1,233","85.7%","±3.5","839,323","±8,184","89.2%","±0.6","291,758","±4,297","95.6%","±0.6","48,201","±1,778","90.7%","±2.7","55,686","±2,196","90.6%","±2.2","236,185","±4,092","87.8%","±1.0","236,828","±4,045","93.6%","±1.1","114,660","±3,397","90.2%","±1.6","41,328","±1,908","84.3%","±2.4","40,065","±2,039","87.6%","±2.4","51,044","±1,627","91.1%","±1.8","1,483,047","±12,546","90.0%","±0.5","21,063","±1,260","87.0%","±4.0","73,820","±2,489","94.9%","±1.6","25,138","±1,662","82.1%","±3.3","213,156","±4,729","86.1%","±1.3","30,821","±1,441","87.8%","±3.1","79,790","±3,095","89.4%","±1.6","52,996","±1,990","89.7%","±2.4","37,123","±1,419","93.2%","±1.9","22,923","±1,832","83.8%","±3.5","106,717","±2,687","90.8%","±1.3","82,105","±2,465","88.3%","±1.8","54,700","±1,817","92.2%","±2.5","196,053","±4,839","93.6%","±1.2","20,910","±1,533","84.6%","±3.6","115,242","±3,610","87.8%","±1.5","27,836","±1,525","87.2%","±2.5","39,910","±1,704","91.7%","±2.2","39,574","±1,915","89.6%","±2.5","45,377","±1,520","90.3%","±1.8","35,309","±865","96.3%","±1.3","18,853","±1,339","86.2%","±3.6","70,802","±2,710","90.1%","±1.8","670,494","±5,768","92.2%","±0.5","43,875","±1,844","87.3%","±2.3","38,377","±1,811","88.0%","±2.2","466,020","±6,048","91.8%","±0.7","25,585","±1,525","85.1%","±3.3","18,996","±1,549","85.6%","±3.5","67,656","±2,506","88.6%","±1.8","39,884","±2,446","82.5%","±2.7","182,124","±3,118","94.4%","±0.8","20,114","±1,374","87.9%","±3.9","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","4,352","±940","13.5%","±2.9","3,815","±1,564","14.5%","±5.7","9,967","±1,638","7.9%","±1.3","90,564","±6,213","14.0%","±0.9","5,758","±1,198","16.5%","±3.4","13,584","±2,438","10.5%","±1.9","7,844","±2,009","9.8%","±2.5","24,529","±3,100","19.0%","±2.4","20,826","±2,921","5.7%","±0.8","2,844","±1,184","5.0%","±2.1","2,066","±779","9.4%","±3.5","126,435","±6,922","13.4%","±0.7","15,794","±2,995","5.2%","±1.0","12,548","±1,882","23.6%","±3.5","7,187","±1,556","11.7%","±2.5","46,528","±3,485","17.3%","±1.3","9,651","±2,368","3.8%","±0.9","12,868","±2,108","10.1%","±1.7","8,205","±1,762","16.7%","±3.5","7,432","±1,579","16.3%","±3.5","6,274","±1,422","11.2%","±2.5","199,770","±8,837","12.1%","±0.5","4,416","±1,137","18.3%","±4.7","5,285","±1,500","6.8%","±1.9","5,165","±1,237","16.9%","±3.9","52,820","±4,615","21.3%","±1.8","5,775","±1,225","16.5%","±3.4","18,346","±2,162","20.6%","±2.3","7,451","±1,593","12.6%","±2.7","3,466","±1,027","8.7%","±2.6","5,626","±1,262","20.6%","±4.1","14,301","±2,139","12.2%","±1.8","13,962","±2,206","15.0%","±2.3","10,332","±2,426","17.4%","±4.1","20,806","±3,319","9.9%","±1.5","4,034","±1,131","16.3%","±4.8","21,741","±2,848","16.6%","±2.1","4,502","±1,311","14.1%","±4.1","4,927","±1,263","11.3%","±2.9","11,710","±1,668","26.5%","±3.6","4,027","±948","8.0%","±1.9","1,237","±684","3.4%","±1.9","2,990","±810","13.7%","±3.6","9,947","±2,015","12.7%","±2.5","78,992","±4,683","10.9%","±0.7","6,569","±1,508","13.1%","±2.9","6,028","±1,495","13.8%","±3.4","30,823","±3,628","6.1%","±0.7","5,579","±1,185","18.6%","±3.9","3,560","±1,434","16.0%","±6.2","15,502","±2,270","20.3%","±2.9","6,461","±1,440","13.4%","±3.0","10,119","±2,430","5.2%","±1.3","3,374","±1,022","14.7%","±4.5","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","18,690","±1,432","57.9%","±4.4","11,811","±2,065","44.8%","±7.3","84,580","±4,277","66.7%","±2.9","393,750","±7,938","60.9%","±1.1","11,568","±1,522","33.1%","±4.2","90,308","±3,837","69.9%","±2.6","48,450","±3,388","60.6%","±3.6","64,192","±4,101","49.6%","±2.9","270,494","±6,395","74.4%","±1.6","39,898","±2,274","70.0%","±3.5","15,217","±1,315","68.9%","±4.6","539,936","±10,745","57.4%","±1.0","231,093","±5,174","75.7%","±1.4","25,179","±2,134","47.4%","±3.9","41,146","±2,880","66.9%","±4.0","149,127","±5,006","55.4%","±1.7","190,038","±4,926","75.1%","±1.7","82,246","±4,220","64.7%","±3.0","26,213","±2,000","53.5%","±3.6","25,672","±2,312","56.2%","±4.2","33,209","±2,238","59.2%","±3.8","1,003,429","±13,264","60.9%","±0.7","12,531","±1,643","51.8%","±6.3","47,077","±3,192","60.5%","±3.6","14,723","±1,847","48.1%","±5.4","121,860","±5,887","49.2%","±2.3","19,529","±1,636","55.6%","±4.5","50,016","±2,915","56.0%","±2.5","35,906","±2,455","60.7%","±3.6","27,276","±1,795","68.5%","±4.1","15,316","±1,692","56.0%","±5.5","74,335","±3,213","63.3%","±2.6","51,799","±2,456","55.7%","±2.7","33,653","±2,803","56.7%","±4.7","135,216","±5,359","64.5%","±2.5","13,647","±1,831","55.2%","±6.0","69,019","±3,359","52.6%","±2.3","18,062","±1,886","56.6%","±5.0","26,662","±2,083","61.3%","±4.4","15,719","±1,516","35.6%","±3.3","32,581","±2,121","64.8%","±3.7","29,638","±1,748","80.8%","±4.6","12,660","±1,339","57.9%","±5.3","52,644","±2,739","67.0%","±3.1","488,719","±8,222","67.2%","±1.0","27,880","±1,970","55.4%","±3.8","24,747","±2,061","56.8%","±4.3","341,529","±7,218","67.3%","±1.3","13,619","±1,502","45.3%","±4.3","7,529","±1,650","33.9%","±7.7","41,562","±2,995","54.5%","±3.7","26,107","±2,176","54.0%","±3.5","139,805","±4,516","72.4%","±2.1","13,164","±1,387","57.5%","±4.9","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","488","±344","1.5%","±1.1","441","±483","1.7%","±1.8","1,322","±736","1.0%","±0.6","3,218","±872","0.5%","±0.1","197","±204","0.6%","±0.6","519","±585","0.4%","±0.5","558","±445","0.7%","±0.6","864","±537","0.7%","±0.4","1,413","±873","0.4%","±0.2","117","±151","0.2%","±0.3","33","±62","0.1%","±0.3","4,750","±1,390","0.5%","±0.1","1,047","±520","0.3%","±0.2","194","±168","0.4%","±0.3","185","±149","0.3%","±0.2","1,339","±726","0.5%","±0.3","859","±489","0.3%","±0.2","445","±260","0.4%","±0.2","195","±154","0.4%","±0.3","158","±125","0.3%","±0.3","363","±297","0.6%","±0.5","9,768","±1,931","0.6%","±0.1","202","±210","0.8%","±0.9","178","±183","0.2%","±0.2","126","±132","0.4%","±0.4","1,987","±880","0.8%","±0.4","259","±207","0.7%","±0.6","1,118","±517","1.3%","±0.6","89","±98","0.2%","±0.2","214","±272","0.5%","±0.7","257","±311","0.9%","±1.1","1,091","±596","0.9%","±0.5","489","±305","0.5%","±0.3","52","±88","0.1%","±0.1","784","±607","0.4%","±0.3","391","±295","1.6%","±1.2","427","±290","0.3%","±0.2","88","±113","0.3%","±0.4","177","±160","0.4%","±0.4","241","±189","0.5%","±0.4","714","±548","1.4%","±1.1","159","±169","0.4%","±0.5","150","±158","0.7%","±0.7","890","±649","1.1%","±0.8","2,624","±810","0.4%","±0.1","249","±306","0.5%","±0.6","240","±162","0.6%","±0.4","2,012","±990","0.4%","±0.2","315","±246","1.0%","±0.8","24","±36","0.1%","±0.2","594","±461","0.8%","±0.6","371","±299","0.8%","±0.6","730","±455","0.4%","±0.2","17","±37","0.1%","±0.2","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","544","±477","1.7%","±1.5","364","±339","1.4%","±1.3","2,333","±778","1.8%","±0.6","16,257","±2,649","2.5%","±0.4","298","±246","0.9%","±0.7","2,450","±921","1.9%","±0.7","2,020","±937","2.5%","±1.2","1,040","±541","0.8%","±0.4","11,133","±2,103","3.1%","±0.6","1,709","±757","3.0%","±1.3","232","±157","1.1%","±0.7","56,244","±4,536","6.0%","±0.5","5,658","±1,484","1.9%","±0.5","349","±232","0.7%","±0.4","1,216","±772","2.0%","±1.2","4,294","±1,201","1.6%","±0.4","5,984","±1,643","2.4%","±0.6","1,816","±667","1.4%","±0.5","522","±332","1.1%","±0.7","937","±434","2.0%","±1.0","673","±395","1.2%","±0.7","34,266","±3,873","2.1%","±0.2","183","±206","0.8%","±0.9","1,058","±527","1.4%","±0.7","333","±370","1.1%","±1.2","4,916","±1,355","2.0%","±0.5","503","±314","1.4%","±0.9","863","±428","1.0%","±0.5","766","±646","1.3%","±1.1","5,681","±1,793","14.3%","±4.4","251","±225","0.9%","±0.8","1,782","±679","1.5%","±0.6","1,179","±458","1.3%","±0.5","2,127","±1,179","3.6%","±2.0","3,721","±1,277","1.8%","±0.6","442","±280","1.8%","±1.1","11,436","±2,181","8.7%","±1.7","369","±329","1.2%","±1.0","821","±460","1.9%","±1.0","426","±273","1.0%","±0.6","1,385","±730","2.8%","±1.4","573","±353","1.6%","±1.0","183","±154","0.8%","±0.7","1,377","±676","1.8%","±0.8","13,912","±2,121","1.9%","±0.3","675","±289","1.3%","±0.6","635","±369","1.5%","±0.8","11,450","±2,173","2.3%","±0.4","255","±232","0.8%","±0.8","22","±39","0.1%","±0.2","1,719","±780","2.3%","±1.0","298","±247","0.6%","±0.5","5,292","±1,327","2.7%","±0.7","328","±223","1.4%","±1.0","2,937,915","±27,533","2.4%","±0.1"
