"Label","Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Margin of Error","Bartow County, Georgia!!Estimate","Bartow County, Georgia!!Margin of Error","Bibb County, Georgia!!Estimate","Bibb County, Georgia!!Margin of Error","Bulloch County, Georgia!!Estimate","Bulloch County, Georgia!!Margin of Error","Carroll County, Georgia!!Estimate","Carroll County, Georgia!!Margin of Error","Catoosa County, Georgia!!Estimate","Catoosa County, Georgia!!Margin of Error","Chatham County, Georgia!!Estimate","Chatham County, Georgia!!Margin of Error","Cherokee County, Georgia!!Estimate","Cherokee County, Georgia!!Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Margin of Error","Clayton County, Georgia!!Estimate","Clayton County, Georgia!!Margin of Error","Cobb County, Georgia!!Estimate","Cobb County, Georgia!!Margin of Error","Columbia County, Georgia!!Estimate","Columbia County, Georgia!!Margin of Error","Coweta County, Georgia!!Estimate","Coweta County, Georgia!!Margin of Error","DeKalb County, Georgia!!Estimate","DeKalb County, Georgia!!Margin of Error","Dougherty County, Georgia!!Estimate","Dougherty County, Georgia!!Margin of Error","Douglas County, Georgia!!Estimate","Douglas County, Georgia!!Margin of Error","Fayette County, Georgia!!Estimate","Fayette County, Georgia!!Margin of Error","Floyd County, Georgia!!Estimate","Floyd County, Georgia!!Margin of Error","Forsyth County, Georgia!!Estimate","Forsyth County, Georgia!!Margin of Error","Fulton County, Georgia!!Estimate","Fulton County, Georgia!!Margin of Error","Glynn County, Georgia!!Estimate","Glynn County, Georgia!!Margin of Error","Gwinnett County, Georgia!!Estimate","Gwinnett County, Georgia!!Margin of Error","Hall County, Georgia!!Estimate","Hall County, Georgia!!Margin of Error","Henry County, Georgia!!Estimate","Henry County, Georgia!!Margin of Error","Houston County, Georgia!!Estimate","Houston County, Georgia!!Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Margin of Error","Lowndes County, Georgia!!Estimate","Lowndes County, Georgia!!Margin of Error","Muscogee County, Georgia!!Estimate","Muscogee County, Georgia!!Margin of Error","Newton County, Georgia!!Estimate","Newton County, Georgia!!Margin of Error","Paulding County, Georgia!!Estimate","Paulding County, Georgia!!Margin of Error","Richmond County, Georgia!!Estimate","Richmond County, Georgia!!Margin of Error","Rockdale County, Georgia!!Estimate","Rockdale County, Georgia!!Margin of Error","Spalding County, Georgia!!Estimate","Spalding County, Georgia!!Margin of Error","Troup County, Georgia!!Estimate","Troup County, Georgia!!Margin of Error","Walker County, Georgia!!Estimate","Walker County, Georgia!!Margin of Error","Walton County, Georgia!!Estimate","Walton County, Georgia!!Margin of Error","Whitfield County, Georgia!!Estimate","Whitfield County, Georgia!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","64,541","±1,495","90,062","±1,858","60,153","±1,097","51,797","±900","88,404","±2,992","62,647","±793","149,040","±2,926","220,530","±3,570","80,775","±1,975","49,935","±5,219","427,108","±7,051","114,364","±1,000","112,588","±1,524","256,943","±4,835","21,882","±489","65,461","±1,883","75,067","±1,294","75,873","±2,406","182,582","±2,948","469,465","±5,538","55,984","±1,166","429,774","±10,696","174,994","±2,567","106,904","±1,747","91,443","±2,235","61,658","±1,604","64,240","±1,356","83,333","±2,053","55,465","±419","125,701","±1,358","71,738","±1,519","33,387","±1,632","41,244","±486","40,247","±920","64,123","±945","72,825","±1,060","93,218","±2,125","236,475,401","±99,212"
"    Male:","32,804","±1,026","44,849","±1,034","29,338","±699","25,967","±572","43,474","±1,245","30,069","±729","73,305","±2,053","108,295","±2,203","40,108","±1,503","23,759","±2,736","208,926","±3,862","56,690","±908","55,000","±1,247","124,992","±2,637","10,060","±588","31,887","±1,596","36,289","±688","36,569","±1,422","90,114","±1,763","237,599","±3,164","26,555","±855","215,352","±5,900","86,590","±1,872","54,351","±995","45,624","±1,393","29,790","±1,222","31,631","±1,037","41,988","±1,149","26,356","±959","61,886","±885","37,193","±893","17,211","±1,290","20,355","±856","19,075","±415","32,308","±1,223","35,521","±637","46,607","±1,847","116,963,622","±65,787"
"        Under 5 years","1,858","±126","3,003","±336","1,504","±87","1,268","±177","2,830","±653","1,586","±234","4,077","±610","5,979","±425","1,384","±234","1,186","±1,109","11,496","±1,001","3,430","±212","3,344","±543","8,746","±729","282","±235","2,029","±728","1,561","±180","1,966","±236","5,200","±639","11,631","±774","1,208","±600","13,234","±1,852","5,527","±429","2,893","±681","2,618","±235","1,668","±276","2,011","±217","2,617","±196","2,042","±799","3,720","±291","1,960","±234","570","±512","1,133","±401","1,098","±163","2,142","±622","2,016","±214","3,298","±1,075","6,610,190","±22,066"
"        5 to 9 years","1,890","±703","3,707","±689","1,015","±510","1,006","±521","2,241","±769","2,573","±562","2,964","±1,306","7,858","±1,413","2,472","±1,108","2,043","±850","11,973","±1,442","3,700","±1,189","4,555","±860","6,837","±1,038","812","±429","1,821","±870","2,485","±666","2,522","±867","6,053","±869","10,359","±1,705","1,339","±486","14,263","±2,063","5,199","±1,122","4,006","±977","3,308","±961","1,823","±595","1,953","±436","3,040","±779","1,719","±450","2,653","±854","1,882","±496","1,328","±610","1,823","±414","1,247","±446","2,147","±757","2,012","±461","3,795","±1,068","6,628,875","±39,223"
"        10 to 14 years","2,700","±627","2,313","±658","2,192","±515","1,523","±538","2,987","±851","1,366","±562","4,040","±1,103","7,291","±1,465","1,483","±940","1,619","±847","12,482","±1,668","4,616","±1,206","3,135","±701","7,187","±1,196","96","±182","2,783","±862","2,406","±769","2,089","±619","7,811","±894","14,288","±1,561","1,294","±440","15,491","±2,280","6,658","±1,234","3,786","±1,181","2,810","±893","2,154","±646","1,794","±408","1,971","±602","1,475","±440","6,250","±868","1,406","±620","1,243","±619","504","±403","1,012","±414","1,805","±706","2,738","±459","2,748","±928","7,342,265","±36,618"
"        15 to 17 years","2,502","±387","1,748","±82","843","±73","779","±332","1,785","±235","1,324","±234","1,923","±288","4,758","±756","506","±234","660","±592","7,657","±664","2,518","±280","2,456","±229","3,460","±395","75","±132","1,141","±506","1,741","±86","1,305","±107","4,853","±299","7,628","±725","1,146","±344","9,995","±1,284","3,456","±448","3,479","±731","1,621","±193","1,458","±243","1,148","±502","1,461","±185","1,011","±51","3,435","±596","1,153","±365","898","±712","1,083","±550","772","±301","1,452","±584","1,528","±234","2,249","±967","4,326,439","±14,649"
"        18 and 19 years","1,089","±462","905","±620","1,050","±445","2,193","±821","1,335","±234","972","±674","1,805","±239","2,042","±428","4,583","±1,258","661","±401","5,173","±461","1,508","±764","1,177","±234","2,542","±258","293","±205","854","±436","1,163","±652","1,078","±200","2,605","±309","6,411","±397","540","±441","5,294","±1,136","2,151","±163","1,766","±381","606","±450","748","±404","649","±594","1,571","±733","861","±586","1,351","±234","1,384","±517","759","±364","471","±380","154","±207","629","±57","453","±339","1,464","±753","3,047,892","±19,150"
"        20 to 24 years","1,534","±380","2,881","±662","1,857","±510","4,312","±802","3,386","±234","1,440","±674","5,442","±813","5,862","±429","7,857","±1,198","1,628","±738","12,372","±731","2,946","±826","3,050","±274","5,273","±339","834","±265","1,762","±628","1,905","±530","2,967","±511","4,765","±115","16,303","±544","1,509","±750","13,223","±1,257","5,493","±327","3,296","±281","3,325","±593","1,306","±404","4,312","±791","3,036","±531","1,240","±584","3,754","±695","3,752","±547","523","±381","1,416","±532","1,660","±207","2,341","±776","2,275","±339","3,481","±873","7,504,739","±23,301"
"        25 to 29 years","2,276","±275","2,901","±150","1,987","±202","1,830","±135","2,904","±234","1,761","±234","6,042","±268","6,113","±754","3,089","±444","1,272","±585","13,660","±528","3,609","±410","3,458","±341","9,619","±450","590","±443","1,864","±239","1,477","±125","2,747","±425","4,038","±417","21,725","±678","1,503","±898","12,587","±1,052","5,789","±327","2,978","±309","3,357","±454","1,983","±261","2,770","±338","3,776","±347","1,870","±465","4,026","±264","4,046","±323","1,297","±827","719","±426","1,319","±187","1,989","±234","2,206","±190","2,747","±755","8,023,388","±19,538"
"        30 to 34 years","2,152","±101","3,293","±621","1,782","±47","1,580","±234","2,754","±289","1,748","±234","5,629","±391","7,199","±804","3,178","±711","1,597","±1,025","13,755","±503","4,937","±498","3,356","±448","11,584","±312","544","±388","1,654","±721","1,301","±76","2,039","±103","4,006","±339","19,821","±871","1,304","±234","13,237","±1,203","5,636","±269","2,642","±183","3,537","±500","1,864","±234","2,307","±312","3,324","±212","1,911","±592","3,934","±234","2,688","±88","926","±563","882","±430","1,051","±234","1,764","±234","2,191","±222","2,535","±672","7,815,737","±20,963"
