"Label","DeSoto County, Mississippi!!Estimate","DeSoto County, Mississippi!!Margin of Error","Forrest County, Mississippi!!Estimate","Forrest County, Mississippi!!Margin of Error","Harrison County, Mississippi!!Estimate","Harrison County, Mississippi!!Margin of Error","Hinds County, Mississippi!!Estimate","Hinds County, Mississippi!!Margin of Error","Jackson County, Mississippi!!Estimate","Jackson County, Mississippi!!Margin of Error","Jones County, Mississippi!!Estimate","Jones County, Mississippi!!Margin of Error","Lauderdale County, Mississippi!!Estimate","Lauderdale County, Mississippi!!Margin of Error","Lee County, Mississippi!!Estimate","Lee County, Mississippi!!Margin of Error","Madison County, Mississippi!!Estimate","Madison County, Mississippi!!Margin of Error","Rankin County, Mississippi!!Estimate","Rankin County, Mississippi!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","119,740","±1,303","44,564","±442","139,587","±1,935","58,183","±521","103,118","±1,716","46,844","±118","39,933","±435","55,687","±428","61,087","±747","115,982","±1,311","236,475,401","±99,212"
"    Male:","58,726","±661","21,735","±960","69,207","±1,533","28,250","±501","50,908","±1,111","23,123","±587","19,614","±720","26,810","±223","29,493","±333","55,454","±692","116,963,622","±65,787"
"        Under 5 years","3,213","±226","1,346","±703","3,979","±373","1,798","±630","2,555","±226","1,432","±267","1,120","±536","1,587","±226","1,597","±226","3,049","±226","6,610,190","±22,066"
"        5 to 9 years","3,518","±696","852","±412","2,840","±1,015","803","±464","2,961","±887","1,739","±908","621","±340","1,782","±512","2,992","±797","4,125","±999","6,628,875","±39,223"
"        10 to 14 years","4,458","±681","1,532","±412","5,428","±1,126","2,130","±382","3,591","±880","1,569","±828","1,725","±343","1,645","±512","1,229","±813","3,394","±935","7,342,265","±36,618"
"        15 to 17 years","2,656","±139","636","±289","2,531","±361","847","±226","2,231","±412","1,010","±391","594","±386","1,104","±226","1,214","±226","2,344","±229","4,326,439","±14,649"
"        18 and 19 years","1,356","±226","1,005","±454","2,496","±468","1,036","±612","1,080","±608","868","±536","188","±165","813","±509","928","±537","1,119","±226","3,047,892","±19,150"
"        20 to 24 years","3,570","±370","2,034","±653","4,761","±461","1,574","±608","2,859","±654","1,864","±667","1,347","±773","1,178","±509","1,518","±589","2,904","±445","7,504,739","±23,301"
"        25 to 29 years","4,111","±474","1,580","±226","4,485","±226","2,038","±193","3,071","±226","459","±344","1,586","±771","1,725","±61","1,618","±226","3,436","±226","8,023,388","±19,538"
"        30 to 34 years","3,635","±379","1,806","±744","4,576","±277","1,765","±164","3,011","±226","1,845","±872","1,128","±226","1,615","±226","1,623","±74","3,585","±114","7,815,737","±20,963"
"        35 to 44 years","7,297","±231","2,627","±225","8,121","±511","3,025","±226","6,505","±638","2,780","±934","2,207","±226","3,439","±120","3,863","±194","7,869","±332","14,762,386","±26,026"
"        45 to 54 years","8,467","±298","2,415","±226","8,405","±415","3,174","±63","7,204","±633","2,286","±542","2,510","±104","3,678","±226","4,056","±104","7,423","±114","14,827,307","±22,219"
