"Label","Alamance County, North Carolina!!Estimate","Alamance County, North Carolina!!Margin of Error","Brunswick County, North Carolina!!Estimate","Brunswick County, North Carolina!!Margin of Error","Buncombe County, North Carolina!!Estimate","Buncombe County, North Carolina!!Margin of Error","Burke County, North Carolina!!Estimate","Burke County, North Carolina!!Margin of Error","Cabarrus County, North Carolina!!Estimate","Cabarrus County, North Carolina!!Margin of Error","Caldwell County, North Carolina!!Estimate","Caldwell County, North Carolina!!Margin of Error","Carteret County, North Carolina!!Estimate","Carteret County, North Carolina!!Margin of Error","Catawba County, North Carolina!!Estimate","Catawba County, North Carolina!!Margin of Error","Chatham County, North Carolina!!Estimate","Chatham County, North Carolina!!Margin of Error","Cleveland County, North Carolina!!Estimate","Cleveland County, North Carolina!!Margin of Error","Craven County, North Carolina!!Estimate","Craven County, North Carolina!!Margin of Error","Cumberland County, North Carolina!!Estimate","Cumberland County, North Carolina!!Margin of Error","Davidson County, North Carolina!!Estimate","Davidson County, North Carolina!!Margin of Error","Durham County, North Carolina!!Estimate","Durham County, North Carolina!!Margin of Error","Forsyth County, North Carolina!!Estimate","Forsyth County, North Carolina!!Margin of Error","Franklin County, North Carolina!!Estimate","Franklin County, North Carolina!!Margin of Error","Gaston County, North Carolina!!Estimate","Gaston County, North Carolina!!Margin of Error","Guilford County, North Carolina!!Estimate","Guilford County, North Carolina!!Margin of Error","Harnett County, North Carolina!!Estimate","Harnett County, North Carolina!!Margin of Error","Henderson County, North Carolina!!Estimate","Henderson County, North Carolina!!Margin of Error","Iredell County, North Carolina!!Estimate","Iredell County, North Carolina!!Margin of Error","Johnston County, North Carolina!!Estimate","Johnston County, North Carolina!!Margin of Error","Lincoln County, North Carolina!!Estimate","Lincoln County, North Carolina!!Margin of Error","Mecklenburg County, North Carolina!!Estimate","Mecklenburg County, North Carolina!!Margin of Error","Moore County, North Carolina!!Estimate","Moore County, North Carolina!!Margin of Error","Nash County, North Carolina!!Estimate","Nash County, North Carolina!!Margin of Error","New Hanover County, North Carolina!!Estimate","New Hanover County, North Carolina!!Margin of Error","Onslow County, North Carolina!!Estimate","Onslow County, North Carolina!!Margin of Error","Orange County, North Carolina!!Estimate","Orange County, North Carolina!!Margin of Error","Pitt County, North Carolina!!Estimate","Pitt County, North Carolina!!Margin of Error","Randolph County, North Carolina!!Estimate","Randolph County, North Carolina!!Margin of Error","Robeson County, North Carolina!!Estimate","Robeson County, North Carolina!!Margin of Error","Rockingham County, North Carolina!!Estimate","Rockingham County, North Carolina!!Margin of Error","Rowan County, North Carolina!!Estimate","Rowan County, North Carolina!!Margin of Error","Rutherford County, North Carolina!!Estimate","Rutherford County, North Carolina!!Margin of Error","Surry County, North Carolina!!Estimate","Surry County, North Carolina!!Margin of Error","Union County, North Carolina!!Estimate","Union County, North Carolina!!Margin of Error","Wake County, North Carolina!!Estimate","Wake County, North Carolina!!Margin of Error","Wayne County, North Carolina!!Estimate","Wayne County, North Carolina!!Margin of Error","Wilkes County, North Carolina!!Estimate","Wilkes County, North Carolina!!Margin of Error","Wilson County, North Carolina!!Estimate","Wilson County, North Carolina!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","117,967","±3,019","122,295","±1,640","230,830","±2,525","74,458","±1,027","148,373","±4,916","72,726","±878","62,595","±611","126,059","±2,054","57,614","±3,039","73,238","±1,087","73,100","±1,017","164,571","±2,545","144,346","±910","171,593","±3,497","252,469","±3,227","47,610","±1,812","171,404","±2,019","288,313","±3,883","90,982","±2,345","107,103","±2,327","143,949","±2,348","158,143","±3,681","78,483","±535","579,664","±7,455","81,646","±1,235","46,857","±819","189,556","±2,139","149,113","±2,269","114,580","±928","100,199","±1,862","122,978","±2,696","35,102","±1,607","67,755","±1,295","108,730","±1,572","58,284","±617","65,624","±1,319","190,315","±2,838","718,463","±6,451","78,388","±1,134","62,749","±1,102","40,482","±1,702","236,475,401","±99,212"
"    Male:","55,281","±1,674","58,775","±1,417","111,185","±1,511","36,300","±544","73,039","±2,843","35,703","±517","30,385","±468","61,346","±1,416","27,917","±1,414","35,695","±633","36,338","±879","85,485","±1,361","70,386","±788","84,812","±1,627","121,490","±1,919","24,266","±1,195","83,604","±1,249","139,159","±2,054","45,132","±1,210","51,557","±1,162","72,268","±1,687","78,151","±2,144","38,969","±502","285,100","±4,084","39,125","±769","22,793","±825","90,351","±1,243","84,256","±1,596","53,516","±748","47,850","±1,185","60,555","±1,533","16,732","±842","32,396","±614","52,878","±1,069","28,187","±693","31,805","±942","94,020","±1,524","352,460","±4,118","38,421","±1,033","31,203","±1,332","20,119","±1,251","116,963,622","±65,787"
"        Under 5 years","2,739","±322","2,086","±211","5,562","±926","1,579","±40","4,491","±869","1,654","±42","1,469","±342","2,865","±199","1,490","±542","1,829","±216","2,156","±451","5,981","±354","3,647","±426","5,977","±285","7,302","±325","1,088","±216","5,045","±525","6,968","±584","3,037","±275","2,157","±255","3,706","±603","4,815","±430","2,841","±617","16,821","±1,094","2,416","±272","1,063","±109","4,062","±503","6,041","±559","2,175","±286","2,350","±147","3,388","±416","1,002","±354","1,561","±67","2,617","±251","1,719","±251","1,341","±216","5,027","±449","21,016","±1,138","2,315","±518","1,484","±291","1,314","±354","6,610,190","±22,066"
"        5 to 9 years","3,156","±610","2,861","±611","5,191","±1,173","1,167","±430","4,436","±920","1,721","±441","1,449","±368","3,539","±775","940","±662","1,768","±648","2,201","±809","4,611","±854","4,039","±783","5,677","±1,131","7,632","±1,460","993","±478","4,109","±842","6,619","±985","3,163","±717","2,819","±839","5,125","±1,143","4,638","±1,061","1,797","±649","15,026","±1,781","2,110","±549","700","±435","4,217","±947","4,159","±1,460","3,045","±565","2,161","±828","3,596","±700","896","±366","2,015","±558","2,727","±681","2,181","±518","1,631","±667","5,564","±865","21,358","±2,453","2,575","±674","1,232","±611","643","±386","6,628,875","±39,223"
"        10 to 14 years","3,373","±847","2,372","±665","5,890","±1,141","1,920","±504","5,258","±918","2,314","±592","1,308","±368","3,706","±819","1,772","±659","2,648","±658","1,679","±763","4,844","±897","4,761","±848","3,608","±1,142","8,086","±1,335","2,121","±503","5,755","±892","8,952","±1,060","2,281","±787","2,809","±1,023","4,325","±820","6,416","±937","2,511","±606","17,433","±1,829","2,371","±476","1,773","±562","4,899","±864","5,358","±1,465","2,219","±721","2,716","±775","3,976","±768","856","±327","1,462","±557","3,450","±826","1,137","±519","2,270","±615","8,727","±846","23,210","±2,078","2,539","±665","2,228","±743","1,600","±567","7,342,265","±36,618"
"        15 to 17 years","2,107","±318","1,597","±359","4,006","±657","1,155","±12","3,432","±435","1,203","±216","935","±216","2,249","±305","1,100","±342","1,455","±165","397","±403","2,453","±389","2,656","±165","2,842","±496","4,424","±440","1,190","±436","3,382","±429","5,128","±679","1,759","±540","1,643","±424","3,471","±753","3,723","±584","1,581","±286","9,432","±679","1,450","±245","803","±621","2,548","±245","3,024","±907","1,801","±224","1,649","±230","2,300","±258","231","±152","1,228","±59","2,125","±210","639","±528","1,290","±214","5,160","±249","14,311","±692","1,203","±556","1,103","±556","822","±375","4,326,439","±14,649"
"        18 and 19 years","1,953","±214","746","±216","2,250","±155","906","±447","1,473","±216","953","±633","1,026","±422","1,112","±672","733","±619","951","±90","962","±535","3,188","±241","1,399","±41","1,517","±513","3,459","±175","1,198","±607","1,922","±222","4,121","±289","1,147","±549","715","±463","1,620","±106","2,671","±529","961","±465","6,695","±478","588","±445","470","±330","2,899","±201","5,382","±1,448","3,329","±1,355","2,387","±193","1,255","±149","442","±248","556","±470","1,221","±205","619","±565","718","±204","2,994","±251","10,044","±627","1,003","±605","859","±515","579","±403","3,047,892","±19,150"
"        20 to 24 years","3,454","±344","2,226","±350","6,144","±414","2,058","±490","3,904","±519","1,694","±632","873","±460","3,666","±862","1,515","±741","3,248","±489","4,764","±815","11,850","±366","3,634","±239","5,387","±597","7,551","±384","994","±479","4,413","±193","8,491","±800","3,125","±636","2,424","±703","3,742","±216","4,134","±336","1,825","±421","16,581","±877","1,760","±451","1,527","±742","8,137","±259","18,374","±1,704","6,041","±1,415","6,453","±763","3,708","±375","1,097","±304","1,834","±499","2,846","±188","1,693","±580","1,774","±195","6,119","±563","20,824","±848","3,249","±738","2,810","±848","738","±523","7,504,739","±23,301"
"        25 to 29 years","3,346","±256","2,355","±216","7,693","±314","2,338","±93","4,659","±568","2,184","±216","1,549","±216","3,826","±336","1,099","±214","1,188","±509","2,590","±216","9,438","±487","4,364","±373","7,653","±353","7,797","±445","788","±562","5,888","±324","8,498","±407","3,315","±136","2,689","±434","4,347","±375","4,185","±291","2,049","±216","24,990","±680","2,086","±216","997","±564","6,321","±173","8,901","±847","3,795","±428","3,470","±49","3,845","±209","1,064","±116","1,880","±216","3,210","±216","1,621","±127","2,097","±231","4,250","±377","25,072","±772","2,666","±156","842","±541","1,268","±607","8,023,388","±19,538"
"        30 to 34 years","3,718","±210","2,640","±337","8,263","±672","1,986","±36","4,497","±360","1,947","±56","1,429","±44","3,247","±148","1,143","±168","1,930","±216","1,978","±216","6,661","±301","4,083","±299","8,489","±177","7,679","±537","1,914","±645","5,365","±363","8,429","±355","3,907","±260","2,711","±640","3,963","±307","4,868","±528","2,406","±417","23,764","±913","2,393","±18","1,131","±216","5,996","±453","6,287","±541","2,899","±241","2,918","±153","3,590","±461","882","±53","1,696","±216","3,298","±347","1,356","±216","1,877","±505","4,630","±192","27,185","±709","2,365","±381","1,972","±463","637","±440","7,815,737","±20,963"
