"Label","Aiken County, South Carolina!!Estimate","Aiken County, South Carolina!!Margin of Error","Anderson County, South Carolina!!Estimate","Anderson County, South Carolina!!Margin of Error","Beaufort County, South Carolina!!Estimate","Beaufort County, South Carolina!!Margin of Error","Berkeley County, South Carolina!!Estimate","Berkeley County, South Carolina!!Margin of Error","Charleston County, South Carolina!!Estimate","Charleston County, South Carolina!!Margin of Error","Darlington County, South Carolina!!Estimate","Darlington County, South Carolina!!Margin of Error","Dorchester County, South Carolina!!Estimate","Dorchester County, South Carolina!!Margin of Error","Florence County, South Carolina!!Estimate","Florence County, South Carolina!!Margin of Error","Greenville County, South Carolina!!Estimate","Greenville County, South Carolina!!Margin of Error","Greenwood County, South Carolina!!Estimate","Greenwood County, South Carolina!!Margin of Error","Horry County, South Carolina!!Estimate","Horry County, South Carolina!!Margin of Error","Kershaw County, South Carolina!!Estimate","Kershaw County, South Carolina!!Margin of Error","Lancaster County, South Carolina!!Estimate","Lancaster County, South Carolina!!Margin of Error","Laurens County, South Carolina!!Estimate","Laurens County, South Carolina!!Margin of Error","Lexington County, South Carolina!!Estimate","Lexington County, South Carolina!!Margin of Error","Oconee County, South Carolina!!Estimate","Oconee County, South Carolina!!Margin of Error","Orangeburg County, South Carolina!!Estimate","Orangeburg County, South Carolina!!Margin of Error","Pickens County, South Carolina!!Estimate","Pickens County, South Carolina!!Margin of Error","Richland County, South Carolina!!Estimate","Richland County, South Carolina!!Margin of Error","Spartanburg County, South Carolina!!Estimate","Spartanburg County, South Carolina!!Margin of Error","Sumter County, South Carolina!!Estimate","Sumter County, South Carolina!!Margin of Error","York County, South Carolina!!Estimate","York County, South Carolina!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","120,057","±1,764","160,961","±1,512","140,697","±3,320","147,216","±2,193","276,787","±1,968","37,523","±1,091","109,288","±2,309","73,122","±1,591","379,349","±3,839","46,458","±218","288,077","±3,650","45,910","±280","73,390","±1,256","46,670","±929","234,519","±2,435","69,379","±1,003","30,498","±514","110,768","±846","182,477","±2,310","233,071","±2,420","49,388","±927","207,964","±2,381","236,475,401","±99,212"
"    Male:","58,388","±941","77,597","±1,177","69,756","±2,051","74,170","±1,172","134,729","±1,037","18,341","±867","54,037","±1,242","35,324","±937","184,519","±2,111","22,370","±982","139,295","±1,924","22,387","±460","34,713","±787","23,301","±834","113,754","±1,645","34,197","±833","15,207","±476","54,623","±462","90,929","±1,515","114,866","±1,290","24,802","±724","100,625","±1,373","116,963,622","±65,787"
"        Under 5 years","2,746","±218","4,246","±218","2,548","±95","4,392","±167","7,337","±307","950","±460","3,125","±381","1,833","±205","10,448","±450","1,730","±874","5,651","±574","1,179","±218","1,948","±307","1,335","±172","6,026","±457","1,422","±423","919","±260","2,831","±238","4,616","±313","6,862","±669","1,413","±218","6,058","±389","6,610,190","±22,066"
"        5 to 9 years","2,900","±888","4,263","±1,026","2,568","±721","4,855","±766","6,954","±1,103","959","±404","3,196","±746","2,437","±551","10,534","±1,384","1,018","±544","4,889","±1,021","2,050","±455","2,572","±865","1,483","±501","5,499","±1,173","2,134","±613","1,006","±420","3,057","±737","3,982","±823","7,357","±1,203","1,860","±494","6,185","±1,097","6,628,875","±39,223"
"        10 to 14 years","4,050","±773","5,485","±1,098","3,442","±779","4,426","±943","5,597","±1,043","1,133","±327","4,475","±849","1,797","±514","11,303","±1,220","1,324","±393","7,872","±1,073","915","±455","1,484","±717","1,207","±643","9,204","±1,208","1,804","±574","1,117","±434","2,474","±727","4,475","±951","7,259","±1,108","1,191","±593","7,089","±948","7,342,265","±36,618"
"        15 to 17 years","1,882","±218","3,673","±518","1,694","±139","2,485","±57","3,573","±110","974","±709","2,139","±163","1,596","±259","6,670","±403","776","±428","3,932","±264","1,085","±457","1,010","±567","1,005","±348","4,148","±59","1,137","±128","769","±225","1,746","±218","2,898","±277","4,343","±344","663","±349","4,016","±265","4,326,439","±14,649"
"        18 and 19 years","1,471","±682","1,990","±345","859","±609","2,245","±139","3,573","±273","647","±332","1,040","±218","895","±284","4,604","±412","532","±367","2,677","±218","570","±300","920","±356","897","±496","2,348","±156","732","±534","151","±123","3,412","±100","6,970","±1,425","3,093","±603","543","±218","2,158","±218","3,047,892","±19,150"
"        20 to 24 years","3,188","±493","4,294","±218","5,735","±679","5,712","±283","8,287","±169","758","±332","3,036","±441","1,853","±218","11,130","±508","2,142","±1,215","6,725","±517","1,011","±300","1,122","±356","1,720","±549","5,931","±326","1,682","±507","818","±123","6,942","±249","9,297","±1,461","7,207","±657","1,970","±104","5,190","±296","7,504,739","±23,301"
"        25 to 29 years","4,015","±566","4,689","±189","4,290","±694","5,637","±203","10,800","±294","1,149","±68","3,613","±418","2,241","±307","12,544","±397","1,226","±218","7,529","±381","1,252","±218","1,828","±218","889","±457","7,555","±439","2,574","±472","742","±218","3,453","±218","7,390","±436","7,713","±479","2,029","±199","5,709","±706","8,023,388","±19,538"
"        30 to 34 years","3,503","±360","4,438","±45","3,633","±500","5,395","±315","11,728","±212","959","±218","3,624","±96","2,287","±398","12,551","±458","1,162","±218","7,532","±220","1,265","±218","1,954","±218","1,395","±227","7,712","±551","1,783","±221","626","±218","2,922","±83","6,256","±413","7,251","±501","1,596","±218","6,645","±639","7,815,737","±20,963"
