"Label","Angelina County, Texas!!Estimate","Angelina County, Texas!!Margin of Error","Bastrop County, Texas!!Estimate","Bastrop County, Texas!!Margin of Error","Bell County, Texas!!Estimate","Bell County, Texas!!Margin of Error","Bexar County, Texas!!Estimate","Bexar County, Texas!!Margin of Error","Bowie County, Texas!!Estimate","Bowie County, Texas!!Margin of Error","Brazoria County, Texas!!Estimate","Brazoria County, Texas!!Margin of Error","Brazos County, Texas!!Estimate","Brazos County, Texas!!Margin of Error","Cameron County, Texas!!Estimate","Cameron County, Texas!!Margin of Error","Collin County, Texas!!Estimate","Collin County, Texas!!Margin of Error","Comal County, Texas!!Estimate","Comal County, Texas!!Margin of Error","Coryell County, Texas!!Estimate","Coryell County, Texas!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Denton County, Texas!!Estimate","Denton County, Texas!!Margin of Error","Ector County, Texas!!Estimate","Ector County, Texas!!Margin of Error","Ellis County, Texas!!Estimate","Ellis County, Texas!!Margin of Error","El Paso County, Texas!!Estimate","El Paso County, Texas!!Margin of Error","Fort Bend County, Texas!!Estimate","Fort Bend County, Texas!!Margin of Error","Galveston County, Texas!!Estimate","Galveston County, Texas!!Margin of Error","Grayson County, Texas!!Estimate","Grayson County, Texas!!Margin of Error","Gregg County, Texas!!Estimate","Gregg County, Texas!!Margin of Error","Guadalupe County, Texas!!Estimate","Guadalupe County, Texas!!Margin of Error","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harrison County, Texas!!Estimate","Harrison County, Texas!!Margin of Error","Hays County, Texas!!Estimate","Hays County, Texas!!Margin of Error","Henderson County, Texas!!Estimate","Henderson County, Texas!!Margin of Error","Hidalgo County, Texas!!Estimate","Hidalgo County, Texas!!Margin of Error","Hunt County, Texas!!Estimate","Hunt County, Texas!!Margin of Error","Jefferson County, Texas!!Estimate","Jefferson County, Texas!!Margin of Error","Johnson County, Texas!!Estimate","Johnson County, Texas!!Margin of Error","Kaufman County, Texas!!Estimate","Kaufman County, Texas!!Margin of Error","Liberty County, Texas!!Estimate","Liberty County, Texas!!Margin of Error","Lubbock County, Texas!!Estimate","Lubbock County, Texas!!Margin of Error","McLennan County, Texas!!Estimate","McLennan County, Texas!!Margin of Error","Midland County, Texas!!Estimate","Midland County, Texas!!Margin of Error","Montgomery County, Texas!!Estimate","Montgomery County, Texas!!Margin of Error","Nacogdoches County, Texas!!Estimate","Nacogdoches County, Texas!!Margin of Error","Nueces County, Texas!!Estimate","Nueces County, Texas!!Margin of Error","Orange County, Texas!!Estimate","Orange County, Texas!!Margin of Error","Parker County, Texas!!Estimate","Parker County, Texas!!Margin of Error","Potter County, Texas!!Estimate","Potter County, Texas!!Margin of Error","Randall County, Texas!!Estimate","Randall County, Texas!!Margin of Error","Rockwall County, Texas!!Estimate","Rockwall County, Texas!!Margin of Error","San Patricio County, Texas!!Estimate","San Patricio County, Texas!!Margin of Error","Smith County, Texas!!Estimate","Smith County, Texas!!Margin of Error","Tarrant County, Texas!!Estimate","Tarrant County, Texas!!Margin of Error","Taylor County, Texas!!Estimate","Taylor County, Texas!!Margin of Error","Tom Green County, Texas!!Estimate","Tom Green County, Texas!!Margin of Error","Travis County, Texas!!Estimate","Travis County, Texas!!Margin of Error","Victoria County, Texas!!Estimate","Victoria County, Texas!!Margin of Error","Walker County, Texas!!Estimate","Walker County, Texas!!Margin of Error","Webb County, Texas!!Estimate","Webb County, Texas!!Margin of Error","Wichita County, Texas!!Estimate","Wichita County, Texas!!Margin of Error","Williamson County, Texas!!Estimate","Williamson County, Texas!!Margin of Error","Wise County, Texas!!Estimate","Wise County, Texas!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","71,060","±395","57,372","±4,076","225,437","±4,412","1,552,899","±15,358","64,552","±1,083","272,750","±4,355","180,721","±2,285","396,658","±5,510","701,667","±4,972","143,192","±1,687","56,184","±593","1,580,364","±17,245","656,088","±5,929","130,632","±6,440","149,989","±2,743","674,496","±14,850","412,802","±9,224","271,933","±2,887","118,372","±1,374","91,844","±1,479","137,989","±2,668","2,895,713","±23,497","49,759","±1,286","204,010","±2,442","74,570","±553","737,925","±12,667","80,915","±2,496","147,563","±3,147","157,804","±2,048","107,948","±2,031","70,374","±2,560","251,138","±4,855","204,884","±2,006","125,450","±6,623","525,854","±4,732","50,606","±827","325,539","±2,974","72,414","±656","133,000","±1,805","91,183","±2,147","121,664","±2,252","87,030","±2,036","60,698","±1,675","178,470","±2,040","1,378,142","±16,372","112,157","±2,778","105,763","±2,073","920,247","±12,829","81,305","±1,764","53,218","±713","266,003","±2,558","107,513","±1,216","469,151","±4,819","66,277","±645","236,475,401","±99,212"
"    Male:","34,017","±931","28,373","±2,104","112,812","±2,542","764,690","±8,396","31,291","±738","138,792","±2,117","90,677","±1,145","193,384","±2,760","347,920","±2,947","70,346","±1,310","28,576","±381","792,272","±9,845","324,966","±3,434","66,921","±3,462","73,343","±1,603","330,867","±7,878","204,936","±6,028","135,422","±1,493","57,716","±890","44,973","±1,028","68,300","±1,622","1,448,727","±13,761","24,409","±1,110","100,943","±1,485","36,061","±586","361,848","±6,600","38,910","±1,469","76,297","±1,833","79,075","±1,230","53,860","±954","33,943","±1,513","123,029","±2,451","100,301","±1,159","63,011","±4,078","261,089","±2,658","25,721","±842","160,905","±1,768","35,732","±673","65,521","±1,201","45,845","±1,414","60,155","±1,305","41,872","±1,582","30,495","±1,043","86,496","±1,212","679,931","±8,815","54,101","±1,407","51,717","±1,552","462,981","±7,270","38,941","±1,287","30,800","±1,475","130,270","±1,532","55,886","±567","232,229","±2,481","33,010","±581","116,963,622","±65,787"
"        Under 5 years","2,196","±838","1,943","±875","8,076","±896","53,618","±1,796","1,550","±48","9,248","±648","4,878","±558","15,926","±619","19,323","±1,159","3,738","±694","1,893","±24","58,491","±2,179","19,701","±720","5,980","±1,026","5,036","±284","24,845","±1,419","12,622","±1,457","8,602","±372","3,554","±206","3,092","±250","3,731","±688","107,532","±3,841","851","±600","6,558","±167","1,864","±247","33,032","±1,846","2,249","±350","4,444","±826","5,142","±285","3,961","±184","2,294","±487","8,162","±593","6,605","±531","5,039","±1,099","17,688","±518","1,421","±598","10,660","±442","2,264","±308","4,178","±287","3,525","±537","3,668","±218","2,467","±313","2,120","±331","6,035","±271","46,423","±2,074","4,128","±207","3,528","±380","28,410","±1,458","1,663","±762","1,135","±452","12,514","±168","3,402","±131","14,612","±487","1,830","±204","6,610,190","±22,066"
"        5 to 9 years","2,139","±586","2,348","±729","8,054","±1,865","54,858","±3,298","2,013","±587","10,010","±1,912","6,210","±839","16,656","±2,326","21,323","±2,155","4,146","±1,101","1,742","±462","45,384","±4,241","19,949","±2,192","5,820","±1,760","5,548","±1,029","24,766","±2,732","15,775","±2,130","9,237","±1,602","2,894","±823","3,182","±768","5,475","±1,054","101,122","±5,937","1,770","±513","6,496","±1,390","1,541","±744","32,098","±3,232","2,135","±818","4,885","±941","4,898","±1,041","4,631","±1,114","2,117","±584","8,099","±1,301","6,618","±1,220","3,419","±1,350","16,799","±2,206","1,813","±692","9,223","±1,793","2,922","±647","5,077","±1,021","2,899","±868","4,196","±789","3,419","±743","2,034","±638","6,104","±990","42,767","±3,775","3,412","±725","3,382","±837","24,020","±2,309","2,429","±830","906","±620","11,219","±1,658","3,877","±759","17,731","±2,473","1,964","±533","6,628,875","±39,223"
"        10 to 14 years","3,057","±586","828","±532","7,919","±1,766","55,662","±3,869","1,755","±628","11,043","±1,897","4,056","±813","17,325","±2,270","28,415","±2,136","4,736","±1,069","1,947","±447","64,601","±4,048","25,069","±2,296","4,912","±1,392","5,861","±1,055","26,184","±2,694","17,361","±2,782","9,197","±1,656","4,855","±826","3,393","±819","4,672","±988","112,829","±5,822","2,290","±695","7,051","±1,409","3,184","±822","39,761","±3,189","2,894","±920","4,887","±1,030","6,985","±1,069","3,981","±1,078","3,462","±767","8,935","±1,349","7,127","±1,205","5,032","±1,341","22,375","±2,274","1,837","±830","13,557","±1,913","1,712","±579","4,428","±952","3,982","±839","4,149","±773","3,246","±719","2,453","±645","6,438","±983","52,427","±3,454","3,798","±752","3,971","±826","25,143","±2,578","3,486","±845","1,104","±762","13,007","±1,612","3,018","±705","15,688","±2,139","2,669","±482","7,342,265","±36,618"
"        15 to 17 years","1,041","±152","748","±583","4,197","±485","30,925","±1,504","1,155","±118","6,285","±312","2,798","±234","10,988","±614","16,606","±467","2,907","±188","1,057","±175","31,198","±1,855","13,998","±512","3,115","±1,083","3,550","±209","16,528","±832","10,337","±767","5,562","±264","2,313","±468","1,991","±473","2,876","±518","63,361","±2,327","1,199","±448","3,995","±227","1,542","±426","20,639","±1,029","1,888","±245","2,754","±124","3,759","±494","2,442","±181","1,391","±406","5,135","±230","4,249","±141","2,354","±1,118","11,888","±611","1,374","±548","6,978","±425","1,653","±404","2,692","±220","1,737","±452","2,578","±533","1,835","±249","1,278","±317","3,620","±191","28,131","±1,357","2,172","±97","1,953","±540","13,688","±1,192","2,174","±687","867","±672","7,124","±210","1,847","±85","10,151","±675","1,625","±202","4,326,439","±14,649"
"        18 and 19 years","980","±673","50","±99","4,796","±776","23,649","±1,193","390","±372","3,305","±442","5,642","±309","6,510","±608","9,339","±259","1,529","±772","1,522","±584","20,545","±1,259","8,731","±395","2,309","±406","2,007","±111","10,676","±1,164","5,315","±687","3,550","±353","1,549","±344","1,111","±405","1,527","±458","37,876","±1,725","748","±430","5,237","±1,069","1,045","±300","13,040","±954","1,181","±344","1,905","±760","1,987","±556","1,731","±748","842","±296","5,866","±315","3,868","±158","2,353","±933","6,786","±234","1,593","±643","5,020","±575","566","±351","1,591","±557","1,012","±489","1,652","±393","1,853","±781","936","±462","2,526","±675","17,899","±1,059","1,960","±464","1,981","±680","10,838","±1,117","1,539","±1,140","1,130","±765","4,656","±154","1,966","±618","5,320","±719","680","±472","3,047,892","±19,150"
"        20 to 24 years","2,131","±579","1,728","±584","9,699","±716","56,557","±1,881","2,085","±454","8,248","±382","19,095","±420","15,504","±458","21,213","±301","4,358","±1,050","3,027","±532","52,973","±1,886","19,645","±1,034","4,656","±705","4,803","±180","28,405","±1,925","10,933","±1,276","8,082","±199","3,682","±569","2,467","±713","4,507","±574","93,690","±3,002","1,218","±255","10,068","±989","1,922","±300","27,982","±1,827","2,576","±451","5,057","±715","4,809","±591","2,885","±689","1,424","±656","16,168","±754","10,436","±235","4,436","±1,017","15,545","±485","2,690","±844","10,957","±591","2,291","±614","3,333","±628","2,918","±503","3,815","±406","1,687","±826","1,733","±509","5,228","±561","42,940","±1,827","5,453","±383","3,925","±831","26,233","±1,820","2,588","±848","4,069","±783","10,686","±257","6,178","±632","13,305","±438","2,030","±567","7,504,739","±23,301"
"        25 to 29 years","2,043","±465","1,273","±120","10,196","±627","62,875","±2,481","2,502","±575","9,449","±518","8,021","±134","13,583","±663","20,339","±934","3,626","±771","2,708","±280","67,793","±1,839","23,441","±415","6,129","±576","4,860","±157","27,727","±1,815","11,598","±555","8,731","±358","3,240","±284","3,608","±597","4,135","±313","112,541","±3,026","1,722","±414","7,052","±616","1,891","±197","26,298","±1,776","2,145","±78","5,747","±274","5,126","±229","3,092","±560","2,924","±740","10,044","±642","7,193","±112","6,489","±956","16,250","±452","1,479","±848","12,556","±159","2,256","±66","3,280","±310","3,518","±119","4,360","±161","1,963","±484","2,239","±447","5,021","±439","48,617","±1,792","4,303","±217","4,003","±370","47,658","±1,380","2,337","±608","2,224","±356","10,095","±476","4,322","±229","14,506","±689","1,956","±322","8,023,388","±19,538"
"        30 to 34 years","1,914","±506","2,311","±927","8,547","±782","61,453","±2,109","1,876","±138","10,118","±387","6,244","±117","11,388","±333","21,212","±723","4,958","±955","2,535","±431","65,294","±1,598","23,706","±561","6,312","±482","5,154","±145","23,707","±1,425","12,123","±1,097","8,845","±335","3,410","±87","2,937","±134","4,664","±353","116,327","±2,898","1,254","±234","7,024","±496","2,032","±391","22,159","±1,740","2,412","±177","5,048","±696","5,203","±303","3,832","±231","2,104","±330","8,479","±392","6,339","±111","4,347","±734","16,686","±367","1,085","±728","11,283","±320","3,041","±557","3,962","±440","3,507","±141","4,644","±234","2,461","±550","1,666","±406","5,225","±753","48,243","±1,615","3,502","±393","2,662","±343","48,599","±1,563","2,834","±173","2,100","±922","8,607","±206","4,236","±234","17,323","±643","2,150","±447","7,815,737","±20,963"
