"Label","Albemarle County, Virginia!!Estimate","Albemarle County, Virginia!!Margin of Error","Arlington County, Virginia!!Estimate","Arlington County, Virginia!!Margin of Error","Augusta County, Virginia!!Estimate","Augusta County, Virginia!!Margin of Error","Bedford County, Virginia!!Estimate","Bedford County, Virginia!!Margin of Error","Chesterfield County, Virginia!!Estimate","Chesterfield County, Virginia!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fauquier County, Virginia!!Estimate","Fauquier County, Virginia!!Margin of Error","Frederick County, Virginia!!Estimate","Frederick County, Virginia!!Margin of Error","Hanover County, Virginia!!Estimate","Hanover County, Virginia!!Margin of Error","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error","James City County, Virginia!!Estimate","James City County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Montgomery County, Virginia!!Estimate","Montgomery County, Virginia!!Margin of Error","Prince William County, Virginia!!Estimate","Prince William County, Virginia!!Margin of Error","Roanoke County, Virginia!!Estimate","Roanoke County, Virginia!!Margin of Error","Rockingham County, Virginia!!Estimate","Rockingham County, Virginia!!Margin of Error","Spotsylvania County, Virginia!!Estimate","Spotsylvania County, Virginia!!Margin of Error","Stafford County, Virginia!!Estimate","Stafford County, Virginia!!Margin of Error","York County, Virginia!!Estimate","York County, Virginia!!Margin of Error","Alexandria city, Virginia!!Estimate","Alexandria city, Virginia!!Margin of Error","Chesapeake city, Virginia!!Estimate","Chesapeake city, Virginia!!Margin of Error","Hampton city, Virginia!!Estimate","Hampton city, Virginia!!Margin of Error","Lynchburg city, Virginia!!Estimate","Lynchburg city, Virginia!!Margin of Error","Newport News city, Virginia!!Estimate","Newport News city, Virginia!!Margin of Error","Norfolk city, Virginia!!Estimate","Norfolk city, Virginia!!Margin of Error","Portsmouth city, Virginia!!Estimate","Portsmouth city, Virginia!!Margin of Error","Richmond city, Virginia!!Estimate","Richmond city, Virginia!!Margin of Error","Roanoke city, Virginia!!Estimate","Roanoke city, Virginia!!Margin of Error","Suffolk city, Virginia!!Estimate","Suffolk city, Virginia!!Margin of Error","Virginia Beach city, Virginia!!Estimate","Virginia Beach city, Virginia!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","89,592","±466","170,938","±3,282","69,864","±592","70,754","±391","225,745","±2,816","685,971","±8,642","61,685","±655","80,873","±902","91,174","±1,077","180,176","±2,599","61,632","±590","260,807","±4,254","84,480","±520","269,954","±7,174","82,723","±620","75,964","±836","94,853","±1,528","99,699","±2,777","49,544","±1,475","101,087","±3,213","147,098","±1,850","53,875","±1,062","52,367","±1,006","86,265","±2,075","114,295","±2,060","37,612","±923","102,870","±2,341","60,753","±1,661","46,453","±678","295,353","±2,642","236,475,401","±99,212"
"    Male:","42,953","±416","86,483","±1,884","34,774","±504","34,740","±336","110,235","±1,461","344,461","±4,862","29,853","±355","40,504","±883","44,661","±542","86,235","±1,717","28,856","±604","129,204","±2,150","43,018","±306","135,539","±3,964","39,636","±448","37,245","±615","46,545","±888","50,876","±1,548","24,562","±734","48,286","±2,167","73,993","±1,148","27,392","±894","24,635","±424","43,315","±1,112","63,233","±1,211","19,615","±644","50,831","±1,339","29,711","±1,373","23,263","±547","146,690","±1,796","116,963,622","±65,787"
"        Under 5 years","2,448","±285","4,482","±694","1,403","±208","1,539","±208","6,205","±235","20,425","±1,261","1,674","±223","2,071","±192","2,178","±279","4,667","±124","1,453","±233","8,820","±603","1,764","±144","10,468","±774","1,847","±270","2,063","±228","2,659","±163","2,958","±378","1,168","±208","3,339","±459","5,275","±768","1,502","±181","1,454","±208","2,591","±460","3,147","±280","1,231","±166","2,474","±382","1,626","±208","1,564","±152","8,399","±452","6,610,190","±22,066"
"        5 to 9 years","2,507","±557","3,449","±751","1,765","±425","2,333","±631","7,722","±1,261","22,382","±2,080","2,377","±565","2,556","±870","2,802","±707","4,869","±959","1,670","±662","9,643","±1,129","960","±608","9,343","±1,578","1,503","±680","2,598","±616","2,520","±644","3,445","±704","1,534","±533","2,584","±601","4,941","±1,111","1,230","±356","746","±363","1,774","±593","2,623","±632","1,103","±605","1,743","±560","1,276","±405","1,643","±319","8,693","±1,033","6,628,875","±39,223"
"        10 to 14 years","2,390","±517","4,569","±770","1,741","±435","1,648","±613","6,287","±1,288","21,694","±1,899","1,673","±508","3,110","±703","2,940","±705","5,754","±1,067","1,628","±681","11,052","±1,231","2,553","±617","10,072","±1,305","3,098","±648","2,151","±653","3,782","±689","3,485","±664","1,586","±499","1,565","±668","4,934","±1,168","1,125","±356","1,260","±363","2,802","±666","1,841","±476","885","±260","1,001","±446","1,705","±736","1,136","±321","8,318","±986","7,342,265","±36,618"
"        15 to 17 years","1,435","±107","1,823","±333","1,096","±156","1,289","±208","4,734","±290","12,589","±582","1,212","±89","1,713","±493","1,805","±208","3,063","±208","446","±272","6,380","±388","1,059","±208","5,604","±812","1,620","±181","1,469","±86","2,057","±146","2,315","±267","985","±208","773","±585","2,763","±180","882","±640","627","±208","1,334","±445","986","±194","506","±187","392","±194","1,150","±654","772","±41","4,612","±238","4,326,439","±14,649"
"        18 and 19 years","2,313","±619","1,203","±749","700","±208","614","±373","2,323","±179","7,279","±590","1,006","±573","889","±501","1,356","±204","1,653","±208","595","±352","3,182","±441","5,175","±1,606","2,999","±504","1,081","±632","891","±66","1,056","±78","1,215","±130","905","±477","612","±420","1,620","±208","660","±377","1,462","±544","1,679","±123","2,978","±631","375","±308","1,719","±796","1,496","±621","357","±184","3,858","±496","3,047,892","±19,150"
"        20 to 24 years","2,570","±680","5,368","±541","1,832","±62","1,973","±384","5,226","±151","20,233","±965","1,383","±503","2,035","±560","2,599","±124","4,467","±567","1,081","±364","6,792","±681","7,419","±1,569","8,037","±884","1,839","±633","2,318","±260","2,604","±148","4,100","±408","1,629","±373","2,065","±395","4,107","±276","2,469","±677","4,850","±514","4,286","±401","11,403","±466","1,802","±513","3,897","±704","980","±450","1,249","±217","9,914","±427","7,504,739","±23,301"
"        25 to 29 years","2,483","±264","11,770","±856","2,112","±97","1,774","±7","6,054","±340","21,009","±932","1,679","±330","2,644","±237","2,250","±208","5,564","±226","1,270","±208","5,916","±303","2,992","±208","8,470","±793","2,283","±208","2,079","±41","2,782","±176","3,359","±251","1,353","±208","4,458","±535","4,990","±328","3,185","±736","2,408","±217","4,478","±334","7,638","±253","1,944","±336","7,353","±238","2,166","±208","1,526","±164","12,231","±707","8,023,388","±19,538"
"        30 to 34 years","2,571","±84","9,590","±556","2,242","±281","1,660","±208","6,469","±207","22,712","±972","1,570","±208","2,255","±151","2,264","±208","5,918","±510","1,740","±330","7,549","±545","2,560","±208","9,037","±652","2,147","±208","2,372","±257","2,771","±76","2,919","±108","1,288","±208","5,460","±596","5,575","±539","2,009","±208","1,478","±208","3,871","±511","5,708","±223","1,726","±366","6,653","±362","2,376","±212","1,851","±297","11,454","±487","7,815,737","±20,963"
"        35 to 44 years","5,247","±281","14,365","±544","4,389","±466","3,626","±177","15,154","±557","46,728","±1,428","3,913","±452","4,615","±434","5,410","±309","10,757","±618","3,293","±411","19,036","±548","4,346","±163","21,171","±1,444","4,915","±356","4,218","±205","6,275","±328","6,924","±640","3,343","±491","9,471","±886","9,857","±372","2,959","±117","2,074","±183","4,738","±353","7,608","±534","2,450","±192","7,289","±231","3,915","±374","2,939","±127","20,587","±808","14,762,386","±26,026"
"        45 to 54 years","4,914","±238","11,647","±269","4,529","±149","4,743","±6","15,289","±475","47,920","±1,424","4,061","±185","5,914","±611","6,204","±208","11,849","±304","3,557","±250","21,478","±627","4,399","±208","19,155","±964","5,374","±201","4,592","±208","6,296","±128","7,145","±249","2,985","±208","6,346","±625","9,860","±531","2,771","±87","2,138","±198","4,075","±157","5,798","±393","2,038","±208","5,642","±464","3,820","±276","2,967","±208","17,493","±465","14,827,307","±22,219"
"        55 to 64 years","5,562","±66","8,647","±497","5,303","±208","5,984","±242","15,522","±304","48,198","±967","4,493","±208","5,736","±248","6,962","±153","12,699","±390","4,113","±114","16,506","±279","4,356","±40","16,077","±840","5,725","±208","5,430","±206","6,446","±150","6,919","±265","3,574","±208","5,720","±597","10,222","±313","4,170","±127","2,448","±208","5,566","±246","6,725","±186","2,497","±100","6,029","±371","4,343","±229","3,464","±77","19,402","±311","16,032,138","±13,430"
"        65 to 74 years","5,015","±191","6,188","±239","4,569","±274","4,581","±208","12,153","±164","32,565","±589","2,977","±114","4,103","±60","4,889","±59","9,004","±208","4,432","±208","7,662","±145","3,368","±208","9,831","±432","4,889","±208","4,080","±27","4,473","±208","3,939","±113","2,448","±208","3,723","±208","6,300","±208","2,690","±110","1,985","±208","3,604","±208","4,306","±45","1,872","±208","4,233","±58","3,030","±208","2,329","±59","13,087","±93","12,107,945","±10,826"
