"Label","Baldwin County, Alabama!!Estimate","Baldwin County, Alabama!!Margin of Error","Calhoun County, Alabama!!Estimate","Calhoun County, Alabama!!Margin of Error","Cullman County, Alabama!!Estimate","Cullman County, Alabama!!Margin of Error","DeKalb County, Alabama!!Estimate","DeKalb County, Alabama!!Margin of Error","Elmore County, Alabama!!Estimate","Elmore County, Alabama!!Margin of Error","Etowah County, Alabama!!Estimate","Etowah County, Alabama!!Margin of Error","Houston County, Alabama!!Estimate","Houston County, Alabama!!Margin of Error","Jefferson County, Alabama!!Estimate","Jefferson County, Alabama!!Margin of Error","Lauderdale County, Alabama!!Estimate","Lauderdale County, Alabama!!Margin of Error","Lee County, Alabama!!Estimate","Lee County, Alabama!!Margin of Error","Limestone County, Alabama!!Estimate","Limestone County, Alabama!!Margin of Error","Madison County, Alabama!!Estimate","Madison County, Alabama!!Margin of Error","Marshall County, Alabama!!Estimate","Marshall County, Alabama!!Margin of Error","Mobile County, Alabama!!Estimate","Mobile County, Alabama!!Margin of Error","Montgomery County, Alabama!!Estimate","Montgomery County, Alabama!!Margin of Error","Morgan County, Alabama!!Estimate","Morgan County, Alabama!!Margin of Error","St. Clair County, Alabama!!Estimate","St. Clair County, Alabama!!Margin of Error","Shelby County, Alabama!!Estimate","Shelby County, Alabama!!Margin of Error","Talladega County, Alabama!!Estimate","Talladega County, Alabama!!Margin of Error","Tuscaloosa County, Alabama!!Estimate","Tuscaloosa County, Alabama!!Margin of Error","Walker County, Alabama!!Estimate","Walker County, Alabama!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","","","25,226","±1,306","","","","","17,768","±410","16,040","±637","29,736","±445","285,001","±1,579","","","37,396","±1,278","13,999","±914","92,197","±1,869","","","150,159","±2,160","132,115","±1,614","","","","","27,252","±1,544","26,486","±1,207","68,660","±486","","","41,989,671","±77,381"
"    Male:","","","11,232","±985","","","","","9,040","±657","7,490","±422","13,821","±216","130,385","±856","","","18,537","±1,371","7,503","±550","43,960","±842","","","68,689","±851","60,131","±1,188","","","","","12,640","±842","13,726","±1,194","31,664","±601","","","20,072,410","±45,650"
"        Under 5 years","","","748","±478","","","","","560","±385","143","±175","1,138","±84","9,628","±245","","","1,787","±2,348","666","±541","3,510","±227","","","5,876","±141","3,921","±1,042","","","","","637","±361","1,019","±466","2,423","±95","","","1,348,003","±15,853"
"        5 to 9 years","","","842","±463","","","","","968","±466","869","±328","1,005","±246","9,820","±1,419","","","2,526","±1,498","460","±312","3,412","±997","","","4,896","±1,202","3,740","±1,034","","","","","848","±468","828","±727","1,397","±663","","","1,398,980","±22,263"
"        10 to 14 years","","","807","±513","","","","","785","±610","877","±348","1,322","±231","10,700","±1,456","","","987","±1,000","226","±268","2,740","±988","","","6,549","±1,189","5,627","±1,020","","","","","1,158","±490","1,441","±757","3,407","±687","","","1,566,422","±25,165"
"        15 to 17 years","","","586","±281","","","","","366","±488","8","±15","679","±89","5,860","±178","","","925","±816","311","±289","1,715","±233","","","3,175","±198","2,806","±206","","","","","484","±481","1,027","±700","1,758","±568","","","886,109","±11,340"
"        18 and 19 years","","","294","±214","","","","","23","±44","371","±409","429","±236","3,749","±330","","","638","±465","0","±206","1,987","±138","","","1,637","±689","2,393","±206","","","","","259","±247","640","±334","2,345","±1,198","","","679,112","±12,448"
"        20 to 24 years","","","95","±142","","","","","249","±334","639","±584","1,016","±240","9,502","±257","","","896","±749","110","±128","3,957","±144","","","5,230","±206","4,847","±243","","","","","1,243","±479","620","±308","2,310","±1,184","","","1,578,655","±19,317"
"        25 to 29 years","","","833","±691","","","","","709","±586","661","±475","1,088","±74","10,557","±269","","","314","±543","961","±1,062","3,935","±227","","","5,898","±206","5,495","±206","","","","","858","±544","886","±455","2,975","±206","","","1,715,999","±14,404"
"        30 to 34 years","","","1,389","±861","","","","","1,591","±650","627","±421","933","±206","8,902","±266","","","1,070","±1,021","205","±347","3,237","±61","","","4,473","±99","4,526","±206","","","","","1,024","±710","1,251","±564","2,135","±38","","","1,465,581","±14,943"
"        35 to 44 years","","","1,835","±344","","","","","1,270","±351","613","±422","1,677","±27","15,915","±206","","","3,922","±1,333","1,574","±840","5,252","±92","","","7,822","±206","7,402","±208","","","","","2,601","±815","1,216","±564","3,859","±206","","","2,614,350","±18,247"
"        45 to 54 years","","","877","±322","","","","","1,014","±347","932","±206","1,494","±60","14,640","±200","","","1,969","±470","1,488","±1,013","4,937","±206","","","7,170","±206","6,611","±166","","","","","1,138","±600","1,645","±206","3,153","±206","","","2,440,558","±16,705"
"        55 to 64 years","","","1,539","±206","","","","","724","±312","882","±206","1,527","±26","15,969","±243","","","2,036","±68","602","±362","5,005","±88","","","8,223","±51","6,597","±206","","","","","1,389","±206","1,601","±206","3,206","±206","","","2,314,686","±9,801"
"        65 to 74 years","","","714","±327","","","","","633","±331","396","±239","1,011","±206","10,607","±145","","","1,263","±343","539","±397","2,982","±226","","","5,124","±206","4,142","±206","","","","","785","±254","689","±511","1,936","±83","","","1,368,723","±10,223"
"        75 to 84 years","","","572","±357","","","","","148","±182","472","±239","394","±105","3,894","±338","","","204","±237","361","±461","1,014","±195","","","2,094","±392","1,795","±225","","","","","42","±77","863","±518","523","±236","","","543,830","±6,891"
"        85 years and over","","","101","±94","","","","","0","±206","0","±206","108","±105","642","±346","","","0","±206","0","±206","277","±195","","","522","±392","229","±225","","","","","174","±252","0","±206","237","±239","","","151,402","±5,810"
"    Female:","","","13,994","±903","","","","","8,728","±728","8,550","±477","15,915","±298","154,616","±1,118","","","18,859","±969","6,496","±657","48,237","±1,523","","","81,470","±1,518","71,984","±918","","","","","14,612","±1,339","12,760","±918","36,996","±747","","","21,917,261","±49,738"
"        Under 5 years","","","1,139","±529","","","","","300","±371","290","±270","1,165","±34","9,358","±353","","","143","±301","355","±287","2,310","±894","","","5,201","±532","4,291","±570","","","","","1,185","±443","570","±358","2,325","±167","","","1,313,006","±15,017"
"        5 to 9 years","","","595","±607","","","","","920","±785","646","±326","1,090","±239","9,353","±1,741","","","1,179","±952","261","±297","1,982","±687","","","5,993","±1,218","5,550","±957","","","","","619","±328","177","±248","3,311","±673","","","1,364,936","±18,840"
"        10 to 14 years","","","1,410","±683","","","","","0","±206","775","±396","1,008","±251","10,112","±1,777","","","774","±814","538","±457","3,561","±812","","","5,141","±1,214","3,920","±930","","","","","888","±587","427","±473","1,532","±673","","","1,483,366","±18,570"
"        15 to 17 years","","","547","±278","","","","","598","±559","41","±70","710","±24","6,025","±303","","","995","±591","517","±502","1,763","±206","","","3,312","±206","2,621","±212","","","","","606","±770","349","±357","1,046","±568","","","848,846","±12,067"
"        18 and 19 years","","","171","±296","","","","","137","±182","104","±145","327","±86","3,626","±380","","","1,400","±539","156","±180","2,746","±990","","","2,086","±206","2,024","±197","","","","","408","±395","934","±416","1,376","±224","","","640,129","±13,384"
"        20 to 24 years","","","2,185","±493","","","","","762","±527","1,015","±435","955","±125","9,490","±448","","","1,747","±493","584","±212","4,058","±1,005","","","5,631","±109","5,578","±221","","","","","778","±489","1,165","±465","4,033","±206","","","1,545,140","±17,392"
"        25 to 29 years","","","446","±381","","","","","817","±502","445","±423","1,366","±206","11,740","±213","","","1,096","±505","92","±110","4,054","±328","","","6,583","±129","6,027","±172","","","","","1,170","±206","785","±462","3,305","±276","","","1,728,866","±15,287"
"        30 to 34 years","","","808","±215","","","","","730","±406","541","±407","1,135","±40","11,249","±55","","","2,039","±1,474","459","±431","3,716","±194","","","5,893","±158","5,552","±90","","","","","1,105","±553","356","±288","2,558","±206","","","1,574,530","±13,489"
"        35 to 44 years","","","1,637","±232","","","","","1,244","±446","953","±485","2,206","±109","20,798","±102","","","2,684","±1,363","982","±522","6,363","±178","","","9,810","±448","9,558","±198","","","","","2,734","±596","2,239","±336","5,008","±218","","","2,894,745","±19,109"
"        45 to 54 years","","","1,646","±206","","","","","1,339","±206","1,335","±440","1,943","±37","18,587","±273","","","2,289","±970","878","±469","5,973","±279","","","9,182","±69","8,755","±206","","","","","2,187","±170","1,841","±121","4,488","±206","","","2,766,537","±16,849"
"        55 to 64 years","","","1,666","±234","","","","","1,074","±206","1,146","±206","1,956","±105","20,994","±106","","","2,199","±312","618","±461","5,777","±317","","","11,240","±864","8,846","±61","","","","","1,654","±206","1,929","±206","3,840","±190","","","2,726,482","±9,060"
"        65 to 74 years","","","1,084","±201","","","","","339","±215","530","±286","1,260","±35","14,610","±134","","","1,142","±697","317","±276","3,815","±206","","","6,901","±101","5,730","±206","","","","","907","±389","1,480","±322","2,618","±206","","","1,820,590","±9,640"
"        75 to 84 years","","","452","±168","","","","","303","±337","527","±277","653","±74","5,992","±727","","","1,098","±725","572","±427","1,717","±271","","","3,197","±484","2,551","±385","","","","","371","±303","508","±315","1,182","±305","","","861,805","±11,993"
"        85 years and over","","","208","±162","","","","","165","±216","202","±169","141","±69","2,682","±738","","","74","±134","167","±284","402","±273","","","1,300","±412","981","±385","","","","","0","±206","0","±206","374","±305","","","348,283","±8,487"
