"Label","Alachua County, Florida!!Estimate","Alachua County, Florida!!Margin of Error","Bay County, Florida!!Estimate","Bay County, Florida!!Margin of Error","Brevard County, Florida!!Estimate","Brevard County, Florida!!Margin of Error","Broward County, Florida!!Estimate","Broward County, Florida!!Margin of Error","Charlotte County, Florida!!Estimate","Charlotte County, Florida!!Margin of Error","Citrus County, Florida!!Estimate","Citrus County, Florida!!Margin of Error","Clay County, Florida!!Estimate","Clay County, Florida!!Margin of Error","Collier County, Florida!!Estimate","Collier County, Florida!!Margin of Error","Columbia County, Florida!!Estimate","Columbia County, Florida!!Margin of Error","Duval County, Florida!!Estimate","Duval County, Florida!!Margin of Error","Escambia County, Florida!!Estimate","Escambia County, Florida!!Margin of Error","Flagler County, Florida!!Estimate","Flagler County, Florida!!Margin of Error","Hernando County, Florida!!Estimate","Hernando County, Florida!!Margin of Error","Highlands County, Florida!!Estimate","Highlands County, Florida!!Margin of Error","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Indian River County, Florida!!Estimate","Indian River County, Florida!!Margin of Error","Lake County, Florida!!Estimate","Lake County, Florida!!Margin of Error","Lee County, Florida!!Estimate","Lee County, Florida!!Margin of Error","Leon County, Florida!!Estimate","Leon County, Florida!!Margin of Error","Manatee County, Florida!!Estimate","Manatee County, Florida!!Margin of Error","Marion County, Florida!!Estimate","Marion County, Florida!!Margin of Error","Martin County, Florida!!Estimate","Martin County, Florida!!Margin of Error","Miami-Dade County, Florida!!Estimate","Miami-Dade County, Florida!!Margin of Error","Monroe County, Florida!!Estimate","Monroe County, Florida!!Margin of Error","Nassau County, Florida!!Estimate","Nassau County, Florida!!Margin of Error","Okaloosa County, Florida!!Estimate","Okaloosa County, Florida!!Margin of Error","Orange County, Florida!!Estimate","Orange County, Florida!!Margin of Error","Osceola County, Florida!!Estimate","Osceola County, Florida!!Margin of Error","Palm Beach County, Florida!!Estimate","Palm Beach County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error","Putnam County, Florida!!Estimate","Putnam County, Florida!!Margin of Error","St. Johns County, Florida!!Estimate","St. Johns County, Florida!!Margin of Error","St. Lucie County, Florida!!Estimate","St. Lucie County, Florida!!Margin of Error","Santa Rosa County, Florida!!Estimate","Santa Rosa County, Florida!!Margin of Error","Sarasota County, Florida!!Estimate","Sarasota County, Florida!!Margin of Error","Seminole County, Florida!!Estimate","Seminole County, Florida!!Margin of Error","Sumter County, Florida!!Estimate","Sumter County, Florida!!Margin of Error","Volusia County, Florida!!Estimate","Volusia County, Florida!!Margin of Error","Walton County, Florida!!Estimate","Walton County, Florida!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","51,376","±2,466","17,297","±1,954","53,058","±5,028","562,835","±8,376","","","","","26,746","±1,822","26,105","±1,089","13,130","±1,433","285,600","±4,287","70,833","±2,645","","","","","","","255,003","±7,843","","","39,377","±3,738","66,440","±3,073","92,373","±1,907","36,200","±1,258","48,342","±1,220","","","456,189","±6,568","","","","","17,644","±2,353","296,070","±7,145","45,340","±5,452","284,114","±4,980","33,988","±2,454","98,811","±4,214","110,868","±3,629","12,245","±521","15,216","±1,792","64,013","±5,937","","","18,428","±1,981","59,469","±4,217","","","58,899","±2,316","","","41,989,671","±77,381"
"    Male:","23,432","±1,243","8,667","±1,314","25,916","±2,745","264,876","±4,414","","","","","12,434","±911","12,686","±1,105","6,683","±1,047","132,085","±2,376","33,891","±1,351","","","","","","","120,026","±3,774","","","19,412","±2,025","33,247","±1,509","41,270","±1,119","18,032","±1,028","22,769","±1,426","","","218,821","±3,041","","","","","9,665","±1,551","141,910","±4,180","23,911","±3,470","135,477","±2,799","16,850","±1,587","46,928","±2,177","53,542","±2,235","5,877","±327","7,325","±884","31,110","±2,360","","","9,507","±1,293","28,556","±2,375","","","28,637","±1,331","","","20,072,410","±45,650"
"        Under 5 years","1,193","±586","630","±570","1,501","±718","19,329","±1,184","","","","","646","±444","245","±292","84","±133","10,876","±878","2,876","±450","","","","","","","10,410","±1,350","","","855","±769","2,751","±409","2,806","±472","2,138","±484","2,078","±1,028","","","15,791","±1,099","","","","","196","±227","9,691","±1,336","1,703","±1,407","10,330","±1,147","981","±1,075","2,732","±768","3,293","±708","754","±655","210","±285","1,487","±1,020","","","672","±707","2,442","±608","","","1,768","±493","","","1,348,003","±15,853"
"        5 to 9 years","943","±759","71","±127","1,236","±687","20,427","±3,034","","","","","1,547","±635","415","±433","189","±205","8,506","±1,579","2,963","±1,046","","","","","","","9,669","±1,756","","","2,823","±970","3,056","±959","2,620","±809","1,408","±597","1,463","±698","","","14,952","±2,513","","","","","215","±258","11,032","±2,332","1,763","±1,344","10,293","±1,850","1,614","±934","3,713","±1,688","4,463","±1,011","742","±466","657","±255","2,313","±999","","","753","±810","2,626","±883","","","2,132","±772","","","1,398,980","±22,263"
"        10 to 14 years","2,970","±1,076","970","±812","2,521","±1,318","22,104","±2,890","","","","","434","±396","1,872","±813","273","±282","13,173","±1,717","2,375","±1,110","","","","","","","9,957","±1,508","","","993","±879","2,508","±948","2,883","±949","1,840","±551","2,466","±733","","","16,235","±2,487","","","","","776","±509","11,701","±2,577","2,007","±977","10,774","±1,645","672","±467","2,360","±1,100","4,140","±1,050","464","±426","880","±700","2,655","±1,207","","","382","±609","1,772","±859","","","1,880","±790","","","1,566,422","±25,165"
"        15 to 17 years","559","±485","0","±234","256","±247","12,068","±1,019","","","","","282","±280","449","±256","315","±376","6,114","±446","1,298","±385","","","","","","","6,257","±652","","","995","±1,280","2,271","±840","1,847","±77","1,001","±577","621","±470","","","8,013","±694","","","","","385","±263","6,184","±575","750","±597","6,235","±749","698","±438","2,408","±238","2,292","±526","0","±234","187","±222","1,218","±858","","","326","±330","1,134","±702","","","1,157","±175","","","886,109","±11,340"
"        18 and 19 years","431","±282","208","±300","1,196","±883","7,320","±481","","","","","412","±405","654","±801","518","±371","4,011","±358","1,314","±178","","","","","","","3,487","±205","","","323","±348","1,594","±874","2,424","±312","1,178","±1,050","281","±384","","","5,922","±283","","","","","113","±153","4,456","±280","214","±248","4,075","±431","944","±537","1,519","±744","1,215","±715","0","±234","104","±95","2,599","±1,300","","","671","±377","280","±242","","","762","±593","","","679,112","±12,448"
"        20 to 24 years","3,422","±451","679","±665","1,218","±931","19,472","±1,168","","","","","1,375","±629","1,579","±858","1,243","±376","10,507","±468","2,953","±362","","","","","","","9,580","±816","","","1,726","±873","1,858","±905","6,797","±662","1,030","±1,047","1,870","±507","","","15,915","±969","","","","","1,130","±857","10,437","±1,065","2,378","±1,085","9,377","±527","952","±591","4,887","±1,302","4,400","±792","239","±191","1,298","±1,134","2,269","±1,102","","","1,102","±368","2,240","±429","","","3,078","±675","","","1,578,655","±19,317"
"        25 to 29 years","2,377","±352","936","±795","1,934","±841","21,658","±578","","","","","691","±698","141","±193","378","±338","11,204","±740","2,978","±432","","","","","","","10,395","±930","","","1,248","±920","2,715","±337","4,044","±227","487","±410","1,925","±234","","","19,747","±947","","","","","1,624","±877","13,868","±1,709","1,562","±951","11,004","±562","1,011","±555","3,012","±1,530","4,383","±160","220","±330","652","±702","1,153","±729","","","196","±223","3,018","±700","","","2,827","±426","","","1,715,999","±14,404"
"        30 to 34 years","1,653","±399","652","±794","1,742","±266","19,815","±453","","","","","662","±535","697","±714","568","±277","10,247","±308","2,491","±100","","","","","","","8,942","±482","","","1,551","±1,101","1,162","±623","2,820","±199","1,654","±986","1,074","±601","","","17,015","±685","","","","","1,100","±659","11,204","±507","2,376","±1,994","8,902","±989","1,384","±662","3,612","±370","3,913","±150","58","±74","100","±185","911","±738","","","739","±382","2,553","±563","","","2,024","±300","","","1,465,581","±14,943"
