"Label","Ascension Parish, Louisiana!!Estimate","Ascension Parish, Louisiana!!Margin of Error","Bossier Parish, Louisiana!!Estimate","Bossier Parish, Louisiana!!Margin of Error","Caddo Parish, Louisiana!!Estimate","Caddo Parish, Louisiana!!Margin of Error","Calcasieu Parish, Louisiana!!Estimate","Calcasieu Parish, Louisiana!!Margin of Error","East Baton Rouge Parish, Louisiana!!Estimate","East Baton Rouge Parish, Louisiana!!Margin of Error","Iberia Parish, Louisiana!!Estimate","Iberia Parish, Louisiana!!Margin of Error","Jefferson Parish, Louisiana!!Estimate","Jefferson Parish, Louisiana!!Margin of Error","Lafayette Parish, Louisiana!!Estimate","Lafayette Parish, Louisiana!!Margin of Error","Lafourche Parish, Louisiana!!Estimate","Lafourche Parish, Louisiana!!Margin of Error","Livingston Parish, Louisiana!!Estimate","Livingston Parish, Louisiana!!Margin of Error","Orleans Parish, Louisiana!!Estimate","Orleans Parish, Louisiana!!Margin of Error","Ouachita Parish, Louisiana!!Estimate","Ouachita Parish, Louisiana!!Margin of Error","Rapides Parish, Louisiana!!Estimate","Rapides Parish, Louisiana!!Margin of Error","St. Landry Parish, Louisiana!!Estimate","St. Landry Parish, Louisiana!!Margin of Error","St. Tammany Parish, Louisiana!!Estimate","St. Tammany Parish, Louisiana!!Margin of Error","Tangipahoa Parish, Louisiana!!Estimate","Tangipahoa Parish, Louisiana!!Margin of Error","Terrebonne Parish, Louisiana!!Estimate","Terrebonne Parish, Louisiana!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","30,809","±2,010","29,422","±808","119,896","±1,060","51,058","±1,772","207,515","±1,430","22,861","±825","117,383","±2,150","65,388","±1,433","13,911","±676","","","229,418","±1,598","57,876","±718","41,183","±1,482","34,637","±617","34,215","±1,933","40,527","±2,735","21,372","±909","41,989,671","±77,381"
"    Male:","14,558","±1,266","14,349","±1,040","54,808","±727","24,436","±1,271","95,373","±882","10,795","±893","54,234","±1,120","31,353","±402","6,922","±788","","","104,094","±826","27,082","±280","19,679","±781","16,843","±413","15,543","±1,760","18,530","±1,259","9,223","±1,083","20,072,410","±45,650"
"        Under 5 years","436","±623","1,109","±92","4,396","±174","1,907","±419","7,112","±488","825","±486","4,431","±178","2,867","±112","1,143","±813","","","6,859","±342","2,319","±173","1,735","±135","1,512","±224","732","±648","1,881","±224","291","±352","1,348,003","±15,853"
"        5 to 9 years","1,208","±1,147","591","±486","3,908","±1,030","2,190","±697","6,966","±1,365","877","±304","5,424","±1,346","2,022","±919","867","±1,043","","","6,513","±1,247","2,024","±931","2,339","±659","1,819","±692","947","±567","1,878","±635","381","±430","1,398,980","±22,263"
"        10 to 14 years","1,955","±1,586","1,652","±598","5,291","±1,012","1,787","±596","9,474","±1,365","829","±447","3,505","±1,325","3,100","±920","528","±603","","","8,460","±1,170","2,883","±912","1,066","±587","1,180","±688","2,728","±1,011","1,633","±646","415","±678","1,566,422","±25,165"
"        15 to 17 years","291","±411","1,242","±941","2,568","±163","1,287","±175","4,821","±224","768","±384","2,579","±192","1,511","±111","0","±224","","","4,549","±159","1,465","±224","1,079","±224","1,101","±301","337","±252","465","±443","1,040","±990","886,109","±11,340"
"        18 and 19 years","942","±843","817","±657","1,723","±224","1,868","±1,207","3,575","±224","502","±546","1,702","±328","791","±549","324","±336","","","2,820","±249","333","±261","736","±399","841","±433","762","±485","1,190","±872","31","±63","679,112","±12,448"
"        20 to 24 years","827","±886","953","±656","3,980","±224","1,320","±869","9,509","±224","770","±440","3,644","±308","2,708","±539","883","±683","","","6,999","±287","2,911","±261","1,261","±396","724","±439","709","±358","1,999","±1,003","1,328","±900","1,578,655","±19,317"
"        25 to 29 years","1,035","±744","993","±627","4,348","±206","1,563","±976","8,343","±114","799","±424","4,818","±211","2,965","±224","683","±532","","","8,188","±363","2,184","±174","1,563","±236","1,318","±561","1,427","±614","389","±451","1,223","±897","1,715,999","±14,404"
"        30 to 34 years","1,933","±1,424","160","±217","3,748","±171","1,711","±990","6,443","±57","506","±306","3,958","±304","2,513","±224","495","±454","","","7,552","±295","1,922","±224","749","±482","1,009","±569","727","±591","550","±572","183","±300","1,465,581","±14,943"
