"Label","Albemarle County, Virginia!!Estimate","Albemarle County, Virginia!!Margin of Error","Arlington County, Virginia!!Estimate","Arlington County, Virginia!!Margin of Error","Augusta County, Virginia!!Estimate","Augusta County, Virginia!!Margin of Error","Bedford County, Virginia!!Estimate","Bedford County, Virginia!!Margin of Error","Chesterfield County, Virginia!!Estimate","Chesterfield County, Virginia!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fauquier County, Virginia!!Estimate","Fauquier County, Virginia!!Margin of Error","Frederick County, Virginia!!Estimate","Frederick County, Virginia!!Margin of Error","Hanover County, Virginia!!Estimate","Hanover County, Virginia!!Margin of Error","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error","James City County, Virginia!!Estimate","James City County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Montgomery County, Virginia!!Estimate","Montgomery County, Virginia!!Margin of Error","Prince William County, Virginia!!Estimate","Prince William County, Virginia!!Margin of Error","Roanoke County, Virginia!!Estimate","Roanoke County, Virginia!!Margin of Error","Rockingham County, Virginia!!Estimate","Rockingham County, Virginia!!Margin of Error","Spotsylvania County, Virginia!!Estimate","Spotsylvania County, Virginia!!Margin of Error","Stafford County, Virginia!!Estimate","Stafford County, Virginia!!Margin of Error","York County, Virginia!!Estimate","York County, Virginia!!Margin of Error","Alexandria city, Virginia!!Estimate","Alexandria city, Virginia!!Margin of Error","Chesapeake city, Virginia!!Estimate","Chesapeake city, Virginia!!Margin of Error","Hampton city, Virginia!!Estimate","Hampton city, Virginia!!Margin of Error","Lynchburg city, Virginia!!Estimate","Lynchburg city, Virginia!!Margin of Error","Newport News city, Virginia!!Estimate","Newport News city, Virginia!!Margin of Error","Norfolk city, Virginia!!Estimate","Norfolk city, Virginia!!Margin of Error","Portsmouth city, Virginia!!Estimate","Portsmouth city, Virginia!!Margin of Error","Richmond city, Virginia!!Estimate","Richmond city, Virginia!!Margin of Error","Roanoke city, Virginia!!Estimate","Roanoke city, Virginia!!Margin of Error","Suffolk city, Virginia!!Estimate","Suffolk city, Virginia!!Margin of Error","Virginia Beach city, Virginia!!Estimate","Virginia Beach city, Virginia!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","9,954","±986","22,564","±809","","","","","82,677","±2,998","116,562","±3,279","","","","","10,749","±853","102,393","±3,307","","","33,157","±1,428","","","98,650","±3,331","","","","","22,802","±1,504","29,199","±1,473","10,282","±754","33,266","±1,906","73,569","±2,970","67,315","±2,205","23,704","±1,282","74,156","±2,063","100,025","±1,841","50,972","±1,335","104,272","±2,588","30,538","±2,098","38,737","±1,805","85,176","±3,147","41,989,671","±77,381"
"    Male:","5,570","±926","10,585","±606","","","","","38,144","±1,671","57,592","±1,742","","","","","5,675","±603","45,610","±1,984","","","16,974","±1,115","","","47,821","±2,257","","","","","11,623","±958","14,160","±1,011","4,254","±527","16,218","±1,029","33,666","±2,060","31,371","±1,283","11,083","±1,255","34,505","±1,403","47,240","±1,344","22,176","±1,061","48,681","±943","15,188","±1,104","18,092","±1,065","40,051","±2,096","20,072,410","±45,650"
"        Under 5 years","329","±280","453","±311","","","","","2,703","±314","3,868","±631","","","","","100","±156","3,142","±265","","","1,214","±245","","","3,874","±424","","","","","534","±395","1,051","±589","438","±479","1,206","±357","2,490","±208","1,744","±390","869","±401","3,339","±524","3,441","±613","1,073","±646","3,117","±538","1,084","±368","1,103","±451","2,240","±787","1,348,003","±15,853"
"        5 to 9 years","413","±323","764","±363","","","","","2,684","±804","3,078","±1,129","","","","","536","±349","3,915","±968","","","979","±580","","","3,275","±961","","","","","1,345","±426","751","±424","363","±367","513","±234","1,460","±959","1,258","±524","672","±437","2,981","±932","2,433","±758","2,546","±843","4,310","±985","1,289","±757","1,385","±501","4,251","±1,106","1,398,980","±22,263"
"        10 to 14 years","404","±377","608","±344","","","","","3,049","±886","4,850","±1,277","","","","","780","±274","3,081","±979","","","2,275","±712","","","3,413","±911","","","","","695","±380","989","±680","54","±96","915","±264","2,678","±1,087","2,876","±783","1,171","±385","2,557","±925","3,753","±779","1,314","±829","2,236","±982","1,523","±517","1,364","±614","2,050","±1,027","1,566,422","±25,165"
"        15 to 17 years","336","±381","228","±334","","","","","1,934","±503","2,437","±447","","","","","174","±145","2,341","±260","","","924","±603","","","1,928","±619","","","","","593","±294","434","±336","0","±208","756","±190","1,260","±484","1,375","±128","614","±612","1,425","±246","1,824","±208","989","±487","2,403","±554","588","±328","929","±208","1,973","±216","886,109","±11,340"
"        18 and 19 years","71","±119","230","±312","","","","","1,451","±764","2,618","±660","","","","","0","±208","833","±533","","","381","±388","","","1,180","±266","","","","","359","±551","405","±309","0","±208","510","±477","1,337","±896","1,265","±858","270","±242","1,143","±584","1,853","±378","801","±546","1,455","±228","158","±201","1,465","±467","1,390","±176","679,112","±12,448"
"        20 to 24 years","636","±317","626","±479","","","","","3,540","±768","2,781","±624","","","","","471","±329","4,031","±514","","","918","±397","","","3,013","±439","","","","","451","±384","792","±618","225","±199","507","±435","2,579","±1,085","2,900","±873","1,701","±577","2,590","±620","6,157","±543","866","±454","3,398","±421","1,915","±596","511","±408","3,359","±541","1,578,655","±19,317"
"        25 to 29 years","259","±214","1,309","±495","","","","","2,731","±420","5,031","±201","","","","","264","±262","3,582","±716","","","953","±117","","","2,998","±560","","","","","820","±430","1,156","±517","611","±580","1,635","±122","1,957","±1,198","3,067","±347","693","±412","3,114","±316","5,312","±677","1,971","±263","4,895","±378","556","±542","893","±416","4,002","±629","1,715,999","±14,404"
"        30 to 34 years","195","±198","1,025","±177","","","","","2,707","±158","4,362","±208","","","","","215","±219","2,679","±688","","","915","±341","","","3,268","±331","","","","","574","±474","559","±525","59","±103","1,363","±675","890","±600","2,307","±137","1,102","±903","2,493","±603","3,811","±179","1,822","±208","3,708","±107","634","±564","812","±720","2,899","±564","1,465,581","±14,943"
"        35 to 44 years","449","±218","1,729","±589","","","","","4,533","±405","8,388","±621","","","","","1,266","±632","6,169","±623","","","2,897","±264","","","7,493","±237","","","","","1,776","±431","2,899","±544","497","±469","3,372","±264","6,514","±637","3,229","±501","1,061","±469","4,267","±42","5,529","±383","2,865","±208","5,261","±208","2,233","±1,054","2,820","±758","5,713","±860","2,614,350","±18,247"
"        45 to 54 years","1,012","±267","1,548","±598","","","","","5,275","±158","8,211","±89","","","","","256","±267","5,262","±490","","","2,490","±539","","","7,691","±693","","","","","1,676","±208","2,397","±208","850","±717","2,299","±157","4,357","±231","3,151","±146","844","±395","3,526","±248","4,308","±92","2,504","±208","5,031","±151","1,601","±939","2,443","±61","4,148","±513","2,440,558","±16,705"
"        55 to 64 years","751","±636","1,468","±389","","","","","3,938","±681","6,861","±629","","","","","1,226","±334","5,452","±208","","","1,975","±87","","","6,166","±344","","","","","1,621","±208","1,846","±208","761","±285","2,226","±640","4,204","±216","4,146","±21","998","±147","3,938","±208","4,599","±369","2,839","±53","6,777","±46","1,940","±280","2,415","±208","4,453","±260","2,314,686","±9,801"
"        65 to 74 years","470","±374","561","±385","","","","","2,696","±208","3,516","±76","","","","","102","±144","3,427","±68","","","934","±171","","","2,689","±218","","","","","828","±243","621","±229","288","±220","606","±499","2,517","±208","2,502","±182","911","±158","2,098","±208","2,790","±156","1,717","±208","4,048","±121","1,130","±413","1,308","±46","2,443","±237","1,368,723","±10,223"
"        75 to 84 years","0","±208","36","±64","","","","","903","±208","1,194","±332","","","","","119","±144","1,441","±231","","","119","±141","","","735","±167","","","","","261","±230","215","±214","108","±140","116","±138","1,372","±98","1,082","±324","177","±158","886","±187","1,126","±228","614","±235","1,227","±324","359","±360","522","±166","929","±237","543,830","±6,891"
"        85 years and over","245","±372","0","±208","","","","","0","±208","397","±330","","","","","166","±245","255","±231","","","0","±208","","","98","±127","","","","","90","±113","45","±78","0","±208","194","±338","51","±98","469","±324","0","±208","148","±187","304","±225","255","±240","815","±320","178","±200","122","±166","201","±239","151,402","±5,810"
