asa.county,asa.states,score_combine,score_infection,score_death,asa_under5yr,asa_15yrto44yr,asa_65andOver,asa_75andOver,asa_bachelor,asa_disabilityrate,asa_employment,asa_highrisk,asa_lessHighSchool,asa_nocomputer,asa_noinsurance,asa_nointernet,asa_poverty,asa_black,asa_white,asa_under5yr_asa_bachelor,asa_under5yr_asa_disabilityrate,asa_under5yr_asa_employment,asa_under5yr_asa_highrisk,asa_under5yr_asa_lessHighSchool,asa_under5yr_asa_nocomputer,asa_under5yr_asa_noinsurance,asa_under5yr_asa_nointernet,asa_under5yr_asa_poverty,asa_under5yr_asa_black,asa_under5yr_asa_white,asa_15yrto44yr_asa_bachelor,asa_15yrto44yr_asa_disabilityrate,asa_15yrto44yr_asa_employment,asa_15yrto44yr_asa_highrisk,asa_15yrto44yr_asa_lessHighSchool,asa_15yrto44yr_asa_nocomputer,asa_15yrto44yr_asa_noinsurance,asa_15yrto44yr_asa_nointernet,asa_15yrto44yr_asa_poverty,asa_15yrto44yr_asa_black,asa_15yrto44yr_asa_white,asa_65andOver_asa_bachelor,asa_65andOver_asa_disabilityrate,asa_65andOver_asa_employment,asa_65andOver_asa_highrisk,asa_65andOver_asa_lessHighSchool,asa_65andOver_asa_nocomputer,asa_65andOver_asa_noinsurance,asa_65andOver_asa_nointernet,asa_65andOver_asa_poverty,asa_65andOver_asa_black,asa_65andOver_asa_white,asa_75andOver_asa_bachelor,asa_75andOver_asa_disabilityrate,asa_75andOver_asa_employment,asa_75andOver_asa_highrisk,asa_75andOver_asa_lessHighSchool,asa_75andOver_asa_nocomputer,asa_75andOver_asa_noinsurance,asa_75andOver_asa_nointernet,asa_75andOver_asa_poverty,asa_75andOver_asa_black,asa_75andOver_asa_white,asa_bachelor_asa_disabilityrate,asa_bachelor_asa_employment,asa_bachelor_asa_highrisk,asa_bachelor_asa_nocomputer,asa_bachelor_asa_nointernet,asa_bachelor_asa_poverty,asa_bachelor_asa_black,asa_bachelor_asa_white,asa_disabilityrate_asa_employment,asa_disabilityrate_asa_highrisk,asa_disabilityrate_asa_lessHighSchool,asa_disabilityrate_asa_nocomputer,asa_disabilityrate_asa_nointernet,asa_disabilityrate_asa_poverty,asa_disabilityrate_asa_black,asa_disabilityrate_asa_white,asa_employment_asa_highrisk,asa_employment_asa_lessHighSchool,asa_employment_asa_nocomputer,asa_employment_asa_nointernet,asa_employment_asa_poverty,asa_employment_asa_black,asa_employment_asa_white,asa_highrisk_asa_lessHighSchool,asa_highrisk_asa_nocomputer,asa_highrisk_asa_nointernet,asa_highrisk_asa_poverty,asa_highrisk_asa_black,asa_highrisk_asa_white,asa_lessHighSchool_asa_nocomputer,asa_lessHighSchool_asa_nointernet,asa_lessHighSchool_asa_poverty,asa_lessHighSchool_asa_black,asa_lessHighSchool_asa_white,asa_nocomputer_asa_poverty,asa_nocomputer_asa_black,asa_nocomputer_asa_white,asa_noinsurance_asa_poverty,asa_nointernet_asa_poverty,asa_nointernet_asa_black,asa_nointernet_asa_white,asa_poverty_asa_black,asa_poverty_asa_white
Aiken County ,SC,-0.955478824,-0.353319032,-0.015655234,0.055889789,0.362066342,0.195947844,0.078626106,0.208741046,0.136,0.423006695,0.075138115,0.078579287,0.031064188,0.103,0.051143546,0.113,0.260826818,0.694180439,0.011666493,0.007601011,0.023641755,0.004199453,0.00439178,0.001736171,0.005756648,0.002858402,0.006315546,0.014577556,0.038797598,0.075578107,0.049241023,0.153156487,0.027204982,0.028450915,0.011247297,0.037292833,0.018517357,0.040913497,0.094436612,0.251339372,0.040902358,0.026648907,0.08288725,0.014723152,0.015397442,0.006086961,0.020182628,0.010021468,0.022142106,0.051108453,0.13602316,0.016412496,0.01069315,0.033259369,0.005907817,0.006178383,0.002442456,0.008098489,0.004021218,0.00888475,0.020507797,0.054580705,0.028388782,0.08829886,0.015684409,0.006484371,0.010675757,0.023587738,0.054445263,0.144903951,0.057528911,0.010218784,0.010686783,0.00422473,0.006955522,0.015368,0.035472447,0.09440854,0.031783926,0.033239564,0.013140359,0.021634062,0.047799757,0.11033149,0.293642973,0.0059043,0.002334105,0.00384283,0.008490607,0.019598035,0.05215941,0.002441002,0.004018823,0.008879459,0.020495585,0.054548204,0.003510253,0.008102373,0.021564152,0.011639,0.005779221,0.013339608,0.035502849,0.02947343,0.07844239
Alachua County ,FL,-1.163777559,0.094433306,-0.032711559,0.051348669,0.497396327,0.146311184,0.057853206,0.320417182,0.116,0.477102173,0.082637348,0.050330245,0.01214304,0.088,0.044535632,0.186,0.18662816,0.673290143,0.016452996,0.005956446,0.024498562,0.004243318,0.002584391,0.000623529,0.004518683,0.002286845,0.009550852,0.009583108,0.034572553,0.159374329,0.057697974,0.237308868,0.041103513,0.025034079,0.006039903,0.043770877,0.02215186,0.092515717,0.092828161,0.334892044,0.046880617,0.016972097,0.069805384,0.012090768,0.007363878,0.001776663,0.012875384,0.006516061,0.02721388,0.027305787,0.098509878,0.018537161,0.006710972,0.02760189,0.004780836,0.002911766,0.000702514,0.005091082,0.002576529,0.010760696,0.010797037,0.038951993,0.037168393,0.152871734,0.026478426,0.003890839,0.014269982,0.059597596,0.059798869,0.21573373,0.055343852,0.009585932,0.005838308,0.001408593,0.005166133,0.021576,0.021648867,0.078101657,0.039426458,0.024012669,0.005793471,0.021248047,0.088741004,0.089040701,0.32122819,0.004159158,0.001003469,0.003680307,0.015370547,0.015422456,0.055638912,0.000611162,0.002241489,0.009361426,0.009393041,0.033886858,0.002258605,0.002266233,0.008175789,0.016368,0.008283628,0.008311603,0.029985402,0.034712838,0.125231967
Alamance County ,NC,0.187623564,0.268700949,-0.002107888,0.058799238,0.392167967,0.171436325,0.074055065,0.17565439,0.117,0.492870585,0.088526273,0.098997693,0.03065324,0.101,0.071654012,0.153,0.200119168,0.692582695,0.010328344,0.006879511,0.028980415,0.005205277,0.005820989,0.001802387,0.005938723,0.004213201,0.008996283,0.011766855,0.040723335,0.068886025,0.045883652,0.193288055,0.034717169,0.038823724,0.012021219,0.039608965,0.028100408,0.060001699,0.078480327,0.271608747,0.030113543,0.02005805,0.084495922,0.015176619,0.016971801,0.005255079,0.017315069,0.0122841,0.026229758,0.034307695,0.118733832,0.013008097,0.008664443,0.036499563,0.006555819,0.007331281,0.002270028,0.007479562,0.005306343,0.011330425,0.014819838,0.051289256,0.020551564,0.086574882,0.015550028,0.005384376,0.012586342,0.026875122,0.03515181,0.121655191,0.057665858,0.010357574,0.01158273,0.003586429,0.008383519,0.017901,0.023413943,0.081032175,0.043631996,0.048793051,0.01510808,0.035316155,0.0754092,0.098632851,0.341353638,0.008763897,0.002713617,0.006343263,0.01354452,0.017715804,0.061311765,0.0030346,0.007093582,0.015146647,0.019811336,0.068564089,0.004689946,0.006134301,0.021229904,0.015453,0.010963064,0.014339341,0.049626329,0.030618233,0.105965152
Albemarle County ,VA,-2.457532642,-1.385665849,-0.027866898,0.050855209,0.398509101,0.19217964,0.079310345,0.429022226,0.091,0.500128053,0.062928748,0.043629379,0.034107747,0.04,0.051861337,0.062,0.085447727,0.811378396,0.021818015,0.004627824,0.025434117,0.003200255,0.002218781,0.001734557,0.002034208,0.002637419,0.003153023,0.004345462,0.041262818,0.170969262,0.036264328,0.199305581,0.025077679,0.017386705,0.013592248,0.015940364,0.020667215,0.024707564,0.034051697,0.323341675,0.082449337,0.017488347,0.096114429,0.012093624,0.008384678,0.006554815,0.007687186,0.009966693,0.011915138,0.016421313,0.155930408,0.034025901,0.007217241,0.039665328,0.004990901,0.003460261,0.002705097,0.003172414,0.004113141,0.004917241,0.006776889,0.064350701,0.039041023,0.214566051,0.026997832,0.014632982,0.022249666,0.026599378,0.036658974,0.348099366,0.045511653,0.005726516,0.003970273,0.003103805,0.004719382,0.005642,0.007775743,0.073835434,0.031472432,0.021820276,0.017058241,0.025937309,0.031007939,0.042734805,0.405793097,0.002745542,0.002146358,0.003263569,0.003901582,0.005377118,0.051059027,0.0014881,0.002262678,0.002705021,0.003728031,0.035399936,0.00211468,0.002914429,0.027674289,0.00248,0.003215403,0.004431433,0.042079168,0.005297759,0.050305461
Anderson County ,SC,0.874296278,-0.071001029,0.024576285,0.055041025,0.371419544,0.184401505,0.075469742,0.175633646,0.174,0.471326731,0.078757689,0.100168841,0.032746176,0.116,0.058506699,0.128,0.145958195,0.789359097,0.009667056,0.009577138,0.025942306,0.004334904,0.005513396,0.001802383,0.006384759,0.003220269,0.007045251,0.008033689,0.043447134,0.065233769,0.064627001,0.17505996,0.029252145,0.037204665,0.01216257,0.043084667,0.021730531,0.047541702,0.054211726,0.293183396,0.032387109,0.032085862,0.086913359,0.014523036,0.018471285,0.006038444,0.021390575,0.010788723,0.023603393,0.026914911,0.145559005,0.013255026,0.013131735,0.035570907,0.005943822,0.007559717,0.002471345,0.00875449,0.004415485,0.009660127,0.011015427,0.059572727,0.030560254,0.082780832,0.0138325,0.00575133,0.010275745,0.022481107,0.02563517,0.138638016,0.082010851,0.013703838,0.017429378,0.005697835,0.010180166,0.022272,0.025396726,0.137348483,0.037120604,0.047212252,0.015434148,0.027575771,0.060329822,0.068793999,0.372046043,0.007889066,0.002579013,0.004607852,0.010080984,0.01149533,0.062168098,0.003280146,0.005860548,0.012821612,0.014620463,0.079069186,0.004191511,0.004779573,0.025848492,0.014848,0.007488857,0.008539532,0.046182795,0.018682649,0.101037964
Anderson County ,TN,-0.461482128,-0.319206529,-0.003698948,0.049624568,0.34385149,0.209618333,0.088908519,0.155291122,0.224,0.41501468,0.071981605,0.082608018,0.032840552,0.118,0.047117358,0.168,0,0.894138585,0.007706255,0.011115903,0.020594924,0.003572056,0.004099387,0.001629698,0.005855699,0.002338179,0.008336927,0,0.044371241,0.053397084,0.077022734,0.142703416,0.024750982,0.02840489,0.011292273,0.040574476,0.016201374,0.05776705,0,0.307450885,0.032551866,0.046954507,0.086994685,0.015088664,0.017316155,0.006883982,0.024734963,0.009876662,0.03521588,0,0.18742784,0.013806704,0.019915508,0.036898341,0.006399778,0.007344557,0.002919805,0.010491205,0.004189135,0.014936631,0,0.079496537,0.034785211,0.064448095,0.011178104,0.005099846,0.007316907,0.026088908,0,0.138851784,0.092963288,0.01612388,0.018504196,0.007356284,0.010554288,0.037632,0,0.200287043,0.029873423,0.03428354,0.013629311,0.019554395,0.069722466,0,0.371080639,0.005946258,0.002363916,0.003391583,0.01209291,0,0.06436153,0.002712893,0.003892272,0.013878147,0,0.073863016,0.005517213,0,0.029364005,0.019824,0.007915716,0,0.042129448,0,0.150215282
Angelina County ,TX,1.858415582,0.000427497,0.04830485,0.066735859,0.400230641,0.170904688,0.068281151,0.125087932,0.146,0.462180707,0.093478637,0.104756962,0.033373695,0.176,0.047777201,0.142,0.152661016,0.801326183,0.008347851,0.009743435,0.030844026,0.006238377,0.006991046,0.002227222,0.011745511,0.003188453,0.009476492,0.010187964,0.053477191,0.050064023,0.058433674,0.184978881,0.037413015,0.041926946,0.013357175,0.070440593,0.0191219,0.056832751,0.061099616,0.320715292,0.021378114,0.024952084,0.07898885,0.015975937,0.017903456,0.005703721,0.030079225,0.008165348,0.024268466,0.026090483,0.136950401,0.008541148,0.009969048,0.031558231,0.006382829,0.007152926,0.002278794,0.012017483,0.003262282,0.009695923,0.01042387,0.054715474,0.018262838,0.057813229,0.011693049,0.004174646,0.005976351,0.017762486,0.019096051,0.100236235,0.067478383,0.013647881,0.015294516,0.004872559,0.006975471,0.020732,0.022288508,0.116993623,0.043204023,0.048416647,0.015424678,0.022081701,0.06562966,0.070556976,0.370357502,0.009792538,0.003119728,0.004466148,0.013273966,0.014270544,0.074906879,0.003496127,0.005004994,0.014875489,0.015992304,0.083944497,0.004739065,0.005094862,0.026743216,0.024992,0.006784363,0.007293716,0.038285122,0.021677864,0.113788318
Arlington County ,VA,-0.10961009,-0.610052396,0.013010735,0.057903581,0.509331115,0.109870715,0.043256686,0.6007676,0.063,0.618902053,0.062657806,0.04427002,0.017974008,0.056,0.035099349,0.086,0.091575818,0.706365425,0.034786595,0.003647926,0.035836645,0.003628111,0.002563393,0.001040759,0.003242601,0.002032378,0.004979708,0.005302568,0.040901088,0.305989632,0.03208786,0.315226073,0.03191357,0.022548099,0.009154722,0.028522542,0.017877191,0.043802476,0.046642413,0.35977389,0.066006766,0.006921855,0.067999211,0.006884258,0.004863979,0.001974817,0.00615276,0.003856391,0.009448881,0.010061501,0.077608874,0.025987215,0.002725171,0.026771652,0.002710369,0.001914974,0.000777496,0.002422374,0.001518282,0.003720075,0.003961266,0.030555027,0.037848359,0.371816301,0.03764278,0.010798202,0.021086552,0.051666014,0.055015784,0.424361461,0.038990829,0.003947442,0.002789011,0.001132363,0.002211259,0.005418,0.005769277,0.044501022,0.038779045,0.027398806,0.01112415,0.021723059,0.053225577,0.056676462,0.437171012,0.002773862,0.001126212,0.002199248,0.005388571,0.00573794,0.044259308,0.00079571,0.001553849,0.003807222,0.004054063,0.031270811,0.001545765,0.001645984,0.012696218,0.004816,0.003018544,0.003214252,0.024792967,0.00787552,0.060747427
Ascension Parish ,LA,-0.378267303,0.018002768,-0.010302416,0.055811823,0.408920729,0.129537771,0.044106031,0.173043506,0.125,0.492954409,0.058418375,0.062675745,0.021460617,0.063,0.04090708,0.083,0.241161417,0.696028561,0.009657874,0.006976478,0.027512684,0.003260436,0.003498048,0.001197756,0.003516145,0.002283099,0.004632381,0.013459658,0.038846623,0.070761077,0.051115091,0.201579276,0.023888484,0.025629411,0.008775691,0.025762006,0.016727753,0.033940421,0.098615902,0.284620507,0.02241567,0.016192221,0.063856215,0.007567386,0.008118876,0.00277996,0.00816088,0.005299012,0.010751635,0.031239512,0.090161988,0.007632262,0.005513254,0.021742262,0.002576603,0.002764378,0.000946543,0.00277868,0.001804249,0.003660801,0.010636673,0.030699057,0.021630438,0.085302559,0.01010892,0.00371362,0.007078705,0.014362611,0.041731417,0.120443222,0.061619301,0.007302297,0.007834468,0.002682577,0.005113385,0.010375,0.030145177,0.08700357,0.028797596,0.030896285,0.010579106,0.020165325,0.040915216,0.118881584,0.343110348,0.003661415,0.001253694,0.002389725,0.004848725,0.014088258,0.040660857,0.00134506,0.002563882,0.005202087,0.015114971,0.043624109,0.001781231,0.005175473,0.014937202,0.005229,0.003395288,0.009865209,0.028472496,0.020016398,0.057770371
Augusta County ,VA,-1.915018296,-0.880735867,-0.026889762,0.039704598,0.353384155,0.222835438,0.095608671,0.160300696,0.139,0.483602001,0.086106038,0.100571746,0.033153339,0.075,0.052965933,0.056,0,0.892718177,0.006364675,0.005518939,0.019201223,0.003418806,0.003993161,0.00131634,0.002977845,0.002102991,0.002223457,0,0.035445016,0.056647726,0.049120398,0.170897284,0.030428509,0.035540461,0.011715865,0.026503812,0.018717321,0.019789513,0,0.315472459,0.035720676,0.030974126,0.107763664,0.019187477,0.022410949,0.007387739,0.016712658,0.011802687,0.012478785,0,0.198929246,0.015326137,0.013289605,0.046236545,0.008232484,0.009615531,0.003169747,0.00717065,0.005064002,0.005354086,0,0.085351598,0.022281797,0.077521737,0.013802858,0.005314503,0.008490476,0.008976839,0,0.143103345,0.067220678,0.011968739,0.013979473,0.004608314,0.007362265,0.007784,0,0.124087827,0.041641052,0.048636698,0.016033021,0.025614431,0.027081712,0,0.431720297,0.008659835,0.002854703,0.004560687,0.004821938,0,0.076868425,0.003334289,0.005326876,0.005632018,0,0.089782226,0.001856587,0,0.029596588,0.0042,0.002966092,0,0.047283651,0,0.049992218
